second,Volt,Volt
-100.0000E-03,+2.7572266E+00,+228.5828E-03
-99.8000E-03,+2.7416016E+00,+228.9734E-03
-99.6000E-03,+2.7250000E+00,+229.3641E-03
-99.4000E-03,+2.7093750E+00,+229.5594E-03
-99.2000E-03,+2.6927735E+00,+229.9500E-03
-99.0000E-03,+2.6751953E+00,+229.5594E-03
-98.8000E-03,+2.6566406E+00,+229.3641E-03
-98.6000E-03,+2.6390625E+00,+228.9734E-03
-98.4000E-03,+2.6205078E+00,+228.3875E-03
-98.2000E-03,+2.6019531E+00,+227.6063E-03
-98.0000E-03,+2.5843750E+00,+227.0203E-03
-97.8000E-03,+2.5667969E+00,+226.2391E-03
-97.6000E-03,+2.5472656E+00,+225.0672E-03
-97.4000E-03,+2.5277344E+00,+223.8953E-03
-97.2000E-03,+2.5062500E+00,+222.7234E-03
-97.0000E-03,+2.4857422E+00,+221.3563E-03
-96.8000E-03,+2.4652344E+00,+219.7938E-03
-96.6000E-03,+2.4427735E+00,+218.2313E-03
-96.4000E-03,+2.4203125E+00,+216.4734E-03
-96.2000E-03,+2.3968750E+00,+214.9109E-03
-96.0000E-03,+2.3734375E+00,+213.3484E-03
-95.8000E-03,+2.3509766E+00,+211.7859E-03
-95.6000E-03,+2.3275391E+00,+210.0281E-03
-95.4000E-03,+2.3041016E+00,+208.2703E-03
-95.2000E-03,+2.2787110E+00,+206.3172E-03
-95.0000E-03,+2.2552735E+00,+204.3641E-03
-94.8000E-03,+2.2318360E+00,+202.0203E-03
-94.6000E-03,+2.2064453E+00,+199.6766E-03
-94.4000E-03,+2.1810547E+00,+197.3328E-03
-94.2000E-03,+2.1556641E+00,+194.7938E-03
-94.0000E-03,+2.1302735E+00,+192.2547E-03
-93.8000E-03,+2.1058594E+00,+189.3250E-03
-93.6000E-03,+2.0804688E+00,+186.3953E-03
-93.4000E-03,+2.0560547E+00,+183.6609E-03
-93.2000E-03,+2.0296875E+00,+180.7313E-03
-93.0000E-03,+2.0042969E+00,+177.6063E-03
-92.8000E-03,+1.9779297E+00,+174.4813E-03
-92.6000E-03,+1.9496094E+00,+171.3563E-03
-92.4000E-03,+1.9222656E+00,+168.2313E-03
-92.2000E-03,+1.8939453E+00,+165.4969E-03
-92.0000E-03,+1.8666016E+00,+162.1766E-03
-91.8000E-03,+1.8382813E+00,+159.2469E-03
-91.6000E-03,+1.8109375E+00,+155.9266E-03
-91.4000E-03,+1.7816406E+00,+152.8016E-03
-91.2000E-03,+1.7523438E+00,+149.2859E-03
-91.0000E-03,+1.7250000E+00,+146.3563E-03
-90.8000E-03,+1.6947266E+00,+143.0359E-03
-90.6000E-03,+1.6664063E+00,+139.7156E-03
-90.4000E-03,+1.6380860E+00,+136.5906E-03
-90.2000E-03,+1.6117188E+00,+133.4656E-03
-90.0000E-03,+1.5853516E+00,+130.3406E-03
-89.8000E-03,+1.5560547E+00,+127.2156E-03
-89.6000E-03,+1.5277344E+00,+124.0906E-03
-89.4000E-03,+1.4994141E+00,+121.1609E-03
-89.2000E-03,+1.4701172E+00,+118.0359E-03
-89.0000E-03,+1.4417969E+00,+114.7156E-03
-88.8000E-03,+1.4134766E+00,+111.3953E-03
-88.6000E-03,+1.3851563E+00,+108.0750E-03
-88.4000E-03,+1.3578125E+00,+104.9500E-03
-88.2000E-03,+1.3324219E+00,+101.4344E-03
-88.0000E-03,+1.3060547E+00,+98.1141E-03
-87.8000E-03,+1.2787110E+00,+94.9891E-03
-87.6000E-03,+1.2513672E+00,+91.6688E-03
-87.4000E-03,+1.2250000E+00,+88.3484E-03
-87.2000E-03,+1.1966797E+00,+84.8328E-03
-87.0000E-03,+1.1673828E+00,+81.5125E-03
-86.8000E-03,+1.1400391E+00,+78.1922E-03
-86.6000E-03,+1.1126953E+00,+74.8719E-03
-86.4000E-03,+1.0853516E+00,+71.7469E-03
-86.2000E-03,+1.0570313E+00,+68.6219E-03
-86.0000E-03,+1.0316406E+00,+65.3016E-03
-85.8000E-03,+1.0072266E+00,+62.1766E-03
-85.6000E-03,+980.8594E-03,+59.0516E-03
-85.4000E-03,+953.5156E-03,+55.9266E-03
-85.2000E-03,+927.1485E-03,+52.9969E-03
-85.0000E-03,+900.7813E-03,+50.2625E-03
-84.8000E-03,+875.3906E-03,+47.3328E-03
-84.6000E-03,+848.0469E-03,+44.4031E-03
-84.4000E-03,+823.6328E-03,+41.4734E-03
-84.2000E-03,+797.2656E-03,+38.3484E-03
-84.0000E-03,+770.8985E-03,+35.6141E-03
-83.8000E-03,+745.5078E-03,+32.6844E-03
-83.6000E-03,+721.0938E-03,+29.7547E-03
-83.4000E-03,+696.6797E-03,+26.6297E-03
-83.2000E-03,+674.2188E-03,+23.8953E-03
-83.0000E-03,+650.7813E-03,+20.9656E-03
-82.8000E-03,+627.3438E-03,+17.8406E-03
-82.6000E-03,+603.9063E-03,+15.1062E-03
