second,Volt,Volt
-100.0000E-03,+2.1682501E+00,-73.1250E-03
-99.8000E-03,+2.1995001E+00,-66.8750E-03
-99.6000E-03,+2.2307501E+00,-60.6250E-03
-99.4000E-03,+2.2307501E+00,-51.2500E-03
-99.2000E-03,+2.2932501E+00,-45.0000E-03
-99.0000E-03,+2.3245001E+00,-35.6250E-03
-98.8000E-03,+2.3245001E+00,-29.3750E-03
-98.6000E-03,+2.3870001E+00,-16.8750E-03
-98.4000E-03,+2.3870001E+00,-10.6250E-03
-98.2000E-03,+2.3870001E+00,-1.2500E-03
-98.0000E-03,+2.4182501E+00,+5.0000E-03
-97.8000E-03,+2.4495001E+00,+11.2500E-03
-97.6000E-03,+2.5120001E+00,+17.5000E-03
-97.4000E-03,+2.5120001E+00,+26.8750E-03
-97.2000E-03,+2.5432501E+00,+39.3750E-03
-97.0000E-03,+2.5432501E+00,+45.6250E-03
-96.8000E-03,+2.5745001E+00,+48.7500E-03
-96.6000E-03,+2.6057501E+00,+58.1250E-03
-96.4000E-03,+2.6370001E+00,+67.5000E-03
-96.2000E-03,+2.6370001E+00,+80.0000E-03
-96.0000E-03,+2.6682501E+00,+83.1250E-03
-95.8000E-03,+2.6682501E+00,+92.5000E-03
-95.6000E-03,+2.6370001E+00,+98.7500E-03
-95.4000E-03,+2.6995001E+00,+108.1250E-03
-95.2000E-03,+2.6995001E+00,+111.2500E-03
-95.0000E-03,+2.7620001E+00,+120.6250E-03
-94.8000E-03,+2.6995001E+00,+130.0000E-03
-94.6000E-03,+2.7307501E+00,+139.3750E-03
-94.4000E-03,+2.7620001E+00,+145.6250E-03
-94.2000E-03,+2.7307501E+00,+151.8750E-03
-94.0000E-03,+2.7307501E+00,+161.2500E-03
-93.8000E-03,+2.7307501E+00,+173.7500E-03
-93.6000E-03,+2.7620001E+00,+176.8750E-03
-93.4000E-03,+2.7620001E+00,+186.2500E-03
-93.2000E-03,+2.7620001E+00,+192.5000E-03
-93.0000E-03,+2.7620001E+00,+198.7500E-03
-92.8000E-03,+2.7932501E+00,+201.8750E-03
-92.6000E-03,+2.7307501E+00,+211.2500E-03
-92.4000E-03,+2.7620001E+00,+220.6250E-03
-92.2000E-03,+2.7620001E+00,+226.8750E-03
-92.0000E-03,+2.7932501E+00,+233.1250E-03
-91.8000E-03,+2.7620001E+00,+242.5000E-03
-91.6000E-03,+2.7620001E+00,+248.7500E-03
-91.4000E-03,+2.7307501E+00,+255.0000E-03
-91.2000E-03,+2.7307501E+00,+258.1250E-03
-91.0000E-03,+2.7307501E+00,+267.5000E-03
-90.8000E-03,+2.6995001E+00,+270.6250E-03
-90.6000E-03,+2.7307501E+00,+276.8750E-03
-90.4000E-03,+2.6995001E+00,+286.2500E-03
-90.2000E-03,+2.6995001E+00,+286.2500E-03
-90.0000E-03,+2.6995001E+00,+292.5000E-03
-89.8000E-03,+2.6682501E+00,+301.8750E-03
-89.6000E-03,+2.6682501E+00,+305.0000E-03
-89.4000E-03,+2.6370001E+00,+308.1250E-03
-89.2000E-03,+2.6370001E+00,+314.3750E-03
-89.0000E-03,+2.6057501E+00,+320.6250E-03
-88.8000E-03,+2.6057501E+00,+323.7500E-03
-88.6000E-03,+2.5745001E+00,+326.8750E-03
-88.4000E-03,+2.5432501E+00,+333.1250E-03
-88.2000E-03,+2.5432501E+00,+336.2500E-03
-88.0000E-03,+2.4807501E+00,+339.3750E-03
-87.8000E-03,+2.4495001E+00,+339.3750E-03
-87.6000E-03,+2.4495001E+00,+345.6250E-03
-87.4000E-03,+2.4495001E+00,+348.7500E-03
-87.2000E-03,+2.4182501E+00,+348.7500E-03
-87.0000E-03,+2.3557501E+00,+351.8750E-03
-86.8000E-03,+2.3557501E+00,+355.0000E-03
-86.6000E-03,+2.3245001E+00,+355.0000E-03
-86.4000E-03,+2.2620001E+00,+358.1250E-03
-86.2000E-03,+2.2620001E+00,+361.2500E-03
-86.0000E-03,+2.2307501E+00,+361.2500E-03
-85.8000E-03,+2.2307501E+00,+364.3750E-03
-85.6000E-03,+2.1995001E+00,+364.3750E-03
-85.4000E-03,+2.1682501E+00,+361.2500E-03
-85.2000E-03,+2.0745001E+00,+361.2500E-03
-85.0000E-03,+2.0745001E+00,+367.5000E-03
-84.8000E-03,+2.0120001E+00,+367.5000E-03
-84.6000E-03,+2.0432501E+00,+364.3750E-03
-84.4000E-03,+1.9807501E+00,+364.3750E-03
-84.2000E-03,+1.9495001E+00,+364.3750E-03
-84.0000E-03,+1.8870001E+00,+361.2500E-03
-83.8000E-03,+1.9182501E+00,+358.1250E-03
-83.6000E-03,+1.8557501E+00,+358.1250E-03
-83.4000E-03,+1.8245001E+00,+358.1250E-03
-83.2000E-03,+1.7620001E+00,+351.8750E-03
-83.0000E-03,+1.7307501E+00,+348.7500E-03
-82.8000E-03,+1.6995001E+00,+345.6250E-03
-82.6000E-03,+1.6995001E+00,+342.5000E-03
-82.4000E-03,+1.6682501E+00,+342.5000E-03
-82.2000E-03,+1.5745001E+00,+336.2500E-03
-82.0000E-03,+1.5745001E+00,+333.1250E-03
-81.8000E-03,+1.5120001E+00,+330.0000E-03
-81.6000E-03,+1.4182501E+00,+330.0000E-03
-81.4000E-03,+1.4495001E+00,+320.6250E-03
-81.2000E-03,+1.3870001E+00,+314.3750E-03
-81.0000E-03,+1.3557501E+00,+311.2500E-03
-80.8000E-03,+1.3245001E+00,+305.0000E-03
-80.6000E-03,+1.2620001E+00,+301.8750E-03
-80.4000E-03,+1.1995001E+00,+295.6250E-03
-80.2000E-03,+1.1995001E+00,+292.5000E-03
-80.0000E-03,+1.1682501E+00,+283.1250E-03
-79.8000E-03,+1.1057501E+00,+280.0000E-03
-79.6000E-03,+1.0745001E+00,+273.7500E-03
-79.4000E-03,+1.0120001E+00,+267.5000E-03
-79.2000E-03,+980.7501E-03,+264.3750E-03
-79.0000E-03,+949.5001E-03,+255.0000E-03
-78.8000E-03,+918.2501E-03,+248.7500E-03
-78.6000E-03,+887.0001E-03,+242.5000E-03
-78.4000E-03,+824.5001E-03,+239.3750E-03
-78.2000E-03,+793.2501E-03,+230.0000E-03
-78.0000E-03,+699.5001E-03,+220.6250E-03
-77.8000E-03,+730.7501E-03,+217.5000E-03
-77.6000E-03,+668.2501E-03,+205.0000E-03
-77.4000E-03,+605.7501E-03,+201.8750E-03
-77.2000E-03,+574.5001E-03,+192.5000E-03
-77.0000E-03,+543.2501E-03,+186.2500E-03
-76.8000E-03,+512.0001E-03,+180.0000E-03
-76.6000E-03,+480.7501E-03,+176.8750E-03
-76.4000E-03,+449.5001E-03,+164.3750E-03
-76.2000E-03,+418.2501E-03,+158.1250E-03
-76.0000E-03,+324.5001E-03,+148.7500E-03
-75.8000E-03,+293.2501E-03,+139.3750E-03
-75.6000E-03,+293.2501E-03,+133.1250E-03
-75.4000E-03,+293.2501E-03,+123.7500E-03
-75.2000E-03,+262.0001E-03,+117.5000E-03
-75.0000E-03,+199.5001E-03,+111.2500E-03
-74.8000E-03,+168.2501E-03,+98.7500E-03
-74.6000E-03,+105.7501E-03,+92.5000E-03
-74.4000E-03,+74.5001E-03,+86.2500E-03
-74.2000E-03,+43.2501E-03,+76.8750E-03
-74.0000E-03,+43.2501E-03,+70.6250E-03
-73.8000E-03,+12.0001E-03,+64.3750E-03
-73.6000E-03,-50.4999E-03,+51.8750E-03
-73.4000E-03,-19.2499E-03,+45.6250E-03
-73.2000E-03,-144.2499E-03,+39.3750E-03
-73.0000E-03,-175.4999E-03,+33.1250E-03
-72.8000E-03,-175.4999E-03,+26.8750E-03
-72.6000E-03,-206.7499E-03,+17.5000E-03
-72.4000E-03,-237.9999E-03,+14.3750E-03
-72.2000E-03,-269.2499E-03,+5.0000E-03
-72.0000E-03,-269.2499E-03,-7.5000E-03
-71.8000E-03,-331.7499E-03,-10.6250E-03
-71.6000E-03,-300.4999E-03,-23.1250E-03
-71.4000E-03,-331.7499E-03,-29.3750E-03
-71.2000E-03,-394.2499E-03,-32.5000E-03
-71.0000E-03,-394.2499E-03,-38.7500E-03
-70.8000E-03,-425.4999E-03,-51.2500E-03
-70.6000E-03,-394.2499E-03,-54.3750E-03
-70.4000E-03,-425.4999E-03,-63.7500E-03
-70.2000E-03,-456.7499E-03,-70.0000E-03
-70.0000E-03,-456.7499E-03,-76.2500E-03
-69.8000E-03,-519.2499E-03,-88.7500E-03
-69.6000E-03,-487.9999E-03,-91.8750E-03
-69.4000E-03,-519.2499E-03,-101.2500E-03
-69.2000E-03,-519.2499E-03,-104.3750E-03
-69.0000E-03,-519.2499E-03,-113.7500E-03
-68.8000E-03,-550.4999E-03,-116.8750E-03
-68.6000E-03,-581.7499E-03,-126.2500E-03
-68.4000E-03,-581.7499E-03,-132.5000E-03
-68.2000E-03,-581.7499E-03,-138.7500E-03
-68.0000E-03,-581.7499E-03,-145.0000E-03
-67.8000E-03,-581.7499E-03,-154.3750E-03
-67.6000E-03,-581.7499E-03,-157.5000E-03
-67.4000E-03,-581.7499E-03,-163.7500E-03
-67.2000E-03,-612.9999E-03,-173.1250E-03
-67.0000E-03,-612.9999E-03,-176.2500E-03
-66.8000E-03,-612.9999E-03,-179.3750E-03
-66.6000E-03,-612.9999E-03,-191.8750E-03
-66.4000E-03,-612.9999E-03,-198.1250E-03
-66.2000E-03,-612.9999E-03,-201.2500E-03
