Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 10:55:40 6/15/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   6.33511   0.45775   -0.70269   -0.54485   6.33511   0.45775   -0.70269   -0.54485   100.18311
2   6.33455   0.45744   -0.70275   -0.54491   6.33455   0.45744   -0.70275   -0.54491   100.21057
3   6.33399   0.45763   -0.70248   -0.54518   6.33399   0.45763   -0.70248   -0.54518   100.19226
4   6.33343   0.45763   -0.70238   -0.54530   6.33343   0.45763   -0.70238   -0.54530   100.20142
5   6.33455   0.45817   -0.70208   -0.54506   6.33455   0.45817   -0.70208   -0.54506   100.19226
6   6.33287   0.45708   -0.70278   -0.54534   6.33287   0.45708   -0.70278   -0.54534   100.20142
7   6.33567   0.45808   -0.70232   -0.54506   6.33567   0.45808   -0.70232   -0.54506   100.17395
8   6.33343   0.45744   -0.70290   -0.54494   6.33343   0.45744   -0.70290   -0.54494   100.16785
9   6.33567   0.45784   -0.70275   -0.54463   6.33567   0.45784   -0.70275   -0.54463   100.21057
10   6.33903   0.45784   -0.70284   -0.54448   6.33903   0.45784   -0.70284   -0.54448   100.21057
11   6.33567   0.45698   -0.70305   -0.54494   6.33567   0.45698   -0.70305   -0.54494   100.18311
12   6.33511   0.45793   -0.70336   -0.54372   6.33511   0.45793   -0.70336   -0.54372   100.19226
13   6.33511   0.45781   -0.70318   -0.54408   6.33511   0.45781   -0.70318   -0.54408   100.18311
14   6.33567   0.45787   -0.70302   -0.54433   6.33567   0.45787   -0.70302   -0.54433   100.19226
15   6.33399   0.45686   -0.70348   -0.54463   6.33399   0.45686   -0.70348   -0.54463   100.18311
16   6.33455   0.45784   -0.70327   -0.54396   6.33455   0.45784   -0.70327   -0.54396   100.20142
17   6.33399   0.45753   -0.70324   -0.54421   6.33399   0.45753   -0.70324   -0.54421   100.18311
18   6.33455   0.45808   -0.70333   -0.54372   6.33455   0.45808   -0.70333   -0.54372   100.21057
19   6.33455   0.45714   -0.70385   -0.54381   6.33455   0.45714   -0.70385   -0.54381   100.20142
20   6.33623   0.45796   -0.70318   -0.54390   6.33623   0.45796   -0.70318   -0.54390   100.20142
21   6.33455   0.45726   -0.70324   -0.54445   6.33455   0.45726   -0.70324   -0.54445   100.19226
22   6.33399   0.45735   -0.70357   -0.54408   6.33399   0.45735   -0.70357   -0.54408   100.18311
23   6.33567   0.45784   -0.70315   -0.54408   6.33567   0.45784   -0.70315   -0.54408   100.18311
24   6.33623   0.45793   -0.70318   -0.54402   6.33623   0.45793   -0.70318   -0.54402   100.19226
25   6.33119   0.45778   -0.70345   -0.54381   6.33119   0.45778   -0.70345   -0.54381   100.19226
26   6.33175   0.45756   -0.70305   -0.54451   6.33175   0.45756   -0.70305   -0.54451   100.18311
27   6.33343   0.45857   -0.70305   -0.54375   6.33343   0.45857   -0.70305   -0.54375   100.19226
28   6.33175   0.45784   -0.70373   -0.54329   6.33175   0.45784   -0.70373   -0.54329   100.19226
29   6.33343   0.45729   -0.70351   -0.54408   6.33343   0.45729   -0.70351   -0.54408   100.17395
30   6.33567   0.45680   -0.70391   -0.54390   6.33567   0.45680   -0.70391   -0.54390   100.20142
31   6.33567   0.45866   -0.70345   -0.54289   6.33567   0.45866   -0.70345   -0.54289   100.21973
32   6.33623   0.45763   -0.70363   -0.54357   6.33623   0.45763   -0.70363   -0.54357   100.20142
33   6.33623   0.45796   -0.70357   -0.54347   6.33623   0.45796   -0.70357   -0.54347   100.18311
34   6.33623   0.45744   -0.70363   -0.54387   6.33623   0.45744   -0.70363   -0.54387   100.18311
35   6.33287   0.45741   -0.70357   -0.54411   6.33287   0.45741   -0.70357   -0.54411   100.16785
36   6.33343   0.45790   -0.70336   -0.54375   6.33343   0.45790   -0.70336   -0.54375   100.18311
37   6.33399   0.45781   -0.70370   -0.54341   6.33399   0.45781   -0.70370   -0.54341   100.18311
38   6.33287   0.45756   -0.70388   -0.54347   6.33287   0.45756   -0.70388   -0.54347   100.20142
39   6.33343   0.45732   -0.70394   -0.54360   6.33343   0.45732   -0.70394   -0.54360   100.18311
40   6.33567   0.45720   -0.70367   -0.54399   6.33567   0.45720   -0.70367   -0.54399   100.18311
41   6.33735   0.45741   -0.70415   -0.54317   6.33735   0.45741   -0.70415   -0.54317   100.20142
42   6.33623   0.45735   -0.70409   -0.54338   6.33623   0.45735   -0.70409   -0.54338   100.19226
43   6.33511   0.45668   -0.70464   -0.54314   6.33511   0.45668   -0.70464   -0.54314   100.21973
44   6.33735   0.45814   -0.70330   -0.54363   6.33735   0.45814   -0.70330   -0.54363   100.19226
45   6.33399   0.45714   -0.70415   -0.54338   6.33399   0.45714   -0.70415   -0.54338   100.19226
46   6.33511   0.45814   -0.70382   -0.54308   6.33511   0.45814   -0.70382   -0.54308   100.21057
47   6.33567   0.45729   -0.70431   -0.54308   6.33567   0.45729   -0.70431   -0.54308   100.15869
48   6.33455   0.45689   -0.70443   -0.54323   6.33455   0.45689   -0.70443   -0.54323   100.19226
49   6.33343   0.45735   -0.70476   -0.54244   6.33343   0.45735   -0.70476   -0.54244   100.20142
50   6.33511   0.45705   -0.70464   -0.54286   6.33511   0.45705   -0.70464   -0.54286   100.19226
51   6.33791   0.45817   -0.70412   -0.54250   6.33791   0.45817   -0.70412   -0.54250   100.17395
52   6.33511   0.45805   -0.70406   -0.54274   6.33511   0.45805   -0.70406   -0.54274   100.21057
53   6.33623   0.45775   -0.70461   -0.54228   6.33623   0.45775   -0.70461   -0.54228   100.20142
54   6.33623   0.45817   -0.70403   -0.54271   6.33623   0.45817   -0.70403   -0.54271   100.20142
55   6.33511   0.45735   -0.70428   -0.54308   6.33511   0.45735   -0.70428   -0.54308   100.19226
56   6.33287   0.45814   -0.70446   -0.54228   6.33287   0.45814   -0.70446   -0.54228   100.21973
57   6.33455   0.45750   -0.70440   -0.54280   6.33455   0.45750   -0.70440   -0.54280   100.20142
58   6.33287   0.45732   -0.70415   -0.54326   6.33287   0.45732   -0.70415   -0.54326   100.19226
59   6.33063   0.45808   -0.70476   -0.54192   6.33063   0.45808   -0.70476   -0.54192   100.19226
60   6.33287   0.45714   -0.70498   -0.54237   6.33287   0.45714   -0.70498   -0.54237   100.19226
61   6.33399   0.45708   -0.70455   -0.54295   6.33399   0.45708   -0.70455   -0.54295   100.18311
62   6.33343   0.45778   -0.70461   -0.54219   6.33343   0.45778   -0.70461   -0.54219   100.20142
63   6.33623   0.45793   -0.70443   -0.54234   6.33623   0.45793   -0.70443   -0.54234   100.21057
64   6.33735   0.45759   -0.70473   -0.54228   6.33735   0.45759   -0.70473   -0.54228   100.20142
65   6.33735   0.45720   -0.70486   -0.54244   6.33735   0.45720   -0.70486   -0.54244   100.21973
66   6.33623   0.45784   -0.70476   -0.54198   6.33623   0.45784   -0.70476   -0.54198   100.21973
67   6.33623   0.45799   -0.70504   -0.54167   6.33623   0.45799   -0.70504   -0.54167   100.21057
68   6.33623   0.45830   -0.70492   -0.54140   6.33623   0.45830   -0.70492   -0.54140   100.22888
69   6.33399   0.45799   -0.70409   -0.54268   6.33399   0.45799   -0.70409   -0.54268   100.23804
70   6.33399   0.45775   -0.70467   -0.54225   6.33399   0.45775   -0.70467   -0.54225   100.20142
71   6.33511   0.45769   -0.70455   -0.54250   6.33511   0.45769   -0.70455   -0.54250   100.19226
72   6.33455   0.45817   -0.70498   -0.54137   6.33455   0.45817   -0.70498   -0.54137   100.21057
73   6.33455   0.45769   -0.70489   -0.54192   6.33455   0.45769   -0.70489   -0.54192   100.21057
74   6.33735   0.45744   -0.70510   -0.54192   6.33735   0.45744   -0.70510   -0.54192   100.19226
75   6.33791   0.45759   -0.70449   -0.54253   6.33791   0.45759   -0.70449   -0.54253   100.20142
76   6.33343   0.45778   -0.70449   -0.54259   6.33343   0.45778   -0.70449   -0.54259   100.17395
77   6.33511   0.45732   -0.70531   -0.54164   6.33511   0.45732   -0.70531   -0.54164   100.20142
78   6.33735   0.45799   -0.70495   -0.54164   6.33735   0.45799   -0.70495   -0.54164   100.21973
79   6.33343   0.45729   -0.70531   -0.54186   6.33343   0.45729   -0.70531   -0.54186   100.21057
80   6.33343   0.45833   -0.70446   -0.54201   6.33343   0.45833   -0.70446   -0.54201   100.22888
81   6.33399   0.45793   -0.70525   -0.54125   6.33399   0.45793   -0.70525   -0.54125   100.21057
82   6.33231   0.45796   -0.70516   -0.54146   6.33231   0.45796   -0.70516   -0.54146   100.20142
83   6.33231   0.45769   -0.70528   -0.54149   6.33231   0.45769   -0.70528   -0.54149   100.21973
84   6.33399   0.45738   -0.70479   -0.54241   6.33399   0.45738   -0.70479   -0.54241   100.21973
85   6.33567   0.45830   -0.70455   -0.54201   6.33567   0.45830   -0.70455   -0.54201   100.21057
86   6.33175   0.45766   -0.70528   -0.54152   6.33175   0.45766   -0.70528   -0.54152   100.20142
87   6.33455   0.45711   -0.70528   -0.54204   6.33455   0.45711   -0.70528   -0.54204   100.19226
88   6.33511   0.45729   -0.70516   -0.54201   6.33511   0.45729   -0.70516   -0.54201   100.22888
89   6.33399   0.45796   -0.70534   -0.54112   6.33399   0.45796   -0.70534   -0.54112   100.21973
90   6.33231   0.45738   -0.70519   -0.54173   6.33231   0.45738   -0.70519   -0.54173   100.22888
91   6.33511   0.45753   -0.70516   -0.54173   6.33511   0.45753   -0.70516   -0.54173   100.20142
92   6.33343   0.45915   -0.70504   -0.54054   6.33343   0.45915   -0.70504   -0.54054   100.21057
93   6.33231   0.45756   -0.70531   -0.54161   6.33231   0.45756   -0.70531   -0.54161   100.21973
94   6.33343   0.45741   -0.70534   -0.54161   6.33343   0.45741   -0.70534   -0.54161   100.18311
95   6.33399   0.45753   -0.70513   -0.54180   6.33399   0.45753   -0.70513   -0.54180   100.20142
96   6.33567   0.45830   -0.70501   -0.54143   6.33567   0.45830   -0.70501   -0.54143   100.21057
97   6.33399   0.45750   -0.70540   -0.54161   6.33399   0.45750   -0.70540   -0.54161   100.20142
98   6.33455   0.45787   -0.70531   -0.54143   6.33455   0.45787   -0.70531   -0.54143   100.19226
99   6.33567   0.45701   -0.70577   -0.54140   6.33567   0.45701   -0.70577   -0.54140   100.20142
100   6.33399   0.45763   -0.70495   -0.54198   6.33399   0.45763   -0.70495   -0.54198   100.21057
101   6.33623   0.45653   -0.70589   -0.54161   6.33623   0.45653   -0.70589   -0.54161   100.19226
102   6.33567   0.45772   -0.70553   -0.54122   6.33567   0.45772   -0.70553   -0.54122   100.20142
103   6.33399   0.45799   -0.70513   -0.54146   6.33399   0.45799   -0.70513   -0.54146   100.19226
104   6.33399   0.45735   -0.70556   -0.54149   6.33399   0.45735   -0.70556   -0.54149   100.19226
105   6.33735   0.45787   -0.70562   -0.54094   6.33735   0.45787   -0.70562   -0.54094   100.21057
106   6.33735   0.45729   -0.70583   -0.54100   6.33735   0.45729   -0.70583   -0.54100   100.21973
107   6.33511   0.45723   -0.70550   -0.54155   6.33511   0.45723   -0.70550   -0.54155   100.19226
108   6.33623   0.45827   -0.70513   -0.54103   6.33623   0.45827   -0.70513   -0.54103   100.21973
109   6.33679   0.45723   -0.70592   -0.54106   6.33679   0.45723   -0.70592   -0.54106   100.21973
110   6.33343   0.45763   -0.70568   -0.54094   6.33343   0.45763   -0.70568   -0.54094   100.20142
111   6.33343   0.45814   -0.70568   -0.54064   6.33343   0.45814   -0.70568   -0.54064   100.21057
112   6.33399   0.45778   -0.70589   -0.54057   6.33399   0.45778   -0.70589   -0.54057   100.22888
113   6.33231   0.45790   -0.70577   -0.54070   6.33231   0.45790   -0.70577   -0.54070   100.20142
114   6.33343   0.45848   -0.70547   -0.54070   6.33343   0.45848   -0.70547   -0.54070   100.20142
115   6.33679   0.45796   -0.70574   -0.54070   6.33679   0.45796   -0.70574   -0.54070   100.21057
116   6.33567   0.45747   -0.70568   -0.54122   6.33567   0.45747   -0.70568   -0.54122   100.18311
117   6.33623   0.45769   -0.70571   -0.54076   6.33623   0.45769   -0.70571   -0.54076   100.22888
118   6.33679   0.45842   -0.70562   -0.54036   6.33679   0.45842   -0.70562   -0.54036   100.21057
119   6.33791   0.45811   -0.70580   -0.54045   6.33791   0.45811   -0.70580   -0.54045   100.21057
120   6.33455   0.45848   -0.70528   -0.54076   6.33455   0.45848   -0.70528   -0.54076   100.20142
121   6.33343   0.45775   -0.70574   -0.54076   6.33343   0.45775   -0.70574   -0.54076   100.19226
122   6.33343   0.45830   -0.70492   -0.54152   6.33343   0.45830   -0.70492   -0.54152   100.21057
123   6.33399   0.45784   -0.70568   -0.54091   6.33399   0.45784   -0.70568   -0.54091   100.21057
124   6.33287   0.45711   -0.70644   -0.54048   6.33287   0.45711   -0.70644   -0.54048   100.17395
125   6.33399   0.45784   -0.70550   -0.54109   6.33399   0.45784   -0.70550   -0.54109   100.22888
