Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 14:35:17 6/16/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   3.91717   0.36274   -0.72741   -0.58251   3.91717   0.36274   -0.72741   -0.58251   100.35706
2   3.91774   0.36164   -0.72655   -0.58425   3.91774   0.36164   -0.72655   -0.58425   100.28381
3   3.91717   0.36149   -0.72686   -0.58397   3.91717   0.36149   -0.72686   -0.58397   100.28381
4   3.91774   0.36079   -0.72759   -0.58364   3.91774   0.36079   -0.72759   -0.58364   100.31433
5   3.91717   0.36076   -0.72805   -0.58300   3.91717   0.36076   -0.72805   -0.58300   100.44250
6   3.91885   0.36003   -0.72710   -0.58461   3.91885   0.36003   -0.72710   -0.58461   100.31128
7   3.91997   0.35987   -0.72735   -0.58434   3.91997   0.35987   -0.72735   -0.58434   100.31128
8   3.91774   0.35960   -0.72732   -0.58470   3.91774   0.35960   -0.72732   -0.58470   100.29907
9   3.91662   0.36021   -0.72713   -0.58440   3.91662   0.36021   -0.72713   -0.58440   100.32654
10   3.91717   0.36128   -0.72658   -0.58446   3.91717   0.36128   -0.72658   -0.58446   100.29907
11   3.91662   0.36183   -0.72634   -0.58443   3.91662   0.36183   -0.72634   -0.58443   100.31433
12   3.91662   0.36241   -0.72662   -0.58385   3.91662   0.36241   -0.72662   -0.58385   100.32654
13   3.91829   0.36042   -0.72744   -0.58376   3.91829   0.36042   -0.72744   -0.58376   100.36926
14   3.91774   0.35817   -0.72796   -0.58458   3.91774   0.35817   -0.72796   -0.58458   100.34180
15   3.91829   0.35838   -0.72814   -0.58431   3.91829   0.35838   -0.72814   -0.58431   100.35706
16   3.91885   0.35859   -0.72759   -0.58495   3.91885   0.35859   -0.72759   -0.58495   100.28381
17   3.91717   0.36027   -0.72716   -0.58422   3.91717   0.36027   -0.72716   -0.58422   100.28381
18   3.91717   0.36058   -0.72655   -0.58516   3.91717   0.36058   -0.72655   -0.58516   100.31433
19   3.91941   0.36134   -0.72655   -0.58446   3.91941   0.36134   -0.72655   -0.58446   100.25635
20   3.91605   0.36152   -0.72649   -0.58461   3.91605   0.36152   -0.72649   -0.58461   100.24109
21   3.91717   0.36152   -0.72619   -0.58483   3.91717   0.36152   -0.72619   -0.58483   100.31433
22   3.91774   0.36171   -0.72671   -0.58425   3.91774   0.36171   -0.72671   -0.58425   100.29907
23   3.91662   0.36201   -0.72643   -0.58415   3.91662   0.36201   -0.72643   -0.58415   100.29907
24   3.91774   0.36201   -0.72707   -0.58330   3.91774   0.36201   -0.72707   -0.58330   100.38452
