Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   3.91829   0.36064   -0.73672   -0.57225   3.91829   0.36064   -0.73672   -0.57225   100.39978
2   3.91717   0.36006   -0.73638   -0.57292   3.91717   0.36006   -0.73638   -0.57292   100.38452
3   3.91717   0.36070   -0.73650   -0.57231   3.91717   0.36070   -0.73650   -0.57231   100.36926
4   3.91717   0.36076   -0.73705   -0.57149   3.91717   0.36076   -0.73705   -0.57149   100.41199
5   3.91550   0.36064   -0.73632   -0.57277   3.91550   0.36064   -0.73632   -0.57277   100.36926
6   3.91605   0.36052   -0.73635   -0.57271   3.91605   0.36052   -0.73635   -0.57271   100.39978
7   3.91550   0.36186   -0.73620   -0.57207   3.91550   0.36186   -0.73620   -0.57207   100.39978
8   3.91717   0.36180   -0.73635   -0.57192   3.91717   0.36180   -0.73635   -0.57192   100.38452
9   3.91717   0.36189   -0.73641   -0.57173   3.91717   0.36189   -0.73641   -0.57173   100.45471
10   3.91717   0.36021   -0.73614   -0.57311   3.91717   0.36021   -0.73614   -0.57311   100.42725
11   3.91605   0.36143   -0.73617   -0.57219   3.91605   0.36143   -0.73617   -0.57219   100.38452
12   3.91885   0.36003   -0.73611   -0.57332   3.91885   0.36003   -0.73611   -0.57332   100.42725
13   3.91885   0.36082   -0.73601   -0.57274   3.91885   0.36082   -0.73601   -0.57274   100.41199
14   3.91829   0.36125   -0.73583   -0.57271   3.91829   0.36125   -0.73583   -0.57271   100.39978
15   3.91717   0.36222   -0.73592   -0.57228   3.91717   0.36222   -0.73592   -0.57228   100.39978
16   3.91550   0.36225   -0.73577   -0.57207   3.91550   0.36225   -0.73577   -0.57207   100.41199
17   3.91662   0.36155   -0.73547   -0.57314   3.91662   0.36155   -0.73547   -0.57314   100.35706
18   3.91662   0.36229   -0.73565   -0.57237   3.91662   0.36229   -0.73565   -0.57237   100.41199
19   3.91662   0.36131   -0.73528   -0.57353   3.91662   0.36131   -0.73528   -0.57353   100.38452
20   3.91605   0.36198   -0.73531   -0.57295   3.91605   0.36198   -0.73531   -0.57295   100.44250
21   3.91774   0.36198   -0.73531   -0.57295   3.91774   0.36198   -0.73531   -0.57295   100.39978
22   3.91717   0.36073   -0.73571   -0.57329   3.91717   0.36073   -0.73571   -0.57329   100.42725
