Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 15:6:56 6/15/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   3.83880   -0.07218   0.56743   -0.82037   3.83880   -0.07218   0.56743   -0.82037   99.93896
2   3.83936   -0.07147   0.56722   -0.82043   3.83936   -0.07147   0.56722   -0.82043   99.92676
3   3.84216   -0.07001   0.56789   -0.82018   3.84216   -0.07001   0.56789   -0.82018   99.89624
4   3.84160   -0.07062   0.56798   -0.82009   3.84160   -0.07062   0.56798   -0.82009   99.88098
5   3.84328   -0.07120   0.56627   -0.82131   3.84328   -0.07120   0.56627   -0.82131   99.88098
6   3.84104   -0.07263   0.56691   -0.82064   3.84104   -0.07263   0.56691   -0.82064   99.89624
7   3.83992   -0.07367   0.56691   -0.82055   3.83992   -0.07367   0.56691   -0.82055   99.95422
8   3.84160   -0.07373   0.56670   -0.82076   3.84160   -0.07373   0.56670   -0.82076   99.89624
9   3.84216   -0.07279   0.56743   -0.82046   3.84216   -0.07279   0.56743   -0.82046   99.88098
10   3.83992   -0.07410   0.56758   -0.82000   3.83992   -0.07410   0.56758   -0.82000   99.98474
11   3.84104   -0.07239   0.57006   -0.81841   3.84104   -0.07239   0.57006   -0.81841   99.91150
12   3.84104   -0.07294   0.57054   -0.81811   3.84104   -0.07294   0.57054   -0.81811   99.89624
13   3.84216   -0.07300   0.57091   -0.81793   3.84216   -0.07300   0.57091   -0.81793   99.86877
14   3.84160   -0.07520   0.57140   -0.81744   3.84160   -0.07520   0.57140   -0.81744   99.92676
15   3.84160   -0.07480   0.57335   -0.81588   3.84160   -0.07480   0.57335   -0.81588   99.92676
16   3.84272   -0.07416   0.57353   -0.81594   3.84272   -0.07416   0.57353   -0.81594   99.89624
17   3.84272   -0.07376   0.57329   -0.81600   3.84272   -0.07376   0.57329   -0.81600   99.88098
18   3.84272   -0.07578   0.57326   -0.81603   3.84272   -0.07578   0.57326   -0.81603   99.93896
19   3.84104   -0.07529   0.57265   -0.81637   3.84104   -0.07529   0.57265   -0.81637   99.92676
20   3.84104   -0.07321   0.57347   -0.81606   3.84104   -0.07321   0.57347   -0.81606   99.93896
21   3.84160   -0.07266   0.57268   -0.81652   3.84160   -0.07266   0.57268   -0.81652   99.89624
22   3.83992   -0.07260   0.57372   -0.81588   3.83992   -0.07260   0.57372   -0.81588   99.95422
23   3.84160   -0.07373   0.57302   -0.81628   3.84160   -0.07373   0.57302   -0.81628   99.92676
24   3.84048   -0.07620   0.57256   -0.81640   3.84048   -0.07620   0.57256   -0.81640   99.93896
25   3.84104   -0.07639   0.57244   -0.81652   3.84104   -0.07639   0.57244   -0.81652   99.91150
26   3.84216   -0.07651   0.57186   -0.81689   3.84216   -0.07651   0.57186   -0.81689   99.88098
27   3.84160   -0.07535   0.57320   -0.81600   3.84160   -0.07535   0.57320   -0.81600   99.91150
28   3.84272   -0.07392   0.57402   -0.81561   3.84272   -0.07392   0.57402   -0.81561   99.92676
29   3.84272   -0.07370   0.57283   -0.81649   3.84272   -0.07370   0.57283   -0.81649   99.86877
30   3.84048   -0.07593   0.57292   -0.81606   3.84048   -0.07593   0.57292   -0.81606   99.91150
31   3.84160   -0.07633   0.57125   -0.81735   3.84160   -0.07633   0.57125   -0.81735   99.89624
32   3.84160   -0.07584   0.57176   -0.81707   3.84160   -0.07584   0.57176   -0.81707   99.88098
33   3.84272   -0.07520   0.57222   -0.81677   3.84272   -0.07520   0.57222   -0.81677   99.92676
34   3.83992   -0.07276   0.57332   -0.81631   3.83992   -0.07276   0.57332   -0.81631   99.92676
35   3.84160   -0.07205   0.57186   -0.81741   3.84160   -0.07205   0.57186   -0.81741   99.91150
36   3.84328   -0.07160   0.57146   -0.81759   3.84328   -0.07160   0.57146   -0.81759   99.91150
37   3.84160   -0.07114   0.57207   -0.81726   3.84160   -0.07114   0.57207   -0.81726   99.92676
38   3.84384   -0.07263   0.57204   -0.81713   3.84384   -0.07263   0.57204   -0.81713   99.86877
39   3.84104   -0.07254   0.57088   -0.81780   3.84104   -0.07254   0.57088   -0.81780   99.89624
40   3.84048   -0.07208   0.57082   -0.81793   3.84048   -0.07208   0.57082   -0.81793   99.88098
41   3.84104   -0.07221   0.57064   -0.81808   3.84104   -0.07221   0.57064   -0.81808   99.89624
42   3.84048   -0.07273   0.57039   -0.81823   3.84048   -0.07273   0.57039   -0.81823   99.93896
43   3.84048   -0.07248   0.56911   -0.81921   3.84048   -0.07248   0.56911   -0.81921   99.89624
44   3.84104   -0.07215   0.56935   -0.81899   3.84104   -0.07215   0.56935   -0.81899   99.88098
45   3.84272   -0.07300   0.57036   -0.81826   3.84272   -0.07300   0.57036   -0.81826   99.86877
46   3.84216   -0.07352   0.57030   -0.81826   3.84216   -0.07352   0.57030   -0.81826   99.91150
47   3.84216   -0.07218   0.56999   -0.81869   3.84216   -0.07218   0.56999   -0.81869   99.89624
48   3.84328   -0.07202   0.57030   -0.81835   3.84328   -0.07202   0.57030   -0.81835   99.88098
