Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   3.83992   -0.06943   0.56047   -0.82546   3.83992   -0.06943   0.56047   -0.82546   99.88098
2   3.83824   -0.06638   0.56078   -0.82540   3.83824   -0.06638   0.56078   -0.82540   99.92676
3   3.83992   -0.06626   0.55998   -0.82595   3.83992   -0.06626   0.55998   -0.82595   99.92676
4   3.84048   -0.06558   0.55986   -0.82614   3.84048   -0.06558   0.55986   -0.82614   99.89624
5   3.84104   -0.06650   0.55974   -0.82617   3.84104   -0.06650   0.55974   -0.82617   99.88098
6   3.83992   -0.06738   0.55992   -0.82595   3.83992   -0.06738   0.55992   -0.82595   99.91150
7   3.83936   -0.06684   0.56063   -0.82553   3.83936   -0.06684   0.56063   -0.82553   99.89624
8   3.84216   -0.06583   0.55965   -0.82635   3.84216   -0.06583   0.55965   -0.82635   99.83826
9   3.84104   -0.06653   0.56014   -0.82595   3.84104   -0.06653   0.56014   -0.82595   99.91150
10   3.84048   -0.06604   0.56053   -0.82562   3.84048   -0.06604   0.56053   -0.82562   99.89624
11   3.84104   -0.06735   0.55919   -0.82647   3.84104   -0.06735   0.55919   -0.82647   99.89624
12   3.83936   -0.06659   0.55852   -0.82693   3.83936   -0.06659   0.55852   -0.82693   99.85352
13   3.84104   -0.06784   0.55965   -0.82604   3.84104   -0.06784   0.55965   -0.82604   99.83826
14   3.84160   -0.06729   0.55992   -0.82595   3.84160   -0.06729   0.55992   -0.82595   99.85352
15   3.84048   -0.06720   0.56001   -0.82586   3.84048   -0.06720   0.56001   -0.82586   99.88098
16   3.83992   -0.06693   0.56008   -0.82583   3.83992   -0.06693   0.56008   -0.82583   99.91150
17   3.83936   -0.06659   0.56017   -0.82580   3.83936   -0.06659   0.56017   -0.82580   99.88098
18   3.84048   -0.06699   0.55998   -0.82592   3.84048   -0.06699   0.55998   -0.82592   99.89624
19   3.83936   -0.06668   0.55953   -0.82623   3.83936   -0.06668   0.55953   -0.82623   99.89624
20   3.84104   -0.06714   0.55876   -0.82656   3.84104   -0.06714   0.55876   -0.82656   99.88098
21   3.83824   -0.06754   0.56026   -0.82565   3.83824   -0.06754   0.56026   -0.82565   99.91150
22   3.83824   -0.06656   0.56066   -0.82546   3.83824   -0.06656   0.56066   -0.82546   99.93896
23   3.84048   -0.06668   0.56047   -0.82562   3.84048   -0.06668   0.56047   -0.82562   99.91150
24   3.84048   -0.06702   0.56069   -0.82540   3.84048   -0.06702   0.56069   -0.82540   99.88098
25   3.84048   -0.06665   0.56029   -0.82580   3.84048   -0.06665   0.56029   -0.82580   99.91150
26   3.84048   -0.06796   0.56087   -0.82534   3.84048   -0.06796   0.56087   -0.82534   99.89624
27   3.84048   -0.06711   0.56069   -0.82537   3.84048   -0.06711   0.56069   -0.82537   99.89624
28   3.84104   -0.06839   0.56084   -0.82531   3.84104   -0.06839   0.56084   -0.82531   99.92676
29   3.84048   -0.06803   0.56059   -0.82543   3.84048   -0.06803   0.56059   -0.82543   99.89624
30   3.83936   -0.06790   0.56084   -0.82522   3.83936   -0.06790   0.56084   -0.82522   99.88098
31   3.84048   -0.06793   0.56124   -0.82501   3.84048   -0.06793   0.56124   -0.82501   99.88098
32   3.83992   -0.06763   0.56035   -0.82553   3.83992   -0.06763   0.56035   -0.82553   99.89624
33   3.83880   -0.06778   0.56218   -0.82424   3.83880   -0.06778   0.56218   -0.82424   99.93896
34   3.83880   -0.06784   0.56114   -0.82513   3.83880   -0.06784   0.56114   -0.82513   99.89624
35   3.83880   -0.06833   0.56041   -0.82543   3.83880   -0.06833   0.56041   -0.82543   99.88098
36   3.83936   -0.06836   0.56081   -0.82519   3.83936   -0.06836   0.56081   -0.82519   99.92676
37   3.84160   -0.06757   0.56127   -0.82498   3.84160   -0.06757   0.56127   -0.82498   99.85352
38   3.84160   -0.06778   0.56163   -0.82476   3.84160   -0.06778   0.56163   -0.82476   99.88098
39   3.84048   -0.06668   0.56154   -0.82498   3.84048   -0.06668   0.56154   -0.82498   99.85352
40   3.83880   -0.06623   0.56307   -0.82385   3.83880   -0.06623   0.56307   -0.82385   99.91150
41   3.84104   -0.06677   0.56249   -0.82418   3.84104   -0.06677   0.56249   -0.82418   99.89624
42   3.83992   -0.06723   0.56160   -0.82485   3.83992   -0.06723   0.56160   -0.82485   99.91150
43   3.83936   -0.06848   0.56169   -0.82449   3.83936   -0.06848   0.56169   -0.82449   99.89624
44   3.83768   -0.06781   0.56142   -0.82485   3.83768   -0.06781   0.56142   -0.82485   99.92676
45   3.83880   -0.06616   0.56200   -0.82473   3.83880   -0.06616   0.56200   -0.82473   99.92676
46   3.83992   -0.06656   0.56221   -0.82446   3.83992   -0.06656   0.56221   -0.82446   99.91150
47   3.83992   -0.06516   0.56230   -0.82449   3.83992   -0.06516   0.56230   -0.82449   99.91150
48   3.84048   -0.06647   0.56160   -0.82488   3.84048   -0.06647   0.56160   -0.82488   99.91150
49   3.84160   -0.06751   0.56017   -0.82568   3.84160   -0.06751   0.56017   -0.82568   99.86877
50   3.83936   -0.06934   0.56108   -0.82485   3.83936   -0.06934   0.56108   -0.82485   99.92676
51   3.83992   -0.06873   0.56014   -0.82565   3.83992   -0.06873   0.56014   -0.82565   99.91150
52   3.83936   -0.06839   0.56172   -0.82467   3.83936   -0.06839   0.56172   -0.82467   99.91150
53   3.83936   -0.06790   0.56188   -0.82449   3.83936   -0.06790   0.56188   -0.82449   99.93896
54   3.83936   -0.06714   0.56139   -0.82492   3.83936   -0.06714   0.56139   -0.82492   99.88098
55   3.83936   -0.06708   0.56157   -0.82476   3.83936   -0.06708   0.56157   -0.82476   99.86572
56   3.83936   -0.06775   0.56136   -0.82488   3.83936   -0.06775   0.56136   -0.82488   99.92676
57   3.83992   -0.06967   0.56157   -0.82473   3.83992   -0.06967   0.56157   -0.82473   99.89624
58   3.83880   -0.06909   0.56075   -0.82522   3.83880   -0.06909   0.56075   -0.82522   99.93896
59   3.83936   -0.06909   0.56145   -0.82470   3.83936   -0.06909   0.56145   -0.82470   99.91150
60   3.83992   -0.06842   0.56227   -0.82424   3.83992   -0.06842   0.56227   -0.82424   99.92676
61   3.84048   -0.06662   0.56185   -0.82467   3.84048   -0.06662   0.56185   -0.82467   99.88098
62   3.83992   -0.06732   0.56221   -0.82424   3.83992   -0.06732   0.56221   -0.82424   99.89624
63   3.84048   -0.06742   0.56157   -0.82485   3.84048   -0.06742   0.56157   -0.82485   99.89624
64   3.83936   -0.06827   0.56273   -0.82388   3.83936   -0.06827   0.56273   -0.82388   99.88098
65   3.83880   -0.06659   0.56230   -0.82440   3.83880   -0.06659   0.56230   -0.82440   99.92676
66   3.83992   -0.06659   0.56291   -0.82403   3.83992   -0.06659   0.56291   -0.82403   99.83826
67   3.84048   -0.06525   0.56133   -0.82513   3.84048   -0.06525   0.56133   -0.82513   99.83826
68   3.83992   -0.06500   0.56240   -0.82440   3.83992   -0.06500   0.56240   -0.82440   99.89624
69   3.83992   -0.06714   0.56255   -0.82409   3.83992   -0.06714   0.56255   -0.82409   99.93896
70   3.84104   -0.06479   0.56261   -0.82437   3.84104   -0.06479   0.56261   -0.82437   99.89624
71   3.84216   -0.06583   0.56111   -0.82525   3.84216   -0.06583   0.56111   -0.82525   99.83826
72   3.84104   -0.06543   0.56163   -0.82492   3.84104   -0.06543   0.56163   -0.82492   99.89624
73   3.84048   -0.06635   0.56111   -0.82525   3.84048   -0.06635   0.56111   -0.82525   99.85352
74   3.84048   -0.06589   0.56243   -0.82430   3.84048   -0.06589   0.56243   -0.82430   99.92676
75   3.84048   -0.06577   0.56249   -0.82424   3.84048   -0.06577   0.56249   -0.82424   99.88098
76   3.83992   -0.06552   0.56310   -0.82406   3.83992   -0.06552   0.56310   -0.82406   99.91150
77   3.83992   -0.06635   0.56322   -0.82394   3.83992   -0.06635   0.56322   -0.82394   99.83826
78   3.83992   -0.06653   0.56322   -0.82366   3.83992   -0.06653   0.56322   -0.82366   99.89624
79   3.83936   -0.06592   0.56273   -0.82403   3.83936   -0.06592   0.56273   -0.82403   99.88098
80   3.83936   -0.06623   0.56224   -0.82452   3.83936   -0.06623   0.56224   -0.82452   99.86572
81   3.84104   -0.06638   0.56224   -0.82446   3.84104   -0.06638   0.56224   -0.82446   99.88098
82   3.84216   -0.06659   0.56111   -0.82519   3.84216   -0.06659   0.56111   -0.82519   99.85352
83   3.84160   -0.06629   0.56233   -0.82434   3.84160   -0.06629   0.56233   -0.82434   99.86877
84   3.84160   -0.06623   0.56197   -0.82452   3.84160   -0.06623   0.56197   -0.82452   99.86877
85   3.83992   -0.06552   0.56288   -0.82409   3.83992   -0.06552   0.56288   -0.82409   99.88098
86   3.83992   -0.06558   0.56386   -0.82351   3.83992   -0.06558   0.56386   -0.82351   99.85352
87   3.83936   -0.06613   0.56331   -0.82379   3.83936   -0.06613   0.56331   -0.82379   99.93896
88   3.83992   -0.06668   0.56331   -0.82376   3.83992   -0.06668   0.56331   -0.82376   99.91150
89   3.83992   -0.06641   0.56252   -0.82421   3.83992   -0.06641   0.56252   -0.82421   99.89624
90   3.83992   -0.06702   0.56343   -0.82363   3.83992   -0.06702   0.56343   -0.82363   99.86877
91   3.84104   -0.06555   0.56319   -0.82376   3.84104   -0.06555   0.56319   -0.82376   99.89624
92   3.83992   -0.06659   0.56294   -0.82376   3.83992   -0.06659   0.56294   -0.82376   99.89624
93   3.83992   -0.06687   0.56328   -0.82376   3.83992   -0.06687   0.56328   -0.82376   99.91150
94   3.83880   -0.06601   0.56304   -0.82388   3.83880   -0.06601   0.56304   -0.82388   99.95422
95   3.83992   -0.06653   0.56249   -0.82421   3.83992   -0.06653   0.56249   -0.82421   99.88098
96   3.83992   -0.06638   0.56169   -0.82479   3.83992   -0.06638   0.56169   -0.82479   99.92676
97   3.84048   -0.06671   0.56279   -0.82385   3.84048   -0.06671   0.56279   -0.82385   99.93896
98   3.83992   -0.06635   0.56352   -0.82354   3.83992   -0.06635   0.56352   -0.82354   99.91150
99   3.83992   -0.06586   0.56288   -0.82403   3.83992   -0.06586   0.56288   -0.82403   99.93896
100   3.83992   -0.06574   0.56230   -0.82449   3.83992   -0.06574   0.56230   -0.82449   99.86877
101   3.84104   -0.06708   0.56291   -0.82388   3.84104   -0.06708   0.56291   -0.82388   99.92676
102   3.84048   -0.06589   0.56224   -0.82427   3.84048   -0.06589   0.56224   -0.82427   99.92676
103   3.84104   -0.06638   0.56252   -0.82434   3.84104   -0.06638   0.56252   -0.82434   99.89624
