Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 15:23:35 6/15/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   3.74810   -0.93680   -0.30476   -0.17258   3.74810   -0.93680   -0.30476   -0.17258   99.25232
2   3.74755   -0.93603   -0.30546   -0.17454   3.74755   -0.93603   -0.30546   -0.17454   99.29504
3   3.74866   -0.93658   -0.30537   -0.17206   3.74866   -0.93658   -0.30537   -0.17206   99.29504
4   3.74922   -0.93667   -0.30528   -0.17237   3.74922   -0.93667   -0.30528   -0.17237   99.28284
5   3.74866   -0.93646   -0.30482   -0.17368   3.74866   -0.93646   -0.30482   -0.17368   99.28284
6   3.74810   -0.93664   -0.30415   -0.17374   3.74810   -0.93664   -0.30415   -0.17374   99.26758
7   3.74755   -0.93643   -0.30506   -0.17292   3.74755   -0.93643   -0.30506   -0.17292   99.28284
8   3.74866   -0.93597   -0.30586   -0.17414   3.74866   -0.93597   -0.30586   -0.17414   99.25232
9   3.74755   -0.93667   -0.30445   -0.17365   3.74755   -0.93667   -0.30445   -0.17365   99.26758
10   3.74922   -0.93643   -0.30528   -0.17295   3.74922   -0.93643   -0.30528   -0.17295   99.28284
11   3.74866   -0.93631   -0.30525   -0.17408   3.74866   -0.93631   -0.30525   -0.17408   99.25232
12   3.74978   -0.93680   -0.30372   -0.17335   3.74978   -0.93680   -0.30372   -0.17335   99.25232
13   3.74978   -0.93670   -0.30485   -0.17289   3.74978   -0.93670   -0.30485   -0.17289   99.25232
14   3.74978   -0.93628   -0.30515   -0.17383   3.74978   -0.93628   -0.30515   -0.17383   99.26758
15   3.74810   -0.93643   -0.30448   -0.17389   3.74810   -0.93643   -0.30448   -0.17389   99.28284
16   3.74866   -0.93667   -0.30470   -0.17313   3.74866   -0.93667   -0.30470   -0.17313   99.26758
17   3.74866   -0.93631   -0.30497   -0.17365   3.74866   -0.93631   -0.30497   -0.17365   99.29504
18   3.74810   -0.93692   -0.30342   -0.17338   3.74810   -0.93692   -0.30342   -0.17338   99.26758
19   3.74755   -0.93674   -0.30430   -0.17273   3.74755   -0.93674   -0.30430   -0.17273   99.29504
20   3.74755   -0.93652   -0.30436   -0.17435   3.74755   -0.93652   -0.30436   -0.17435   99.26758
21   3.74810   -0.93628   -0.30488   -0.17432   3.74810   -0.93628   -0.30488   -0.17432   99.25232
22   3.74810   -0.93634   -0.30583   -0.17252   3.74810   -0.93634   -0.30583   -0.17252   99.25232
23   3.74866   -0.93603   -0.30589   -0.17359   3.74866   -0.93603   -0.30589   -0.17359   99.29504
24   3.74922   -0.93616   -0.30610   -0.17319   3.74922   -0.93616   -0.30610   -0.17319   99.22180
25   3.74922   -0.93616   -0.30561   -0.17389   3.74922   -0.93616   -0.30561   -0.17389   99.28284
26   3.74866   -0.93704   -0.30354   -0.17289   3.74866   -0.93704   -0.30354   -0.17289   99.25232
27   3.74698   -0.93667   -0.30409   -0.17386   3.74698   -0.93667   -0.30409   -0.17386   99.27979
28   3.74922   -0.93661   -0.30476   -0.17301   3.74922   -0.93661   -0.30476   -0.17301   99.26758
29   3.74755   -0.93640   -0.30482   -0.17402   3.74755   -0.93640   -0.30482   -0.17402   99.26758
30   3.74755   -0.93612   -0.30580   -0.17328   3.74755   -0.93612   -0.30580   -0.17328   99.28284
31   3.74755   -0.93622   -0.30567   -0.17389   3.74755   -0.93622   -0.30567   -0.17389   99.25232
32   3.74755   -0.93622   -0.30625   -0.17298   3.74755   -0.93622   -0.30625   -0.17298   99.28284
33   3.74978   -0.93674   -0.30412   -0.17350   3.74978   -0.93674   -0.30412   -0.17350   99.25232
34   3.74810   -0.93658   -0.30512   -0.17255   3.74810   -0.93658   -0.30512   -0.17255   99.25232
35   3.74922   -0.93689   -0.30384   -0.17304   3.74922   -0.93689   -0.30384   -0.17304   99.26758
36   3.74810   -0.93710   -0.30342   -0.17335   3.74810   -0.93710   -0.30342   -0.17335   99.23706
