Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   3.79009   0.92224   0.35478   0.15513   3.79009   0.92224   0.35478   0.15513   99.21570
2   3.78897   0.92245   0.35371   0.15558   3.78897   0.92245   0.35371   0.15558   99.23096
3   3.78953   0.92224   0.35493   0.15506   3.78953   0.92224   0.35493   0.15506   99.20044
4   3.78785   0.92187   0.35484   0.15638   3.78785   0.92187   0.35484   0.15638   99.27368
5   3.79009   0.92199   0.35511   0.15549   3.79009   0.92199   0.35511   0.15549   99.21570
6   3.79065   0.92239   0.35435   0.15494   3.79065   0.92239   0.35435   0.15494   99.23096
7   3.79009   0.92196   0.35588   0.15452   3.79009   0.92196   0.35588   0.15452   99.20044
8   3.79065   0.92273   0.35371   0.15500   3.79065   0.92273   0.35371   0.15500   99.20044
9   3.78785   0.92215   0.35459   0.15607   3.78785   0.92215   0.35459   0.15607   99.23096
10   3.78785   0.92218   0.35426   0.15613   3.78785   0.92218   0.35426   0.15613   99.25842
11   3.78953   0.92190   0.35493   0.15622   3.78953   0.92190   0.35493   0.15622   99.18518
12   3.79009   0.92187   0.35557   0.15519   3.79009   0.92187   0.35557   0.15519   99.21570
13   3.78897   0.92190   0.35514   0.15589   3.78897   0.92190   0.35514   0.15589   99.23096
14   3.79009   0.92239   0.35463   0.15531   3.79009   0.92239   0.35463   0.15531   99.16992
15   3.78953   0.92218   0.35459   0.15567   3.78953   0.92218   0.35459   0.15567   99.18518
16   3.79009   0.92199   0.35533   0.15537   3.79009   0.92199   0.35533   0.15537   99.24622
17   3.79009   0.92242   0.35466   0.15458   3.79009   0.92242   0.35466   0.15458   99.20044
18   3.78897   0.92230   0.35438   0.15552   3.78897   0.92230   0.35438   0.15552   99.25842
19   3.78953   0.92209   0.35563   0.15424   3.78953   0.92209   0.35563   0.15424   99.21570
20   3.78897   0.92227   0.35417   0.15543   3.78897   0.92227   0.35417   0.15543   99.18518
21   3.79065   0.92264   0.35380   0.15470   3.79065   0.92264   0.35380   0.15470   99.20044
22   3.78841   0.92187   0.35517   0.15571   3.78841   0.92187   0.35517   0.15571   99.23096
23   3.78785   0.92254   0.35377   0.15598   3.78785   0.92254   0.35377   0.15598   99.24622
24   3.79009   0.92257   0.35398   0.15485   3.79009   0.92257   0.35398   0.15485   99.16992
25   3.79065   0.92227   0.35459   0.15516   3.79065   0.92227   0.35459   0.15516   99.20044
26   3.79065   0.92212   0.35505   0.15549   3.79065   0.92212   0.35505   0.15549   99.23096
27   3.79009   0.92236   0.35420   0.15494   3.79009   0.92236   0.35420   0.15494   99.23096
28   3.79065   0.92270   0.35356   0.15491   3.79065   0.92270   0.35356   0.15491   99.21570
29   3.78897   0.92218   0.35426   0.15595   3.78897   0.92218   0.35426   0.15595   99.23096
