Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 15:28:35 6/15/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   3.72011   0.04669   -0.54891   0.83480   3.72011   0.04669   -0.54891   0.83480   100.57068
2   3.72011   0.04764   -0.54949   0.83413   3.72011   0.04764   -0.54949   0.83413   100.60120
3   3.72011   0.04712   -0.54936   0.83453   3.72011   0.04712   -0.54936   0.83453   100.58594
4   3.72123   0.04706   -0.54921   0.83462   3.72123   0.04706   -0.54921   0.83462   100.61646
5   3.72179   0.04706   -0.54976   0.83407   3.72179   0.04706   -0.54976   0.83407   100.58594
6   3.72011   0.04700   -0.54985   0.83401   3.72011   0.04700   -0.54985   0.83401   100.60120
7   3.72067   0.04724   -0.54878   0.83465   3.72067   0.04724   -0.54878   0.83465   100.60120
8   3.72011   0.04767   -0.54912   0.83450   3.72011   0.04767   -0.54912   0.83450   100.61646
9   3.72067   0.04651   -0.54918   0.83450   3.72067   0.04651   -0.54918   0.83450   100.61646
10   3.72067   0.04633   -0.54930   0.83438   3.72067   0.04633   -0.54930   0.83438   100.63171
11   3.72011   0.04700   -0.54918   0.83450   3.72011   0.04700   -0.54918   0.83450   100.60120
12   3.72123   0.04791   -0.54958   0.83422   3.72123   0.04791   -0.54958   0.83422   100.60120
13   3.72123   0.04682   -0.54912   0.83441   3.72123   0.04682   -0.54912   0.83441   100.55542
14   3.72067   0.04645   -0.55022   0.83389   3.72067   0.04645   -0.55022   0.83389   100.60120
15   3.72011   0.04694   -0.55013   0.83392   3.72011   0.04694   -0.55013   0.83392   100.60120
16   3.72011   0.04733   -0.55016   0.83389   3.72011   0.04733   -0.55016   0.83389   100.58594
17   3.72123   0.04758   -0.54900   0.83450   3.72123   0.04758   -0.54900   0.83450   100.52490
18   3.72067   0.04694   -0.54958   0.83428   3.72067   0.04694   -0.54958   0.83428   100.60120
19   3.72123   0.04758   -0.54997   0.83401   3.72123   0.04758   -0.54997   0.83401   100.60120
20   3.72067   0.04703   -0.55022   0.83386   3.72067   0.04703   -0.55022   0.83386   100.58594
21   3.71955   0.04648   -0.55037   0.83370   3.71955   0.04648   -0.55037   0.83370   100.63171
22   3.71955   0.04727   -0.54991   0.83389   3.71955   0.04727   -0.54991   0.83389   100.64697
23   3.72179   0.04733   -0.55007   0.83401   3.72179   0.04733   -0.55007   0.83401   100.52490
24   3.72067   0.04682   -0.55007   0.83398   3.72067   0.04682   -0.55007   0.83398   100.61646
25   3.72123   0.04733   -0.54964   0.83419   3.72123   0.04733   -0.54964   0.83419   100.60120
26   3.72011   0.04721   -0.55077   0.83346   3.72011   0.04721   -0.55077   0.83346   100.61646
27   3.72179   0.04843   -0.55110   0.83306   3.72179   0.04843   -0.55110   0.83306   100.55542
28   3.72067   0.04675   -0.55025   0.83386   3.72067   0.04675   -0.55025   0.83386   100.57068
29   3.72123   0.04724   -0.55040   0.83361   3.72123   0.04724   -0.55040   0.83361   100.60120
30   3.72011   0.04819   -0.54942   0.83438   3.72011   0.04819   -0.54942   0.83438   100.60120
31   3.71955   0.04675   -0.55034   0.83374   3.71955   0.04675   -0.55034   0.83374   100.61646
32   3.72179   0.04691   -0.55138   0.83306   3.72179   0.04691   -0.55138   0.83306   100.57068
33   3.72179   0.04654   -0.55150   0.83297   3.72179   0.04654   -0.55150   0.83297   100.55542
34   3.72179   0.04773   -0.55043   0.83380   3.72179   0.04773   -0.55043   0.83380   100.55542
35   3.71843   0.04767   -0.55049   0.83374   3.71843   0.04767   -0.55049   0.83374   100.61646
36   3.71955   0.04825   -0.55138   0.83300   3.71955   0.04825   -0.55138   0.83300   100.60120
37   3.72123   0.04724   -0.55168   0.83297   3.72123   0.04724   -0.55168   0.83297   100.54016
38   3.72067   0.04706   -0.55116   0.83328   3.72067   0.04706   -0.55116   0.83328   100.60120
39   3.72067   0.04758   -0.55129   0.83294   3.72067   0.04758   -0.55129   0.83294   100.58594
40   3.72067   0.04868   -0.55141   0.83294   3.72067   0.04868   -0.55141   0.83294   100.55542
41   3.71899   0.04920   -0.55040   0.83349   3.71899   0.04920   -0.55040   0.83349   100.61646
42   3.72291   0.04755   -0.55123   0.83316   3.72291   0.04755   -0.55123   0.83316   100.57068
43   3.72067   0.04898   -0.55177   0.83270   3.72067   0.04898   -0.55177   0.83270   100.60120
44   3.72067   0.04746   -0.55251   0.83215   3.72067   0.04746   -0.55251   0.83215   100.55542
45   3.72179   0.04855   -0.55156   0.83294   3.72179   0.04855   -0.55156   0.83294   100.58594
46   3.71955   0.04813   -0.55242   0.83239   3.71955   0.04813   -0.55242   0.83239   100.57068
47   3.72011   0.04721   -0.55235   0.83245   3.72011   0.04721   -0.55235   0.83245   100.60120
48   3.71899   0.04938   -0.55168   0.83282   3.71899   0.04938   -0.55168   0.83282   100.58594
49   3.71955   0.04859   -0.55095   0.83319   3.71955   0.04859   -0.55095   0.83319   100.60120
50   3.71955   0.04837   -0.55208   0.83270   3.71955   0.04837   -0.55208   0.83270   100.57068
51   3.72067   0.04709   -0.55284   0.83221   3.72067   0.04709   -0.55284   0.83221   100.57068
52   3.72179   0.04865   -0.55177   0.83270   3.72179   0.04865   -0.55177   0.83270   100.63171
53   3.71843   0.04706   -0.55257   0.83227   3.71843   0.04706   -0.55257   0.83227   100.64697
54   3.71955   0.04816   -0.55196   0.83261   3.71955   0.04816   -0.55196   0.83261   100.60120
55   3.72123   0.04791   -0.55245   0.83233   3.72123   0.04791   -0.55245   0.83233   100.55542
56   3.72123   0.04932   -0.55275   0.83190   3.72123   0.04932   -0.55275   0.83190   100.57068
57   3.72123   0.04804   -0.55339   0.83178   3.72123   0.04804   -0.55339   0.83178   100.55542
58   3.72067   0.04813   -0.55242   0.83215   3.72067   0.04813   -0.55242   0.83215   100.57068
59   3.72011   0.04849   -0.55303   0.83190   3.72011   0.04849   -0.55303   0.83190   100.58594
60   3.71955   0.04929   -0.55257   0.83209   3.71955   0.04929   -0.55257   0.83209   100.61646
61   3.72011   0.04898   -0.55263   0.83206   3.72011   0.04898   -0.55263   0.83206   100.61646
62   3.72123   0.04877   -0.55300   0.83193   3.72123   0.04877   -0.55300   0.83193   100.54016
63   3.72011   0.04883   -0.55348   0.83145   3.72011   0.04883   -0.55348   0.83145   100.58594
64   3.71955   0.04898   -0.55260   0.83230   3.71955   0.04898   -0.55260   0.83230   100.60120
65   3.72179   0.04840   -0.55318   0.83175   3.72179   0.04840   -0.55318   0.83175   100.57068
66   3.71955   0.04855   -0.55284   0.83206   3.71955   0.04855   -0.55284   0.83206   100.61646
67   3.72067   0.04837   -0.55266   0.83215   3.72067   0.04837   -0.55266   0.83215   100.52490
68   3.72011   0.04944   -0.55434   0.83093   3.72011   0.04944   -0.55434   0.83093   100.57068
69   3.71955   0.04920   -0.55364   0.83135   3.71955   0.04920   -0.55364   0.83135   100.66223
70   3.72123   0.04889   -0.55394   0.83132   3.72123   0.04889   -0.55394   0.83132   100.57068
71   3.72067   0.04868   -0.55345   0.83157   3.72067   0.04868   -0.55345   0.83157   100.65918
72   3.72067   0.04938   -0.55400   0.83102   3.72067   0.04938   -0.55400   0.83102   100.61646
73   3.72123   0.04929   -0.55419   0.83105   3.72123   0.04929   -0.55419   0.83105   100.58594
74   3.71899   0.04880   -0.55403   0.83123   3.71899   0.04880   -0.55403   0.83123   100.63171
75   3.72123   0.04913   -0.55440   0.83087   3.72123   0.04913   -0.55440   0.83087   100.58594
76   3.71899   0.04920   -0.55409   0.83114   3.71899   0.04920   -0.55409   0.83114   100.64697
77   3.71899   0.04877   -0.55385   0.83142   3.71899   0.04877   -0.55385   0.83142   100.63171
78   3.72011   0.04862   -0.55470   0.83081   3.72011   0.04862   -0.55470   0.83081   100.57068
79   3.72179   0.04859   -0.55477   0.83071   3.72179   0.04859   -0.55477   0.83071   100.58594
80   3.72067   0.04892   -0.55486   0.83062   3.72067   0.04892   -0.55486   0.83062   100.57068
81   3.72067   0.04874   -0.55501   0.83044   3.72067   0.04874   -0.55501   0.83044   100.61646
82   3.71955   0.04926   -0.55519   0.83047   3.71955   0.04926   -0.55519   0.83047   100.58594
83   3.72123   0.04901   -0.55553   0.83013   3.72123   0.04901   -0.55553   0.83013   100.57068
84   3.72123   0.04978   -0.55574   0.83001   3.72123   0.04978   -0.55574   0.83001   100.61646
85   3.72123   0.04920   -0.55495   0.83068   3.72123   0.04920   -0.55495   0.83068   100.58594
86   3.72011   0.05039   -0.55498   0.83041   3.72011   0.05039   -0.55498   0.83041   100.58594
87   3.72011   0.05072   -0.55541   0.83013   3.72011   0.05072   -0.55541   0.83013   100.58594
88   3.72011   0.05084   -0.55504   0.83047   3.72011   0.05084   -0.55504   0.83047   100.61646
89   3.72179   0.04981   -0.55647   0.82952   3.72179   0.04981   -0.55647   0.82952   100.55542
90   3.72067   0.04938   -0.55699   0.82919   3.72067   0.04938   -0.55699   0.82919   100.61646
91   3.71955   0.04987   -0.55541   0.83020   3.71955   0.04987   -0.55541   0.83020   100.60120
92   3.72123   0.05072   -0.55672   0.82940   3.72123   0.05072   -0.55672   0.82940   100.55542
93   3.71955   0.04904   -0.55644   0.82958   3.71955   0.04904   -0.55644   0.82958   100.60120
94   3.72067   0.05161   -0.55626   0.82958   3.72067   0.05161   -0.55626   0.82958   100.60120
95   3.72067   0.05063   -0.55702   0.82907   3.72067   0.05063   -0.55702   0.82907   100.60120
96   3.72011   0.05023   -0.55687   0.82928   3.72011   0.05023   -0.55687   0.82928   100.58594
97   3.72011   0.05060   -0.55666   0.82946   3.72011   0.05060   -0.55666   0.82946   100.61646
98   3.72011   0.05033   -0.55605   0.82968   3.72011   0.05033   -0.55605   0.82968   100.63171
99   3.72067   0.05054   -0.55696   0.82916   3.72067   0.05054   -0.55696   0.82916   100.60120
100   3.72123   0.05048   -0.55660   0.82931   3.72123   0.05048   -0.55660   0.82931   100.61646
101   3.71899   0.05097   -0.55641   0.82949   3.71899   0.05097   -0.55641   0.82949   100.61646
102   3.72067   0.05124   -0.55705   0.82904   3.72067   0.05124   -0.55705   0.82904   100.58594
103   3.71955   0.04984   -0.55611   0.82965   3.71955   0.04984   -0.55611   0.82965   100.66223
104   3.72011   0.04959   -0.55629   0.82971   3.72011   0.04959   -0.55629   0.82971   100.60120
105   3.72179   0.05100   -0.55693   0.82913   3.72179   0.05100   -0.55693   0.82913   100.61646
106   3.71955   0.04978   -0.55770   0.82867   3.71955   0.04978   -0.55770   0.82867   100.63171
107   3.71955   0.05002   -0.55748   0.82882   3.71955   0.05002   -0.55748   0.82882   100.64697
108   3.71843   0.04999   -0.55776   0.82861   3.71843   0.04999   -0.55776   0.82861   100.64697
109   3.72067   0.04984   -0.55818   0.82836   3.72067   0.04984   -0.55818   0.82836   100.61646
110   3.72179   0.05042   -0.55754   0.82879   3.72179   0.05042   -0.55754   0.82879   100.57068
111   3.71899   0.05054   -0.55834   0.82815   3.71899   0.05054   -0.55834   0.82815   100.63171
112   3.72011   0.05005   -0.55843   0.82806   3.72011   0.05005   -0.55843   0.82806   100.64697
113   3.72067   0.04965   -0.55831   0.82824   3.72067   0.04965   -0.55831   0.82824   100.63171
114   3.72123   0.05060   -0.55751   0.82876   3.72123   0.05060   -0.55751   0.82876   100.61646
115   3.72067   0.05002   -0.55837   0.82833   3.72067   0.05002   -0.55837   0.82833   100.64697
116   3.72011   0.05045   -0.55834   0.82836   3.72011   0.05045   -0.55834   0.82836   100.58594
117   3.72123   0.05023   -0.55919   0.82769   3.72123   0.05023   -0.55919   0.82769   100.63171
118   3.72123   0.05023   -0.55895   0.82797   3.72123   0.05023   -0.55895   0.82797   100.57068
119   3.72067   0.05109   -0.55757   0.82867   3.72067   0.05109   -0.55757   0.82867   100.63171
120   3.71955   0.05020   -0.55821   0.82827   3.71955   0.05020   -0.55821   0.82827   100.66223
121   3.71955   0.05017   -0.55785   0.82849   3.71955   0.05017   -0.55785   0.82849   100.63171
122   3.72067   0.05008   -0.55794   0.82858   3.72067   0.05008   -0.55794   0.82858   100.60120
123   3.72123   0.05075   -0.55861   0.82806   3.72123   0.05075   -0.55861   0.82806   100.58594
124   3.71955   0.04993   -0.55794   0.82842   3.71955   0.04993   -0.55794   0.82842   100.60120
125   3.72011   0.05072   -0.55834   0.82830   3.72011   0.05072   -0.55834   0.82830   100.63171
126   3.71955   0.05014   -0.55831   0.82821   3.71955   0.05014   -0.55831   0.82821   100.63171
127   3.72123   0.05057   -0.55873   0.82794   3.72123   0.05057   -0.55873   0.82794   100.60120
128   3.72067   0.04987   -0.55843   0.82830   3.72067   0.04987   -0.55843   0.82830   100.60120
129   3.72011   0.05017   -0.55858   0.82815   3.72011   0.05017   -0.55858   0.82815   100.60120
