Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   3.71899   0.05081   -0.55617   0.82974   3.71899   0.05081   -0.55617   0.82974   100.64697
2   3.72011   0.04965   -0.55556   0.83023   3.72011   0.04965   -0.55556   0.83023   100.63171
3   3.71955   0.05090   -0.55388   0.83102   3.71955   0.05090   -0.55388   0.83102   100.63171
4   3.72011   0.05145   -0.55458   0.83068   3.72011   0.05145   -0.55458   0.83068   100.63171
5   3.72123   0.05063   -0.55412   0.83099   3.72123   0.05063   -0.55412   0.83099   100.60120
6   3.72067   0.04984   -0.55458   0.83081   3.72067   0.04984   -0.55458   0.83081   100.60120
7   3.72011   0.04953   -0.55586   0.82995   3.72011   0.04953   -0.55586   0.82995   100.61646
8   3.72011   0.05042   -0.55544   0.83029   3.72011   0.05042   -0.55544   0.83029   100.60120
9   3.72123   0.04999   -0.55571   0.83007   3.72123   0.04999   -0.55571   0.83007   100.58594
10   3.72011   0.04987   -0.55486   0.83053   3.72011   0.04987   -0.55486   0.83053   100.60120
11   3.71955   0.05094   -0.55382   0.83123   3.71955   0.05094   -0.55382   0.83123   100.68970
12   3.72067   0.05026   -0.55382   0.83129   3.72067   0.05026   -0.55382   0.83129   100.65918
13   3.72067   0.05020   -0.55412   0.83111   3.72067   0.05020   -0.55412   0.83111   100.54016
14   3.72123   0.05014   -0.55400   0.83120   3.72123   0.05014   -0.55400   0.83120   100.58594
15   3.71843   0.04877   -0.55376   0.83135   3.71843   0.04877   -0.55376   0.83135   100.63171
16   3.72123   0.05008   -0.55364   0.83135   3.72123   0.05008   -0.55364   0.83135   100.58594
17   3.72067   0.04962   -0.55434   0.83090   3.72067   0.04962   -0.55434   0.83090   100.58594
18   3.72067   0.05121   -0.55351   0.83139   3.72067   0.05121   -0.55351   0.83139   100.63171
19   3.72011   0.04944   -0.55306   0.83178   3.72011   0.04944   -0.55306   0.83178   100.63171
20   3.72179   0.04975   -0.55461   0.83077   3.72179   0.04975   -0.55461   0.83077   100.58594
21   3.72235   0.04932   -0.55373   0.83129   3.72235   0.04932   -0.55373   0.83129   100.58594
22   3.72235   0.04935   -0.55403   0.83117   3.72235   0.04935   -0.55403   0.83117   100.60120
23   3.71955   0.04892   -0.55303   0.83178   3.71955   0.04892   -0.55303   0.83178   100.67444
24   3.72123   0.04907   -0.55403   0.83117   3.72123   0.04907   -0.55403   0.83117   100.61646
25   3.72067   0.05026   -0.55342   0.83157   3.72067   0.05026   -0.55342   0.83157   100.60120
26   3.72011   0.04959   -0.55284   0.83197   3.72011   0.04959   -0.55284   0.83197   100.63171
27   3.72067   0.04895   -0.55309   0.83178   3.72067   0.04895   -0.55309   0.83178   100.60120
28   3.71899   0.05036   -0.55239   0.83227   3.71899   0.05036   -0.55239   0.83227   100.55542
29   3.72067   0.04907   -0.55232   0.83239   3.72067   0.04907   -0.55232   0.83239   100.57068
30   3.71899   0.04886   -0.55168   0.83285   3.71899   0.04886   -0.55168   0.83285   100.61646
