Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   1.46454   -0.90307   -0.01093   0.42940   1.46454   -0.90307   -0.01093   0.42940   99.27063
2   1.46426   -0.90298   -0.01025   0.42952   1.46426   -0.90298   -0.01025   0.42952   99.30115
3   1.46483   -0.90365   -0.01059   0.42830   1.46483   -0.90365   -0.01059   0.42830   99.27063
4   1.46511   -0.90414   -0.01099   0.42717   1.46511   -0.90414   -0.01099   0.42717   99.26147
5   1.46440   -0.90405   -0.01172   0.42726   1.46440   -0.90405   -0.01172   0.42726   99.27979
6   1.46540   -0.90329   -0.01032   0.42912   1.46540   -0.90329   -0.01032   0.42912   99.29199
7   1.46497   -0.90323   -0.01007   0.42912   1.46497   -0.90323   -0.01007   0.42912   99.27979
8   1.46440   -0.90405   -0.00946   0.42738   1.46440   -0.90405   -0.00946   0.42738   99.27979
9   1.46483   -0.90411   -0.01117   0.42720   1.46483   -0.90411   -0.01117   0.42720   99.29199
10   1.46440   -0.90451   -0.01074   0.42650   1.46440   -0.90451   -0.01074   0.42650   99.27979
11   1.46469   -0.90497   -0.01141   0.42555   1.46469   -0.90497   -0.01141   0.42555   99.25232
12   1.46526   -0.90442   -0.01041   0.42674   1.46526   -0.90442   -0.01041   0.42674   99.25232
13   1.46511   -0.90338   -0.01062   0.42875   1.46511   -0.90338   -0.01062   0.42875   99.25232
14   1.46511   -0.90338   -0.01077   0.42900   1.46511   -0.90338   -0.01077   0.42900   99.27979
15   1.46625   -0.90396   -0.00952   0.42753   1.46625   -0.90396   -0.00952   0.42753   99.27063
16   1.46597   -0.90490   -0.00967   0.42561   1.46597   -0.90490   -0.00967   0.42561   99.34082
17   1.46469   -0.90460   -0.01053   0.42640   1.46469   -0.90460   -0.01053   0.42640   99.27979
18   1.46526   -0.90356   -0.00928   0.42845   1.46526   -0.90356   -0.00928   0.42845   99.28284
19   1.46454   -0.90338   -0.00964   0.42882   1.46454   -0.90338   -0.00964   0.42882   99.30115
20   1.46454   -0.90390   -0.00891   0.42772   1.46454   -0.90390   -0.00891   0.42772   99.29199
21   1.46511   -0.90487   -0.00888   0.42592   1.46511   -0.90487   -0.00888   0.42592   99.29199
22   1.46540   -0.90484   -0.01035   0.42582   1.46540   -0.90484   -0.01035   0.42582   99.27063
23   1.46454   -0.90423   -0.00879   0.42708   1.46454   -0.90423   -0.00879   0.42708   99.26147
24   1.46526   -0.90350   -0.00909   0.42869   1.46526   -0.90350   -0.00909   0.42869   99.30115
25   1.46497   -0.90350   -0.00735   0.42869   1.46497   -0.90350   -0.00735   0.42869   99.27979
26   1.46483   -0.90420   -0.00900   0.42711   1.46483   -0.90420   -0.00900   0.42711   99.25232
27   1.46526   -0.90490   -0.00964   0.42555   1.46526   -0.90490   -0.00964   0.42555   99.28284
28   1.46597   -0.90445   -0.00925   0.42647   1.46597   -0.90445   -0.00925   0.42647   99.28284
29   1.46511   -0.90298   -0.00751   0.42967   1.46511   -0.90298   -0.00751   0.42967   99.30115
30   1.46582   -0.90280   -0.00855   0.43019   1.46582   -0.90280   -0.00855   0.43019   99.27063
31   1.46511   -0.90432   -0.00803   0.42686   1.46511   -0.90432   -0.00803   0.42686   99.29199
32   1.46540   -0.90426   -0.00836   0.42705   1.46540   -0.90426   -0.00836   0.42705   99.26147
33   1.46582   -0.90381   -0.00809   0.42811   1.46582   -0.90381   -0.00809   0.42811   99.25232
34   1.46568   -0.90310   -0.00845   0.42946   1.46568   -0.90310   -0.00845   0.42946   99.27063
35   1.46454   -0.90307   -0.00873   0.42964   1.46454   -0.90307   -0.00873   0.42964   99.27979
36   1.46454   -0.90393   -0.00913   0.42769   1.46454   -0.90393   -0.00913   0.42769   99.27063
37   1.46511   -0.90359   -0.00937   0.42845   1.46511   -0.90359   -0.00937   0.42845   99.31030
38   1.46568   -0.90387   -0.00803   0.42793   1.46568   -0.90387   -0.00803   0.42793   99.23401
39   1.46469   -0.90359   -0.00839   0.42866   1.46469   -0.90359   -0.00839   0.42866   99.30115
40   1.46511   -0.90362   -0.00876   0.42845   1.46511   -0.90362   -0.00876   0.42845   99.26147
41   1.46497   -0.90417   -0.01071   0.42717   1.46497   -0.90417   -0.01071   0.42717   99.24316
42   1.46469   -0.90426   -0.00885   0.42701   1.46469   -0.90426   -0.00885   0.42701   99.29199
43   1.46440   -0.90411   -0.00961   0.42729   1.46440   -0.90411   -0.00961   0.42729   99.30115
44   1.46454   -0.90399   -0.00839   0.42766   1.46454   -0.90399   -0.00839   0.42766   99.27063
45   1.46526   -0.90429   -0.00897   0.42698   1.46526   -0.90429   -0.00897   0.42698   99.26147
46   1.46540   -0.90484   -0.00998   0.42570   1.46540   -0.90484   -0.00998   0.42570   99.31030
47   1.46511   -0.90533   -0.01013   0.42491   1.46511   -0.90533   -0.01013   0.42491   99.26147
48   1.46568   -0.90429   -0.01038   0.42689   1.46568   -0.90429   -0.01038   0.42689   99.22485
49   1.46526   -0.90378   -0.00961   0.42805   1.46526   -0.90378   -0.00961   0.42805   99.27063
50   1.46469   -0.90414   -0.00919   0.42729   1.46469   -0.90414   -0.00919   0.42729   99.29199
51   1.46568   -0.90408   -0.01120   0.42735   1.46568   -0.90408   -0.01120   0.42735   99.28284
52   1.46582   -0.90475   -0.01114   0.42601   1.46582   -0.90475   -0.01114   0.42601   99.29199
53   1.46483   -0.90374   -0.01083   0.42817   1.46483   -0.90374   -0.01083   0.42817   99.27063
54   1.46440   -0.90320   -0.01032   0.42927   1.46440   -0.90320   -0.01032   0.42927   99.27063
55   1.46497   -0.90371   -0.00964   0.42814   1.46497   -0.90371   -0.00964   0.42814   99.29199
56   1.46483   -0.90396   -0.01120   0.42778   1.46483   -0.90396   -0.01120   0.42778   99.29199
57   1.46440   -0.90445   -0.00961   0.42665   1.46440   -0.90445   -0.00961   0.42665   99.27063
58   1.46497   -0.90344   -0.01001   0.42869   1.46497   -0.90344   -0.01001   0.42869   99.31030
59   1.46526   -0.90304   -0.00925   0.42961   1.46526   -0.90304   -0.00925   0.42961   99.27063
60   1.46426   -0.90347   -0.00958   0.42857   1.46426   -0.90347   -0.00958   0.42857   99.30115
61   1.46540   -0.90414   -0.01056   0.42735   1.46540   -0.90414   -0.01056   0.42735   99.24316
62   1.46469   -0.90439   -0.01184   0.42671   1.46469   -0.90439   -0.01184   0.42671   99.27979
63   1.46454   -0.90353   -0.01062   0.42848   1.46454   -0.90353   -0.01062   0.42848   99.27063
64   1.46511   -0.90277   -0.01074   0.43025   1.46511   -0.90277   -0.01074   0.43025   99.25232
65   1.46469   -0.90277   -0.01221   0.43004   1.46469   -0.90277   -0.01221   0.43004   99.31030
66   1.46511   -0.90365   -0.01178   0.42836   1.46511   -0.90365   -0.01178   0.42836   99.26147
67   1.46526   -0.90356   -0.01190   0.42845   1.46526   -0.90356   -0.01190   0.42845   99.26147
68   1.46511   -0.90301   -0.01187   0.42952   1.46511   -0.90301   -0.01187   0.42952   99.25232
69   1.46497   -0.90210   -0.01062   0.43156   1.46497   -0.90210   -0.01062   0.43156   99.30115
70   1.46526   -0.90316   -0.01242   0.42924   1.46526   -0.90316   -0.01242   0.42924   99.30115
71   1.46511   -0.90448   -0.01297   0.42653   1.46511   -0.90448   -0.01297   0.42653   99.24316
72   1.46526   -0.90448   -0.01321   0.42650   1.46526   -0.90448   -0.01321   0.42650   99.31030
73   1.46511   -0.90298   -0.01175   0.42982   1.46511   -0.90298   -0.01175   0.42982   99.27063
74   1.46440   -0.90283   -0.01093   0.43025   1.46440   -0.90283   -0.01093   0.43025   99.25232
75   1.46383   -0.90320   -0.01205   0.42921   1.46383   -0.90320   -0.01205   0.42921   99.27063
76   1.46454   -0.90298   -0.01251   0.42964   1.46454   -0.90298   -0.01251   0.42964   99.27979
77   1.46526   -0.90304   -0.01196   0.42946   1.46526   -0.90304   -0.01196   0.42946   99.27063
78   1.46554   -0.90371   -0.01221   0.42821   1.46554   -0.90371   -0.01221   0.42821   99.29199
79   1.46611   -0.90240   -0.01169   0.43086   1.46611   -0.90240   -0.01169   0.43086   99.27063
80   1.46582   -0.90194   -0.01141   0.43184   1.46582   -0.90194   -0.01141   0.43184   99.26147
81   1.46597   -0.90246   -0.01218   0.43074   1.46597   -0.90246   -0.01218   0.43074   99.28284
82   1.46597   -0.90316   -0.01251   0.42909   1.46597   -0.90316   -0.01251   0.42909   99.27063
