Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 17:54:36 1/20/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   1.47874   -0.18119   0.92468   -0.33518   1.47874   -0.18119   0.92468   -0.33518   99.46899
2   1.47846   -0.18424   0.92376   -0.33604   1.47846   -0.18424   0.92376   -0.33604   99.48120
3   1.47846   -0.18677   0.92279   -0.33720   1.47846   -0.18677   0.92279   -0.33720   99.44153
4   1.47860   -0.18549   0.92373   -0.33561   1.47860   -0.18549   0.92373   -0.33561   99.46899
5   1.47846   -0.18479   0.92508   -0.33216   1.47846   -0.18479   0.92508   -0.33216   99.45068
6   1.47818   -0.18427   0.92395   -0.33546   1.47818   -0.18427   0.92395   -0.33546   99.45984
7   1.47761   -0.18558   0.92318   -0.33677   1.47761   -0.18558   0.92318   -0.33677   99.47815
8   1.47676   -0.18381   0.92309   -0.33811   1.47676   -0.18381   0.92309   -0.33811   99.53613
9   1.47747   -0.18284   0.92434   -0.33518   1.47747   -0.18284   0.92434   -0.33518   99.47815
10   1.47789   -0.18348   0.92364   -0.33671   1.47789   -0.18348   0.92364   -0.33671   99.49036
11   1.47661   -0.18448   0.92175   -0.34141   1.47661   -0.18448   0.92175   -0.34141   99.47815
12   1.47718   -0.18348   0.92285   -0.33900   1.47718   -0.18348   0.92285   -0.33900   99.49951
13   1.47874   -0.18293   0.92361   -0.33729   1.47874   -0.18293   0.92361   -0.33729   99.44153
14   1.47874   -0.18238   0.92303   -0.33903   1.47874   -0.18238   0.92303   -0.33903   99.49036
15   1.47889   -0.18369   0.92328   -0.33769   1.47889   -0.18369   0.92328   -0.33769   99.46899
16   1.47860   -0.18415   0.92389   -0.33580   1.47860   -0.18415   0.92389   -0.33580   99.46899
17   1.47803   -0.18540   0.92370   -0.33549   1.47803   -0.18540   0.92370   -0.33549   99.44153
18   1.47846   -0.18485   0.92337   -0.33650   1.47846   -0.18485   0.92337   -0.33650   99.48120
19   1.47832   -0.18473   0.92361   -0.33628   1.47832   -0.18473   0.92361   -0.33628   99.45984
20   1.47803   -0.18290   0.92447   -0.33479   1.47803   -0.18290   0.92447   -0.33479   99.46899
21   1.47718   -0.18256   0.92352   -0.33741   1.47718   -0.18256   0.92352   -0.33741   99.47815
22   1.47690   -0.18216   0.92352   -0.33793   1.47690   -0.18216   0.92352   -0.33793   99.49036
23   1.47761   -0.18119   0.92312   -0.33967   1.47761   -0.18119   0.92312   -0.33967   99.50867
24   1.47860   -0.18036   0.92306   -0.34001   1.47860   -0.18036   0.92306   -0.34001   99.46899
25   1.47874   -0.17808   0.92373   -0.33949   1.47874   -0.17808   0.92373   -0.33949   99.48120
