Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 17:42:23 1/20/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   1.44396   -0.36421   -0.40712   -0.83758   1.44396   -0.36421   -0.40712   -0.83758   100.09766
2   1.44623   -0.35841   -0.40394   -0.84170   1.44623   -0.35841   -0.40394   -0.84170   100.01831
3   1.44580   -0.35987   -0.40455   -0.84078   1.44580   -0.35987   -0.40455   -0.84078   100.01831
4   1.44509   -0.36390   -0.40593   -0.83847   1.44509   -0.36390   -0.40593   -0.83847   100.03662
5   1.44509   -0.36503   -0.40681   -0.83737   1.44509   -0.36503   -0.40681   -0.83737   100.06714
6   1.44552   -0.35682   -0.40367   -0.84243   1.44552   -0.35682   -0.40367   -0.84243   100.00916
7   1.44580   -0.35755   -0.40300   -0.84259   1.44580   -0.35755   -0.40300   -0.84259   100.04883
8   1.44538   -0.36329   -0.40355   -0.83975   1.44538   -0.36329   -0.40355   -0.83975   100.03662
9   1.44467   -0.36787   -0.40819   -0.83547   1.44467   -0.36787   -0.40819   -0.83547   100.09766
10   1.44424   -0.36695   -0.40645   -0.83676   1.44424   -0.36695   -0.40645   -0.83676   100.06714
11   1.44580   -0.35917   -0.40425   -0.84112   1.44580   -0.35917   -0.40425   -0.84112   100.03662
12   1.44594   -0.35539   -0.40455   -0.84268   1.44594   -0.35539   -0.40455   -0.84268   100.02747
13   1.44566   -0.35829   -0.40495   -0.84121   1.44566   -0.35829   -0.40495   -0.84121   100.01831
14   1.44438   -0.36311   -0.40471   -0.83932   1.44438   -0.36311   -0.40471   -0.83932   100.03662
15   1.44481   -0.36787   -0.40617   -0.83654   1.44481   -0.36787   -0.40617   -0.83654   100.02747
16   1.44495   -0.36784   -0.40486   -0.83709   1.44495   -0.36784   -0.40486   -0.83709   100.02747
17   1.44608   -0.35899   -0.40434   -0.84127   1.44608   -0.35899   -0.40434   -0.84127   100.02747
18   1.44396   -0.35554   -0.40330   -0.84317   1.44396   -0.35554   -0.40330   -0.84317   100.04883
19   1.44325   -0.36116   -0.40593   -0.83963   1.44325   -0.36116   -0.40593   -0.83963   100.04883
20   1.44396   -0.36973   -0.40550   -0.83590   1.44396   -0.36973   -0.40550   -0.83590   100.04883
21   1.44481   -0.36305   -0.40452   -0.83938   1.44481   -0.36305   -0.40452   -0.83938   100.03662
22   1.44438   -0.35820   -0.40281   -0.84228   1.44438   -0.35820   -0.40281   -0.84228   100.05798
