Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 17:18:28 1/20/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   1.47818   -0.20148   0.91443   -0.35142   1.47818   -0.20148   0.91443   -0.35142   99.48120
2   1.47761   -0.19990   0.91464   -0.35157   1.47761   -0.19990   0.91464   -0.35157   99.54529
3   1.47917   -0.20124   0.91437   -0.35176   1.47917   -0.20124   0.91437   -0.35176   99.45984
4   1.47860   -0.20072   0.91455   -0.35160   1.47860   -0.20072   0.91455   -0.35160   99.45984
5   1.47690   -0.20029   0.91525   -0.34996   1.47690   -0.20029   0.91525   -0.34996   99.52698
6   1.47789   -0.20017   0.91476   -0.35093   1.47789   -0.20017   0.91476   -0.35093   99.51782
7   1.47832   -0.20008   0.91562   -0.34922   1.47832   -0.20008   0.91562   -0.34922   99.45984
8   1.47874   -0.19996   0.91482   -0.35127   1.47874   -0.19996   0.91482   -0.35127   99.45068
9   1.47960   -0.19980   0.91501   -0.35069   1.47960   -0.19980   0.91501   -0.35069   99.45068
10   1.47889   -0.20011   0.91491   -0.35090   1.47889   -0.20011   0.91491   -0.35090   99.44153
11   1.47874   -0.20051   0.91498   -0.35057   1.47874   -0.20051   0.91498   -0.35057   99.49951
12   1.48002   -0.20124   0.91449   -0.35124   1.48002   -0.20124   0.91449   -0.35124   99.45068
13   1.47974   -0.19984   0.91528   -0.35005   1.47974   -0.19984   0.91528   -0.35005   99.50867
14   1.47889   -0.20057   0.91494   -0.35032   1.47889   -0.20057   0.91494   -0.35032   99.50867
15   1.47832   -0.19959   0.91504   -0.35057   1.47832   -0.19959   0.91504   -0.35057   99.48120
16   1.47874   -0.19947   0.91513   -0.35063   1.47874   -0.19947   0.91513   -0.35063   99.49036
17   1.47803   -0.19974   0.91479   -0.35105   1.47803   -0.19974   0.91479   -0.35105   99.53613
18   1.47903   -0.20048   0.91482   -0.35087   1.47903   -0.20048   0.91482   -0.35087   99.52698
19   1.47874   -0.20054   0.91479   -0.35090   1.47874   -0.20054   0.91479   -0.35090   99.49951
20   1.47889   -0.19956   0.91491   -0.35105   1.47889   -0.19956   0.91491   -0.35105   99.51782
21   1.47917   -0.19971   0.91501   -0.35084   1.47917   -0.19971   0.91501   -0.35084   99.49036
22   1.47874   -0.20032   0.91504   -0.35051   1.47874   -0.20032   0.91504   -0.35051   99.49951
23   1.47832   -0.20103   0.91427   -0.35188   1.47832   -0.20103   0.91427   -0.35188   99.45984
24   1.47917   -0.20090   0.91458   -0.35118   1.47917   -0.20090   0.91458   -0.35118   99.48120
25   1.47889   -0.19889   0.91491   -0.35124   1.47889   -0.19889   0.91491   -0.35124   99.50867
26   1.47832   -0.20017   0.91507   -0.35026   1.47832   -0.20017   0.91507   -0.35026   99.49036
27   1.47889   -0.19935   0.91501   -0.35099   1.47889   -0.19935   0.91501   -0.35099   99.49951
28   1.47889   -0.20011   0.91473   -0.35121   1.47889   -0.20011   0.91473   -0.35121   99.49951
29   1.47903   -0.20045   0.91470   -0.35124   1.47903   -0.20045   0.91470   -0.35124   99.46899
30   1.47931   -0.19959   0.91501   -0.35084   1.47931   -0.19959   0.91501   -0.35084   99.48120
31   1.47789   -0.20032   0.91504   -0.35041   1.47789   -0.20032   0.91504   -0.35041   99.52698
32   1.47775   -0.20051   0.91476   -0.35078   1.47775   -0.20051   0.91476   -0.35078   99.51782
33   1.47903   -0.19977   0.91449   -0.35197   1.47903   -0.19977   0.91449   -0.35197   99.45984
34   1.47889   -0.19996   0.91488   -0.35084   1.47889   -0.19996   0.91488   -0.35084   99.51782
35   1.47860   -0.20035   0.91461   -0.35130   1.47860   -0.20035   0.91461   -0.35130   99.46899
36   1.47889   -0.20032   0.91522   -0.34983   1.47889   -0.20032   0.91522   -0.34983   99.49036
37   1.47803   -0.19990   0.91549   -0.34947   1.47803   -0.19990   0.91549   -0.34947   99.53613
38   1.47860   -0.19987   0.91504   -0.35054   1.47860   -0.19987   0.91504   -0.35054   99.49036
39   1.47889   -0.20002   0.91440   -0.35234   1.47889   -0.20002   0.91440   -0.35234   99.49951
40   1.47775   -0.20115   0.91449   -0.35142   1.47775   -0.20115   0.91449   -0.35142   99.52698
41   1.47832   -0.19993   0.91519   -0.35014   1.47832   -0.19993   0.91519   -0.35014   99.45984
42   1.47860   -0.19932   0.91479   -0.35157   1.47860   -0.19932   0.91479   -0.35157   99.46899
43   1.47889   -0.20038   0.91504   -0.35038   1.47889   -0.20038   0.91504   -0.35038   99.45068
44   1.47846   -0.19941   0.91488   -0.35112   1.47846   -0.19941   0.91488   -0.35112   99.49036
45   1.47889   -0.19959   0.91516   -0.35057   1.47889   -0.19959   0.91516   -0.35057   99.49951
46   1.47931   -0.20081   0.91415   -0.35249   1.47931   -0.20081   0.91415   -0.35249   99.45068
47   1.47931   -0.19999   0.91494   -0.35078   1.47931   -0.19999   0.91494   -0.35078   99.47205
48   1.47903   -0.20038   0.91485   -0.35093   1.47903   -0.20038   0.91485   -0.35093   99.49951
49   1.47860   -0.20005   0.91482   -0.35102   1.47860   -0.20005   0.91482   -0.35102   99.49951
50   1.47803   -0.20057   0.91510   -0.35020   1.47803   -0.20057   0.91510   -0.35020   99.49036
51   1.47860   -0.20051   0.91482   -0.35084   1.47860   -0.20051   0.91482   -0.35084   99.49951
52   1.47903   -0.19901   0.91488   -0.35151   1.47903   -0.19901   0.91488   -0.35151   99.51782
53   1.47874   -0.20014   0.91461   -0.35145   1.47874   -0.20014   0.91461   -0.35145   99.46899
54   1.47860   -0.20014   0.91467   -0.35151   1.47860   -0.20014   0.91467   -0.35151   99.49951
55   1.47917   -0.20026   0.91507   -0.35026   1.47917   -0.20026   0.91507   -0.35026   99.49036
56   1.47874   -0.20023   0.91491   -0.35066   1.47874   -0.20023   0.91491   -0.35066   99.50867
57   1.47761   -0.19962   0.91513   -0.35038   1.47761   -0.19962   0.91513   -0.35038   99.49036
58   1.47846   -0.20154   0.91446   -0.35127   1.47846   -0.20154   0.91446   -0.35127   99.50867
59   1.47846   -0.20011   0.91479   -0.35102   1.47846   -0.20011   0.91479   -0.35102   99.46899
