Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 17:29:5 1/20/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   1.44651   -0.15439   -0.39650   -0.90497   1.44651   -0.15439   -0.39650   -0.90497   100.27466
2   1.44594   -0.15439   -0.39628   -0.90509   1.44594   -0.15439   -0.39628   -0.90509   100.27466
3   1.44594   -0.15461   -0.39598   -0.90521   1.44594   -0.15461   -0.39598   -0.90521   100.23499
4   1.44736   -0.15366   -0.39692   -0.90490   1.44736   -0.15366   -0.39692   -0.90490   100.26245
5   1.44637   -0.15275   -0.39671   -0.90521   1.44637   -0.15275   -0.39671   -0.90521   100.27466
6   1.44637   -0.15418   -0.39604   -0.90518   1.44637   -0.15418   -0.39604   -0.90518   100.27466
7   1.44665   -0.15378   -0.39613   -0.90527   1.44665   -0.15378   -0.39613   -0.90527   100.23499
8   1.44608   -0.15348   -0.39653   -0.90515   1.44608   -0.15348   -0.39653   -0.90515   100.28381
9   1.44580   -0.15415   -0.39711   -0.90478   1.44580   -0.15415   -0.39711   -0.90478   100.25330
10   1.44594   -0.15354   -0.39714   -0.90478   1.44594   -0.15354   -0.39714   -0.90478   100.28381
11   1.44608   -0.15473   -0.39616   -0.90512   1.44608   -0.15473   -0.39616   -0.90512   100.25330
12   1.44552   -0.15366   -0.39650   -0.90509   1.44552   -0.15366   -0.39650   -0.90509   100.30212
13   1.44552   -0.15384   -0.39686   -0.90497   1.44552   -0.15384   -0.39686   -0.90497   100.27466
14   1.44481   -0.15482   -0.39662   -0.90478   1.44481   -0.15482   -0.39662   -0.90478   100.27466
15   1.44495   -0.15485   -0.39625   -0.90506   1.44495   -0.15485   -0.39625   -0.90506   100.26245
16   1.44538   -0.15464   -0.39723   -0.90460   1.44538   -0.15464   -0.39723   -0.90460   100.29297
17   1.44594   -0.15503   -0.39534   -0.90542   1.44594   -0.15503   -0.39534   -0.90542   100.28381
18   1.44608   -0.15467   -0.39546   -0.90536   1.44608   -0.15467   -0.39546   -0.90536   100.24414
19   1.44665   -0.15424   -0.39604   -0.90530   1.44665   -0.15424   -0.39604   -0.90530   100.28381
20   1.44538   -0.15433   -0.39640   -0.90506   1.44538   -0.15433   -0.39640   -0.90506   100.27466
21   1.44608   -0.15525   -0.39595   -0.90509   1.44608   -0.15525   -0.39595   -0.90509   100.28381
22   1.44651   -0.15455   -0.39631   -0.90506   1.44651   -0.15455   -0.39631   -0.90506   100.26245
23   1.44665   -0.15390   -0.39683   -0.90490   1.44665   -0.15390   -0.39683   -0.90490   100.27466
24   1.44651   -0.15519   -0.39546   -0.90533   1.44651   -0.15519   -0.39546   -0.90533   100.28381
25   1.44694   -0.15436   -0.39647   -0.90500   1.44694   -0.15436   -0.39647   -0.90500   100.25330
26   1.44637   -0.15433   -0.39567   -0.90533   1.44637   -0.15433   -0.39567   -0.90533   100.27466
27   1.44566   -0.15482   -0.39631   -0.90509   1.44566   -0.15482   -0.39631   -0.90509   100.24414
28   1.44594   -0.15479   -0.39531   -0.90542   1.44594   -0.15479   -0.39531   -0.90542   100.28381
29   1.44637   -0.15503   -0.39616   -0.90506   1.44637   -0.15503   -0.39616   -0.90506   100.23499
30   1.44637   -0.15430   -0.39644   -0.90503   1.44637   -0.15430   -0.39644   -0.90503   100.26245
31   1.44580   -0.15473   -0.39720   -0.90466   1.44580   -0.15473   -0.39720   -0.90466   100.29297
32   1.44538   -0.15549   -0.39592   -0.90503   1.44538   -0.15549   -0.39592   -0.90503   100.28381
33   1.44552   -0.15467   -0.39668   -0.90481   1.44552   -0.15467   -0.39668   -0.90481   100.25330
34   1.44566   -0.15464   -0.39637   -0.90503   1.44566   -0.15464   -0.39637   -0.90503   100.24414
35   1.44538   -0.15510   -0.39610   -0.90500   1.44538   -0.15510   -0.39610   -0.90500   100.28381
36   1.44651   -0.15455   -0.39668   -0.90481   1.44651   -0.15455   -0.39668   -0.90481   100.26245
37   1.44623   -0.15519   -0.39567   -0.90521   1.44623   -0.15519   -0.39567   -0.90521   100.24414
38   1.44637   -0.15500   -0.39686   -0.90469   1.44637   -0.15500   -0.39686   -0.90469   100.25330
39   1.44637   -0.15528   -0.39494   -0.90555   1.44637   -0.15528   -0.39494   -0.90555   100.27466
40   1.44538   -0.15442   -0.39601   -0.90524   1.44538   -0.15442   -0.39601   -0.90524   100.25330
41   1.44566   -0.15458   -0.39628   -0.90509   1.44566   -0.15458   -0.39628   -0.90509   100.26245
42   1.44552   -0.15424   -0.39656   -0.90500   1.44552   -0.15424   -0.39656   -0.90500   100.27466
43   1.44623   -0.15564   -0.39677   -0.90463   1.44623   -0.15564   -0.39677   -0.90463   100.29297
44   1.44623   -0.15470   -0.39579   -0.90527   1.44623   -0.15470   -0.39579   -0.90527   100.23499
45   1.44523   -0.15503   -0.39628   -0.90490   1.44523   -0.15503   -0.39628   -0.90490   100.27466
46   1.44509   -0.15390   -0.39671   -0.90503   1.44509   -0.15390   -0.39671   -0.90503   100.26245
47   1.44623   -0.15421   -0.39708   -0.90469   1.44623   -0.15421   -0.39708   -0.90469   100.28381
48   1.44594   -0.15479   -0.39717   -0.90457   1.44594   -0.15479   -0.39717   -0.90457   100.24414
49   1.44424   -0.15476   -0.39647   -0.90490   1.44424   -0.15476   -0.39647   -0.90490   100.26245
50   1.44552   -0.15525   -0.39653   -0.90484   1.44552   -0.15525   -0.39653   -0.90484   100.28381
51   1.44580   -0.15455   -0.39637   -0.90500   1.44580   -0.15455   -0.39637   -0.90500   100.26245
52   1.44608   -0.15574   -0.39683   -0.90460   1.44608   -0.15574   -0.39683   -0.90460   100.24414
53   1.44637   -0.15506   -0.39653   -0.90478   1.44637   -0.15506   -0.39653   -0.90478   100.26245
54   1.44665   -0.15448   -0.39637   -0.90500   1.44665   -0.15448   -0.39637   -0.90500   100.27466
55   1.44594   -0.15485   -0.39671   -0.90484   1.44594   -0.15485   -0.39671   -0.90484   100.27466
56   1.44651   -0.15397   -0.39692   -0.90484   1.44651   -0.15397   -0.39692   -0.90484   100.28381
57   1.44637   -0.15482   -0.39662   -0.90478   1.44637   -0.15482   -0.39662   -0.90478   100.28381
58   1.44566   -0.15528   -0.39683   -0.90463   1.44566   -0.15528   -0.39683   -0.90463   100.25330
59   1.44608   -0.15567   -0.39698   -0.90454   1.44608   -0.15567   -0.39698   -0.90454   100.26245
60   1.44651   -0.15525   -0.39662   -0.90487   1.44651   -0.15525   -0.39662   -0.90487   100.25330
61   1.44665   -0.15445   -0.39726   -0.90469   1.44665   -0.15445   -0.39726   -0.90469   100.26245
62   1.44552   -0.15534   -0.39637   -0.90487   1.44552   -0.15534   -0.39637   -0.90487   100.25330
63   1.44538   -0.15497   -0.39650   -0.90481   1.44538   -0.15497   -0.39650   -0.90481   100.27466
64   1.44538   -0.15534   -0.39598   -0.90506   1.44538   -0.15534   -0.39598   -0.90506   100.27466
65   1.44623   -0.15442   -0.39692   -0.90475   1.44623   -0.15442   -0.39692   -0.90475   100.29297
66   1.44651   -0.15452   -0.39732   -0.90460   1.44651   -0.15452   -0.39732   -0.90460   100.25330
67   1.44580   -0.15506   -0.39698   -0.90469   1.44580   -0.15506   -0.39698   -0.90469   100.24414
68   1.44538   -0.15552   -0.39634   -0.90481   1.44538   -0.15552   -0.39634   -0.90481   100.26245
69   1.44566   -0.15629   -0.39607   -0.90487   1.44566   -0.15629   -0.39607   -0.90487   100.24414
70   1.44538   -0.15479   -0.39604   -0.90512   1.44538   -0.15479   -0.39604   -0.90512   100.25330
71   1.44580   -0.15513   -0.39625   -0.90497   1.44580   -0.15513   -0.39625   -0.90497   100.24414
72   1.44608   -0.15516   -0.39640   -0.90497   1.44608   -0.15516   -0.39640   -0.90497   100.27466
73   1.44552   -0.15464   -0.39671   -0.90478   1.44552   -0.15464   -0.39671   -0.90478   100.29297
74   1.44538   -0.15415   -0.39726   -0.90472   1.44538   -0.15415   -0.39726   -0.90472   100.23499
75   1.44580   -0.15577   -0.39674   -0.90472   1.44580   -0.15577   -0.39674   -0.90472   100.27466
76   1.44538   -0.15448   -0.39729   -0.90463   1.44538   -0.15448   -0.39729   -0.90463   100.30212
77   1.44665   -0.15506   -0.39650   -0.90484   1.44665   -0.15506   -0.39650   -0.90484   100.27466
78   1.44665   -0.15500   -0.39747   -0.90442   1.44665   -0.15500   -0.39747   -0.90442   100.25330
79   1.44722   -0.15555   -0.39766   -0.90432   1.44722   -0.15555   -0.39766   -0.90432   100.28381
80   1.44680   -0.15482   -0.39695   -0.90469   1.44680   -0.15482   -0.39695   -0.90469   100.29297
81   1.44623   -0.15555   -0.39680   -0.90460   1.44623   -0.15555   -0.39680   -0.90460   100.28381
82   1.44538   -0.15564   -0.39637   -0.90481   1.44538   -0.15564   -0.39637   -0.90481   100.24414
83   1.44481   -0.15598   -0.39625   -0.90484   1.44481   -0.15598   -0.39625   -0.90484   100.27466
84   1.44552   -0.15598   -0.39708   -0.90448   1.44552   -0.15598   -0.39708   -0.90448   100.28381
85   1.44552   -0.15531   -0.39769   -0.90439   1.44552   -0.15531   -0.39769   -0.90439   100.25330
86   1.44538   -0.15552   -0.39674   -0.90475   1.44538   -0.15552   -0.39674   -0.90475   100.25330
87   1.44594   -0.15528   -0.39616   -0.90500   1.44594   -0.15528   -0.39616   -0.90500   100.25330
88   1.44608   -0.15674   -0.39650   -0.90463   1.44608   -0.15674   -0.39650   -0.90463   100.28381
89   1.44665   -0.15552   -0.39705   -0.90457   1.44665   -0.15552   -0.39705   -0.90457   100.25330
90   1.44665   -0.15659   -0.39665   -0.90454   1.44665   -0.15659   -0.39665   -0.90454   100.29297
91   1.44608   -0.15751   -0.39708   -0.90414   1.44608   -0.15751   -0.39708   -0.90414   100.31128
92   1.44580   -0.15625   -0.39750   -0.90420   1.44580   -0.15625   -0.39750   -0.90420   100.29297
93   1.44637   -0.15641   -0.39717   -0.90435   1.44637   -0.15641   -0.39717   -0.90435   100.25330
94   1.44566   -0.15711   -0.39735   -0.90414   1.44566   -0.15711   -0.39735   -0.90414   100.27466
95   1.44552   -0.15571   -0.39644   -0.90487   1.44552   -0.15571   -0.39644   -0.90487   100.25330
96   1.44722   -0.15683   -0.39744   -0.90414   1.44722   -0.15683   -0.39744   -0.90414   100.26245
97   1.44665   -0.15540   -0.39720   -0.90454   1.44665   -0.15540   -0.39720   -0.90454   100.24414
98   1.44594   -0.15622   -0.39683   -0.90454   1.44594   -0.15622   -0.39683   -0.90454   100.26245
99   1.44694   -0.15735   -0.39702   -0.90429   1.44694   -0.15735   -0.39702   -0.90429   100.28381
100   1.44594   -0.15702   -0.39567   -0.90490   1.44594   -0.15702   -0.39567   -0.90490   100.25330
101   1.44594   -0.15763   -0.39726   -0.90408   1.44594   -0.15763   -0.39726   -0.90408   100.29297
102   1.44509   -0.15693   -0.39772   -0.90411   1.44509   -0.15693   -0.39772   -0.90411   100.27466
103   1.44452   -0.15662   -0.39705   -0.90439   1.44452   -0.15662   -0.39705   -0.90439   100.25330
104   1.44523   -0.15839   -0.39735   -0.90399   1.44523   -0.15839   -0.39735   -0.90399   100.24414
105   1.44495   -0.15644   -0.39793   -0.90390   1.44495   -0.15644   -0.39793   -0.90390   100.27466
106   1.44566   -0.15751   -0.39702   -0.90417   1.44566   -0.15751   -0.39702   -0.90417   100.27466
107   1.44623   -0.15754   -0.39717   -0.90417   1.44623   -0.15754   -0.39717   -0.90417   100.26245
108   1.44680   -0.15784   -0.39723   -0.90405   1.44680   -0.15784   -0.39723   -0.90405   100.27466
109   1.44623   -0.15653   -0.39717   -0.90435   1.44623   -0.15653   -0.39717   -0.90435   100.26245
110   1.44722   -0.15741   -0.39653   -0.90445   1.44722   -0.15741   -0.39653   -0.90445   100.28381
111   1.44722   -0.15757   -0.39698   -0.90423   1.44722   -0.15757   -0.39698   -0.90423   100.26245
112   1.44680   -0.15732   -0.39735   -0.90405   1.44680   -0.15732   -0.39735   -0.90405   100.28381
113   1.44594   -0.15638   -0.39793   -0.90405   1.44594   -0.15638   -0.39793   -0.90405   100.27466
114   1.44538   -0.15738   -0.39604   -0.90472   1.44538   -0.15738   -0.39604   -0.90472   100.24414
115   1.44495   -0.15662   -0.39766   -0.90411   1.44495   -0.15662   -0.39766   -0.90411   100.25330
116   1.44523   -0.15824   -0.39564   -0.90466   1.44523   -0.15824   -0.39564   -0.90466   100.30212
117   1.44580   -0.15757   -0.39692   -0.90417   1.44580   -0.15757   -0.39692   -0.90417   100.29297
118   1.44623   -0.15781   -0.39683   -0.90420   1.44623   -0.15781   -0.39683   -0.90420   100.26245
119   1.44608   -0.15738   -0.39747   -0.90405   1.44608   -0.15738   -0.39747   -0.90405   100.28381
120   1.44594   -0.15726   -0.39750   -0.90402   1.44594   -0.15726   -0.39750   -0.90402   100.28381
121   1.44637   -0.15717   -0.39683   -0.90435   1.44637   -0.15717   -0.39683   -0.90435   100.30212
122   1.44651   -0.15717   -0.39631   -0.90451   1.44651   -0.15717   -0.39631   -0.90451   100.28381
123   1.44637   -0.15708   -0.39726   -0.90414   1.44637   -0.15708   -0.39726   -0.90414   100.28381
124   1.44608   -0.15772   -0.39763   -0.90399   1.44608   -0.15772   -0.39763   -0.90399   100.29297
125   1.44566   -0.15720   -0.39772   -0.90402   1.44566   -0.15720   -0.39772   -0.90402   100.27466
