Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 10:50:21 1/24/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   1.54932   -0.78985   0.07917   0.60836   1.54932   -0.78985   0.07917   0.60836   98.56873
2   1.54875   -0.78448   0.08246   0.61476   1.54875   -0.78448   0.08246   0.61476   98.55042
3   1.54903   -0.78292   0.08353   0.61663   1.54903   -0.78292   0.08353   0.61663   98.52295
4   1.54903   -0.78280   0.08377   0.61663   1.54903   -0.78280   0.08377   0.61663   98.52295
5   1.54747   -0.78561   0.08112   0.61348   1.54747   -0.78561   0.08112   0.61348   98.55652
6   1.54705   -0.78866   0.07929   0.60985   1.54705   -0.78866   0.07929   0.60985   98.57483
7   1.54775   -0.78826   0.08005   0.61022   1.54775   -0.78826   0.08005   0.61022   98.55957
8   1.54875   -0.78555   0.08252   0.61345   1.54875   -0.78555   0.08252   0.61345   98.53210
9   1.54790   -0.78298   0.08319   0.61660   1.54790   -0.78298   0.08319   0.61660   98.55957
10   1.54790   -0.78338   0.08261   0.61617   1.54790   -0.78338   0.08261   0.61617   98.50464
11   1.54917   -0.78689   0.07999   0.61199   1.54917   -0.78689   0.07999   0.61199   98.49548
12   1.54989   -0.78686   0.08075   0.61205   1.54989   -0.78686   0.08075   0.61205   98.50464
13   1.54989   -0.78597   0.08133   0.61303   1.54989   -0.78597   0.08133   0.61303   98.53210
14   1.54861   -0.78463   0.08197   0.61461   1.54861   -0.78463   0.08197   0.61461   98.52295
15   1.54917   -0.78436   0.08206   0.61498   1.54917   -0.78436   0.08206   0.61498   98.44971
16   1.54804   -0.78454   0.08118   0.61489   1.54804   -0.78454   0.08118   0.61489   98.48633
17   1.54861   -0.78552   0.08133   0.61361   1.54861   -0.78552   0.08133   0.61361   98.58704
18   1.54917   -0.78607   0.08115   0.61284   1.54917   -0.78607   0.08115   0.61284   98.52295
19   1.54889   -0.78527   0.08161   0.61385   1.54889   -0.78527   0.08161   0.61385   98.49548
20   1.54832   -0.78478   0.08228   0.61434   1.54832   -0.78478   0.08228   0.61434   98.53210
21   1.54861   -0.78466   0.08231   0.61470   1.54861   -0.78466   0.08231   0.61470   98.52295
22   1.54775   -0.78536   0.08219   0.61370   1.54775   -0.78536   0.08219   0.61370   98.54126
23   1.54747   -0.78436   0.08277   0.61489   1.54747   -0.78436   0.08277   0.61489   98.53821
24   1.54903   -0.78152   0.08335   0.61843   1.54903   -0.78152   0.08335   0.61843   98.46802
25   1.54790   -0.78249   0.08335   0.61721   1.54790   -0.78249   0.08335   0.61721   98.50464
26   1.54861   -0.78494   0.08188   0.61428   1.54861   -0.78494   0.08188   0.61428   98.49548
27   1.54946   -0.78695   0.07974   0.61190   1.54946   -0.78695   0.07974   0.61190   98.50464
28   1.54875   -0.78552   0.08203   0.61345   1.54875   -0.78552   0.08203   0.61345   98.52295
29   1.54818   -0.78292   0.08261   0.61666   1.54818   -0.78292   0.08261   0.61666   98.50464
30   1.54818   -0.78347   0.08234   0.61611   1.54818   -0.78347   0.08234   0.61611   98.52295
31   1.54861   -0.78469   0.08121   0.61473   1.54861   -0.78469   0.08121   0.61473   98.53210
32   1.54903   -0.78539   0.08029   0.61394   1.54903   -0.78539   0.08029   0.61394   98.56873
33   1.54889   -0.78335   0.08258   0.61611   1.54889   -0.78335   0.08258   0.61611   98.52295
