Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   1.55045   -0.78011   0.08371   0.62014   1.55045   -0.78011   0.08371   0.62014   98.41309
2   1.55031   -0.77905   0.08390   0.62139   1.55031   -0.77905   0.08390   0.62139   98.40393
3   1.54960   -0.78021   0.08591   0.61980   1.54960   -0.78021   0.08591   0.61980   98.45886
4   1.54989   -0.77990   0.08625   0.62004   1.54989   -0.77990   0.08625   0.62004   98.40393
5   1.55031   -0.78002   0.08606   0.61986   1.55031   -0.78002   0.08606   0.61986   98.43140
6   1.54989   -0.77935   0.08646   0.62081   1.54989   -0.77935   0.08646   0.62081   98.44055
7   1.54974   -0.78060   0.08515   0.61931   1.54974   -0.78060   0.08515   0.61931   98.42224
8   1.54960   -0.78048   0.08509   0.61946   1.54960   -0.78048   0.08509   0.61946   98.41309
9   1.54989   -0.78140   0.08487   0.61840   1.54989   -0.78140   0.08487   0.61840   98.41309
10   1.54974   -0.78088   0.08658   0.61885   1.54974   -0.78088   0.08658   0.61885   98.42224
11   1.54974   -0.78100   0.08725   0.61846   1.54974   -0.78100   0.08725   0.61846   98.44971
12   1.55017   -0.78018   0.08713   0.61965   1.55017   -0.78018   0.08713   0.61965   98.41309
13   1.55031   -0.77966   0.08835   0.62017   1.55031   -0.77966   0.08835   0.62017   98.41309
14   1.54960   -0.77841   0.08856   0.62151   1.54960   -0.77841   0.08856   0.62151   98.45886
15   1.54889   -0.78072   0.08805   0.61885   1.54889   -0.78072   0.08805   0.61885   98.44971
16   1.54889   -0.78188   0.08719   0.61739   1.54889   -0.78188   0.08719   0.61739   98.42224
17   1.54989   -0.78014   0.08798   0.61950   1.54989   -0.78014   0.08798   0.61950   98.41309
18   1.55003   -0.78027   0.08856   0.61934   1.55003   -0.78027   0.08856   0.61934   98.43140
19   1.55059   -0.78024   0.08869   0.61922   1.55059   -0.78024   0.08869   0.61922   98.42224
20   1.55031   -0.78231   0.08838   0.61672   1.55031   -0.78231   0.08838   0.61672   98.43140
21   1.54989   -0.78176   0.08960   0.61718   1.54989   -0.78176   0.08960   0.61718   98.44971
22   1.54974   -0.78091   0.08991   0.61818   1.54974   -0.78091   0.08991   0.61818   98.44971
23   1.55031   -0.78045   0.08988   0.61882   1.55031   -0.78045   0.08988   0.61882   98.42224
24   1.54989   -0.77956   0.09116   0.61980   1.54989   -0.77956   0.09116   0.61980   98.44971
25   1.54974   -0.77996   0.09049   0.61943   1.54974   -0.77996   0.09049   0.61943   98.44971
26   1.54903   -0.77902   0.08988   0.62065   1.54903   -0.77902   0.08988   0.62065   98.44971
27   1.55045   -0.77981   0.09040   0.61962   1.55045   -0.77981   0.09040   0.61962   98.39478
28   1.55003   -0.77993   0.09037   0.61931   1.55003   -0.77993   0.09037   0.61931   98.45886
29   1.54960   -0.78066   0.08908   0.61882   1.54960   -0.78066   0.08908   0.61882   98.44971
30   1.54989   -0.78024   0.08985   0.61907   1.54989   -0.78024   0.08985   0.61907   98.44055
31   1.55045   -0.77978   0.08921   0.61977   1.55045   -0.77978   0.08921   0.61977   98.44055
32   1.54917   -0.77911   0.09091   0.62038   1.54917   -0.77911   0.09091   0.62038   98.44055
33   1.54974   -0.77960   0.09024   0.61989   1.54974   -0.77960   0.09024   0.61989   98.40393
34   1.54960   -0.78069   0.08930   0.61870   1.54960   -0.78069   0.08930   0.61870   98.42224
35   1.55003   -0.78045   0.08963   0.61882   1.55003   -0.78045   0.08963   0.61882   98.41309
36   1.55059   -0.77813   0.09079   0.62163   1.55059   -0.77813   0.09079   0.62163   98.43140
37   1.55102   -0.77584   0.09098   0.62441   1.55102   -0.77584   0.09098   0.62441   98.40698
38   1.55031   -0.77572   0.09183   0.62453   1.55031   -0.77572   0.09183   0.62453   98.40393
39   1.55088   -0.78005   0.08924   0.61934   1.55088   -0.78005   0.08924   0.61934   98.41309
40   1.55031   -0.78121   0.08847   0.61815   1.55031   -0.78121   0.08847   0.61815   98.40393
41   1.55017   -0.78027   0.08881   0.61922   1.55017   -0.78027   0.08881   0.61922   98.44971
42   1.55045   -0.77551   0.09140   0.62484   1.55045   -0.77551   0.09140   0.62484   98.41309
43   1.55045   -0.77544   0.09070   0.62505   1.55045   -0.77544   0.09070   0.62505   98.36731
44   1.54889   -0.78011   0.08823   0.61943   1.54889   -0.78011   0.08823   0.61943   98.45886
45   1.54974   -0.78213   0.08795   0.61702   1.54974   -0.78213   0.08795   0.61702   98.47717
46   1.55017   -0.77688   0.08966   0.62331   1.55017   -0.77688   0.08966   0.62331   98.40393
47   1.55003   -0.77132   0.09323   0.62969   1.55003   -0.77132   0.09323   0.62969   98.37646
48   1.55088   -0.77148   0.09214   0.62975   1.55088   -0.77148   0.09214   0.62975   98.38562
49   1.55059   -0.77709   0.08963   0.62307   1.55059   -0.77709   0.08963   0.62307   98.37646
50   1.54946   -0.77917   0.08789   0.62069   1.54946   -0.77917   0.08789   0.62069   98.47717
51   1.54989   -0.77731   0.08835   0.62291   1.54989   -0.77731   0.08835   0.62291   98.38562
52   1.54960   -0.77459   0.09146   0.62587   1.54960   -0.77459   0.09146   0.62587   98.37646
53   1.55017   -0.77218   0.09330   0.62853   1.55017   -0.77218   0.09330   0.62853   98.40393
54   1.55031   -0.77398   0.08988   0.62679   1.55031   -0.77398   0.08988   0.62679   98.37646
55   1.55031   -0.77798   0.08789   0.62221   1.55031   -0.77798   0.08789   0.62221   98.39478
56   1.55074   -0.77444   0.08939   0.62636   1.55074   -0.77444   0.08939   0.62636   98.36731
57   1.55017   -0.77053   0.09183   0.63094   1.55017   -0.77053   0.09183   0.63094   98.35815
58   1.55031   -0.77017   0.09052   0.63155   1.55031   -0.77017   0.09052   0.63155   98.32153
59   1.54989   -0.77157   0.08893   0.63005   1.54989   -0.77157   0.08893   0.63005   98.39478
60   1.55059   -0.77441   0.08640   0.62688   1.55059   -0.77441   0.08640   0.62688   98.37646
61   1.55045   -0.77209   0.08945   0.62932   1.55045   -0.77209   0.08945   0.62932   98.37646
62   1.54974   -0.77264   0.08838   0.62880   1.54974   -0.77264   0.08838   0.62880   98.39478
63   1.55102   -0.76946   0.09452   0.63186   1.55102   -0.76946   0.09452   0.63186   98.36121
64   1.55074   -0.77395   0.08853   0.62706   1.55074   -0.77395   0.08853   0.62706   98.41309
65   1.55031   -0.77749   0.08637   0.62310   1.55031   -0.77749   0.08637   0.62310   98.39478
66   1.55017   -0.75842   0.09799   0.64449   1.55017   -0.75842   0.09799   0.64449   98.30322
67   1.55031   -0.77377   0.08762   0.62743   1.55031   -0.77377   0.08762   0.62743   98.37646
68   1.54960   -0.78829   0.07718   0.61049   1.54960   -0.78829   0.07718   0.61049   98.56873
69   1.54989   -0.76916   0.08957   0.63277   1.54989   -0.76916   0.08957   0.63277   98.35815
70   1.55003   -0.76296   0.09415   0.63952   1.55003   -0.76296   0.09415   0.63952   98.33984
71   1.55031   -0.76305   0.09284   0.63973   1.55031   -0.76305   0.09284   0.63973   98.30322
72   1.54974   -0.76540   0.09018   0.63726   1.54974   -0.76540   0.09018   0.63726   98.35815
73   1.55003   -0.77795   0.08441   0.62282   1.55003   -0.77795   0.08441   0.62282   98.41309
74   1.55045   -0.77602   0.08350   0.62532   1.55045   -0.77602   0.08350   0.62532   98.43140
