Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 11:4:48 1/24/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   1.52489   -0.46229   -0.40175   -0.79052   1.52489   -0.46229   -0.40175   -0.79052   100.00000
2   1.52489   -0.46165   -0.40098   -0.79125   1.52489   -0.46165   -0.40098   -0.79125   100.01831
3   1.52461   -0.46138   -0.40141   -0.79122   1.52461   -0.46138   -0.40141   -0.79122   100.03662
4   1.52489   -0.46010   -0.40095   -0.79223   1.52489   -0.46010   -0.40095   -0.79223   100.00916
5   1.52589   -0.46052   -0.40095   -0.79205   1.52589   -0.46052   -0.40095   -0.79205   100.00916
6   1.52532   -0.46101   -0.40083   -0.79174   1.52532   -0.46101   -0.40083   -0.79174   100.02747
7   1.52560   -0.46126   -0.40114   -0.79147   1.52560   -0.46126   -0.40114   -0.79147   100.01831
8   1.52489   -0.45930   -0.40156   -0.79241   1.52489   -0.45930   -0.40156   -0.79241   100.00916
9   1.52504   -0.45997   -0.40098   -0.79232   1.52504   -0.45997   -0.40098   -0.79232   100.01831
10   1.52475   -0.46059   -0.40104   -0.79186   1.52475   -0.46059   -0.40104   -0.79186   100.02747
11   1.52489   -0.46123   -0.40135   -0.79128   1.52489   -0.46123   -0.40135   -0.79128   100.02747
12   1.52418   -0.46074   -0.40010   -0.79220   1.52418   -0.46074   -0.40010   -0.79220   100.01831
13   1.52546   -0.46010   -0.40144   -0.79202   1.52546   -0.46010   -0.40144   -0.79202   100.01831
14   1.52589   -0.45976   -0.40004   -0.79293   1.52589   -0.45976   -0.40004   -0.79293   100.01831
15   1.52617   -0.45967   -0.40052   -0.79272   1.52617   -0.45967   -0.40052   -0.79272   100.00000
16   1.52631   -0.45961   -0.40114   -0.79235   1.52631   -0.45961   -0.40114   -0.79235   100.01831
17   1.52589   -0.46010   -0.40043   -0.79247   1.52589   -0.46010   -0.40043   -0.79247   100.04578
18   1.52589   -0.46059   -0.40019   -0.79229   1.52589   -0.46059   -0.40019   -0.79229   100.02747
19   1.52617   -0.45952   -0.40126   -0.79232   1.52617   -0.45952   -0.40126   -0.79232   100.00916
20   1.52504   -0.45936   -0.40126   -0.79238   1.52504   -0.45936   -0.40126   -0.79238   100.01831
21   1.52461   -0.45912   -0.40086   -0.79278   1.52461   -0.45912   -0.40086   -0.79278   100.03662
22   1.52461   -0.45985   -0.40077   -0.79247   1.52461   -0.45985   -0.40077   -0.79247   100.01831
23   1.52489   -0.45924   -0.40049   -0.79293   1.52489   -0.45924   -0.40049   -0.79293   100.00916
24   1.52432   -0.45988   -0.39979   -0.79290   1.52432   -0.45988   -0.39979   -0.79290   100.01831
25   1.52504   -0.45903   -0.40074   -0.79293   1.52504   -0.45903   -0.40074   -0.79293   100.05493
26   1.52589   -0.45729   -0.40095   -0.79379   1.52589   -0.45729   -0.40095   -0.79379   100.01831
27   1.52617   -0.45854   -0.40049   -0.79339   1.52617   -0.45854   -0.40049   -0.79339   99.98779
28   1.52589   -0.45964   -0.40016   -0.79290   1.52589   -0.45964   -0.40016   -0.79290   100.02747
29   1.52575   -0.46028   -0.40007   -0.79260   1.52575   -0.46028   -0.40007   -0.79260   100.02747
30   1.52546   -0.45949   -0.40095   -0.79263   1.52546   -0.45949   -0.40095   -0.79263   100.00000
31   1.52575   -0.45769   -0.40004   -0.79400   1.52575   -0.45769   -0.40004   -0.79400   100.03662
32   1.52518   -0.45802   -0.40077   -0.79354   1.52518   -0.45802   -0.40077   -0.79354   100.01831
33   1.52475   -0.45811   -0.40071   -0.79345   1.52475   -0.45811   -0.40071   -0.79345   100.01831
34   1.52532   -0.45903   -0.40022   -0.79312   1.52532   -0.45903   -0.40022   -0.79312   100.00916
35   1.52532   -0.45839   -0.40056   -0.79345   1.52532   -0.45839   -0.40056   -0.79345   100.00000
36   1.52518   -0.45872   -0.40010   -0.79342   1.52518   -0.45872   -0.40010   -0.79342   100.01831
