Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 11:21:38 1/24/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   1.54335   -0.79742   0.07978   0.59825   1.54335   -0.79742   0.07978   0.59825   98.72742
2   1.54321   -0.79797   0.08029   0.59737   1.54321   -0.79797   0.08029   0.59737   98.78540
3   1.54350   -0.79705   0.08084   0.59868   1.54350   -0.79705   0.08084   0.59868   98.77625
4   1.54250   -0.79775   0.07880   0.59798   1.54250   -0.79775   0.07880   0.59798   98.76404
5   1.54364   -0.79757   0.08008   0.59795   1.54364   -0.79757   0.08008   0.59795   98.73962
6   1.54335   -0.79815   0.08023   0.59731   1.54335   -0.79815   0.08023   0.59731   98.75793
7   1.54335   -0.79788   0.07956   0.59771   1.54335   -0.79788   0.07956   0.59771   98.75793
8   1.54293   -0.79778   0.08017   0.59774   1.54293   -0.79778   0.08017   0.59774   98.74573
9   1.54293   -0.79794   0.07990   0.59755   1.54293   -0.79794   0.07990   0.59755   98.75488
10   1.54378   -0.79724   0.07929   0.59853   1.54378   -0.79724   0.07929   0.59853   98.73962
11   1.54421   -0.79745   0.08008   0.59819   1.54421   -0.79745   0.08008   0.59819   98.73047
12   1.54264   -0.79797   0.07984   0.59755   1.54264   -0.79797   0.07984   0.59755   98.73657
13   1.54307   -0.79757   0.08023   0.59801   1.54307   -0.79757   0.08023   0.59801   98.74573
14   1.54392   -0.79778   0.07944   0.59777   1.54392   -0.79778   0.07944   0.59777   98.73047
15   1.54378   -0.79778   0.08032   0.59767   1.54378   -0.79778   0.08032   0.59767   98.76709
16   1.54350   -0.79797   0.07996   0.59749   1.54350   -0.79797   0.07996   0.59749   98.74878
17   1.54293   -0.79763   0.08039   0.59792   1.54293   -0.79763   0.08039   0.59792   98.77319
18   1.54307   -0.79821   0.07917   0.59722   1.54307   -0.79821   0.07917   0.59722   98.74573
19   1.54264   -0.79821   0.08032   0.59716   1.54264   -0.79821   0.08032   0.59716   98.74573
20   1.54307   -0.79727   0.07883   0.59856   1.54307   -0.79727   0.07883   0.59856   98.73657
21   1.54321   -0.79775   0.08005   0.59777   1.54321   -0.79775   0.08005   0.59777   98.75488
22   1.54278   -0.79678   0.08063   0.59905   1.54278   -0.79678   0.08063   0.59905   98.76404
23   1.54307   -0.79769   0.07941   0.59795   1.54307   -0.79769   0.07941   0.59795   98.73657
24   1.54335   -0.79708   0.07968   0.59877   1.54335   -0.79708   0.07968   0.59877   98.74573
25   1.54321   -0.79772   0.07987   0.59789   1.54321   -0.79772   0.07987   0.59789   98.76404
26   1.54392   -0.79727   0.08011   0.59838   1.54392   -0.79727   0.08011   0.59838   98.75793
27   1.54406   -0.79754   0.07953   0.59816   1.54406   -0.79754   0.07953   0.59816   98.75793
28   1.54449   -0.79751   0.07981   0.59804   1.54449   -0.79751   0.07981   0.59804   98.76709
29   1.54364   -0.79717   0.07981   0.59865   1.54364   -0.79717   0.07981   0.59865   98.75793
30   1.54321   -0.79632   0.08005   0.59966   1.54321   -0.79632   0.08005   0.59966   98.76404
31   1.54264   -0.79708   0.07971   0.59865   1.54264   -0.79708   0.07971   0.59865   98.77319
32   1.54321   -0.79739   0.08060   0.59819   1.54321   -0.79739   0.08060   0.59819   98.77319
33   1.54307   -0.79690   0.08057   0.59880   1.54307   -0.79690   0.08057   0.59880   98.73657
34   1.54250   -0.79644   0.08075   0.59938   1.54250   -0.79644   0.08075   0.59938   98.73657
35   1.54278   -0.79788   0.07993   0.59761   1.54278   -0.79788   0.07993   0.59761   98.75488
36   1.54278   -0.79644   0.08036   0.59944   1.54278   -0.79644   0.08036   0.59944   98.74573
37   1.54278   -0.79653   0.08112   0.59935   1.54278   -0.79653   0.08112   0.59935   98.77319
38   1.54350   -0.79748   0.08032   0.59819   1.54350   -0.79748   0.08032   0.59819   98.77625
39   1.54406   -0.79699   0.08036   0.59871   1.54406   -0.79699   0.08036   0.59871   98.75793
40   1.54406   -0.79690   0.08045   0.59896   1.54406   -0.79690   0.08045   0.59896   98.77625
