Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   1.55840   -0.15619   0.93487   -0.31922   1.55840   -0.15619   0.93487   -0.31922   99.04175
2   1.55911   -0.15604   0.93448   -0.32011   1.55911   -0.15604   0.93448   -0.32011   99.06006
3   1.55911   -0.15583   0.93506   -0.31883   1.55911   -0.15583   0.93506   -0.31883   99.05090
4   1.55940   -0.15543   0.93484   -0.31941   1.55940   -0.15543   0.93484   -0.31941   99.02344
5   1.55911   -0.15574   0.93448   -0.32063   1.55911   -0.15574   0.93448   -0.32063   99.07837
6   1.55954   -0.15699   0.93475   -0.31904   1.55954   -0.15699   0.93475   -0.31904   99.00513
7   1.55911   -0.15586   0.93466   -0.31993   1.55911   -0.15586   0.93466   -0.31993   99.03259
8   1.55954   -0.15564   0.93493   -0.31916   1.55954   -0.15564   0.93493   -0.31916   98.99597
9   1.55911   -0.15583   0.93451   -0.32035   1.55911   -0.15583   0.93451   -0.32035   99.01428
10   1.55840   -0.15693   0.93432   -0.32041   1.55840   -0.15693   0.93432   -0.32041   99.06921
11   1.55855   -0.15738   0.93435   -0.31977   1.55855   -0.15738   0.93435   -0.31977   99.06921
12   1.55869   -0.15781   0.93457   -0.31928   1.55869   -0.15781   0.93457   -0.31928   99.03259
13   1.55826   -0.15680   0.93466   -0.31928   1.55826   -0.15680   0.93466   -0.31928   99.06006
14   1.55855   -0.15604   0.93426   -0.32078   1.55855   -0.15604   0.93426   -0.32078   99.02344
15   1.55826   -0.15583   0.93478   -0.31959   1.55826   -0.15583   0.93478   -0.31959   99.04175
16   1.55897   -0.15699   0.93475   -0.31892   1.55897   -0.15699   0.93475   -0.31892   99.04175
17   1.55883   -0.15659   0.93481   -0.31889   1.55883   -0.15659   0.93481   -0.31889   99.03259
18   1.55911   -0.15610   0.93469   -0.31965   1.55911   -0.15610   0.93469   -0.31965   99.05090
19   1.55926   -0.15696   0.93454   -0.31986   1.55926   -0.15696   0.93454   -0.31986   99.04175
20   1.55911   -0.15702   0.93454   -0.31962   1.55911   -0.15702   0.93454   -0.31962   99.04175
21   1.55897   -0.15668   0.93469   -0.31938   1.55897   -0.15668   0.93469   -0.31938   99.02344
22   1.55926   -0.15653   0.93457   -0.31962   1.55926   -0.15653   0.93457   -0.31962   99.06006
23   1.55897   -0.15592   0.93451   -0.32044   1.55897   -0.15592   0.93451   -0.32044   99.03259
24   1.55840   -0.15622   0.93478   -0.31919   1.55840   -0.15622   0.93478   -0.31919   99.01428
25   1.55826   -0.15601   0.93435   -0.32057   1.55826   -0.15601   0.93435   -0.32057   99.05090
26   1.55798   -0.15610   0.93466   -0.31968   1.55798   -0.15610   0.93466   -0.31968   99.05090
27   1.55883   -0.15586   0.93490   -0.31910   1.55883   -0.15586   0.93490   -0.31910   99.01428
28   1.55926   -0.15674   0.93429   -0.32035   1.55926   -0.15674   0.93429   -0.32035   99.01428
29   1.55869   -0.15653   0.93432   -0.32047   1.55869   -0.15653   0.93432   -0.32047   99.06921
30   1.55911   -0.15632   0.93463   -0.31993   1.55911   -0.15632   0.93463   -0.31993   99.04175
31   1.55869   -0.15665   0.93454   -0.31974   1.55869   -0.15665   0.93454   -0.31974   99.03259
32   1.55911   -0.15632   0.93445   -0.32011   1.55911   -0.15632   0.93445   -0.32011   99.01428
33   1.55897   -0.15647   0.93469   -0.31953   1.55897   -0.15647   0.93469   -0.31953   99.03259
34   1.55826   -0.15616   0.93448   -0.32032   1.55826   -0.15616   0.93448   -0.32032   99.01428
35   1.55755   -0.15668   0.93481   -0.31910   1.55755   -0.15668   0.93481   -0.31910   99.04175
36   1.55826   -0.15656   0.93463   -0.31956   1.55826   -0.15656   0.93463   -0.31956   99.04175
37   1.55840   -0.15677   0.93490   -0.31864   1.55840   -0.15677   0.93490   -0.31864   99.02344
38   1.55826   -0.15571   0.93481   -0.31932   1.55826   -0.15571   0.93481   -0.31932   99.05090
39   1.55869   -0.15693   0.93493   -0.31861   1.55869   -0.15693   0.93493   -0.31861   99.04175
40   1.55840   -0.15671   0.93466   -0.31953   1.55840   -0.15671   0.93466   -0.31953   99.06921
41   1.55940   -0.15674   0.93481   -0.31904   1.55940   -0.15674   0.93481   -0.31904   99.07837
42   1.55926   -0.15632   0.93478   -0.31944   1.55926   -0.15632   0.93478   -0.31944   99.02344
43   1.55897   -0.15647   0.93475   -0.31944   1.55897   -0.15647   0.93475   -0.31944   98.99597
44   1.55812   -0.15726   0.93466   -0.31922   1.55812   -0.15726   0.93466   -0.31922   99.03259
45   1.55855   -0.15763   0.93478   -0.31886   1.55855   -0.15763   0.93478   -0.31886   99.02344
46   1.55883   -0.15741   0.93426   -0.32008   1.55883   -0.15741   0.93426   -0.32008   99.04175
47   1.55826   -0.15662   0.93487   -0.31883   1.55826   -0.15662   0.93487   -0.31883   99.05090
