Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   1.52063   -0.60308   -0.36409   -0.70971   1.52063   -0.60308   -0.36409   -0.70971   99.87793
2   1.52092   -0.60240   -0.36445   -0.71014   1.52092   -0.60240   -0.36445   -0.71014   99.88708
3   1.51992   -0.60417   -0.36320   -0.70922   1.51992   -0.60417   -0.36320   -0.70922   99.86877
4   1.52021   -0.60289   -0.36360   -0.71010   1.52021   -0.60289   -0.36360   -0.71010   99.83826
5   1.52007   -0.60240   -0.36314   -0.71084   1.52007   -0.60240   -0.36314   -0.71084   99.86877
6   1.52049   -0.60292   -0.36247   -0.71075   1.52049   -0.60292   -0.36247   -0.71075   99.85962
7   1.52120   -0.60268   -0.36305   -0.71078   1.52120   -0.60268   -0.36305   -0.71078   99.84131
8   1.52163   -0.60277   -0.36225   -0.71096   1.52163   -0.60277   -0.36225   -0.71096   99.82910
9   1.52134   -0.60292   -0.36155   -0.71123   1.52134   -0.60292   -0.36155   -0.71123   99.87793
10   1.52148   -0.60308   -0.36259   -0.71053   1.52148   -0.60308   -0.36259   -0.71053   99.87793
11   1.52134   -0.60295   -0.36274   -0.71053   1.52134   -0.60295   -0.36274   -0.71053   99.86877
12   1.52092   -0.60298   -0.36326   -0.71023   1.52092   -0.60298   -0.36326   -0.71023   99.85962
13   1.52035   -0.60204   -0.36467   -0.71026   1.52035   -0.60204   -0.36467   -0.71026   99.89624
14   1.52077   -0.60332   -0.36225   -0.71053   1.52077   -0.60332   -0.36225   -0.71053   99.86877
15   1.52106   -0.60207   -0.36277   -0.71136   1.52106   -0.60207   -0.36277   -0.71136   99.85962
16   1.52077   -0.60323   -0.36265   -0.71032   1.52077   -0.60323   -0.36265   -0.71032   99.86877
17   1.52049   -0.60311   -0.36268   -0.71044   1.52049   -0.60311   -0.36268   -0.71044   99.86877
18   1.52148   -0.60234   -0.36308   -0.71090   1.52148   -0.60234   -0.36308   -0.71090   99.85962
