Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 14:10:45 1/24/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   1.52944   -0.93829   -0.05768   0.34120   1.52944   -0.93829   -0.05768   0.34120   99.45068
2   1.52859   -0.93826   -0.05679   0.34147   1.52859   -0.93826   -0.05679   0.34147   99.43237
3   1.52731   -0.93857   -0.05655   0.34062   1.52731   -0.93857   -0.05655   0.34062   99.44153
4   1.52830   -0.93841   -0.05664   0.34104   1.52830   -0.93841   -0.05664   0.34104   99.47815
5   1.52859   -0.93844   -0.05637   0.34086   1.52859   -0.93844   -0.05637   0.34086   99.48730
6   1.52759   -0.93857   -0.05673   0.34059   1.52759   -0.93857   -0.05673   0.34059   99.45068
7   1.52901   -0.93835   -0.05716   0.34120   1.52901   -0.93835   -0.05716   0.34120   99.41406
8   1.52986   -0.93869   -0.05527   0.34053   1.52986   -0.93869   -0.05527   0.34053   99.45068
9   1.53000   -0.93838   -0.05658   0.34104   1.53000   -0.93838   -0.05658   0.34104   99.45984
10   1.53015   -0.93878   -0.05560   0.34025   1.53015   -0.93878   -0.05560   0.34025   99.45068
11   1.52972   -0.93847   -0.05747   0.34050   1.52972   -0.93847   -0.05747   0.34050   99.45068
12   1.52915   -0.93835   -0.05747   0.34104   1.52915   -0.93835   -0.05747   0.34104   99.43237
13   1.52930   -0.93851   -0.05646   0.34092   1.52930   -0.93851   -0.05646   0.34092   99.44153
14   1.53057   -0.93866   -0.05728   0.34016   1.53057   -0.93866   -0.05728   0.34016   99.42322
15   1.52944   -0.93878   -0.05789   0.33973   1.52944   -0.93878   -0.05789   0.33973   99.40491
16   1.52830   -0.93863   -0.05585   0.34071   1.52830   -0.93863   -0.05585   0.34071   99.43237
17   1.52901   -0.93838   -0.05579   0.34107   1.52901   -0.93838   -0.05579   0.34107   99.45984
18   1.52830   -0.93857   -0.05771   0.34040   1.52830   -0.93857   -0.05771   0.34040   99.45984
