Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   1.52944   -0.94986   -0.06958   0.30500   1.52944   -0.94986   -0.06958   0.30500   99.41406
2   1.52773   -0.94986   -0.06894   0.30534   1.52773   -0.94986   -0.06894   0.30534   99.45984
3   1.52802   -0.94977   -0.06946   0.30528   1.52802   -0.94977   -0.06946   0.30528   99.41406
4   1.52830   -0.94943   -0.07031   0.30613   1.52830   -0.94943   -0.07031   0.30613   99.42322
5   1.52802   -0.94967   -0.06851   0.30610   1.52802   -0.94967   -0.06851   0.30610   99.45068
6   1.52816   -0.94977   -0.06949   0.30528   1.52816   -0.94977   -0.06949   0.30528   99.44153
7   1.52887   -0.94964   -0.06937   0.30567   1.52887   -0.94964   -0.06937   0.30567   99.45068
8   1.52859   -0.94983   -0.07059   0.30500   1.52859   -0.94983   -0.07059   0.30500   99.41406
9   1.52688   -0.94949   -0.06946   0.30613   1.52688   -0.94949   -0.06946   0.30613   99.44153
10   1.52802   -0.94949   -0.06937   0.30598   1.52802   -0.94949   -0.06937   0.30598   99.44153
11   1.52816   -0.94971   -0.06800   0.30570   1.52816   -0.94971   -0.06800   0.30570   99.45984
12   1.52802   -0.95007   -0.06897   0.30445   1.52802   -0.95007   -0.06897   0.30445   99.45068
13   1.52787   -0.94998   -0.06815   0.30485   1.52787   -0.94998   -0.06815   0.30485   99.44153
14   1.52802   -0.94983   -0.06858   0.30528   1.52802   -0.94983   -0.06858   0.30528   99.42322
15   1.52901   -0.94940   -0.06870   0.30665   1.52901   -0.94940   -0.06870   0.30665   99.42322
16   1.52859   -0.94928   -0.06790   0.30711   1.52859   -0.94928   -0.06790   0.30711   99.46899
17   1.52844   -0.94955   -0.06754   0.30656   1.52844   -0.94955   -0.06754   0.30656   99.44153
18   1.52944   -0.94983   -0.06888   0.30525   1.52944   -0.94983   -0.06888   0.30525   99.41406
19   1.52944   -0.94992   -0.06671   0.30537   1.52944   -0.94992   -0.06671   0.30537   99.40491
20   1.52830   -0.94940   -0.06815   0.30656   1.52830   -0.94940   -0.06815   0.30656   99.44153
21   1.52830   -0.94934   -0.06616   0.30714   1.52830   -0.94934   -0.06616   0.30714   99.45984
22   1.52773   -0.94974   -0.06665   0.30613   1.52773   -0.94974   -0.06665   0.30613   99.44153
23   1.52773   -0.94952   -0.06662   0.30665   1.52773   -0.94952   -0.06662   0.30665   99.46899
24   1.52844   -0.94974   -0.06681   0.30586   1.52844   -0.94974   -0.06681   0.30586   99.46899
25   1.52887   -0.94980   -0.06699   0.30580   1.52887   -0.94980   -0.06699   0.30580   99.45068
26   1.52787   -0.94955   -0.06610   0.30692   1.52787   -0.94955   -0.06610   0.30692   99.43237
27   1.52830   -0.94943   -0.06699   0.30699   1.52830   -0.94943   -0.06699   0.30699   99.44153
28   1.52873   -0.94986   -0.06705   0.30558   1.52873   -0.94986   -0.06705   0.30558   99.43237
29   1.52859   -0.95032   -0.06745   0.30427   1.52859   -0.95032   -0.06745   0.30427   99.43237
30   1.52844   -0.94967   -0.06742   0.30613   1.52844   -0.94967   -0.06742   0.30613   99.45068
31   1.52759   -0.94971   -0.06488   0.30653   1.52759   -0.94971   -0.06488   0.30653   99.45984
32   1.52802   -0.94983   -0.06449   0.30631   1.52802   -0.94983   -0.06449   0.30631   99.40491
33   1.52773   -0.94964   -0.06699   0.30634   1.52773   -0.94964   -0.06699   0.30634   99.45068
34   1.52802   -0.95010   -0.06583   0.30525   1.52802   -0.95010   -0.06583   0.30525   99.43237
35   1.52930   -0.94992   -0.06540   0.30558   1.52930   -0.94992   -0.06540   0.30558   99.45984
36   1.52915   -0.94931   -0.06500   0.30775   1.52915   -0.94931   -0.06500   0.30775   99.43237
37   1.52802   -0.94913   -0.06470   0.30827   1.52802   -0.94913   -0.06470   0.30827   99.43237
38   1.52859   -0.94974   -0.06638   0.30613   1.52859   -0.94974   -0.06638   0.30613   99.43237
39   1.52816   -0.95004   -0.06647   0.30515   1.52816   -0.95004   -0.06647   0.30515   99.44153
40   1.52802   -0.94897   -0.06467   0.30897   1.52802   -0.94897   -0.06467   0.30897   99.44153
41   1.52731   -0.94861   -0.06354   0.31037   1.52731   -0.94861   -0.06354   0.31037   99.45984
42   1.52787   -0.94913   -0.06574   0.30833   1.52787   -0.94913   -0.06574   0.30833   99.45984
43   1.52830   -0.95059   -0.06653   0.30345   1.52830   -0.95059   -0.06653   0.30345   99.42322
44   1.52716   -0.95083   -0.06815   0.30229   1.52716   -0.95083   -0.06815   0.30229   99.42322
45   1.52844   -0.94931   -0.06714   0.30726   1.52844   -0.94931   -0.06714   0.30726   99.45068
46   1.52787   -0.94784   -0.06430   0.31239   1.52787   -0.94784   -0.06430   0.31239   99.45984
47   1.52802   -0.94830   -0.06507   0.31062   1.52802   -0.94830   -0.06507   0.31062   99.46899
