Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   1.51098   -0.08014   -0.30982   -0.94739   1.51098   -0.08014   -0.30982   -0.94739   100.13123
2   1.51155   -0.08081   -0.30879   -0.94778   1.51155   -0.08081   -0.30879   -0.94778   100.14954
3   1.51140   -0.08066   -0.31007   -0.94723   1.51140   -0.08066   -0.31007   -0.94723   100.17700
4   1.51112   -0.08277   -0.30918   -0.94748   1.51112   -0.08277   -0.30918   -0.94748   100.16785
5   1.51240   -0.08176   -0.30958   -0.94739   1.51240   -0.08176   -0.30958   -0.94739   100.14954
6   1.51183   -0.08109   -0.30970   -0.94739   1.51183   -0.08109   -0.30970   -0.94739   100.15869
7   1.51112   -0.08142   -0.30955   -0.94745   1.51112   -0.08142   -0.30955   -0.94745   100.14954
8   1.51169   -0.08173   -0.30970   -0.94736   1.51169   -0.08173   -0.30970   -0.94736   100.14954
9   1.51211   -0.08145   -0.30885   -0.94760   1.51211   -0.08145   -0.30885   -0.94760   100.15869
10   1.51098   -0.08155   -0.30992   -0.94729   1.51098   -0.08155   -0.30992   -0.94729   100.14954
11   1.51069   -0.08274   -0.30943   -0.94733   1.51069   -0.08274   -0.30943   -0.94733   100.16785
12   1.51041   -0.08261   -0.30918   -0.94739   1.51041   -0.08261   -0.30918   -0.94739   100.15869
13   1.51069   -0.08170   -0.31016   -0.94720   1.51069   -0.08170   -0.31016   -0.94720   100.14038
14   1.51055   -0.08249   -0.30903   -0.94754   1.51055   -0.08249   -0.30903   -0.94754   100.15869
15   1.51126   -0.08072   -0.30943   -0.94757   1.51126   -0.08072   -0.30943   -0.94757   100.16785
16   1.51098   -0.08234   -0.30924   -0.94742   1.51098   -0.08234   -0.30924   -0.94742   100.13123
17   1.51126   -0.08151   -0.31068   -0.94708   1.51126   -0.08151   -0.31068   -0.94708   100.10986
18   1.51126   -0.08170   -0.30982   -0.94729   1.51126   -0.08170   -0.30982   -0.94729   100.14954
19   1.51126   -0.08216   -0.31098   -0.94690   1.51126   -0.08216   -0.31098   -0.94690   100.15869
20   1.51112   -0.08106   -0.30949   -0.94745   1.51112   -0.08106   -0.30949   -0.94745   100.14954
21   1.51155   -0.08161   -0.30937   -0.94745   1.51155   -0.08161   -0.30937   -0.94745   100.13123
22   1.51211   -0.08173   -0.31004   -0.94726   1.51211   -0.08173   -0.31004   -0.94726   100.16785
23   1.51013   -0.08246   -0.30943   -0.94736   1.51013   -0.08246   -0.30943   -0.94736   100.14954
24   1.51084   -0.08179   -0.31062   -0.94705   1.51084   -0.08179   -0.31062   -0.94705   100.13123
25   1.51211   -0.08200   -0.30924   -0.94754   1.51211   -0.08200   -0.30924   -0.94754   100.14954
26   1.51225   -0.08167   -0.31135   -0.94681   1.51225   -0.08167   -0.31135   -0.94681   100.14954
