Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 14:28:28 1/24/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   1.50956   -0.30537   -0.29020   -0.90695   1.50956   -0.30537   -0.29020   -0.90695   100.06409
2   1.51084   -0.30525   -0.29035   -0.90704   1.51084   -0.30525   -0.29035   -0.90704   100.06409
3   1.51098   -0.30515   -0.29118   -0.90667   1.51098   -0.30515   -0.29118   -0.90667   100.10986
4   1.51027   -0.30592   -0.29008   -0.90680   1.51027   -0.30592   -0.29008   -0.90680   100.09155
5   1.50970   -0.30586   -0.29191   -0.90631   1.50970   -0.30586   -0.29191   -0.90631   100.05493
6   1.51013   -0.30607   -0.29081   -0.90649   1.51013   -0.30607   -0.29081   -0.90649   100.07324
7   1.51041   -0.30634   -0.29170   -0.90613   1.51041   -0.30634   -0.29170   -0.90613   100.09155
8   1.51041   -0.30705   -0.29054   -0.90631   1.51041   -0.30705   -0.29054   -0.90631   100.10071
9   1.51055   -0.30641   -0.29124   -0.90634   1.51055   -0.30641   -0.29124   -0.90634   100.05493
10   1.51027   -0.30647   -0.29109   -0.90631   1.51027   -0.30647   -0.29109   -0.90631   100.09155
11   1.51084   -0.30683   -0.29029   -0.90640   1.51084   -0.30683   -0.29029   -0.90640   100.08240
12   1.51112   -0.30616   -0.29167   -0.90616   1.51112   -0.30616   -0.29167   -0.90616   100.07324
13   1.51013   -0.30683   -0.29087   -0.90622   1.51013   -0.30683   -0.29087   -0.90622   100.09155
14   1.50927   -0.30723   -0.29044   -0.90628   1.50927   -0.30723   -0.29044   -0.90628   100.09155
15   1.50984   -0.30680   -0.29203   -0.90588   1.50984   -0.30680   -0.29203   -0.90588   100.08240
16   1.51069   -0.30634   -0.29185   -0.90609   1.51069   -0.30634   -0.29185   -0.90609   100.08240
17   1.51055   -0.30747   -0.29048   -0.90616   1.51055   -0.30747   -0.29048   -0.90616   100.06409
18   1.51027   -0.30717   -0.29112   -0.90603   1.51027   -0.30717   -0.29112   -0.90603   100.09155
19   1.50956   -0.30680   -0.29078   -0.90628   1.50956   -0.30680   -0.29078   -0.90628   100.09155
20   1.51084   -0.30775   -0.29142   -0.90579   1.51084   -0.30775   -0.29142   -0.90579   100.05493
21   1.51155   -0.30772   -0.29176   -0.90567   1.51155   -0.30772   -0.29176   -0.90567   100.08240
22   1.51055   -0.30750   -0.29130   -0.90594   1.51055   -0.30750   -0.29130   -0.90594   100.09155
23   1.51041   -0.30839   -0.29124   -0.90558   1.51041   -0.30839   -0.29124   -0.90558   100.06409
24   1.51027   -0.30766   -0.29093   -0.90594   1.51027   -0.30766   -0.29093   -0.90594   100.09155
25   1.51013   -0.30735   -0.29081   -0.90600   1.51013   -0.30735   -0.29081   -0.90600   100.09155
26   1.50913   -0.30790   -0.29121   -0.90582   1.50913   -0.30790   -0.29121   -0.90582   100.09155
27   1.50941   -0.30738   -0.29087   -0.90609   1.50941   -0.30738   -0.29087   -0.90609   100.08240
28   1.51069   -0.30750   -0.29154   -0.90576   1.51069   -0.30750   -0.29154   -0.90576   100.07324
29   1.50998   -0.30744   -0.29182   -0.90579   1.50998   -0.30744   -0.29182   -0.90579   100.10071
30   1.50984   -0.30735   -0.29078   -0.90613   1.50984   -0.30735   -0.29078   -0.90613   100.09155
31   1.51027   -0.30833   -0.29057   -0.90585   1.51027   -0.30833   -0.29057   -0.90585   100.10071
32   1.51027   -0.30717   -0.29148   -0.90597   1.51027   -0.30717   -0.29148   -0.90597   100.08240
33   1.51140   -0.30802   -0.29148   -0.90567   1.51140   -0.30802   -0.29148   -0.90567   100.10071
34   1.51069   -0.30744   -0.29133   -0.90585   1.51069   -0.30744   -0.29133   -0.90585   100.08240
35   1.50984   -0.30741   -0.29069   -0.90609   1.50984   -0.30741   -0.29069   -0.90609   100.08240
36   1.50998   -0.30729   -0.29087   -0.90616   1.50998   -0.30729   -0.29087   -0.90616   100.09155
37   1.51155   -0.30778   -0.29038   -0.90609   1.51155   -0.30778   -0.29038   -0.90609   100.12207
38   1.51055   -0.30833   -0.28971   -0.90606   1.51055   -0.30833   -0.28971   -0.90606   100.08240
39   1.51013   -0.30760   -0.29133   -0.90582   1.51013   -0.30760   -0.29133   -0.90582   100.06409
40   1.51098   -0.30784   -0.29139   -0.90570   1.51098   -0.30784   -0.29139   -0.90570   100.10986
41   1.51098   -0.30818   -0.29096   -0.90582   1.51098   -0.30818   -0.29096   -0.90582   100.08240
42   1.51055   -0.30769   -0.29197   -0.90558   1.51055   -0.30769   -0.29197   -0.90558   100.06409
43   1.51013   -0.30857   -0.29057   -0.90573   1.51013   -0.30857   -0.29057   -0.90573   100.06409
44   1.51041   -0.30775   -0.29182   -0.90564   1.51041   -0.30775   -0.29182   -0.90564   100.09155
45   1.50984   -0.30793   -0.29084   -0.90582   1.50984   -0.30793   -0.29084   -0.90582   100.10071
46   1.50998   -0.30796   -0.29075   -0.90591   1.50998   -0.30796   -0.29075   -0.90591   100.08240
47   1.50899   -0.30961   -0.28986   -0.90558   1.50899   -0.30961   -0.28986   -0.90558   100.06409
48   1.50984   -0.30717   -0.29109   -0.90600   1.50984   -0.30717   -0.29109   -0.90600   100.10071
49   1.50927   -0.30692   -0.29209   -0.90579   1.50927   -0.30692   -0.29209   -0.90579   100.06409
50   1.50941   -0.30732   -0.29194   -0.90570   1.50941   -0.30732   -0.29194   -0.90570   100.08240
51   1.50927   -0.30818   -0.29151   -0.90564   1.50927   -0.30818   -0.29151   -0.90564   100.06409
52   1.50984   -0.30641   -0.29148   -0.90622   1.50984   -0.30641   -0.29148   -0.90622   100.10071
53   1.51013   -0.30842   -0.29139   -0.90555   1.51013   -0.30842   -0.29139   -0.90555   100.09155
54   1.51055   -0.30830   -0.29151   -0.90555   1.51055   -0.30830   -0.29151   -0.90555   100.04578
55   1.51140   -0.30787   -0.29197   -0.90548   1.51140   -0.30787   -0.29197   -0.90548   100.10986
56   1.51069   -0.30833   -0.29041   -0.90597   1.51069   -0.30833   -0.29041   -0.90597   100.10071
57   1.51084   -0.30781   -0.29139   -0.90576   1.51084   -0.30781   -0.29139   -0.90576   100.07324
58   1.51140   -0.30821   -0.29084   -0.90579   1.51140   -0.30821   -0.29084   -0.90579   100.09155
59   1.50998   -0.30839   -0.29112   -0.90573   1.50998   -0.30839   -0.29112   -0.90573   100.09155
60   1.50998   -0.30842   -0.29127   -0.90555   1.50998   -0.30842   -0.29127   -0.90555   100.08240
61   1.50998   -0.30879   -0.29057   -0.90567   1.50998   -0.30879   -0.29057   -0.90567   100.10071
62   1.51013   -0.30827   -0.29200   -0.90539   1.51013   -0.30827   -0.29200   -0.90539   100.10071
63   1.50941   -0.30808   -0.29133   -0.90564   1.50941   -0.30808   -0.29133   -0.90564   100.10071
64   1.50970   -0.30860   -0.29090   -0.90567   1.50970   -0.30860   -0.29090   -0.90567   100.06409
65   1.51084   -0.30784   -0.29145   -0.90570   1.51084   -0.30784   -0.29145   -0.90570   100.07324
66   1.51055   -0.30909   -0.29087   -0.90545   1.51055   -0.30909   -0.29087   -0.90545   100.10071
67   1.51013   -0.30793   -0.29057   -0.90597   1.51013   -0.30793   -0.29057   -0.90597   100.07324
68   1.50956   -0.30891   -0.29096   -0.90551   1.50956   -0.30891   -0.29096   -0.90551   100.04578
69   1.50970   -0.30815   -0.29093   -0.90573   1.50970   -0.30815   -0.29093   -0.90573   100.10071
70   1.50956   -0.30882   -0.29118   -0.90545   1.50956   -0.30882   -0.29118   -0.90545   100.09155
71   1.51098   -0.30769   -0.29093   -0.90591   1.51098   -0.30769   -0.29093   -0.90591   100.10071
72   1.51140   -0.30839   -0.29237   -0.90524   1.51140   -0.30839   -0.29237   -0.90524   100.07324
73   1.50970   -0.30824   -0.29200   -0.90542   1.50970   -0.30824   -0.29200   -0.90542   100.06409
74   1.50984   -0.30836   -0.29044   -0.90594   1.50984   -0.30836   -0.29044   -0.90594   100.09155
75   1.51041   -0.30869   -0.29139   -0.90539   1.51041   -0.30869   -0.29139   -0.90539   100.09155
76   1.51084   -0.30921   -0.29087   -0.90545   1.51084   -0.30921   -0.29087   -0.90545   100.08240
77   1.51027   -0.30876   -0.29167   -0.90533   1.51027   -0.30876   -0.29167   -0.90533   100.08240
78   1.50984   -0.30869   -0.29179   -0.90527   1.50984   -0.30869   -0.29179   -0.90527   100.08240
79   1.51013   -0.30937   -0.29142   -0.90527   1.51013   -0.30937   -0.29142   -0.90527   100.05493
80   1.51055   -0.30918   -0.29145   -0.90530   1.51055   -0.30918   -0.29145   -0.90530   100.08240
81   1.50913   -0.30869   -0.29136   -0.90542   1.50913   -0.30869   -0.29136   -0.90542   100.09155
82   1.51055   -0.30811   -0.29261   -0.90521   1.51055   -0.30811   -0.29261   -0.90521   100.08240
83   1.51041   -0.30937   -0.29048   -0.90561   1.51041   -0.30937   -0.29048   -0.90561   100.06409
84   1.51027   -0.30946   -0.29063   -0.90539   1.51027   -0.30946   -0.29063   -0.90539   100.10986
85   1.51027   -0.30842   -0.29182   -0.90539   1.51027   -0.30842   -0.29182   -0.90539   100.10071
86   1.50956   -0.30934   -0.29118   -0.90533   1.50956   -0.30934   -0.29118   -0.90533   100.10071
87   1.50956   -0.30882   -0.29066   -0.90564   1.50956   -0.30882   -0.29066   -0.90564   100.07324
88   1.51055   -0.30747   -0.29215   -0.90564   1.51055   -0.30747   -0.29215   -0.90564   100.10071
89   1.51098   -0.30857   -0.29237   -0.90518   1.51098   -0.30857   -0.29237   -0.90518   100.10986
90   1.51027   -0.30937   -0.29127   -0.90530   1.51027   -0.30937   -0.29127   -0.90530   100.09155
91   1.51027   -0.30979   -0.29170   -0.90497   1.51027   -0.30979   -0.29170   -0.90497   100.07324
92   1.51013   -0.30998   -0.29228   -0.90475   1.51013   -0.30998   -0.29228   -0.90475   100.07324
93   1.51041   -0.31007   -0.29170   -0.90493   1.51041   -0.31007   -0.29170   -0.90493   100.08240
94   1.51055   -0.30943   -0.29121   -0.90536   1.51055   -0.30943   -0.29121   -0.90536   100.07324
95   1.50984   -0.30976   -0.29151   -0.90503   1.50984   -0.30976   -0.29151   -0.90503   100.08240
96   1.50956   -0.31022   -0.29102   -0.90512   1.50956   -0.31022   -0.29102   -0.90512   100.10071
97   1.50998   -0.30940   -0.29139   -0.90524   1.50998   -0.30940   -0.29139   -0.90524   100.08240
98   1.51041   -0.30955   -0.29157   -0.90509   1.51041   -0.30955   -0.29157   -0.90509   100.06409
99   1.51084   -0.30903   -0.29240   -0.90500   1.51084   -0.30903   -0.29240   -0.90500   100.07324
100   1.51084   -0.30906   -0.29160   -0.90527   1.51084   -0.30906   -0.29160   -0.90527   100.09155
101   1.51027   -0.30998   -0.29121   -0.90509   1.51027   -0.30998   -0.29121   -0.90509   100.09155
102   1.50998   -0.30757   -0.29240   -0.90551   1.50998   -0.30757   -0.29240   -0.90551   100.06409
103   1.50984   -0.30891   -0.29179   -0.90530   1.50984   -0.30891   -0.29179   -0.90530   100.07324
104   1.51027   -0.30995   -0.29102   -0.90515   1.51027   -0.30995   -0.29102   -0.90515   100.09155
105   1.51027   -0.30937   -0.29163   -0.90512   1.51027   -0.30937   -0.29163   -0.90512   100.08240
106   1.51126   -0.30940   -0.29188   -0.90506   1.51126   -0.30940   -0.29188   -0.90506   100.06409
107   1.51013   -0.30955   -0.29133   -0.90512   1.51013   -0.30955   -0.29133   -0.90512   100.10071
108   1.50998   -0.30995   -0.29087   -0.90515   1.50998   -0.30995   -0.29087   -0.90515   100.08240
109   1.51013   -0.30924   -0.29234   -0.90503   1.51013   -0.30924   -0.29234   -0.90503   100.06409
110   1.50998   -0.31028   -0.29127   -0.90493   1.50998   -0.31028   -0.29127   -0.90493   100.10071
111   1.51055   -0.30958   -0.29191   -0.90500   1.51055   -0.30958   -0.29191   -0.90500   100.08240
112   1.50998   -0.31040   -0.29151   -0.90478   1.50998   -0.31040   -0.29151   -0.90478   100.08240
113   1.50998   -0.30995   -0.29185   -0.90493   1.50998   -0.30995   -0.29185   -0.90493   100.06409
114   1.50956   -0.31034   -0.29139   -0.90487   1.50956   -0.31034   -0.29139   -0.90487   100.08240
115   1.51027   -0.30976   -0.29255   -0.90469   1.51027   -0.30976   -0.29255   -0.90469   100.08240
116   1.51041   -0.31010   -0.29234   -0.90463   1.51041   -0.31010   -0.29234   -0.90463   100.08240
117   1.50984   -0.30988   -0.29179   -0.90487   1.50984   -0.30988   -0.29179   -0.90487   100.07324
118   1.50899   -0.31025   -0.29151   -0.90493   1.50899   -0.31025   -0.29151   -0.90493   100.09155
119   1.51027   -0.30995   -0.29151   -0.90497   1.51027   -0.30995   -0.29151   -0.90497   100.08240
120   1.51098   -0.30961   -0.29124   -0.90530   1.51098   -0.30961   -0.29124   -0.90530   100.07324
121   1.51013   -0.30943   -0.29142   -0.90521   1.51013   -0.30943   -0.29142   -0.90521   100.08240
122   1.50984   -0.30970   -0.29109   -0.90521   1.50984   -0.30970   -0.29109   -0.90521   100.08240
123   1.51013   -0.30985   -0.29344   -0.90451   1.51013   -0.30985   -0.29344   -0.90451   100.08240
124   1.51084   -0.30976   -0.29124   -0.90515   1.51084   -0.30976   -0.29124   -0.90515   100.06409
125   1.51098   -0.30976   -0.29142   -0.90512   1.51098   -0.30976   -0.29142   -0.90512   100.09155
126   1.50998   -0.30955   -0.29133   -0.90512   1.50998   -0.30955   -0.29133   -0.90512   100.10986
127   1.50998   -0.30931   -0.29218   -0.90500   1.50998   -0.30931   -0.29218   -0.90500   100.09155
128   1.51027   -0.31034   -0.29136   -0.90497   1.51027   -0.31034   -0.29136   -0.90497   100.09155
129   1.50970   -0.31019   -0.29139   -0.90487   1.50970   -0.31019   -0.29139   -0.90487   100.10986
