Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 15:0:50 1/24/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   1.50941   0.01270   -0.27769   -0.96066   1.50941   0.01270   -0.27769   -0.96066   100.19531
2   1.50941   0.01294   -0.27720   -0.96078   1.50941   0.01294   -0.27720   -0.96078   100.23499
3   1.51027   0.01147   -0.27845   -0.96045   1.51027   0.01147   -0.27845   -0.96045   100.21362
4   1.51098   0.01096   -0.27912   -0.96020   1.51098   0.01096   -0.27912   -0.96020   100.20447
5   1.51027   0.01102   -0.27815   -0.96048   1.51027   0.01102   -0.27815   -0.96048   100.19531
6   1.51013   0.01233   -0.27763   -0.96069   1.51013   0.01233   -0.27763   -0.96069   100.21362
7   1.50998   0.01273   -0.27778   -0.96057   1.50998   0.01273   -0.27778   -0.96057   100.20447
8   1.51041   0.01270   -0.27778   -0.96060   1.51041   0.01270   -0.27778   -0.96060   100.20447
9   1.51055   0.01239   -0.27824   -0.96042   1.51055   0.01239   -0.27824   -0.96042   100.21362
10   1.50927   0.01111   -0.27772   -0.96069   1.50927   0.01111   -0.27772   -0.96069   100.24414
11   1.51013   0.01184   -0.27830   -0.96045   1.51013   0.01184   -0.27830   -0.96045   100.22278
12   1.51027   0.01178   -0.27876   -0.96030   1.51027   0.01178   -0.27876   -0.96030   100.19531
13   1.51098   0.01154   -0.27857   -0.96033   1.51098   0.01154   -0.27857   -0.96033   100.20447
14   1.51140   0.01117   -0.27781   -0.96063   1.51140   0.01117   -0.27781   -0.96063   100.22278
15   1.51126   0.01074   -0.27805   -0.96057   1.51126   0.01074   -0.27805   -0.96057   100.22278
16   1.50984   0.01166   -0.27848   -0.96036   1.50984   0.01166   -0.27848   -0.96036   100.17700
17   1.50970   0.01086   -0.27848   -0.96039   1.50970   0.01086   -0.27848   -0.96039   100.22278
18   1.50956   0.01184   -0.27784   -0.96054   1.50956   0.01184   -0.27784   -0.96054   100.23499
19   1.50970   0.01221   -0.27714   -0.96072   1.50970   0.01221   -0.27714   -0.96072   100.22278
20   1.51027   0.01135   -0.27744   -0.96069   1.51027   0.01135   -0.27744   -0.96069   100.22278
21   1.51055   0.01050   -0.27854   -0.96042   1.51055   0.01050   -0.27854   -0.96042   100.22278
22   1.51027   0.00970   -0.27827   -0.96045   1.51027   0.00970   -0.27827   -0.96045   100.20447
23   1.51027   0.01059   -0.27949   -0.96011   1.51027   0.01059   -0.27949   -0.96011   100.22278
24   1.51140   0.01163   -0.27717   -0.96084   1.51140   0.01163   -0.27717   -0.96084   100.19531
25   1.51055   0.01190   -0.27802   -0.96051   1.51055   0.01190   -0.27802   -0.96051   100.23499
26   1.51084   0.01019   -0.27750   -0.96072   1.51084   0.01019   -0.27750   -0.96072   100.21362
27   1.51069   0.01102   -0.27943   -0.96011   1.51069   0.01102   -0.27943   -0.96011   100.21362
28   1.50998   0.01041   -0.27796   -0.96054   1.50998   0.01041   -0.27796   -0.96054   100.22278
29   1.50956   0.00970   -0.27763   -0.96066   1.50956   0.00970   -0.27763   -0.96066   100.21362
30   1.51041   0.01105   -0.27845   -0.96042   1.51041   0.01105   -0.27845   -0.96042   100.20447
31   1.51084   0.00995   -0.27744   -0.96072   1.51084   0.00995   -0.27744   -0.96072   100.20447
32   1.50984   0.00900   -0.27699   -0.96088   1.50984   0.00900   -0.27699   -0.96088   100.22278
33   1.51027   0.00995   -0.27839   -0.96054   1.51027   0.00995   -0.27839   -0.96054   100.19531
34   1.51069   0.01114   -0.27885   -0.96033   1.51069   0.01114   -0.27885   -0.96033   100.18616
35   1.50998   0.01062   -0.27876   -0.96026   1.50998   0.01062   -0.27876   -0.96026   100.20447
36   1.50984   0.01071   -0.27815   -0.96054   1.50984   0.01071   -0.27815   -0.96054   100.21362
37   1.51140   0.00955   -0.27839   -0.96039   1.51140   0.00955   -0.27839   -0.96039   100.22278
38   1.51169   0.00906   -0.27912   -0.96020   1.51169   0.00906   -0.27912   -0.96020   100.20447
39   1.51041   0.00848   -0.27830   -0.96054   1.51041   0.00848   -0.27830   -0.96054   100.22278
40   1.50998   0.00952   -0.27784   -0.96060   1.50998   0.00952   -0.27784   -0.96060   100.24414
41   1.50956   0.01096   -0.27848   -0.96048   1.50956   0.01096   -0.27848   -0.96048   100.18616
42   1.51041   0.01016   -0.27686   -0.96091   1.51041   0.01016   -0.27686   -0.96091   100.19531
43   1.51013   0.01086   -0.27805   -0.96051   1.51013   0.01086   -0.27805   -0.96051   100.22278
44   1.51013   0.00952   -0.27900   -0.96033   1.51013   0.00952   -0.27900   -0.96033   100.21362
45   1.51027   0.00974   -0.27964   -0.96011   1.51027   0.00974   -0.27964   -0.96011   100.20447
46   1.51041   0.01028   -0.27754   -0.96066   1.51041   0.01028   -0.27754   -0.96066   100.22278
47   1.51112   0.01065   -0.27851   -0.96045   1.51112   0.01065   -0.27851   -0.96045   100.24414
48   1.51140   0.00946   -0.27879   -0.96036   1.51140   0.00946   -0.27879   -0.96036   100.21362
49   1.51112   0.00858   -0.27940   -0.96011   1.51112   0.00858   -0.27940   -0.96011   100.20447
50   1.50956   0.00851   -0.27873   -0.96042   1.50956   0.00851   -0.27873   -0.96042   100.22278
51   1.50970   0.00876   -0.27952   -0.96014   1.50970   0.00876   -0.27952   -0.96014   100.23499
52   1.50970   0.01056   -0.27848   -0.96045   1.50970   0.01056   -0.27848   -0.96045   100.21362
53   1.50913   0.01038   -0.27815   -0.96057   1.50913   0.01038   -0.27815   -0.96057   100.21362
54   1.50984   0.00864   -0.27870   -0.96045   1.50984   0.00864   -0.27870   -0.96045   100.21362
55   1.51098   0.00940   -0.27985   -0.96008   1.51098   0.00940   -0.27985   -0.96008   100.20447
56   1.51069   0.00928   -0.27824   -0.96048   1.51069   0.00928   -0.27824   -0.96048   100.21362
57   1.51055   0.00970   -0.27763   -0.96069   1.51055   0.00970   -0.27763   -0.96069   100.21362
58   1.51098   0.00928   -0.27866   -0.96042   1.51098   0.00928   -0.27866   -0.96042   100.23193
59   1.51183   0.00934   -0.27769   -0.96069   1.51183   0.00934   -0.27769   -0.96069   100.18616
60   1.51155   0.00995   -0.27964   -0.96008   1.51155   0.00995   -0.27964   -0.96008   100.19531
61   1.51041   0.00909   -0.27851   -0.96045   1.51041   0.00909   -0.27851   -0.96045   100.20447
62   1.50998   0.00961   -0.27854   -0.96042   1.50998   0.00961   -0.27854   -0.96042   100.21362
63   1.50998   0.01025   -0.27943   -0.96011   1.50998   0.01025   -0.27943   -0.96011   100.21362
64   1.51098   0.00861   -0.27976   -0.96008   1.51098   0.00861   -0.27976   -0.96008   100.20447
65   1.51084   0.00867   -0.27903   -0.96020   1.51084   0.00867   -0.27903   -0.96020   100.21362
66   1.51084   0.00861   -0.27924   -0.96023   1.51084   0.00861   -0.27924   -0.96023   100.20447
67   1.51027   0.00818   -0.27961   -0.96017   1.51027   0.00818   -0.27961   -0.96017   100.19531
68   1.50970   0.00833   -0.27882   -0.96036   1.50970   0.00833   -0.27882   -0.96036   100.21362
69   1.51013   0.00970   -0.27876   -0.96033   1.51013   0.00970   -0.27876   -0.96033   100.23499
70   1.51041   0.00934   -0.27854   -0.96039   1.51041   0.00934   -0.27854   -0.96039   100.22278
71   1.51084   0.01022   -0.28004   -0.95996   1.51084   0.01022   -0.28004   -0.95996   100.19531
72   1.51069   0.00845   -0.27873   -0.96036   1.51069   0.00845   -0.27873   -0.96036   100.20447
73   1.51084   0.00821   -0.27937   -0.96020   1.51084   0.00821   -0.27937   -0.96020   100.20447
74   1.51013   0.00806   -0.27799   -0.96054   1.51013   0.00806   -0.27799   -0.96054   100.19531
75   1.50984   0.00873   -0.27885   -0.96026   1.50984   0.00873   -0.27885   -0.96026   100.22278
76   1.51027   0.00824   -0.27747   -0.96075   1.51027   0.00824   -0.27747   -0.96075   100.22278
77   1.51126   0.00876   -0.27937   -0.96011   1.51126   0.00876   -0.27937   -0.96011   100.21362
78   1.51126   0.00861   -0.27882   -0.96036   1.51126   0.00861   -0.27882   -0.96036   100.20447
79   1.51055   0.00812   -0.27744   -0.96078   1.51055   0.00812   -0.27744   -0.96078   100.21362
80   1.50970   0.00821   -0.27870   -0.96039   1.50970   0.00821   -0.27870   -0.96039   100.22278
81   1.51069   0.00827   -0.27781   -0.96060   1.51069   0.00827   -0.27781   -0.96060   100.19531
82   1.51169   0.00848   -0.27839   -0.96048   1.51169   0.00848   -0.27839   -0.96048   100.21362
