Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   1.51282   -0.12564   -0.33110   -0.93521   1.51282   -0.12564   -0.33110   -0.93521   100.23193
2   1.51325   -0.12653   -0.33155   -0.93500   1.51325   -0.12653   -0.33155   -0.93500   100.16785
3   1.51339   -0.12729   -0.33226   -0.93463   1.51339   -0.12729   -0.33226   -0.93463   100.18616
4   1.51325   -0.12677   -0.33216   -0.93475   1.51325   -0.12677   -0.33216   -0.93475   100.18616
5   1.51368   -0.12809   -0.33189   -0.93457   1.51368   -0.12809   -0.33189   -0.93457   100.22278
6   1.51410   -0.12803   -0.33207   -0.93460   1.51410   -0.12803   -0.33207   -0.93460   100.18616
7   1.51268   -0.12818   -0.33256   -0.93432   1.51268   -0.12818   -0.33256   -0.93432   100.18616
8   1.51311   -0.12632   -0.33274   -0.93454   1.51311   -0.12632   -0.33274   -0.93454   100.21362
9   1.51339   -0.12790   -0.33171   -0.93472   1.51339   -0.12790   -0.33171   -0.93472   100.19531
10   1.51368   -0.12793   -0.33186   -0.93469   1.51368   -0.12793   -0.33186   -0.93469   100.18616
11   1.51240   -0.12955   -0.33155   -0.93454   1.51240   -0.12955   -0.33155   -0.93454   100.18616
12   1.51240   -0.12888   -0.33177   -0.93457   1.51240   -0.12888   -0.33177   -0.93457   100.18616
13   1.51211   -0.12726   -0.33103   -0.93503   1.51211   -0.12726   -0.33103   -0.93503   100.18616
14   1.51268   -0.12677   -0.33171   -0.93484   1.51268   -0.12677   -0.33171   -0.93484   100.17700
15   1.51268   -0.12549   -0.33110   -0.93530   1.51268   -0.12549   -0.33110   -0.93530   100.19531
16   1.51211   -0.12528   -0.33174   -0.93503   1.51211   -0.12528   -0.33174   -0.93503   100.20447
17   1.51254   -0.12726   -0.33091   -0.93503   1.51254   -0.12726   -0.33091   -0.93503   100.15869
18   1.51382   -0.12754   -0.33311   -0.93426   1.51382   -0.12754   -0.33311   -0.93426   100.21362
19   1.51339   -0.12668   -0.33204   -0.93475   1.51339   -0.12668   -0.33204   -0.93475   100.21362
20   1.51311   -0.12528   -0.33091   -0.93533   1.51311   -0.12528   -0.33091   -0.93533   100.19531
21   1.51353   -0.12519   -0.33192   -0.93500   1.51353   -0.12519   -0.33192   -0.93500   100.20447
22   1.51368   -0.12626   -0.33128   -0.93500   1.51368   -0.12626   -0.33128   -0.93500   100.19531
23   1.51339   -0.12729   -0.33235   -0.93454   1.51339   -0.12729   -0.33235   -0.93454   100.21362
24   1.51368   -0.12833   -0.33216   -0.93442   1.51368   -0.12833   -0.33216   -0.93442   100.21362
25   1.51297   -0.12574   -0.33146   -0.93509   1.51297   -0.12574   -0.33146   -0.93509   100.20447
26   1.51254   -0.12311   -0.33134   -0.93558   1.51254   -0.12311   -0.33134   -0.93558   100.18616
27   1.51325   -0.12519   -0.33006   -0.93564   1.51325   -0.12519   -0.33006   -0.93564   100.19531
28   1.51339   -0.12848   -0.33241   -0.93432   1.51339   -0.12848   -0.33241   -0.93432   100.18616
29   1.51311   -0.12931   -0.33186   -0.93445   1.51311   -0.12931   -0.33186   -0.93445   100.18616
30   1.51368   -0.12635   -0.32966   -0.93567   1.51368   -0.12635   -0.32966   -0.93567   100.17700
31   1.51396   -0.12262   -0.32945   -0.93622   1.51396   -0.12262   -0.32945   -0.93622   100.19531
32   1.51339   -0.12564   -0.33082   -0.93527   1.51339   -0.12564   -0.33082   -0.93527   100.20447
33   1.51297   -0.13141   -0.33201   -0.93405   1.51297   -0.13141   -0.33201   -0.93405   100.22278
34   1.51268   -0.13395   -0.33280   -0.93350   1.51268   -0.13395   -0.33280   -0.93350   100.23193
35   1.51268   -0.12934   -0.33128   -0.93466   1.51268   -0.12934   -0.33128   -0.93466   100.18616
36   1.51268   -0.12479   -0.32942   -0.93597   1.51268   -0.12479   -0.32942   -0.93597   100.15869
37   1.51297   -0.12336   -0.32936   -0.93619   1.51297   -0.12336   -0.32936   -0.93619   100.18616
38   1.51282   -0.12677   -0.33100   -0.93512   1.51282   -0.12677   -0.33100   -0.93512   100.22278
39   1.51339   -0.13038   -0.33168   -0.93432   1.51339   -0.13038   -0.33168   -0.93432   100.20447
40   1.51410   -0.12888   -0.33042   -0.93506   1.51410   -0.12888   -0.33042   -0.93506   100.18616
41   1.51368   -0.12592   -0.32786   -0.93628   1.51368   -0.12592   -0.32786   -0.93628   100.20447
42   1.51268   -0.11411   -0.32640   -0.93832   1.51268   -0.11411   -0.32640   -0.93832   100.19531
43   1.51282   -0.11667   -0.32752   -0.93756   1.51282   -0.11667   -0.32752   -0.93756   100.16785
44   1.51254   -0.12687   -0.32994   -0.93554   1.51254   -0.12687   -0.32994   -0.93554   100.17700
45   1.51240   -0.13562   -0.33265   -0.93335   1.51240   -0.13562   -0.33265   -0.93335   100.23193
46   1.51282   -0.13138   -0.33186   -0.93420   1.51282   -0.13138   -0.33186   -0.93420   100.22278
47   1.51297   -0.12296   -0.32902   -0.93631   1.51297   -0.12296   -0.32902   -0.93631   100.15869
48   1.51254   -0.12357   -0.32987   -0.93588   1.51254   -0.12357   -0.32987   -0.93588   100.18616
49   1.51382   -0.12912   -0.33021   -0.93509   1.51382   -0.12912   -0.33021   -0.93509   100.18616
50   1.51297   -0.13108   -0.33189   -0.93423   1.51297   -0.13108   -0.33189   -0.93423   100.21362
51   1.51311   -0.12992   -0.33152   -0.93451   1.51311   -0.12992   -0.33152   -0.93451   100.19531
52   1.51325   -0.12592   -0.33091   -0.93533   1.51325   -0.12592   -0.33091   -0.93533   100.19531
