Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 11:44:27 4/15/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,6,0)
Index      S0(mW)      S1      Elipticity        Azimuth      S0(mW)      S1      S2      S3      DOP
1   0.08451   0.59685   0.46131   -4.34622   0.08451   0.59685   -0.09125   0.79727   98.61145
2   0.08456   0.59673   0.46146   -4.32705   0.08456   0.59673   -0.09082   0.79751   98.49243
3   0.08444   0.59682   0.46134   -4.34071   0.08444   0.59682   -0.09113   0.79730   98.52295
4   0.08444   0.59639   0.46155   -4.38817   0.08444   0.59639   -0.09207   0.79763   98.55652
5   0.08446   0.59532   0.46238   -4.30839   0.08446   0.59532   -0.09021   0.79861   98.56873
6   0.08448   0.59539   0.46226   -4.33666   0.08448   0.59539   -0.09082   0.79839   98.50159
7   0.08436   0.59615   0.46171   -4.38708   0.08436   0.59615   -0.09201   0.79781   98.52295
8   0.08425   0.59648   0.46152   -4.37605   0.08425   0.59648   -0.09183   0.79760   98.51990
9   0.08431   0.59593   0.46198   -4.32269   0.08431   0.59593   -0.09061   0.79815   98.53210
10   0.08427   0.59682   0.46137   -4.35073   0.08427   0.59682   -0.09134   0.79742   98.47717
11   0.08417   0.59600   0.46186   -4.35952   0.08417   0.59600   -0.09140   0.79800   98.60535
12   0.08428   0.59566   0.46209   -4.34330   0.08428   0.59566   -0.09101   0.79824   98.49854
13   0.08430   0.59590   0.46202   -4.31287   0.08430   0.59590   -0.09040   0.79821   98.49854
14   0.08407   0.59645   0.46150   -4.37628   0.08407   0.59645   -0.09183   0.79748   98.55957
15   0.08395   0.59593   0.46189   -4.35279   0.08395   0.59593   -0.09125   0.79797   98.60229
16   0.08410   0.59606   0.46187   -4.33185   0.08410   0.59606   -0.09082   0.79800   98.53821
17   0.08422   0.59694   0.46118   -4.38133   0.08422   0.59694   -0.09201   0.79711   98.49854
18   0.08426   0.59603   0.46173   -4.40515   0.08426   0.59603   -0.09238   0.79778   98.54126
19   0.08444   0.59630   0.46163   -4.38167   0.08444   0.59630   -0.09192   0.79772   98.52295
20   0.08442   0.59697   0.46123   -4.34821   0.08442   0.59697   -0.09131   0.79717   98.53516
21   0.08433   0.59752   0.46082   -4.39144   0.08433   0.59752   -0.09232   0.79672   98.56567
22   0.08443   0.59664   0.46144   -4.37352   0.08443   0.59664   -0.09180   0.79751   98.54431
23   0.08462   0.59645   0.46154   -4.36482   0.08462   0.59645   -0.09159   0.79757   98.44971
24   0.08455   0.59587   0.46199   -4.32312   0.08455   0.59587   -0.09061   0.79809   98.51379
25   0.08459   0.59581   0.46203   -4.32786   0.08459   0.59581   -0.09070   0.79818   98.59009
26   0.08464   0.59612   0.46187   -4.31421   0.08464   0.59612   -0.09046   0.79800   98.45276
27   0.08460   0.59548   0.46228   -4.30587   0.08460   0.59548   -0.09018   0.79846   98.54736
28   0.08446   0.59697   0.46119   -4.37968   0.08446   0.59697   -0.09198   0.79717   98.57788
29   0.08445   0.59627   0.46173   -4.32889   0.08445   0.59627   -0.09079   0.79781   98.57788
30   0.08452   0.59581   0.46196   -4.36514   0.08452   0.59581   -0.09149   0.79809   98.44971
31   0.08449   0.59554   0.46224   -4.30974   0.08449   0.59554   -0.09027   0.79843   98.51379
32   0.08435   0.59581   0.46201   -4.33790   0.08435   0.59581   -0.09091   0.79815   98.62976
33   0.08440   0.59517   0.46250   -4.28363   0.08440   0.59517   -0.08966   0.79870   98.59924
34   0.08437   0.59581   0.46212   -4.26474   0.08437   0.59581   -0.08936   0.79821   98.51074
35   0.08430   0.59673   0.46150   -4.30557   0.08430   0.59673   -0.09037   0.79754   98.55347
36   0.08431   0.59658   0.46157   -4.31668   0.08431   0.59658   -0.09058   0.79763   98.58704
37   0.08435   0.59511   0.46253   -4.29124   0.08435   0.59511   -0.08982   0.79873   98.55347
38   0.08443   0.59612   0.46194   -4.26976   0.08443   0.59612   -0.08951   0.79803   98.51379
39   0.08447   0.59575   0.46218   -4.27378   0.08447   0.59575   -0.08954   0.79836   98.59009
40   0.08459   0.59542   0.46235   -4.28190   0.08459   0.59542   -0.08966   0.79852   98.50464
41   0.08452   0.59566   0.46221   -4.28447   0.08452   0.59566   -0.08975   0.79839   98.51379
42   0.08443   0.59587   0.46205   -4.29444   0.08443   0.59587   -0.09000   0.79818   98.61145
43   0.08451   0.59606   0.46199   -4.25728   0.08451   0.59606   -0.08924   0.79809   98.54736
44   0.08452   0.59496   0.46280   -4.21327   0.08452   0.59496   -0.08814   0.79910   98.49243
45   0.08449   0.59569   0.46222   -4.26990   0.08449   0.59569   -0.08945   0.79839   98.59009
46   0.08454   0.59520   0.46248   -4.29346   0.08454   0.59520   -0.08988   0.79870   98.56873
47   0.08454   0.59569   0.46211   -4.33591   0.08454   0.59569   -0.09085   0.79830   98.52600
48   0.08443   0.59511   0.46264   -4.25820   0.08443   0.59511   -0.08911   0.79897   98.56567
49   0.08432   0.59575   0.46211   -4.27665   0.08432   0.59575   -0.08960   0.79815   98.54431
50   0.08432   0.59468   0.46300   -4.20944   0.08432   0.59468   -0.08802   0.79940   98.62061
51   0.08426   0.59523   0.46258   -4.24872   0.08426   0.59523   -0.08893   0.79888   98.55347
52   0.08420   0.59529   0.46258   -4.20806   0.08420   0.59529   -0.08808   0.79882   98.54126
53   0.08426   0.59496   0.46278   -4.22190   0.08426   0.59496   -0.08832   0.79907   98.57483
54   0.08438   0.59551   0.46245   -4.23242   0.08438   0.59551   -0.08863   0.79876   98.55652
55   0.08440   0.59551   0.46234   -4.26402   0.08440   0.59551   -0.08930   0.79852   98.45886
56   0.08433   0.59517   0.46260   -4.21897   0.08433   0.59517   -0.08829   0.79876   98.44666
57   0.08432   0.59444   0.46327   -4.12907   0.08432   0.59444   -0.08628   0.79962   98.55347
58   0.08431   0.59371   0.46367   -4.17014   0.08431   0.59371   -0.08704   0.80013   98.54431
59   0.08439   0.59474   0.46305   -4.15289   0.08439   0.59474   -0.08683   0.79940   98.52295
60   0.08448   0.59398   0.46354   -4.15094   0.08448   0.59398   -0.08667   0.80001   98.48022
61   0.08468   0.59340   0.46393   -4.14485   0.08468   0.59340   -0.08646   0.80050   98.52905
62   0.08455   0.59416   0.46347   -4.11942   0.08455   0.59416   -0.08603   0.79989   98.53516
63   0.08453   0.59413   0.46339   -4.17583   0.08453   0.59413   -0.08722   0.79980   98.55652
64   0.08468   0.59362   0.46376   -4.13616   0.08468   0.59362   -0.08631   0.80020   98.48328
65   0.08469   0.59359   0.46385   -4.11618   0.08469   0.59359   -0.08588   0.80035   98.47412
66   0.08460   0.59307   0.46413   -4.13272   0.08460   0.59307   -0.08615   0.80065   98.58093
67   0.08461   0.59447   0.46328   -4.11013   0.08461   0.59447   -0.08588   0.79965   98.59314
68   0.08462   0.59371   0.46378   -4.11101   0.08462   0.59371   -0.08579   0.80029   98.48328
69   0.08462   0.59395   0.46355   -4.15115   0.08462   0.59395   -0.08667   0.80001   98.50464
70   0.08437   0.59331   0.46399   -4.12527   0.08437   0.59331   -0.08603   0.80050   98.60840
71   0.08426   0.59389   0.46370   -4.08813   0.08426   0.59389   -0.08533   0.80016   98.47717
72   0.08423   0.59343   0.46395   -4.12299   0.08423   0.59343   -0.08600   0.80050   98.51074
73   0.08421   0.59410   0.46352   -4.12560   0.08421   0.59410   -0.08615   0.80001   98.45581
74   0.08416   0.59340   0.46397   -4.11599   0.08416   0.59340   -0.08585   0.80053   98.56262
75   0.08412   0.59310   0.46417   -4.11374   0.08412   0.59310   -0.08576   0.80078   98.51685
76   0.08419   0.59374   0.46373   -4.12956   0.08419   0.59374   -0.08618   0.80023   98.46497
77   0.08417   0.59377   0.46374   -4.10771   0.08417   0.59377   -0.08573   0.80020   98.55042
78   0.08416   0.59297   0.46430   -4.09002   0.08416   0.59297   -0.08524   0.80093   98.49854
79   0.08415   0.59261   0.46448   -4.09541   0.08415   0.59261   -0.08530   0.80105   98.46497
80   0.08408   0.59340   0.46396   -4.11887   0.08408   0.59340   -0.08591   0.80050   98.55957
81   0.08413   0.59276   0.46440   -4.09292   0.08413   0.59276   -0.08527   0.80099   98.51990
82   0.08438   0.59255   0.46457   -4.08571   0.08438   0.59255   -0.08509   0.80123   98.48022
83   0.08438   0.59313   0.46415   -4.10920   0.08438   0.59313   -0.08567   0.80071   98.51074
84   0.08444   0.59301   0.46422   -4.11004   0.08444   0.59301   -0.08567   0.80081   98.50159
85   0.08452   0.59243   0.46469   -4.04459   0.08452   0.59243   -0.08420   0.80132   98.51379
86   0.08448   0.59273   0.46455   -4.02374   0.08448   0.59273   -0.08380   0.80117   98.50159
87   0.08445   0.59133   0.46541   -4.04042   0.08445   0.59133   -0.08396   0.80221   98.51379
88   0.08449   0.59246   0.46471   -4.03571   0.08449   0.59246   -0.08402   0.80139   98.55652
89   0.08462   0.59236   0.46474   -4.05803   0.08462   0.59236   -0.08448   0.80145   98.49548
90   0.08459   0.59233   0.46469   -4.07270   0.08459   0.59233   -0.08478   0.80129   98.46191
91   0.08453   0.59178   0.46513   -4.02864   0.08453   0.59178   -0.08377   0.80184   98.51379
92   0.08444   0.59252   0.46461   -4.05410   0.08444   0.59252   -0.08441   0.80120   98.52295
93   0.08432   0.59160   0.46524   -4.04001   0.08432   0.59160   -0.08399   0.80203   98.56567
94   0.08428   0.59325   0.46413   -4.06505   0.08428   0.59325   -0.08475   0.80065   98.48938
95   0.08432   0.59221   0.46492   -4.00696   0.08432   0.59221   -0.08338   0.80163   98.50159
96   0.08440   0.59279   0.46445   -4.06092   0.08440   0.59279   -0.08460   0.80108   98.44666
97   0.08437   0.59325   0.46411   -4.08671   0.08437   0.59325   -0.08521   0.80065   98.57788
98   0.08426   0.59297   0.46431   -4.08136   0.08426   0.59297   -0.08506   0.80093   98.51074
99   0.08432   0.59236   0.46478   -4.04356   0.08432   0.59236   -0.08417   0.80154   98.42529
100   0.08432   0.59368   0.46389   -4.05206   0.08432   0.59368   -0.08454   0.80035   98.45581
101   0.08433   0.59337   0.46410   -4.04112   0.08433   0.59337   -0.08426   0.80059   98.58704
102   0.08440   0.59246   0.46478   -4.00967   0.08440   0.59246   -0.08347   0.80151   98.48022
103   0.08452   0.59227   0.46485   -4.02247   0.08452   0.59227   -0.08371   0.80157   98.48328
104   0.08456   0.59328   0.46415   -4.04896   0.08456   0.59328   -0.08441   0.80068   98.51379
105   0.08445   0.59313   0.46437   -3.99362   0.08445   0.59313   -0.08322   0.80099   98.56873
106   0.08467   0.59249   0.46469   -4.03840   0.08467   0.59249   -0.08408   0.80136   98.49548
107   0.08458   0.59175   0.46520   -4.01726   0.08458   0.59175   -0.08353   0.80200   98.42834
108   0.08452   0.59136   0.46544   -4.00687   0.08452   0.59136   -0.08325   0.80224   98.56873
109   0.08457   0.59172   0.46523   -3.99718   0.08457   0.59172   -0.08310   0.80200   98.54736
110   0.08465   0.59096   0.46574   -3.99502   0.08465   0.59096   -0.08295   0.80264   98.48328
111   0.08453   0.59212   0.46494   -4.00612   0.08453   0.59212   -0.08335   0.80160   98.53516
112   0.08440   0.59175   0.46520   -4.03174   0.08440   0.59175   -0.08383   0.80206   98.48022
113   0.08446   0.59188   0.46509   -4.01065   0.08446   0.59188   -0.08341   0.80178   98.49243
114   0.08438   0.59181   0.46514   -4.02264   0.08438   0.59181   -0.08365   0.80190   98.56567
115   0.08426   0.59124   0.46553   -4.01784   0.08426   0.59124   -0.08347   0.80239   98.55347
116   0.08431   0.59136   0.46556   -3.96627   0.08431   0.59136   -0.08240   0.80245   98.46802
117   0.08432   0.59188   0.46506   -4.05554   0.08432   0.59188   -0.08435   0.80184   98.43445
118   0.08428   0.59188   0.46507   -4.02803   0.08428   0.59188   -0.08377   0.80178   98.58704
119   0.08422   0.59124   0.46550   -4.00914   0.08422   0.59124   -0.08329   0.80227   98.57483
120   0.08438   0.59139   0.46538   -4.03711   0.08438   0.59139   -0.08390   0.80218   98.43750
121   0.08431   0.59175   0.46508   -4.07519   0.08431   0.59175   -0.08475   0.80184   98.47717
122   0.08421   0.59181   0.46510   -4.04292   0.08421   0.59181   -0.08408   0.80184   98.57483
123   0.08441   0.59151   0.46527   -4.05077   0.08441   0.59151   -0.08420   0.80203   98.48022
124   0.08442   0.59188   0.46508   -4.04830   0.08442   0.59188   -0.08420   0.80187   98.43750
125   0.08455   0.59249   0.46459   -4.08034   0.08455   0.59249   -0.08496   0.80120   98.49243
126   0.08448   0.59157   0.46521   -4.07353   0.08448   0.59157   -0.08469   0.80200   98.55652
127   0.08456   0.59215   0.46489   -4.05802   0.08456   0.59215   -0.08444   0.80166   98.41919
128   0.08454   0.59270   0.46443   -4.10057   0.08454   0.59270   -0.08542   0.80105   98.52600
129   0.08455   0.59264   0.46452   -4.06774   0.08455   0.59264   -0.08472   0.80111   98.55957
130   0.08463   0.59172   0.46513   -4.06091   0.08463   0.59172   -0.08444   0.80190   98.59314
