Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 11:52:34 4/15/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.08468   0.64321   0.60735   -0.46648   0.08468   0.64321   0.60735   -0.46648   100.44250
2   0.08472   0.64312   0.60729   -0.46690   0.08472   0.64312   0.60729   -0.46690   100.48523
3   0.08486   0.64330   0.60683   -0.46715   0.08486   0.64330   0.60683   -0.46715   100.39673
4   0.08496   0.64348   0.60674   -0.46696   0.08496   0.64348   0.60674   -0.46696   100.40894
5   0.08499   0.64348   0.60659   -0.46702   0.08499   0.64348   0.60659   -0.46702   100.48218
6   0.08502   0.64391   0.60610   -0.46724   0.08502   0.64391   0.60610   -0.46724   100.39673
7   0.08498   0.64354   0.60637   -0.46727   0.08498   0.64354   0.60637   -0.46727   100.39673
8   0.08499   0.64357   0.60640   -0.46721   0.08499   0.64357   0.60640   -0.46721   100.48218
9   0.08503   0.64379   0.60704   -0.46608   0.08503   0.64379   0.60704   -0.46608   100.46082
10   0.08514   0.64330   0.60799   -0.46547   0.08514   0.64330   0.60799   -0.46547   100.48218
11   0.08513   0.64348   0.60689   -0.46678   0.08513   0.64348   0.60689   -0.46678   100.47302
12   0.08505   0.64339   0.60704   -0.46663   0.08505   0.64339   0.60704   -0.46663   100.51575
13   0.08515   0.64342   0.60741   -0.46620   0.08515   0.64342   0.60741   -0.46620   100.41809
14   0.08510   0.64446   0.60649   -0.46593   0.08510   0.64446   0.60649   -0.46593   100.36316
15   0.08479   0.64327   0.60686   -0.46706   0.08479   0.64327   0.60686   -0.46706   100.50659
16   0.08478   0.64403   0.60613   -0.46699   0.08478   0.64403   0.60613   -0.46699   100.51575
17   0.08496   0.64345   0.60744   -0.46614   0.08496   0.64345   0.60744   -0.46614   100.36621
18   0.08485   0.64376   0.60631   -0.46706   0.08485   0.64376   0.60631   -0.46706   100.39673
19   0.08480   0.64217   0.60857   -0.46632   0.08480   0.64217   0.60857   -0.46632   100.53711
20   0.08491   0.64351   0.60717   -0.46651   0.08491   0.64351   0.60717   -0.46651   100.38757
21   0.08486   0.64287   0.60778   -0.46644   0.08486   0.64287   0.60778   -0.46644   100.46387
22   0.08477   0.64290   0.60759   -0.46648   0.08477   0.64290   0.60759   -0.46648   100.49438
23   0.08482   0.64345   0.60738   -0.46626   0.08482   0.64345   0.60738   -0.46626   100.43030
24   0.08490   0.64299   0.60778   -0.46614   0.08490   0.64299   0.60778   -0.46614   100.40894
25   0.08505   0.64251   0.60796   -0.46660   0.08505   0.64251   0.60796   -0.46660   100.45166
26   0.08507   0.64217   0.60817   -0.46693   0.08507   0.64217   0.60817   -0.46693   100.48218
27   0.08515   0.64345   0.60768   -0.46574   0.08515   0.64345   0.60768   -0.46574   100.36316
28   0.08511   0.64296   0.60738   -0.46660   0.08511   0.64296   0.60738   -0.46660   100.40588
29   0.08501   0.64254   0.60808   -0.46651   0.08501   0.64254   0.60808   -0.46651   100.54626
30   0.08502   0.64351   0.60781   -0.46562   0.08502   0.64351   0.60781   -0.46562   100.38757
31   0.08516   0.64260   0.60814   -0.46626   0.08516   0.64260   0.60814   -0.46626   100.37537
32   0.08510   0.64257   0.60784   -0.46669   0.08510   0.64257   0.60784   -0.46669   100.48218
33   0.08497   0.64196   0.60887   -0.46614   0.08497   0.64196   0.60887   -0.46614   100.57068
34   0.08512   0.64266   0.60799   -0.46648   0.08512   0.64266   0.60799   -0.46648   100.37537
35   0.08506   0.64327   0.60756   -0.46602   0.08506   0.64327   0.60756   -0.46602   100.41809
36   0.08489   0.64290   0.60714   -0.46709   0.08489   0.64290   0.60714   -0.46709   100.52795
37   0.08490   0.64364   0.60695   -0.46644   0.08490   0.64364   0.60695   -0.46644   100.45166
