Index      S0(mW)      S1      Elipticity        Azimuth      S0(mW)      S1      S2      S3      DOP
1   0.08494   0.64312   -0.24292   21.67576   0.08494   0.64312   0.60714   -0.46702   100.39673
2   0.08499   0.64260   -0.24311   21.69162   0.08499   0.64260   0.60732   -0.46733   100.53711
3   0.08501   0.64241   -0.24313   21.70144   0.08501   0.64241   0.60756   -0.46739   100.41809
4   0.08512   0.64299   -0.24288   21.68135   0.08512   0.64299   0.60726   -0.46693   100.41809
5   0.08510   0.64284   -0.24342   21.67109   0.08510   0.64284   0.60668   -0.46788   100.43030
6   0.08508   0.64315   -0.24289   21.67293   0.08508   0.64315   0.60704   -0.46693   100.49438
7   0.08508   0.64336   -0.24278   21.66530   0.08508   0.64336   0.60692   -0.46672   100.41809
8   0.08509   0.64266   -0.24352   21.67516   0.08509   0.64266   0.60668   -0.46803   100.39673
9   0.08502   0.64318   -0.24348   21.65355   0.08502   0.64318   0.60625   -0.46800   100.45166
10   0.08516   0.64299   -0.24254   21.69285   0.08516   0.64299   0.60775   -0.46635   100.40588
11   0.08508   0.64324   -0.24306   21.66442   0.08508   0.64324   0.60677   -0.46727   100.36316
12   0.08497   0.64269   -0.24344   21.67664   0.08497   0.64269   0.60677   -0.46791   100.50354
13   0.08491   0.64226   -0.24347   21.69693   0.08491   0.64226   0.60723   -0.46797   100.41809
14   0.08494   0.64290   -0.24295   21.68483   0.08494   0.64290   0.60732   -0.46709   100.38757
15   0.08487   0.64257   -0.24318   21.69301   0.08487   0.64257   0.60735   -0.46748   100.47302
16   0.08480   0.64251   -0.24323   21.69293   0.08480   0.64251   0.60729   -0.46754   100.54932
17   0.08487   0.64257   -0.24282   21.70379   0.08487   0.64257   0.60781   -0.46684   100.45166
18   0.08487   0.64364   -0.24334   21.63617   0.08487   0.64364   0.60594   -0.46776   100.33264
19   0.08479   0.64226   -0.24365   21.69046   0.08479   0.64226   0.60695   -0.46828   100.45166
20   0.08484   0.64232   -0.24338   21.69701   0.08484   0.64232   0.60729   -0.46782   100.46387
21   0.08493   0.64208   -0.24386   21.69094   0.08493   0.64208   0.60680   -0.46864   100.39673
22   0.08502   0.64205   -0.24383   21.69378   0.08502   0.64205   0.60689   -0.46858   100.41809
23   0.08515   0.64223   -0.24316   21.70839   0.08515   0.64223   0.60768   -0.46742   100.44861
24   0.08526   0.64190   -0.24407   21.69287   0.08526   0.64190   0.60671   -0.46901   100.36316
25   0.08530   0.64223   -0.24357   21.69761   0.08530   0.64223   0.60723   -0.46818   100.44861
26   0.08525   0.64251   -0.24402   21.66704   0.08525   0.64251   0.60619   -0.46895   100.49133
27   0.08529   0.64296   -0.24331   21.66837   0.08529   0.64296   0.60668   -0.46770   100.37537
28   0.08534   0.64208   -0.24368   21.69814   0.08534   0.64208   0.60710   -0.46834   100.37537
29   0.08525   0.64293   -0.24354   21.66041   0.08525   0.64293   0.60631   -0.46806   100.51270
30   0.08518   0.64183   -0.24289   21.73374   0.08518   0.64183   0.60839   -0.46693   100.51575
31   0.08533   0.64226   -0.24355   21.69406   0.08533   0.64226   0.60710   -0.46812   100.29907
32   0.08532   0.64193   -0.24320   21.72093   0.08532   0.64193   0.60793   -0.46748   100.43945
33   0.08513   0.64238   -0.24341   21.69493   0.08513   0.64238   0.60726   -0.46791   100.48218
34   0.08511   0.64196   -0.24287   21.73174   0.08511   0.64196   0.60842   -0.46693   100.38452
35   0.08508   0.64238   -0.24332   21.69637   0.08508   0.64238   0.60732   -0.46773   100.34180
36   0.08502   0.64101   -0.24336   21.75929   0.08502   0.64101   0.60869   -0.46779   100.46082
37   0.08490   0.64284   -0.24276   21.69265   0.08490   0.64284   0.60759   -0.46672   100.45166
38   0.08498   0.64260   -0.24330   21.68730   0.08498   0.64260   0.60714   -0.46770   100.39673
39   0.08496   0.64174   -0.24349   21.72214   0.08496   0.64174   0.60781   -0.46803   100.41809
40   0.08480   0.64177   -0.24330   21.72649   0.08480   0.64177   0.60802   -0.46770   100.44250
41   0.08476   0.64196   -0.24332   21.71666   0.08476   0.64196   0.60778   -0.46773   100.34485
42   0.08466   0.64129   -0.24278   21.76392   0.08466   0.64129   0.60915   -0.46675   100.45166
43   0.08476   0.64125   -0.24361   21.74308   0.08476   0.64125   0.60823   -0.46828   100.48523
44   0.08497   0.64306   -0.24264   21.68359   0.08497   0.64306   0.60741   -0.46648   100.37537
45   0.08492   0.64162   -0.24379   21.71552   0.08492   0.64162   0.60741   -0.46852   100.38757
46   0.08480   0.64098   -0.24428   21.73269   0.08480   0.64098   0.60753   -0.46944   100.45166
47   0.08480   0.64342   -0.24346   21.63948   0.08480   0.64342   0.60588   -0.46791   100.45166
48   0.08505   0.64324   -0.24340   21.65291   0.08505   0.64324   0.60628   -0.46785   100.36316
49   0.08492   0.64351   -0.24329   21.64680   0.08492   0.64351   0.60628   -0.46770   100.43945
50   0.08480   0.64306   -0.24329   21.66346   0.08480   0.64306   0.60656   -0.46764   100.50659
51   0.08496   0.64235   -0.24352   21.69130   0.08496   0.64235   0.60707   -0.46806   100.39673
52   0.08497   0.64254   -0.24352   21.68075   0.08497   0.64254   0.60680   -0.46803   100.36621
53   0.08494   0.64281   -0.24378   21.66025   0.08494   0.64281   0.60619   -0.46852   100.50659
54   0.08481   0.64232   -0.24364   21.68839   0.08481   0.64232   0.60692   -0.46828   100.48523
