Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.08523   0.64266   0.60710   -0.46760   0.08523   0.64266   0.60710   -0.46760   100.35400
2   0.08515   0.64232   0.60747   -0.46760   0.08515   0.64232   0.60747   -0.46760   100.42725
3   0.08511   0.64229   0.60765   -0.46754   0.08511   0.64229   0.60765   -0.46754   100.51575
4   0.08511   0.64257   0.60732   -0.46745   0.08511   0.64257   0.60732   -0.46745   100.35400
5   0.08497   0.64199   0.60781   -0.46751   0.08497   0.64199   0.60781   -0.46751   100.35400
6   0.08485   0.64315   0.60652   -0.46773   0.08485   0.64315   0.60652   -0.46773   100.48523
7   0.08476   0.64293   0.60674   -0.46760   0.08476   0.64293   0.60674   -0.46760   100.46387
8   0.08486   0.64257   0.60753   -0.46718   0.08486   0.64257   0.60753   -0.46718   100.39673
9   0.08487   0.64312   0.60674   -0.46751   0.08487   0.64312   0.60674   -0.46751   100.39673
10   0.08458   0.64220   0.60726   -0.46797   0.08458   0.64220   0.60726   -0.46797   100.58289
11   0.08464   0.64266   0.60698   -0.46767   0.08464   0.64266   0.60698   -0.46767   100.44250
12   0.08458   0.64235   0.60649   -0.46870   0.08458   0.64235   0.60649   -0.46870   100.45166
13   0.08462   0.64287   0.60643   -0.46797   0.08462   0.64287   0.60643   -0.46797   100.42114
14   0.08465   0.64370   0.60637   -0.46712   0.08465   0.64370   0.60637   -0.46712   100.44250
15   0.08468   0.64321   0.60628   -0.46767   0.08468   0.64321   0.60628   -0.46767   100.38757
16   0.08479   0.64312   0.60637   -0.46791   0.08479   0.64312   0.60637   -0.46791   100.44250
17   0.08486   0.64309   0.60601   -0.46843   0.08486   0.64309   0.60601   -0.46843   100.47302
18   0.08502   0.64360   0.60585   -0.46770   0.08502   0.64360   0.60585   -0.46770   100.37537
19   0.08502   0.64382   0.60582   -0.46767   0.08502   0.64382   0.60582   -0.46767   100.39673
20   0.08497   0.64241   0.60652   -0.46870   0.08497   0.64241   0.60652   -0.46870   100.52795
21   0.08504   0.64376   0.60649   -0.46702   0.08504   0.64376   0.60649   -0.46702   100.43945
22   0.08516   0.64284   0.60680   -0.46785   0.08516   0.64284   0.60680   -0.46785   100.35400
23   0.08516   0.64342   0.60686   -0.46693   0.08516   0.64342   0.60686   -0.46693   100.48218
24   0.08517   0.64354   0.60646   -0.46733   0.08517   0.64354   0.60646   -0.46733   100.52490
25   0.08527   0.64318   0.60683   -0.46724   0.08527   0.64318   0.60683   -0.46724   100.37537
26   0.08518   0.64354   0.60659   -0.46696   0.08518   0.64354   0.60659   -0.46696   100.36316
27   0.08506   0.64345   0.60576   -0.46843   0.08506   0.64345   0.60576   -0.46843   100.47302
28   0.08499   0.64309   0.60631   -0.46791   0.08499   0.64309   0.60631   -0.46791   100.47302
29   0.08496   0.64342   0.60637   -0.46745   0.08496   0.64342   0.60637   -0.46745   100.45166
30   0.08504   0.64275   0.60729   -0.46721   0.08504   0.64275   0.60729   -0.46721   100.43030
31   0.08495   0.64272   0.60683   -0.46791   0.08495   0.64272   0.60683   -0.46791   100.46082
32   0.08499   0.64342   0.60622   -0.46754   0.08499   0.64342   0.60622   -0.46754   100.38757
33   0.08498   0.64360   0.60588   -0.46776   0.08498   0.64360   0.60588   -0.46776   100.45166
34   0.08490   0.64345   0.60582   -0.46821   0.08490   0.64345   0.60582   -0.46821   100.43945
35   0.08493   0.64275   0.60784   -0.46660   0.08493   0.64275   0.60784   -0.46660   100.46082
36   0.08497   0.64345   0.60668   -0.46721   0.08497   0.64345   0.60668   -0.46721   100.40894
37   0.08510   0.64373   0.60634   -0.46733   0.08510   0.64373   0.60634   -0.46733   100.43945
38   0.08518   0.64241   0.60707   -0.46815   0.08518   0.64241   0.60707   -0.46815   100.40588
39   0.08529   0.64275   0.60695   -0.46785   0.08529   0.64275   0.60695   -0.46785   100.32043
40   0.08526   0.64211   0.60808   -0.46727   0.08526   0.64211   0.60808   -0.46727   100.42725
41   0.08513   0.64229   0.60720   -0.46788   0.08513   0.64229   0.60720   -0.46788   100.50354
42   0.08523   0.64278   0.60704   -0.46748   0.08523   0.64278   0.60704   -0.46748   100.38452
43   0.08537   0.64254   0.60707   -0.46779   0.08537   0.64254   0.60707   -0.46779   100.32043
44   0.08519   0.64257   0.60710   -0.46767   0.08519   0.64257   0.60710   -0.46767   100.46997
45   0.08509   0.64223   0.60732   -0.46785   0.08509   0.64223   0.60732   -0.46785   100.48218
46   0.08519   0.64281   0.60744   -0.46702   0.08519   0.64281   0.60744   -0.46702   100.34180
47   0.08514   0.64287   0.60689   -0.46751   0.08514   0.64287   0.60689   -0.46751   100.38452
48   0.08498   0.64293   0.60656   -0.46791   0.08498   0.64293   0.60656   -0.46791   100.47302
49   0.08493   0.64278   0.60753   -0.46696   0.08493   0.64278   0.60753   -0.46696   100.43945
50   0.08499   0.64226   0.60765   -0.46739   0.08499   0.64226   0.60765   -0.46739   100.43945
51   0.08487   0.64260   0.60753   -0.46724   0.08487   0.64260   0.60753   -0.46724   100.45166
52   0.08494   0.64254   0.60704   -0.46776   0.08494   0.64254   0.60704   -0.46776   100.43945
53   0.08479   0.64211   0.60829   -0.46678   0.08479   0.64211   0.60829   -0.46678   100.40894
54   0.08479   0.64260   0.60723   -0.46751   0.08479   0.64260   0.60723   -0.46751   100.41809
55   0.08474   0.64269   0.60707   -0.46760   0.08474   0.64269   0.60707   -0.46760   100.50659
56   0.08484   0.64306   0.60756   -0.46654   0.08484   0.64306   0.60756   -0.46654   100.38757
57   0.08486   0.64302   0.60704   -0.46727   0.08486   0.64302   0.60704   -0.46727   100.38757
58   0.08487   0.64348   0.60662   -0.46712   0.08487   0.64348   0.60662   -0.46712   100.50659
59   0.08503   0.64284   0.60750   -0.46690   0.08503   0.64284   0.60750   -0.46690   100.49438
60   0.08511   0.64211   0.60793   -0.46730   0.08511   0.64211   0.60793   -0.46730   100.32043
61   0.08514   0.64266   0.60741   -0.46730   0.08514   0.64266   0.60741   -0.46730   100.39673
62   0.08504   0.64241   0.60808   -0.46681   0.08504   0.64241   0.60808   -0.46681   100.53711
63   0.08505   0.64275   0.60765   -0.46666   0.08505   0.64275   0.60765   -0.46666   100.45166
64   0.08520   0.64229   0.60787   -0.46718   0.08520   0.64229   0.60787   -0.46718   100.36316
65   0.08514   0.64257   0.60720   -0.46767   0.08514   0.64257   0.60720   -0.46767   100.46082
66   0.08510   0.64248   0.60768   -0.46696   0.08510   0.64248   0.60768   -0.46696   100.47302
67   0.08510   0.64263   0.60753   -0.46699   0.08510   0.64263   0.60753   -0.46699   100.41809
68   0.08510   0.64293   0.60683   -0.46760   0.08510   0.64293   0.60683   -0.46760   100.43030
69   0.08479   0.64272   0.60717   -0.46745   0.08479   0.64272   0.60717   -0.46745   100.48523
70   0.08485   0.64290   0.60726   -0.46696   0.08485   0.64290   0.60726   -0.46696   100.41809
71   0.08486   0.64312   0.60674   -0.46748   0.08486   0.64312   0.60674   -0.46748   100.38757
72   0.08474   0.64260   0.60726   -0.46767   0.08474   0.64260   0.60726   -0.46767   100.49438
73   0.08486   0.64263   0.60762   -0.46675   0.08486   0.64263   0.60762   -0.46675   100.47302
74   0.08487   0.64360   0.60646   -0.46712   0.08487   0.64360   0.60646   -0.46712   100.38757
75   0.08477   0.64257   0.60729   -0.46733   0.08477   0.64257   0.60729   -0.46733   100.49438
76   0.08466   0.64263   0.60753   -0.46706   0.08466   0.64263   0.60753   -0.46706   100.50659
