Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 11:27:12 4/15/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.08448   -0.23127   -0.53795   0.81066   0.08448   -0.23127   -0.53795   0.81066   98.21167
2   0.08443   -0.23194   -0.53655   0.81152   0.08443   -0.23194   -0.53655   0.81152   98.22083
3   0.08451   -0.23304   -0.53670   0.81106   0.08451   -0.23304   -0.53670   0.81106   98.12317
4   0.08462   -0.23270   -0.53655   0.81130   0.08462   -0.23270   -0.53655   0.81130   98.16895
5   0.08457   -0.23280   -0.53621   0.81146   0.08457   -0.23280   -0.53621   0.81146   98.30017
6   0.08465   -0.23267   -0.53612   0.81155   0.08465   -0.23267   -0.53612   0.81155   98.23608
7   0.08474   -0.23283   -0.53569   0.81188   0.08474   -0.23283   -0.53569   0.81188   98.15063
8   0.08474   -0.23215   -0.53505   0.81240   0.08474   -0.23215   -0.53505   0.81240   98.26965
9   0.08461   -0.23328   -0.53493   0.81225   0.08461   -0.23328   -0.53493   0.81225   98.21167
10   0.08467   -0.23206   -0.53584   0.81194   0.08467   -0.23206   -0.53584   0.81194   98.15979
11   0.08467   -0.23228   -0.53520   0.81228   0.08467   -0.23228   -0.53520   0.81228   98.24524
12   0.08462   -0.23276   -0.53594   0.81161   0.08462   -0.23276   -0.53594   0.81161   98.18115
13   0.08468   -0.23191   -0.53456   0.81292   0.08468   -0.23191   -0.53456   0.81292   98.13843
14   0.08457   -0.23179   -0.53523   0.81240   0.08457   -0.23179   -0.53523   0.81240   98.15674
15   0.08446   -0.23252   -0.53548   0.81191   0.08446   -0.23252   -0.53548   0.81191   98.19946
16   0.08448   -0.23298   -0.53490   0.81228   0.08448   -0.23298   -0.53490   0.81228   98.15674
17   0.08448   -0.23289   -0.53450   0.81249   0.08448   -0.23289   -0.53450   0.81249   98.18726
18   0.08447   -0.23209   -0.53560   0.81204   0.08447   -0.23209   -0.53560   0.81204   98.22083
19   0.08439   -0.23286   -0.53450   0.81262   0.08439   -0.23286   -0.53450   0.81262   98.26355
20   0.08446   -0.23228   -0.53484   0.81256   0.08446   -0.23228   -0.53484   0.81256   98.15674
21   0.08441   -0.23228   -0.53539   0.81213   0.08441   -0.23228   -0.53539   0.81213   98.22998
22   0.08432   -0.23203   -0.53548   0.81216   0.08432   -0.23203   -0.53548   0.81216   98.30322
23   0.08439   -0.23215   -0.53603   0.81179   0.08439   -0.23215   -0.53603   0.81179   98.20862
24   0.08447   -0.23164   -0.53545   0.81234   0.08447   -0.23164   -0.53545   0.81234   98.14453
25   0.08451   -0.23258   -0.53417   0.81295   0.08451   -0.23258   -0.53417   0.81295   98.19031
26   0.08459   -0.23206   -0.53554   0.81207   0.08459   -0.23206   -0.53554   0.81207   98.30017
27   0.08475   -0.23176   -0.53523   0.81240   0.08475   -0.23176   -0.53523   0.81240   98.10791
28   0.08480   -0.23194   -0.53545   0.81231   0.08480   -0.23194   -0.53545   0.81231   98.14148
29   0.08472   -0.23151   -0.53566   0.81219   0.08472   -0.23151   -0.53566   0.81219   98.23608
30   0.08479   -0.23185   -0.53496   0.81249   0.08479   -0.23185   -0.53496   0.81249   98.16284
31   0.08488   -0.23164   -0.53511   0.81246   0.08488   -0.23164   -0.53511   0.81246   98.13232
32   0.08480   -0.23206   -0.53499   0.81243   0.08480   -0.23206   -0.53499   0.81243   98.26965
33   0.08475   -0.23136   -0.53536   0.81234   0.08475   -0.23136   -0.53536   0.81234   98.24829
