Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.08444   0.61031   -0.12586   0.78231   0.08444   0.61031   -0.12586   0.78231   98.50159
2   0.08439   0.61043   -0.12513   0.78219   0.08439   0.61043   -0.12513   0.78219   98.60840
3   0.08445   0.61071   -0.12494   0.78213   0.08445   0.61071   -0.12494   0.78213   98.59009
4   0.08452   0.60936   -0.12540   0.78301   0.08452   0.60936   -0.12540   0.78301   98.53516
5   0.08447   0.60854   -0.12485   0.78381   0.08447   0.60854   -0.12485   0.78381   98.56873
6   0.08449   0.60854   -0.12333   0.78411   0.08449   0.60854   -0.12333   0.78411   98.64502
7   0.08454   0.60851   -0.12445   0.78387   0.08454   0.60851   -0.12445   0.78387   98.59009
8   0.08451   0.60915   -0.12433   0.78353   0.08451   0.60915   -0.12433   0.78353   98.60229
9   0.08452   0.60933   -0.12442   0.78329   0.08452   0.60933   -0.12442   0.78329   98.57788
10   0.08458   0.60839   -0.12342   0.78420   0.08458   0.60839   -0.12342   0.78420   98.58093
11   0.08446   0.60851   -0.12506   0.78375   0.08446   0.60851   -0.12506   0.78375   98.57788
12   0.08441   0.60949   -0.12470   0.78307   0.08441   0.60949   -0.12470   0.78307   98.62061
13   0.08429   0.60912   -0.12406   0.78347   0.08429   0.60912   -0.12406   0.78347   98.60840
14   0.08425   0.60949   -0.12445   0.78323   0.08425   0.60949   -0.12445   0.78323   98.49854
15   0.08426   0.60915   -0.12497   0.78338   0.08426   0.60915   -0.12497   0.78338   98.55347
16   0.08410   0.60955   -0.12458   0.78304   0.08410   0.60955   -0.12458   0.78304   98.63892
17   0.08416   0.60930   -0.12436   0.78329   0.08416   0.60930   -0.12436   0.78329   98.51990
18   0.08416   0.60945   -0.12583   0.78289   0.08416   0.60945   -0.12583   0.78289   98.54126
19   0.08417   0.61092   -0.12546   0.78188   0.08417   0.61092   -0.12546   0.78188   98.58398
20   0.08416   0.60973   -0.12552   0.78277   0.08416   0.60973   -0.12552   0.78277   98.67249
21   0.08421   0.61058   -0.12574   0.78210   0.08421   0.61058   -0.12574   0.78210   98.54126
22   0.08430   0.61003   -0.12580   0.78256   0.08430   0.61003   -0.12580   0.78256   98.60840
23   0.08428   0.61010   -0.12561   0.78246   0.08428   0.61010   -0.12561   0.78246   98.64197
24   0.08446   0.60997   -0.12583   0.78262   0.08446   0.60997   -0.12583   0.78262   98.59009
25   0.08450   0.61074   -0.12574   0.78198   0.08450   0.61074   -0.12574   0.78198   98.51379
26   0.08440   0.61077   -0.12607   0.78188   0.08440   0.61077   -0.12607   0.78188   98.58704
27   0.08457   0.61046   -0.12619   0.78216   0.08457   0.61046   -0.12619   0.78216   98.55957
28   0.08457   0.61074   -0.12510   0.78204   0.08457   0.61074   -0.12510   0.78204   98.58093
29   0.08467   0.61068   -0.12592   0.78198   0.08467   0.61068   -0.12592   0.78198   98.55042
30   0.08470   0.61122   -0.12482   0.78170   0.08470   0.61122   -0.12482   0.78170   98.58093
31   0.08477   0.61144   -0.12598   0.78140   0.08477   0.61144   -0.12598   0.78140   98.49854
32   0.08465   0.61092   -0.12613   0.78176   0.08465   0.61092   -0.12613   0.78176   98.58093
33   0.08454   0.61119   -0.12522   0.78176   0.08454   0.61119   -0.12522   0.78176   98.62366
34   0.08464   0.61037   -0.12452   0.78240   0.08464   0.61037   -0.12452   0.78240   98.53821
35   0.08460   0.61089   -0.12528   0.78188   0.08460   0.61089   -0.12528   0.78188   98.55957
36   0.08449   0.61095   -0.12571   0.78173   0.08449   0.61095   -0.12571   0.78173   98.56873
37   0.08442   0.61122   -0.12488   0.78185   0.08442   0.61122   -0.12488   0.78185   98.58704
38   0.08443   0.61068   -0.12589   0.78191   0.08443   0.61068   -0.12589   0.78191   98.59009
39   0.08449   0.61171   -0.12580   0.78121   0.08449   0.61171   -0.12580   0.78121   98.54736
40   0.08443   0.61138   -0.12693   0.78127   0.08443   0.61138   -0.12693   0.78127   98.59009
41   0.08444   0.61122   -0.12540   0.78167   0.08444   0.61122   -0.12540   0.78167   98.53516
42   0.08445   0.61022   -0.12525   0.78240   0.08445   0.61022   -0.12525   0.78240   98.53516
43   0.08434   0.61101   -0.12571   0.78179   0.08434   0.61101   -0.12571   0.78179   98.57788
44   0.08440   0.61028   -0.12497   0.78246   0.08440   0.61028   -0.12497   0.78246   98.58704
45   0.08450   0.61162   -0.12510   0.78133   0.08450   0.61162   -0.12510   0.78133   98.53516
46   0.08439   0.61043   -0.12455   0.78237   0.08439   0.61043   -0.12455   0.78237   98.62061
47   0.08455   0.61132   -0.12571   0.78155   0.08455   0.61132   -0.12571   0.78155   98.64502
48   0.08457   0.60961   -0.12510   0.78295   0.08457   0.60961   -0.12510   0.78295   98.53821
