Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 10:47:38 4/15/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.08506   0.66720   0.55724   -0.49446   0.08506   0.66720   0.55724   -0.49446   100.58899
2   0.08522   0.66778   0.55654   -0.49458   0.08522   0.66778   0.55654   -0.49458   100.52490
3   0.08528   0.66781   0.55727   -0.49370   0.08528   0.66781   0.55727   -0.49370   100.41809
4   0.08522   0.66774   0.55669   -0.49449   0.08522   0.66774   0.55669   -0.49449   100.55847
5   0.08521   0.66814   0.55626   -0.49422   0.08521   0.66814   0.55626   -0.49422   100.60120
6   0.08538   0.66790   0.55605   -0.49504   0.08538   0.66790   0.55605   -0.49504   100.43945
7   0.08532   0.66713   0.55730   -0.49440   0.08532   0.66713   0.55730   -0.49440   100.43945
8   0.08530   0.66787   0.55571   -0.49522   0.08530   0.66787   0.55571   -0.49522   100.52490
9   0.08527   0.66790   0.55629   -0.49458   0.08527   0.66790   0.55629   -0.49458   100.58899
10   0.08530   0.66802   0.55657   -0.49431   0.08530   0.66802   0.55657   -0.49431   100.46082
11   0.08531   0.66811   0.55629   -0.49440   0.08531   0.66811   0.55629   -0.49440   100.46082
12   0.08522   0.66778   0.55629   -0.49461   0.08522   0.66778   0.55629   -0.49461   100.55847
13   0.08520   0.66787   0.55678   -0.49416   0.08520   0.66787   0.55678   -0.49416   100.53711
14   0.08523   0.66771   0.55580   -0.49550   0.08523   0.66771   0.55580   -0.49550   100.43945
15   0.08517   0.66729   0.55651   -0.49519   0.08517   0.66729   0.55651   -0.49519   100.51575
16   0.08513   0.66741   0.55611   -0.49547   0.08513   0.66741   0.55611   -0.49547   100.51575
17   0.08516   0.66704   0.55745   -0.49446   0.08516   0.66704   0.55745   -0.49446   100.46082
18   0.08512   0.66787   0.55617   -0.49477   0.08512   0.66787   0.55617   -0.49477   100.48218
