Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.08504   0.66625   0.55699   -0.49608   0.08504   0.66625   0.55699   -0.49608   100.53711
2   0.08527   0.66744   0.55583   -0.49571   0.08527   0.66744   0.55583   -0.49571   100.43945
3   0.08523   0.66741   0.55608   -0.49556   0.08523   0.66741   0.55608   -0.49556   100.46997
4   0.08524   0.66720   0.55611   -0.49577   0.08524   0.66720   0.55611   -0.49577   100.54626
5   0.08530   0.66655   0.55681   -0.49596   0.08530   0.66655   0.55681   -0.49596   100.42725
6   0.08533   0.66689   0.55574   -0.49657   0.08533   0.66689   0.55574   -0.49657   100.41809
7   0.08526   0.66692   0.55565   -0.49657   0.08526   0.66692   0.55565   -0.49657   100.54626
8   0.08526   0.66762   0.55589   -0.49532   0.08526   0.66762   0.55589   -0.49532   100.57983
9   0.08537   0.66744   0.55544   -0.49629   0.08537   0.66744   0.55544   -0.49629   100.39673
10   0.08529   0.66729   0.55565   -0.49626   0.08529   0.66729   0.55565   -0.49626   100.46082
11   0.08518   0.66585   0.55660   -0.49709   0.08518   0.66585   0.55660   -0.49709   100.60120
12   0.08510   0.66686   0.55544   -0.49696   0.08510   0.66686   0.55544   -0.49696   100.45166
13   0.08510   0.66622   0.55605   -0.49705   0.08510   0.66622   0.55605   -0.49705   100.41809
14   0.08507   0.66735   0.55565   -0.49626   0.08507   0.66735   0.55565   -0.49626   100.49438
15   0.08490   0.66726   0.55544   -0.49648   0.08490   0.66726   0.55544   -0.49648   100.54932
16   0.08492   0.66771   0.55571   -0.49571   0.08492   0.66771   0.55571   -0.49571   100.43945
17   0.08492   0.66774   0.55617   -0.49495   0.08492   0.66774   0.55617   -0.49495   100.48218
18   0.08497   0.66677   0.55696   -0.49541   0.08497   0.66677   0.55696   -0.49541   100.53711
19   0.08496   0.66668   0.55647   -0.49602   0.08496   0.66668   0.55647   -0.49602   100.45166
20   0.08494   0.66759   0.55605   -0.49528   0.08494   0.66759   0.55605   -0.49528   100.43945
21   0.08499   0.66710   0.55589   -0.49614   0.08499   0.66710   0.55589   -0.49614   100.52490
22   0.08499   0.66726   0.55614   -0.49568   0.08499   0.66726   0.55614   -0.49568   100.54932
23   0.08514   0.66738   0.55681   -0.49471   0.08514   0.66738   0.55681   -0.49471   100.47302
24   0.08509   0.66793   0.55531   -0.49550   0.08509   0.66793   0.55531   -0.49550   100.50354
25   0.08513   0.66686   0.55596   -0.49635   0.08513   0.66686   0.55596   -0.49635   100.57983
26   0.08522   0.66671   0.55666   -0.49590   0.08522   0.66671   0.55666   -0.49590   100.46997
27   0.08530   0.66753   0.55638   -0.49492   0.08530   0.66753   0.55638   -0.49492   100.46082
28   0.08525   0.66848   0.55504   -0.49522   0.08525   0.66848   0.55504   -0.49522   100.51270
29   0.08530   0.66738   0.55544   -0.49611   0.08530   0.66738   0.55544   -0.49611   100.54626
30   0.08545   0.66689   0.55702   -0.49513   0.08545   0.66689   0.55702   -0.49513   100.42725
31   0.08540   0.66826   0.55556   -0.49498   0.08540   0.66826   0.55556   -0.49498   100.46082
32   0.08526   0.66726   0.55599   -0.49590   0.08526   0.66726   0.55599   -0.49590   100.56763
33   0.08532   0.66839   0.55568   -0.49480   0.08532   0.66839   0.55568   -0.49480   100.51270
34   0.08533   0.66753   0.55629   -0.49507   0.08533   0.66753   0.55629   -0.49507   100.46082
35   0.08516   0.66793   0.55562   -0.49541   0.08516   0.66793   0.55562   -0.49541   100.50354
36   0.08515   0.66820   0.55599   -0.49464   0.08515   0.66820   0.55599   -0.49464   100.52490
37   0.08518   0.66771   0.55614   -0.49501   0.08518   0.66771   0.55614   -0.49501   100.49438
38   0.08511   0.66839   0.55620   -0.49416   0.08511   0.66839   0.55620   -0.49416   100.46082
39   0.08512   0.66820   0.55620   -0.49431   0.08512   0.66820   0.55620   -0.49431   100.55847
40   0.08515   0.66768   0.55651   -0.49474   0.08515   0.66768   0.55651   -0.49474   100.50354
41   0.08515   0.66823   0.55544   -0.49504   0.08515   0.66823   0.55544   -0.49504   100.47302
42   0.08497   0.66765   0.55608   -0.49513   0.08497   0.66765   0.55608   -0.49513   100.51575
43   0.08501   0.66839   0.55632   -0.49400   0.08501   0.66839   0.55632   -0.49400   100.46082
44   0.08522   0.66845   0.55657   -0.49370   0.08522   0.66845   0.55657   -0.49370   100.40588
45   0.08530   0.66756   0.55620   -0.49525   0.08530   0.66756   0.55620   -0.49525   100.51270
46   0.08526   0.66851   0.55562   -0.49458   0.08526   0.66851   0.55562   -0.49458   100.53406
47   0.08532   0.66790   0.55693   -0.49403   0.08532   0.66790   0.55693   -0.49403   100.46082
48   0.08531   0.66802   0.55641   -0.49443   0.08531   0.66802   0.55641   -0.49443   100.37537
49   0.08523   0.66732   0.55647   -0.49516   0.08523   0.66732   0.55647   -0.49516   100.55847
50   0.08518   0.66872   0.55538   -0.49458   0.08518   0.66872   0.55538   -0.49458   100.52490
51   0.08528   0.66805   0.55739   -0.49324   0.08528   0.66805   0.55739   -0.49324   100.39673
52   0.08529   0.66805   0.55638   -0.49440   0.08529   0.66805   0.55638   -0.49440   100.42725
53   0.08518   0.66774   0.55654   -0.49446   0.08518   0.66774   0.55654   -0.49446   100.57983
54   0.08510   0.66796   0.55647   -0.49437   0.08510   0.66796   0.55647   -0.49437   100.51575
55   0.08510   0.66741   0.55803   -0.49336   0.08510   0.66741   0.55803   -0.49336   100.47302
