Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 15:7:13 4/14/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   2.58442   0.56587   -0.31745   0.76116   2.58442   0.56587   -0.31745   0.76116   98.94409
2   2.58413   0.56532   -0.31632   0.76193   2.58413   0.56532   -0.31632   0.76193   98.90137
3   2.58413   0.56520   -0.31559   0.76238   2.58413   0.56520   -0.31559   0.76238   98.96545
4   2.58385   0.56481   -0.31486   0.76293   2.58385   0.56481   -0.31486   0.76293   98.86780
5   2.58557   0.56548   -0.31660   0.76183   2.58557   0.56548   -0.31660   0.76183   98.93494
6   2.58614   0.56612   -0.32105   0.75930   2.58614   0.56612   -0.32105   0.75930   98.90137
7   2.58614   0.56471   -0.31700   0.76214   2.58614   0.56471   -0.31700   0.76214   98.95630
8   2.58499   0.56456   -0.31111   0.76464   2.58499   0.56456   -0.31111   0.76464   98.88916
9   2.58671   0.56465   -0.31236   0.76415   2.58671   0.56465   -0.31236   0.76415   98.84644
10   2.58528   0.56514   -0.31819   0.76138   2.58528   0.56514   -0.31819   0.76138   98.92273
11   2.58413   0.56615   -0.31895   0.76025   2.58413   0.56615   -0.31895   0.76025   98.97766
12   2.58471   0.56624   -0.31370   0.76244   2.58471   0.56624   -0.31370   0.76244   98.94409
13   2.58471   0.56395   -0.30726   0.76666   2.58471   0.56395   -0.30726   0.76666   98.91052
14   2.58528   0.56285   -0.30827   0.76705   2.58528   0.56285   -0.30827   0.76705   98.90137
15   2.58299   0.56468   -0.31333   0.76366   2.58299   0.56468   -0.31333   0.76366   98.87695
16   2.58413   0.56545   -0.31657   0.76186   2.58413   0.56545   -0.31657   0.76186   98.92273
17   2.58213   0.56520   -0.31730   0.76162   2.58213   0.56520   -0.31730   0.76162   98.94409
18   2.58356   0.56465   -0.31108   0.76467   2.58356   0.56465   -0.31108   0.76467   98.87695
19   2.58385   0.56386   -0.30708   0.76684   2.58385   0.56386   -0.30708   0.76684   98.86780
20   2.58442   0.56282   -0.31028   0.76638   2.58442   0.56282   -0.31028   0.76638   98.86780
21   2.58356   0.56490   -0.31452   0.76293   2.58356   0.56490   -0.31452   0.76293   98.94409
22   2.58413   0.56569   -0.31697   0.76141   2.58413   0.56569   -0.31697   0.76141   98.90137
23   2.58299   0.56471   -0.31016   0.76492   2.58299   0.56471   -0.31016   0.76492   98.93188
24   2.58528   0.56328   -0.30754   0.76714   2.58528   0.56328   -0.30754   0.76714   98.87695
25   2.58757   0.56450   -0.31141   0.76470   2.58757   0.56450   -0.31141   0.76470   98.90137
26   2.58528   0.56600   -0.31300   0.76284   2.58528   0.56600   -0.31300   0.76284   98.91052
27   2.58528   0.56517   -0.31294   0.76360   2.58528   0.56517   -0.31294   0.76360   98.93494
28   2.58528   0.56420   -0.31141   0.76473   2.58528   0.56420   -0.31141   0.76473   98.83423
29   2.58671   0.56423   -0.30992   0.76547   2.58671   0.56423   -0.30992   0.76547   98.91357
30   2.58671   0.56462   -0.31260   0.76403   2.58671   0.56462   -0.31260   0.76403   98.91357
