Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 10:11:12 4/15/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.08544   0.34214   -0.31449   0.88562   0.08544   0.34214   -0.31449   0.88562   97.64099
2   0.08539   0.34260   -0.31544   0.88516   0.08539   0.34260   -0.31544   0.88516   97.65015
3   0.08533   0.34242   -0.31593   0.88504   0.08533   0.34242   -0.31593   0.88504   97.62573
4   0.08547   0.34199   -0.31474   0.88553   0.08547   0.34199   -0.31474   0.88553   97.58911
5   0.08530   0.34205   -0.31529   0.88540   0.08530   0.34205   -0.31529   0.88540   97.63794
6   0.08511   0.34248   -0.31382   0.88562   0.08511   0.34248   -0.31382   0.88562   97.66541
7   0.08510   0.34107   -0.31153   0.88714   0.08510   0.34107   -0.31153   0.88714   97.63184
8   0.08515   0.34169   -0.31050   0.88720   0.08515   0.34169   -0.31050   0.88720   97.65320
9   0.08509   0.34300   -0.31446   0.88522   0.08509   0.34300   -0.31446   0.88522   97.64099
10   0.08503   0.34382   -0.31535   0.88455   0.08503   0.34382   -0.31535   0.88455   97.71423
11   0.08515   0.34294   -0.31480   0.88519   0.08515   0.34294   -0.31480   0.88519   97.58911
12   0.08510   0.34156   -0.31376   0.88610   0.08510   0.34156   -0.31376   0.88610   97.55554
13   0.08512   0.34239   -0.31336   0.88592   0.08512   0.34239   -0.31336   0.88592   97.61047
14   0.08508   0.34104   -0.31275   0.88662   0.08508   0.34104   -0.31275   0.88662   97.65320
15   0.08515   0.34120   -0.31275   0.88662   0.08515   0.34120   -0.31275   0.88662   97.54639
16   0.08520   0.34144   -0.31330   0.88629   0.08520   0.34144   -0.31330   0.88629   97.62268
17   0.08530   0.34233   -0.31410   0.88568   0.08530   0.34233   -0.31410   0.88568   97.62573
18   0.08546   0.34324   -0.31693   0.88440   0.08546   0.34324   -0.31693   0.88440   97.59827
19   0.08539   0.34284   -0.31611   0.88473   0.08539   0.34284   -0.31611   0.88473   97.62878
20   0.08541   0.34202   -0.31736   0.88458   0.08541   0.34202   -0.31736   0.88458   97.67151
21   0.08544   0.34251   -0.31440   0.88546   0.08544   0.34251   -0.31440   0.88546   97.69592
22   0.08550   0.34184   -0.31538   0.88540   0.08550   0.34184   -0.31538   0.88540   97.66541
23   0.08535   0.34306   -0.31617   0.88464   0.08535   0.34306   -0.31617   0.88464   97.65015
24   0.08541   0.34312   -0.31709   0.88437   0.08541   0.34312   -0.31709   0.88437   97.64099
25   0.08532   0.34373   -0.31779   0.88382   0.08532   0.34373   -0.31779   0.88382   97.66846
26   0.08522   0.34458   -0.31751   0.88360   0.08522   0.34458   -0.31751   0.88360   97.63489
27   0.08516   0.34312   -0.31605   0.88458   0.08516   0.34312   -0.31605   0.88458   97.68677
28   0.08518   0.34217   -0.31574   0.88519   0.08518   0.34217   -0.31574   0.88519   97.61353
29   0.08518   0.34266   -0.31745   0.88430   0.08518   0.34266   -0.31745   0.88430   97.60132
30   0.08510   0.34318   -0.31745   0.88421   0.08510   0.34318   -0.31745   0.88421   97.64099
31   0.08509   0.34342   -0.31690   0.88430   0.08509   0.34342   -0.31690   0.88430   97.67456
32   0.08512   0.34239   -0.31700   0.88461   0.08512   0.34239   -0.31700   0.88461   97.64404
33   0.08500   0.34208   -0.31788   0.88443   0.08500   0.34208   -0.31788   0.88443   97.61658
34   0.08497   0.34227   -0.31828   0.88421   0.08497   0.34227   -0.31828   0.88421   97.71423
35   0.08506   0.34245   -0.31852   0.88400   0.08506   0.34245   -0.31852   0.88400   97.65320
36   0.08517   0.34254   -0.31712   0.88449   0.08517   0.34254   -0.31712   0.88449   97.61047
37   0.08514   0.34312   -0.31880   0.88363   0.08514   0.34312   -0.31880   0.88363   97.65320
38   0.08530   0.34339   -0.31925   0.88336   0.08530   0.34339   -0.31925   0.88336   97.70203
39   0.08530   0.34342   -0.32005   0.88311   0.08530   0.34342   -0.32005   0.88311   97.65930
40   0.08535   0.34269   -0.31962   0.88360   0.08535   0.34269   -0.31962   0.88360   97.60742
41   0.08534   0.34294   -0.31831   0.88391   0.08534   0.34294   -0.31831   0.88391   97.62878
42   0.08542   0.34257   -0.31791   0.88412   0.08542   0.34257   -0.31791   0.88412   97.61963
43   0.08547   0.34275   -0.31880   0.88385   0.08547   0.34275   -0.31880   0.88385   97.61963
44   0.08535   0.34187   -0.31736   0.88467   0.08535   0.34187   -0.31736   0.88467   97.65930
45   0.08541   0.33778   -0.31245   0.88806   0.08541   0.33778   -0.31245   0.88806   97.60742
46   0.08551   0.33921   -0.31129   0.88778   0.08551   0.33921   -0.31129   0.88778   97.57996
47   0.08539   0.33949   -0.31397   0.88672   0.08539   0.33949   -0.31397   0.88672   97.65015
48   0.08524   0.34175   -0.31764   0.88458   0.08524   0.34175   -0.31764   0.88458   97.65625
49   0.08518   0.34254   -0.31861   0.88397   0.08518   0.34254   -0.31861   0.88397   97.56775
50   0.08509   0.34172   -0.31785   0.88458   0.08509   0.34172   -0.31785   0.88458   97.61047
51   0.08506   0.34156   -0.31611   0.88522   0.08506   0.34156   -0.31611   0.88522   97.69592
52   0.08507   0.34306   -0.31663   0.88443   0.08507   0.34306   -0.31663   0.88443   97.63184
53   0.08499   0.34416   -0.31819   0.88342   0.08499   0.34416   -0.31819   0.88342   97.62878
54   0.08504   0.34431   -0.31803   0.88342   0.08504   0.34431   -0.31803   0.88342   97.57690
55   0.08491   0.34233   -0.31419   0.88562   0.08491   0.34233   -0.31419   0.88562   97.65930
56   0.08499   0.34284   -0.31333   0.88577   0.08499   0.34284   -0.31333   0.88577   97.59521
57   0.08506   0.34260   -0.31391   0.88571   0.08506   0.34260   -0.31391   0.88571   97.58606
58   0.08511   0.34321   -0.31462   0.88510   0.08511   0.34321   -0.31462   0.88510   97.70813
59   0.08521   0.34410   -0.31742   0.88372   0.08521   0.34410   -0.31742   0.88372   97.63489
60   0.08535   0.34352   -0.31639   0.88437   0.08535   0.34352   -0.31639   0.88437   97.59521
61   0.08536   0.34330   -0.31462   0.88516   0.08536   0.34330   -0.31462   0.88516   97.60742
62   0.08543   0.34257   -0.31593   0.88498   0.08543   0.34257   -0.31593   0.88498   97.58606
63   0.08545   0.34318   -0.31565   0.88479   0.08545   0.34318   -0.31565   0.88479   97.56775
64   0.08543   0.34349   -0.31748   0.88406   0.08543   0.34349   -0.31748   0.88406   97.59827
