Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.08612   -0.29783   0.36338   -0.88284   0.08612   -0.29783   0.36338   -0.88284   100.82703
2   0.08613   -0.29420   0.35679   -0.88672   0.08613   -0.29420   0.35679   -0.88672   100.90332
3   0.08610   -0.29496   0.35826   -0.88589   0.08610   -0.29496   0.35826   -0.88589   101.01013
4   0.08604   -0.29719   0.36479   -0.88247   0.08604   -0.29719   0.36479   -0.88247   100.97656
5   0.08606   -0.30342   0.37449   -0.87622   0.08606   -0.30342   0.37449   -0.87622   100.86060
6   0.08588   -0.30088   0.36976   -0.87915   0.08588   -0.30088   0.36976   -0.87915   100.92468
7   0.08584   -0.29823   0.36406   -0.88244   0.08584   -0.29823   0.36406   -0.88244   101.01318
8   0.08578   -0.29807   0.36262   -0.88305   0.08578   -0.29807   0.36262   -0.88305   100.92773
9   0.08578   -0.29893   0.36448   -0.88205   0.08578   -0.29893   0.36448   -0.88205   100.86365
10   0.08577   -0.30018   0.36872   -0.87982   0.08577   -0.30018   0.36872   -0.87982   100.95825
11   0.08571   -0.30146   0.36967   -0.87890   0.08571   -0.30146   0.36967   -0.87890   101.02539
12   0.08580   -0.30045   0.36753   -0.88025   0.08580   -0.30045   0.36753   -0.88025   100.86365
13   0.08580   -0.29792   0.36296   -0.88299   0.08580   -0.29792   0.36296   -0.88299   100.93689
14   0.08570   -0.29893   0.36213   -0.88293   0.08570   -0.29893   0.36213   -0.88293   100.93994
15   0.08576   -0.30039   0.36738   -0.88028   0.08576   -0.30039   0.36738   -0.88028   100.86365
16   0.08590   -0.30140   0.36952   -0.87906   0.08590   -0.30140   0.36952   -0.87906   100.92468
17   0.08597   -0.30064   0.36811   -0.87985   0.08597   -0.30064   0.36811   -0.87985   100.97961
18   0.08596   -0.29896   0.36628   -0.88125   0.08596   -0.29896   0.36628   -0.88125   100.96741
19   0.08602   -0.29795   0.36439   -0.88235   0.08602   -0.29795   0.36439   -0.88235   100.83923
20   0.08600   -0.29896   0.36579   -0.88147   0.08600   -0.29896   0.36579   -0.88147   100.94604
21   0.08599   -0.29987   0.36619   -0.88104   0.08599   -0.29987   0.36619   -0.88104   101.03149
22   0.08613   -0.30189   0.36726   -0.87979   0.08613   -0.30189   0.36726   -0.87979   100.83923
23   0.08618   -0.30055   0.36729   -0.88025   0.08618   -0.30055   0.36729   -0.88025   100.81787
24   0.08606   -0.29987   0.36686   -0.88061   0.08606   -0.29987   0.36686   -0.88061   100.98877
25   0.08598   -0.29933   0.36619   -0.88119   0.08598   -0.29933   0.36619   -0.88119   100.97961
26   0.08617   -0.30143   0.36839   -0.87951   0.08617   -0.30143   0.36839   -0.87951   100.86975
27   0.08602   -0.30107   0.36790   -0.87988   0.08602   -0.30107   0.36790   -0.87988   100.88196
28   0.08574   -0.30012   0.36744   -0.88028   0.08574   -0.30012   0.36744   -0.88028   101.01318
29   0.08570   -0.30128   0.36818   -0.87973   0.08570   -0.30128   0.36818   -0.87973   100.97046
30   0.08582   -0.30122   0.36854   -0.87948   0.08582   -0.30122   0.36854   -0.87948   100.88501
31   0.08578   -0.30161   0.36869   -0.87933   0.08578   -0.30161   0.36869   -0.87933   100.95825
32   0.08575   -0.30015   0.36882   -0.87973   0.08575   -0.30015   0.36882   -0.87973   100.95825
33   0.08577   -0.30088   0.36857   -0.87963   0.08577   -0.30088   0.36857   -0.87963   100.89417
34   0.08572   -0.30055   0.36775   -0.88006   0.08572   -0.30055   0.36775   -0.88006   100.92773
35   0.08577   -0.29975   0.36778   -0.88040   0.08577   -0.29975   0.36778   -0.88040   100.99182
36   0.08582   -0.30137   0.36827   -0.87963   0.08582   -0.30137   0.36827   -0.87963   100.94910
37   0.08582   -0.30152   0.36827   -0.87948   0.08582   -0.30152   0.36827   -0.87948   100.92773
38   0.08599   -0.30256   0.36946   -0.87878   0.08599   -0.30256   0.36946   -0.87878   100.97656
39   0.08598   -0.30168   0.36949   -0.87893   0.08598   -0.30168   0.36949   -0.87893   100.98877
40   0.08610   -0.30155   0.36860   -0.87939   0.08610   -0.30155   0.36860   -0.87939   100.80566
41   0.08610   -0.30113   0.36976   -0.87909   0.08610   -0.30113   0.36976   -0.87909   100.89111
42   0.08597   -0.30216   0.36866   -0.87918   0.08597   -0.30216   0.36866   -0.87918   101.01013
43   0.08606   -0.30122   0.36912   -0.87933   0.08606   -0.30122   0.36912   -0.87933   100.92468
44   0.08619   -0.30232   0.36940   -0.87884   0.08619   -0.30232   0.36940   -0.87884   100.86975
45   0.08606   -0.30247   0.37004   -0.87848   0.08606   -0.30247   0.37004   -0.87848   100.95520
46   0.08602   -0.30235   0.37053   -0.87829   0.08602   -0.30235   0.37053   -0.87829   101.03149
47   0.08610   -0.30311   0.37089   -0.87780   0.08610   -0.30311   0.37089   -0.87780   100.88196
48   0.08598   -0.30262   0.36961   -0.87860   0.08598   -0.30262   0.36961   -0.87860   100.83923
49   0.08582   -0.30134   0.36842   -0.87948   0.08582   -0.30134   0.36842   -0.87948   101.02234
50   0.08584   -0.30226   0.36726   -0.87973   0.08584   -0.30226   0.36726   -0.87973   100.91553
51   0.08583   -0.30366   0.36930   -0.87841   0.08583   -0.30366   0.36930   -0.87841   100.87280
52   0.08582   -0.30274   0.36976   -0.87841   0.08582   -0.30274   0.36976   -0.87841   100.92773
53   0.08572   -0.30369   0.36995   -0.87805   0.08572   -0.30369   0.36995   -0.87805   100.98267
54   0.08573   -0.30338   0.37059   -0.87783   0.08573   -0.30338   0.37059   -0.87783   100.91553
55   0.08580   -0.30360   0.36888   -0.87857   0.08580   -0.30360   0.36888   -0.87857   100.94910
56   0.08577   -0.30302   0.36857   -0.87878   0.08577   -0.30302   0.36857   -0.87878   100.95825
57   0.08575   -0.30399   0.37053   -0.87771   0.08575   -0.30399   0.37053   -0.87771   100.92773
58   0.08585   -0.30406   0.37101   -0.87747   0.08585   -0.30406   0.37101   -0.87747   100.86365
59   0.08596   -0.30403   0.37016   -0.87780   0.08596   -0.30403   0.37016   -0.87780   100.90332
60   0.08600   -0.30268   0.36915   -0.87881   0.08600   -0.30268   0.36915   -0.87881   100.98877
61   0.08610   -0.30317   0.37013   -0.87814   0.08610   -0.30317   0.37013   -0.87814   100.83923
62   0.08603   -0.30262   0.36915   -0.87878   0.08603   -0.30262   0.36915   -0.87878   100.89111
63   0.08603   -0.30342   0.37193   -0.87735   0.08603   -0.30342   0.37193   -0.87735   101.01929
64   0.08610   -0.30500   0.37199   -0.87674   0.08610   -0.30500   0.37199   -0.87674   100.97656
65   0.08619   -0.30479   0.37083   -0.87735   0.08619   -0.30479   0.37083   -0.87735   100.80566
66   0.08613   -0.30335   0.36949   -0.87841   0.08613   -0.30335   0.36949   -0.87841   100.91248
67   0.08607   -0.30293   0.37031   -0.87817   0.08607   -0.30293   0.37031   -0.87817   101.03149
68   0.08613   -0.30287   0.37031   -0.87817   0.08613   -0.30287   0.37031   -0.87817   100.90332
69   0.08606   -0.30415   0.36991   -0.87790   0.08606   -0.30415   0.36991   -0.87790   100.89111
70   0.08583   -0.30378   0.37059   -0.87768   0.08583   -0.30378   0.37059   -0.87768   101.01318
71   0.08575   -0.30152   0.36851   -0.87951   0.08575   -0.30152   0.36851   -0.87951   100.99182
72   0.08587   -0.30201   0.36933   -0.87893   0.08587   -0.30201   0.36933   -0.87893   100.89417
73   0.08589   -0.30293   0.36918   -0.87872   0.08589   -0.30293   0.36918   -0.87872   100.86060
74   0.08575   -0.30305   0.37025   -0.87820   0.08575   -0.30305   0.37025   -0.87820   100.99182
75   0.08575   -0.30296   0.37092   -0.87796   0.08575   -0.30296   0.37092   -0.87796   100.95825
76   0.08577   -0.30085   0.36784   -0.87991   0.08577   -0.30085   0.36784   -0.87991   100.87280
77   0.08568   -0.30091   0.36717   -0.88021   0.08568   -0.30091   0.36717   -0.88021   101.00403
78   0.08564   -0.30174   0.37001   -0.87869   0.08564   -0.30174   0.37001   -0.87869   100.94910
79   0.08581   -0.30366   0.37315   -0.87674   0.08581   -0.30366   0.37315   -0.87674   100.86365
80   0.08586   -0.30287   0.37205   -0.87753   0.08586   -0.30287   0.37205   -0.87753   101.01013
81   0.08602   -0.30323   0.36955   -0.87835   0.08602   -0.30323   0.36955   -0.87835   100.99792
82   0.08608   -0.30216   0.36937   -0.87887   0.08608   -0.30216   0.36937   -0.87887   100.90332
83   0.08606   -0.30305   0.36912   -0.87863   0.08606   -0.30305   0.36912   -0.87863   100.86060
84   0.08601   -0.30244   0.37019   -0.87848   0.08601   -0.30244   0.37019   -0.87848   100.97656
85   0.08598   -0.30274   0.37150   -0.87780   0.08598   -0.30274   0.37150   -0.87780   100.96741
86   0.08606   -0.30164   0.36894   -0.87921   0.08606   -0.30164   0.36894   -0.87921   100.82703
87   0.08605   -0.30161   0.36790   -0.87957   0.08605   -0.30161   0.36790   -0.87957   100.93384
88   0.08607   -0.30082   0.36851   -0.87973   0.08607   -0.30082   0.36851   -0.87973   101.01929
89   0.08610   -0.30152   0.36967   -0.87902   0.08610   -0.30152   0.36967   -0.87902   100.90332
90   0.08603   -0.30290   0.37059   -0.87814   0.08603   -0.30290   0.37059   -0.87814   100.86060
91   0.08601   -0.30216   0.36937   -0.87887   0.08601   -0.30216   0.36937   -0.87887   100.95520
92   0.08577   -0.30055   0.36814   -0.87994   0.08577   -0.30055   0.36814   -0.87994   100.95825
93   0.08583   -0.30049   0.36717   -0.88037   0.08583   -0.30049   0.36717   -0.88037   100.87280
94   0.08580   -0.30070   0.36821   -0.87985   0.08580   -0.30070   0.36821   -0.87985   100.87280
95   0.08569   -0.30143   0.36842   -0.87960   0.08569   -0.30143   0.36842   -0.87960   100.98267
96   0.08571   -0.30073   0.36836   -0.87973   0.08571   -0.30073   0.36836   -0.87973   100.94910
97   0.08580   -0.30024   0.36784   -0.88012   0.08580   -0.30024   0.36784   -0.88012   100.89417
98   0.08571   -0.29984   0.36650   -0.88083   0.08571   -0.29984   0.36650   -0.88083   100.93994
99   0.08563   -0.30134   0.36729   -0.88006   0.08563   -0.30134   0.36729   -0.88006   100.99182
100   0.08575   -0.30137   0.36930   -0.87912   0.08575   -0.30137   0.36930   -0.87912   100.89417
101   0.08584   -0.30125   0.36879   -0.87939   0.08584   -0.30125   0.36879   -0.87939   100.90637
102   0.08593   -0.30033   0.36796   -0.88015   0.08593   -0.30033   0.36796   -0.88015   100.96741
103   0.08610   -0.29948   0.36723   -0.88067   0.08610   -0.29948   0.36723   -0.88067   100.88196
104   0.08613   -0.30042   0.36708   -0.88031   0.08613   -0.30042   0.36708   -0.88031   100.83923
105   0.08607   -0.30045   0.36903   -0.87963   0.08607   -0.30045   0.36903   -0.87963   100.93384
106   0.08605   -0.30085   0.36991   -0.87915   0.08605   -0.30085   0.36991   -0.87915   100.96741
107   0.08609   -0.30076   0.37022   -0.87906   0.08609   -0.30076   0.37022   -0.87906   100.84839
108   0.08617   -0.30064   0.36897   -0.87954   0.08617   -0.30064   0.36897   -0.87954   100.90027
109   0.08605   -0.30000   0.36799   -0.88015   0.08605   -0.30000   0.36799   -0.88015   101.05286
110   0.08616   -0.30073   0.36879   -0.87957   0.08616   -0.30073   0.36879   -0.87957   100.93384
111   0.08617   -0.30113   0.37046   -0.87878   0.08617   -0.30113   0.37046   -0.87878   100.80566
112   0.08601   -0.30119   0.37031   -0.87881   0.08601   -0.30119   0.37031   -0.87881   100.94604
113   0.08575   -0.30103   0.37016   -0.87887   0.08575   -0.30103   0.37016   -0.87887   101.01318
114   0.08582   -0.30073   0.36949   -0.87927   0.08582   -0.30073   0.36949   -0.87927   100.89417
115   0.08582   -0.29957   0.36769   -0.88046   0.08582   -0.29957   0.36769   -0.88046   100.86365
116   0.08573   -0.30009   0.36839   -0.88000   0.08573   -0.30009   0.36839   -0.88000   101.00098
117   0.08571   -0.30064   0.36924   -0.87939   0.08571   -0.30064   0.36924   -0.87939   100.96130
118   0.08577   -0.30158   0.37117   -0.87835   0.08577   -0.30158   0.37117   -0.87835   100.87280
119   0.08582   -0.30128   0.36973   -0.87899   0.08582   -0.30128   0.36973   -0.87899   100.94910
120   0.08577   -0.30061   0.36891   -0.87960   0.08577   -0.30061   0.36891   -0.87960   100.97961
121   0.08582   -0.30021   0.36872   -0.87979   0.08582   -0.30021   0.36872   -0.87979   100.91553
122   0.08584   -0.29978   0.36802   -0.88025   0.08584   -0.29978   0.36802   -0.88025   100.90637
123   0.08590   -0.30100   0.36937   -0.87927   0.08590   -0.30100   0.36937   -0.87927   101.04370
124   0.08603   -0.30213   0.36995   -0.87857   0.08603   -0.30213   0.36995   -0.87857   100.92468
125   0.08604   -0.30003   0.36998   -0.87939   0.08604   -0.30003   0.36998   -0.87939   100.86975
126   0.08603   -0.30067   0.36824   -0.87985   0.08603   -0.30067   0.36824   -0.87985   100.94604
127   0.08607   -0.30024   0.36760   -0.88028   0.08607   -0.30024   0.36760   -0.88028   101.03149
128   0.08612   -0.30024   0.36699   -0.88055   0.08612   -0.30024   0.36699   -0.88055   100.82703
129   0.08611   -0.30180   0.36921   -0.87906   0.08611   -0.30180   0.36921   -0.87906   100.86975
130   0.08603   -0.30274   0.36833   -0.87909   0.08603   -0.30274   0.36833   -0.87909   101.01013
131   0.08609   -0.30110   0.36811   -0.87967   0.08609   -0.30110   0.36811   -0.87967   100.96741
132   0.08611   -0.30161   0.36753   -0.87979   0.08611   -0.30161   0.36753   -0.87979   100.84839
133   0.08603   -0.30030   0.36775   -0.88021   0.08603   -0.30030   0.36775   -0.88021   100.91248
134   0.08589   -0.30204   0.36772   -0.87960   0.08589   -0.30204   0.36772   -0.87960   100.98877
135   0.08583   -0.30253   0.36747   -0.87951   0.08583   -0.30253   0.36747   -0.87951   100.91553
136   0.08589   -0.30216   0.36763   -0.87951   0.08589   -0.30216   0.36763   -0.87951   100.89417
137   0.08577   -0.30064   0.36750   -0.88006   0.08577   -0.30064   0.36750   -0.88006   100.97046
138   0.08567   -0.30064   0.36650   -0.88064   0.08567   -0.30064   0.36650   -0.88064   100.99182
139   0.08571   -0.30064   0.36689   -0.88037   0.08571   -0.30064   0.36689   -0.88037   100.91858
140   0.08582   -0.30137   0.36668   -0.88025   0.08582   -0.30137   0.36668   -0.88025   100.95825
141   0.08577   -0.30296   0.36674   -0.87970   0.08577   -0.30296   0.36674   -0.87970   100.99182
142   0.08579   -0.30305   0.36814   -0.87906   0.08579   -0.30305   0.36814   -0.87906   100.89417
143   0.08577   -0.30100   0.36616   -0.88067   0.08577   -0.30100   0.36616   -0.88067   100.89417
144   0.08584   -0.30116   0.36567   -0.88073   0.08584   -0.30116   0.36567   -0.88073   100.97046
145   0.08603   -0.30146   0.36528   -0.88073   0.08603   -0.30146   0.36528   -0.88073   100.95520
146   0.08607   -0.30280   0.36665   -0.87976   0.08607   -0.30280   0.36665   -0.87976   100.86060
147   0.08605   -0.30235   0.36711   -0.87979   0.08605   -0.30235   0.36711   -0.87979   100.97656
148   0.08601   -0.30238   0.36674   -0.87991   0.08601   -0.30238   0.36674   -0.87991   101.06201
149   0.08612   -0.30311   0.36601   -0.87997   0.08612   -0.30311   0.36601   -0.87997   100.86975
150   0.08616   -0.30128   0.36549   -0.88076   0.08616   -0.30128   0.36549   -0.88076   100.81787
151   0.08612   -0.30189   0.36543   -0.88055   0.08612   -0.30189   0.36543   -0.88055   101.04980
152   0.08609   -0.30155   0.36689   -0.88018   0.08609   -0.30155   0.36689   -0.88018   101.01013
153   0.08609   -0.30274   0.36683   -0.87973   0.08609   -0.30274   0.36683   -0.87973   100.86060
154   0.08608   -0.30131   0.36528   -0.88083   0.08608   -0.30131   0.36528   -0.88083   100.86975
155   0.08573   -0.30174   0.36570   -0.88055   0.08573   -0.30174   0.36570   -0.88055   101.01318
156   0.08575   -0.30186   0.36558   -0.88052   0.08575   -0.30186   0.36558   -0.88052   100.97046
157   0.08586   -0.30308   0.36671   -0.87967   0.08586   -0.30308   0.36671   -0.87967   100.86365
158   0.08577   -0.30308   0.36543   -0.88012   0.08577   -0.30308   0.36543   -0.88012   100.89417
159   0.08576   -0.30247   0.36518   -0.88043   0.08576   -0.30247   0.36518   -0.88043   100.97046
160   0.08571   -0.30207   0.36479   -0.88073   0.08571   -0.30207   0.36479   -0.88073   100.98267
161   0.08576   -0.30094   0.36503   -0.88110   0.08576   -0.30094   0.36503   -0.88110   100.90637
162   0.08569   -0.30192   0.36390   -0.88122   0.08569   -0.30192   0.36390   -0.88122   100.94910
163   0.08564   -0.30241   0.36540   -0.88037   0.08564   -0.30241   0.36540   -0.88037   100.91858
164   0.08571   -0.30323   0.36634   -0.87976   0.08571   -0.30323   0.36634   -0.87976   100.89722
165   0.08567   -0.30265   0.36647   -0.87985   0.08567   -0.30265   0.36647   -0.87985   100.99182
166   0.08596   -0.30210   0.36546   -0.88049   0.08596   -0.30210   0.36546   -0.88049   100.97961
167   0.08611   -0.30189   0.36497   -0.88083   0.08611   -0.30189   0.36497   -0.88083   100.88196
168   0.08613   -0.30198   0.36430   -0.88098   0.08613   -0.30198   0.36430   -0.88098   100.91248
169   0.08599   -0.30262   0.36518   -0.88049   0.08599   -0.30262   0.36518   -0.88049   101.01929
170   0.08612   -0.30164   0.36592   -0.88046   0.08612   -0.30164   0.36592   -0.88046   100.95520
171   0.08616   -0.30198   0.36668   -0.87994   0.08616   -0.30198   0.36668   -0.87994   100.86060
172   0.08614   -0.30207   0.36598   -0.88025   0.08614   -0.30207   0.36598   -0.88025   100.95520
173   0.08599   -0.30100   0.36549   -0.88083   0.08599   -0.30100   0.36549   -0.88083   101.04065
174   0.08610   -0.30158   0.36485   -0.88083   0.08610   -0.30158   0.36485   -0.88083   100.88196
175   0.08612   -0.30219   0.36555   -0.88037   0.08612   -0.30219   0.36555   -0.88037   100.88196
176   0.08600   -0.30064   0.36451   -0.88125   0.08600   -0.30064   0.36451   -0.88125   100.99792
177   0.08583   -0.30152   0.36500   -0.88086   0.08583   -0.30152   0.36500   -0.88086   101.00098
178   0.08584   -0.30082   0.36598   -0.88070   0.08584   -0.30082   0.36598   -0.88070   100.86365
179   0.08589   -0.30061   0.36537   -0.88107   0.08589   -0.30061   0.36537   -0.88107   100.90332
180   0.08573   -0.30158   0.36653   -0.88025   0.08573   -0.30158   0.36653   -0.88025   101.02234
181   0.08572   -0.30171   0.36610   -0.88040   0.08572   -0.30171   0.36610   -0.88040   100.93994
182   0.08575   -0.30030   0.36518   -0.88128   0.08575   -0.30030   0.36518   -0.88128   100.88501
183   0.08574   -0.30058   0.36424   -0.88153   0.08574   -0.30058   0.36424   -0.88153   100.97046
184   0.08569   -0.30134   0.36433   -0.88122   0.08569   -0.30134   0.36433   -0.88122   100.92773
185   0.08572   -0.30232   0.36592   -0.88025   0.08572   -0.30232   0.36592   -0.88025   100.85449
186   0.08584   -0.30238   0.36616   -0.88015   0.08584   -0.30238   0.36616   -0.88015   100.92773
187   0.08595   -0.30058   0.36439   -0.88137   0.08595   -0.30058   0.36439   -0.88137   101.00098
188   0.08605   -0.30128   0.36470   -0.88116   0.08605   -0.30128   0.36470   -0.88116   100.90332
189   0.08604   -0.30024   0.36509   -0.88125   0.08604   -0.30024   0.36509   -0.88125   100.92468
190   0.08598   -0.30168   0.36509   -0.88076   0.08598   -0.30168   0.36509   -0.88076   100.99792
191   0.08599   -0.30003   0.36537   -0.88116   0.08599   -0.30003   0.36537   -0.88116   101.01929
192   0.08613   -0.30042   0.36344   -0.88189   0.08613   -0.30042   0.36344   -0.88189   100.80566
193   0.08610   -0.29981   0.36448   -0.88162   0.08610   -0.29981   0.36448   -0.88162   100.91248
194   0.08606   -0.29972   0.36387   -0.88198   0.08606   -0.29972   0.36387   -0.88198   101.03149
195   0.08608   -0.29978   0.36552   -0.88125   0.08608   -0.29978   0.36552   -0.88125   100.92468
196   0.08609   -0.29945   0.36457   -0.88180   0.08609   -0.29945   0.36457   -0.88180   100.89111
197   0.08599   -0.29917   0.36439   -0.88189   0.08599   -0.29917   0.36439   -0.88189   100.98877
198   0.08584   -0.30003   0.36421   -0.88177   0.08584   -0.30003   0.36421   -0.88177   101.02234
199   0.08582   -0.30003   0.36518   -0.88141   0.08582   -0.30003   0.36518   -0.88141   100.84229
200   0.08584   -0.29920   0.36500   -0.88168   0.08584   -0.29920   0.36500   -0.88168   100.89417
201   0.08572   -0.29948   0.36509   -0.88159   0.08572   -0.29948   0.36509   -0.88159   101.02539
202   0.08573   -0.29899   0.36497   -0.88174   0.08573   -0.29899   0.36497   -0.88174   100.99182
203   0.08581   -0.29920   0.36457   -0.88195   0.08581   -0.29920   0.36457   -0.88195   100.85144
