Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   2.58815   -0.11127   -0.48775   0.86590   2.58815   -0.11127   -0.48775   0.86590   98.44666
2   2.58585   -0.11234   -0.48619   0.86670   2.58585   -0.11234   -0.48619   0.86670   98.45581
3   2.58442   -0.11350   -0.48329   0.86810   2.58442   -0.11350   -0.48329   0.86810   98.43445
4   2.58815   -0.11377   -0.48082   0.86941   2.58815   -0.11377   -0.48082   0.86941   98.39172
5   2.58700   -0.11533   -0.47841   0.87063   2.58700   -0.11533   -0.47841   0.87063   98.40393
6   2.58757   -0.11594   -0.48112   0.86908   2.58757   -0.11594   -0.48112   0.86908   98.44666
7   2.58643   -0.11420   -0.48573   0.86670   2.58643   -0.11420   -0.48573   0.86670   98.48938
8   2.58757   -0.11353   -0.49071   0.86398   2.58757   -0.11353   -0.49071   0.86398   98.51379
9   2.58729   -0.11295   -0.49315   0.86267   2.58729   -0.11295   -0.49315   0.86267   98.50159
10   2.58987   -0.11435   -0.49406   0.86193   2.58987   -0.11435   -0.49406   0.86193   98.52600
11   2.58815   -0.11509   -0.48961   0.86444   2.58815   -0.11509   -0.48961   0.86444   98.49243
12   2.58729   -0.11686   -0.48006   0.86966   2.58729   -0.11686   -0.48006   0.86966   98.45886
13   2.58729   -0.11744   -0.47438   0.87262   2.58729   -0.11744   -0.47438   0.87262   98.44666
14   2.58843   -0.11454   -0.47798   0.87097   2.58843   -0.11454   -0.47798   0.87097   98.48022
15   2.58843   -0.11228   -0.48909   0.86505   2.58843   -0.11228   -0.48909   0.86505   98.49243
16   2.58872   -0.11023   -0.48766   0.86608   2.58872   -0.11023   -0.48766   0.86608   98.48022
17   2.58729   -0.11090   -0.48280   0.86880   2.58729   -0.11090   -0.48280   0.86880   98.46802
18   2.58872   -0.11063   -0.48558   0.86734   2.58872   -0.11063   -0.48558   0.86734   98.43750
19   2.58815   -0.10910   -0.49855   0.86016   2.58815   -0.10910   -0.49855   0.86016   98.48022
20   2.58757   -0.10999   -0.49776   0.86044   2.58757   -0.10999   -0.49776   0.86044   98.50159
21   2.58643   -0.11475   -0.48585   0.86663   2.58643   -0.11475   -0.48585   0.86663   98.43445
22   2.58757   -0.11460   -0.48695   0.86593   2.58757   -0.11460   -0.48695   0.86593   98.46802
23   2.58671   -0.11200   -0.49669   0.86081   2.58671   -0.11200   -0.49669   0.86081   98.46802
24   2.58643   -0.11219   -0.49632   0.86102   2.58643   -0.11219   -0.49632   0.86102   98.54736
25   2.58499   -0.11426   -0.48421   0.86764   2.58499   -0.11426   -0.48421   0.86764   98.48938
26   2.58643   -0.11716   -0.47627   0.87146   2.58643   -0.11716   -0.47627   0.87146   98.37036
27   2.58901   -0.11649   -0.47594   0.87185   2.58901   -0.11649   -0.47594   0.87185   98.41614
28   2.58843   -0.11002   -0.49702   0.86090   2.58843   -0.11002   -0.49702   0.86090   98.45886
29   2.58729   -0.11057   -0.49571   0.86151   2.58729   -0.11057   -0.49571   0.86151   98.48022
30   2.58815   -0.11344   -0.48433   0.86758   2.58815   -0.11344   -0.48433   0.86758   98.44666
31   2.58987   -0.11332   -0.47588   0.87228   2.58987   -0.11332   -0.47588   0.87228   98.40393
32   2.58815   -0.11151   -0.48585   0.86697   2.58815   -0.11151   -0.48585   0.86697   98.39172
33   2.58757   -0.10886   -0.49074   0.86465   2.58757   -0.10886   -0.49074   0.86465   98.44666
34   2.58786   -0.10935   -0.49077   0.86450   2.58786   -0.10935   -0.49077   0.86450   98.50159
35   2.58786   -0.11081   -0.48714   0.86636   2.58786   -0.11081   -0.48714   0.86636   98.42529
36   2.58786   -0.11277   -0.48039   0.86990   2.58786   -0.11277   -0.48039   0.86990   98.39172
37   2.58671   -0.11597   -0.47551   0.87213   2.58671   -0.11597   -0.47551   0.87213   98.41309
38   2.58557   -0.11261   -0.48259   0.86874   2.58557   -0.11261   -0.48259   0.86874   98.44666
39   2.58671   -0.11151   -0.49025   0.86459   2.58671   -0.11151   -0.49025   0.86459   98.46802
40   2.58843   -0.11322   -0.48827   0.86554   2.58843   -0.11322   -0.48827   0.86554   98.43750
41   2.58729   -0.11719   -0.47322   0.87332   2.58729   -0.11719   -0.47322   0.87332   98.41309
42   2.58700   -0.11454   -0.47816   0.87078   2.58700   -0.11454   -0.47816   0.87078   98.44666
43   2.58729   -0.11222   -0.48686   0.86627   2.58729   -0.11222   -0.48686   0.86627   98.51379
44   2.58786   -0.11310   -0.48628   0.86648   2.58786   -0.11310   -0.48628   0.86648   98.47107
45   2.58729   -0.11319   -0.48299   0.86834   2.58729   -0.11319   -0.48299   0.86834   98.45886
46   2.59015   -0.11216   -0.47957   0.87039   2.59015   -0.11216   -0.47957   0.87039   98.43750
47   2.58901   -0.11518   -0.47838   0.87060   2.58901   -0.11518   -0.47838   0.87060   98.48022
48   2.58843   -0.11640   -0.47829   0.87063   2.58843   -0.11640   -0.47829   0.87063   98.45886
49   2.58872   -0.11319   -0.48451   0.86755   2.58872   -0.11319   -0.48451   0.86755   98.42529
50   2.58872   -0.11393   -0.48775   0.86566   2.58872   -0.11393   -0.48775   0.86566   98.44666
51   2.58958   -0.11771   -0.47853   0.87020   2.58958   -0.11771   -0.47853   0.87020   98.41614
52   2.58815   -0.11930   -0.47249   0.87332   2.58815   -0.11930   -0.47249   0.87332   98.42529
53   2.58700   -0.11829   -0.47691   0.87097   2.58700   -0.11829   -0.47691   0.87097   98.49243
54   2.58700   -0.11582   -0.48531   0.86682   2.58700   -0.11582   -0.48531   0.86682   98.43445
55   2.58671   -0.11414   -0.48460   0.86737   2.58671   -0.11414   -0.48460   0.86737   98.49243
56   2.58757   -0.11591   -0.47978   0.86984   2.58757   -0.11591   -0.47978   0.86984   98.49243
57   2.58729   -0.11710   -0.47539   0.87201   2.58729   -0.11710   -0.47539   0.87201   98.44666
58   2.58671   -0.11631   -0.47768   0.87100   2.58671   -0.11631   -0.47768   0.87100   98.41309
59   2.58528   -0.11350   -0.48430   0.86761   2.58528   -0.11350   -0.48430   0.86761   98.50159
60   2.58729   -0.11200   -0.48744   0.86615   2.58729   -0.11200   -0.48744   0.86615   98.45886
61   2.58929   -0.11539   -0.47984   0.86990   2.58929   -0.11539   -0.47984   0.86990   98.44971
62   2.58729   -0.11621   -0.47105   0.87457   2.58729   -0.11621   -0.47105   0.87457   98.41309
63   2.58815   -0.11704   -0.47526   0.87213   2.58815   -0.11704   -0.47526   0.87213   98.47107
64   2.58786   -0.11368   -0.48589   0.86666   2.58786   -0.11368   -0.48589   0.86666   98.43750
65   2.59015   -0.11579   -0.48393   0.86758   2.59015   -0.11579   -0.48393   0.86758   98.41614
66   2.58786   -0.11689   -0.47456   0.87252   2.58786   -0.11689   -0.47456   0.87252   98.44666
67   2.58901   -0.11499   -0.47487   0.87271   2.58901   -0.11499   -0.47487   0.87271   98.38257
68   2.58585   -0.11533   -0.47884   0.87036   2.58585   -0.11533   -0.47884   0.87036   98.41309
69   2.58987   -0.11243   -0.48082   0.86975   2.58987   -0.11243   -0.48082   0.86975   98.38257
70   2.58786   -0.11438   -0.48085   0.86941   2.58786   -0.11438   -0.48085   0.86941   98.45886
71   2.58700   -0.11145   -0.47798   0.87133   2.58700   -0.11145   -0.47798   0.87133   98.48022
72   2.58614   -0.11472   -0.47423   0.87301   2.58614   -0.11472   -0.47423   0.87301   98.43445
73   2.58499   -0.11441   -0.47496   0.87271   2.58499   -0.11441   -0.47496   0.87271   98.40088
74   2.58757   -0.11176   -0.47923   0.87072   2.58757   -0.11176   -0.47923   0.87072   98.41309
75   2.58614   -0.11200   -0.48317   0.86837   2.58614   -0.11200   -0.48317   0.86837   98.44666
76   2.58729   -0.11362   -0.47658   0.87191   2.58729   -0.11362   -0.47658   0.87191   98.39172
77   2.58700   -0.11432   -0.47243   0.87408   2.58700   -0.11432   -0.47243   0.87408   98.37036
78   2.58843   -0.11231   -0.47523   0.87274   2.58843   -0.11231   -0.47523   0.87274   98.39172
79   2.58757   -0.11225   -0.47813   0.87112   2.58757   -0.11225   -0.47813   0.87112   98.40393
80   2.58815   -0.11115   -0.48134   0.86956   2.58815   -0.11115   -0.48134   0.86956   98.39172
81   2.58929   -0.11240   -0.47896   0.87075   2.58929   -0.11240   -0.47896   0.87075   98.38257
82   2.58901   -0.11185   -0.47447   0.87332   2.58901   -0.11185   -0.47447   0.87332   98.37036
83   2.59015   -0.11228   -0.47255   0.87420   2.59015   -0.11228   -0.47255   0.87420   98.41614
84   2.58872   -0.11176   -0.47752   0.87155   2.58872   -0.11176   -0.47752   0.87155   98.35815
85   2.58815   -0.11148   -0.47969   0.87051   2.58815   -0.11148   -0.47969   0.87051   98.39172
86   2.58872   -0.11255   -0.47664   0.87204   2.58872   -0.11255   -0.47664   0.87204   98.41614
87   2.58872   -0.11258   -0.47472   0.87298   2.58872   -0.11258   -0.47472   0.87298   98.39172
88   2.58643   -0.11264   -0.47356   0.87356   2.58643   -0.11264   -0.47356   0.87356   98.42529
89   2.58700   -0.11206   -0.47536   0.87277   2.58700   -0.11206   -0.47536   0.87277   98.33679
90   2.58843   -0.11280   -0.47737   0.87149   2.58843   -0.11280   -0.47737   0.87149   98.37036
91   2.58815   -0.11188   -0.47649   0.87216   2.58815   -0.11188   -0.47649   0.87216   98.39172
92   2.58729   -0.11280   -0.47563   0.87249   2.58729   -0.11280   -0.47563   0.87249   98.40393
93   2.58700   -0.11429   -0.47218   0.87420   2.58700   -0.11429   -0.47218   0.87420   98.34595
94   2.58643   -0.11444   -0.47053   0.87506   2.58643   -0.11444   -0.47053   0.87506   98.44666
95   2.58729   -0.11350   -0.47630   0.87201   2.58729   -0.11350   -0.47630   0.87201   98.41309
96   2.58929   -0.11155   -0.47707   0.87182   2.58929   -0.11155   -0.47707   0.87182   98.38257
97   2.58929   -0.11383   -0.47154   0.87460   2.58929   -0.11383   -0.47154   0.87460   98.38257
98   2.58901   -0.11481   -0.47285   0.87381   2.58901   -0.11481   -0.47285   0.87381   98.38257
99   2.58786   -0.11313   -0.47334   0.87381   2.58786   -0.11313   -0.47334   0.87381   98.41309
100   2.59015   -0.11447   -0.47526   0.87240   2.59015   -0.11447   -0.47526   0.87240   98.36121
101   2.58929   -0.11429   -0.47414   0.87307   2.58929   -0.11429   -0.47414   0.87307   98.37036
102   2.58901   -0.11466   -0.47273   0.87378   2.58901   -0.11466   -0.47273   0.87378   98.40393
103   2.58729   -0.11505   -0.47322   0.87350   2.58729   -0.11505   -0.47322   0.87350   98.39172
104   2.58643   -0.11509   -0.47224   0.87402   2.58643   -0.11509   -0.47224   0.87402   98.43445
105   2.58786   -0.11414   -0.47475   0.87274   2.58786   -0.11414   -0.47475   0.87274   98.42529
106   2.58700   -0.11521   -0.47636   0.87176   2.58700   -0.11521   -0.47636   0.87176   98.42529
107   2.58729   -0.11606   -0.47249   0.87368   2.58729   -0.11606   -0.47249   0.87368   98.40393
108   2.58729   -0.11698   -0.47108   0.87448   2.58729   -0.11698   -0.47108   0.87448   98.37036
109   2.58643   -0.11560   -0.47380   0.87320   2.58643   -0.11560   -0.47380   0.87320   98.44666
110   2.58815   -0.11396   -0.47618   0.87204   2.58815   -0.11396   -0.47618   0.87204   98.35815
111   2.58815   -0.11505   -0.47267   0.87387   2.58815   -0.11505   -0.47267   0.87387   98.41309
112   2.58671   -0.11423   -0.47154   0.87451   2.58671   -0.11423   -0.47154   0.87451   98.44666
113   2.58614   -0.11505   -0.47282   0.87374   2.58614   -0.11505   -0.47282   0.87374   98.41309
114   2.58700   -0.11472   -0.47487   0.87265   2.58700   -0.11472   -0.47487   0.87265   98.44666
115   2.58843   -0.11481   -0.47343   0.87338   2.58843   -0.11481   -0.47343   0.87338   98.33679
116   2.58815   -0.11524   -0.47398   0.87313   2.58815   -0.11524   -0.47398   0.87313   98.42529
117   2.58700   -0.11475   -0.47511   0.87240   2.58700   -0.11475   -0.47511   0.87240   98.46802
118   2.58729   -0.11502   -0.47310   0.87359   2.58729   -0.11502   -0.47310   0.87359   98.44666
119   2.58872   -0.11557   -0.46928   0.87555   2.58872   -0.11557   -0.46928   0.87555   98.43750
120   2.59015   -0.11542   -0.47157   0.87442   2.59015   -0.11542   -0.47157   0.87442   98.40393
121   2.58872   -0.11304   -0.47606   0.87225   2.58872   -0.11304   -0.47606   0.87225   98.32458
122   2.58786   -0.11447   -0.47441   0.87280   2.58786   -0.11447   -0.47441   0.87280   98.41309
123   2.58700   -0.11521   -0.46989   0.87536   2.58700   -0.11521   -0.46989   0.87536   98.43445
124   2.58757   -0.11594   -0.47038   0.87490   2.58757   -0.11594   -0.47038   0.87490   98.40393
125   2.58614   -0.11469   -0.47298   0.87368   2.58614   -0.11469   -0.47298   0.87368   98.45886
126   2.58585   -0.11444   -0.47185   0.87426   2.58585   -0.11444   -0.47185   0.87426   98.35815
127   2.58643   -0.11356   -0.47212   0.87432   2.58643   -0.11356   -0.47212   0.87432   98.46802
128   2.58700   -0.11444   -0.47218   0.87417   2.58700   -0.11444   -0.47218   0.87417   98.42529
129   2.58757   -0.11408   -0.46986   0.87545   2.58757   -0.11408   -0.46986   0.87545   98.39172
130   2.58815   -0.11463   -0.46702   0.87689   2.58815   -0.11463   -0.46702   0.87689   98.40393
131   2.58700   -0.11451   -0.46934   0.87570   2.58700   -0.11451   -0.46934   0.87570   98.42529
132   2.58901   -0.11344   -0.47343   0.87356   2.58901   -0.11344   -0.47343   0.87356   98.40393
133   2.58901   -0.11441   -0.47121   0.87472   2.58901   -0.11441   -0.47121   0.87472   98.34900
134   2.58815   -0.11481   -0.46788   0.87646   2.58815   -0.11481   -0.46788   0.87646   98.40393
135   2.58729   -0.11518   -0.46657   0.87704   2.58729   -0.11518   -0.46657   0.87704   98.43750
136   2.58901   -0.11390   -0.46748   0.87671   2.58901   -0.11390   -0.46748   0.87671   98.31543
137   2.58843   -0.11396   -0.46825   0.87622   2.58843   -0.11396   -0.46825   0.87622   98.32458
138   2.58729   -0.11447   -0.46797   0.87637   2.58729   -0.11447   -0.46797   0.87637   98.39172
139   2.58958   -0.11414   -0.46754   0.87664   2.58958   -0.11414   -0.46754   0.87664   98.31543
140   2.58815   -0.11588   -0.46599   0.87729   2.58815   -0.11588   -0.46599   0.87729   98.33679
141   2.58671   -0.11472   -0.46809   0.87628   2.58671   -0.11472   -0.46809   0.87628   98.37952
142   2.58786   -0.11286   -0.46864   0.87616   2.58786   -0.11286   -0.46864   0.87616   98.37952
143   2.58958   -0.11310   -0.46770   0.87671   2.58958   -0.11310   -0.46770   0.87671   98.34900
144   2.58786   -0.11472   -0.46367   0.87863   2.58786   -0.11472   -0.46367   0.87863   98.43750
145   2.58757   -0.11493   -0.46425   0.87832   2.58757   -0.11493   -0.46425   0.87832   98.44666
146   2.58815   -0.11380   -0.46602   0.87759   2.58815   -0.11380   -0.46602   0.87759   98.32458
147   2.58843   -0.11490   -0.46587   0.87747   2.58843   -0.11490   -0.46587   0.87747   98.40393
148   2.58815   -0.11527   -0.46440   0.87820   2.58815   -0.11527   -0.46440   0.87820   98.44666
149   2.58901   -0.11328   -0.46669   0.87725   2.58901   -0.11328   -0.46669   0.87725   98.39172
150   2.58929   -0.11353   -0.46449   0.87844   2.58929   -0.11353   -0.46449   0.87844   98.40393
151   2.58987   -0.11435   -0.46358   0.87872   2.58987   -0.11435   -0.46358   0.87872   98.36121
152   2.58987   -0.11347   -0.46373   0.87878   2.58987   -0.11347   -0.46373   0.87878   98.39172
153   2.58987   -0.11252   -0.46815   0.87661   2.58987   -0.11252   -0.46815   0.87661   98.36121
154   2.58958   -0.11408   -0.46519   0.87796   2.58958   -0.11408   -0.46519   0.87796   98.31543
155   2.58843   -0.11469   -0.46031   0.88040   2.58843   -0.11469   -0.46031   0.88040   98.35815
156   2.58729   -0.11338   -0.46269   0.87939   2.58729   -0.11338   -0.46269   0.87939   98.35815
157   2.58815   -0.11277   -0.46840   0.87640   2.58815   -0.11277   -0.46840   0.87640   98.35815
158   2.58671   -0.11414   -0.46825   0.87622   2.58671   -0.11414   -0.46825   0.87622   98.35815
159   2.58585   -0.11292   -0.46458   0.87832   2.58585   -0.11292   -0.46458   0.87832   98.40088
160   2.58557   -0.11618   -0.46168   0.87942   2.58557   -0.11618   -0.46168   0.87942   98.39172
161   2.58872   -0.11487   -0.46397   0.87848   2.58872   -0.11487   -0.46397   0.87848   98.37036
162   2.58815   -0.11414   -0.46626   0.87735   2.58815   -0.11414   -0.46626   0.87735   98.32458
163   2.58786   -0.11432   -0.46580   0.87765   2.58786   -0.11432   -0.46580   0.87765   98.42529
164   2.58614   -0.11405   -0.46556   0.87774   2.58614   -0.11405   -0.46556   0.87774   98.37952
165   2.58815   -0.11475   -0.46300   0.87902   2.58815   -0.11475   -0.46300   0.87902   98.40393
166   2.58929   -0.11524   -0.46086   0.88003   2.58929   -0.11524   -0.46086   0.88003   98.35815
167   2.58958   -0.11344   -0.46385   0.87863   2.58958   -0.11344   -0.46385   0.87863   98.40393
168   2.58815   -0.11234   -0.46724   0.87710   2.58815   -0.11234   -0.46724   0.87710   98.35815
169   2.58757   -0.11219   -0.46785   0.87677   2.58757   -0.11219   -0.46785   0.87677   98.37952
170   2.58757   -0.11316   -0.46397   0.87869   2.58757   -0.11316   -0.46397   0.87869   98.32458
171   2.58872   -0.11362   -0.46071   0.88037   2.58872   -0.11362   -0.46071   0.88037   98.35815
172   2.58901   -0.11390   -0.46309   0.87902   2.58901   -0.11390   -0.46309   0.87902   98.35815
173   2.58815   -0.11365   -0.46706   0.87695   2.58815   -0.11365   -0.46706   0.87695   98.37036
174   2.58700   -0.11243   -0.46800   0.87680   2.58700   -0.11243   -0.46800   0.87680   98.39172
175   2.58958   -0.11344   -0.46550   0.87774   2.58958   -0.11344   -0.46550   0.87774   98.40393
176   2.58499   -0.11576   -0.46245   0.87921   2.58499   -0.11576   -0.46245   0.87921   98.40088
177   2.58614   -0.11499   -0.46446   0.87814   2.58614   -0.11499   -0.46446   0.87814   98.42529
178   2.58671   -0.11270   -0.46962   0.87579   2.58671   -0.11270   -0.46962   0.87579   98.33679
179   2.58729   -0.11533   -0.46812   0.87628   2.58729   -0.11533   -0.46812   0.87628   98.37952
180   2.58585   -0.11551   -0.46303   0.87890   2.58585   -0.11551   -0.46303   0.87890   98.39172
181   2.58671   -0.11536   -0.45878   0.88110   2.58671   -0.11536   -0.45878   0.88110   98.37036
182   2.58643   -0.11402   -0.46495   0.87805   2.58643   -0.11402   -0.46495   0.87805   98.39172
183   2.58958   -0.11365   -0.46980   0.87548   2.58958   -0.11365   -0.46980   0.87548   98.31543
184   2.58872   -0.11396   -0.47108   0.87481   2.58872   -0.11396   -0.47108   0.87481   98.40393
185   2.58901   -0.11628   -0.46358   0.87854   2.58901   -0.11628   -0.46358   0.87854   98.42529
186   2.58872   -0.11737   -0.45888   0.88086   2.58872   -0.11737   -0.45888   0.88086   98.42529
187   2.59073   -0.11585   -0.46455   0.87796   2.59073   -0.11585   -0.46455   0.87796   98.38257
188   2.58843   -0.11600   -0.47154   0.87432   2.58843   -0.11600   -0.47154   0.87432   98.45886
189   2.58901   -0.11417   -0.47035   0.87512   2.58901   -0.11417   -0.47035   0.87512   98.40393
190   2.58757   -0.11820   -0.45833   0.88104   2.58757   -0.11820   -0.45833   0.88104   98.42529
