Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 17:57:41 4/17/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09322   -0.15165   0.37056   0.91644   0.09322   -0.15165   0.37056   0.91644   97.02148
2   0.09305   -0.15262   0.36995   0.91665   0.09305   -0.15262   0.36995   0.91665   97.15576
3   0.09287   -0.15186   0.37004   0.91665   0.09287   -0.15186   0.37004   0.91665   97.24731
4   0.09285   -0.15186   0.36998   0.91671   0.09285   -0.15186   0.36998   0.91671   97.19849
5   0.09279   -0.15250   0.37025   0.91650   0.09279   -0.15250   0.37025   0.91650   97.16492
6   0.09275   -0.15244   0.37077   0.91632   0.09275   -0.15244   0.37077   0.91632   97.25342
7   0.09285   -0.15165   0.37098   0.91635   0.09285   -0.15165   0.37098   0.91635   97.17712
8   0.09289   -0.15287   0.37037   0.91635   0.09289   -0.15287   0.37037   0.91635   97.18933
9   0.09276   -0.15265   0.36995   0.91650   0.09276   -0.15265   0.36995   0.91650   97.25342
10   0.09275   -0.15354   0.37049   0.91617   0.09275   -0.15354   0.37049   0.91617   97.20459
11   0.09276   -0.15278   0.36961   0.91656   0.09276   -0.15278   0.36961   0.91656   97.23511
12   0.09275   -0.15409   0.37016   0.91620   0.09275   -0.15409   0.37016   0.91620   97.11609
13   0.09267   -0.15329   0.37037   0.91635   0.09267   -0.15329   0.37037   0.91635   97.30225
14   0.09296   -0.15186   0.37068   0.91635   0.09296   -0.15186   0.37068   0.91635   97.09167
15   0.09302   -0.15311   0.37135   0.91598   0.09302   -0.15311   0.37135   0.91598   97.25342
16   0.09299   -0.15351   0.37162   0.91565   0.09299   -0.15351   0.37162   0.91565   97.19238
17   0.09300   -0.15241   0.37129   0.91604   0.09300   -0.15241   0.37129   0.91604   97.27173
18   0.09311   -0.15363   0.37056   0.91623   0.09311   -0.15363   0.37056   0.91623   97.08862
19   0.09314   -0.15326   0.37138   0.91592   0.09314   -0.15326   0.37138   0.91592   97.07947
20   0.09303   -0.15384   0.37153   0.91574   0.09303   -0.15384   0.37153   0.91574   97.33276
21   0.09312   -0.15445   0.37162   0.91552   0.09312   -0.15445   0.37162   0.91552   97.26563
22   0.09318   -0.15387   0.37172   0.91568   0.09318   -0.15387   0.37172   0.91568   97.20764
23   0.09309   -0.15436   0.37156   0.91565   0.09309   -0.15436   0.37156   0.91565   97.16492
24   0.09304   -0.15455   0.37156   0.91562   0.09304   -0.15455   0.37156   0.91562   97.31140
25   0.09303   -0.15595   0.37135   0.91546   0.09303   -0.15595   0.37135   0.91546   97.25342
26   0.09299   -0.15510   0.37150   0.91549   0.09299   -0.15510   0.37150   0.91549   97.22290
27   0.09285   -0.15491   0.37089   0.91580   0.09285   -0.15491   0.37089   0.91580   97.32666
28   0.09292   -0.15506   0.37092   0.91571   0.09292   -0.15506   0.37092   0.91571   97.30835
29   0.09288   -0.15390   0.37089   0.91586   0.09288   -0.15390   0.37089   0.91586   97.22900
30   0.09283   -0.15394   0.37129   0.91583   0.09283   -0.15394   0.37129   0.91583   97.30530
31   0.09287   -0.15412   0.37132   0.91580   0.09287   -0.15412   0.37132   0.91580   97.18933
32   0.09289   -0.15357   0.37138   0.91580   0.09289   -0.15357   0.37138   0.91580   97.18933
33   0.09275   -0.15305   0.37062   0.91629   0.09275   -0.15305   0.37062   0.91629   97.19543
34   0.09278   -0.15369   0.37007   0.91629   0.09278   -0.15369   0.37007   0.91629   97.31445
35   0.09300   -0.15329   0.37028   0.91635   0.09300   -0.15329   0.37028   0.91635   97.21069
36   0.09318   -0.15284   0.37065   0.91635   0.09318   -0.15284   0.37065   0.91635   97.15881
37   0.09308   -0.15317   0.37040   0.91635   0.09308   -0.15317   0.37040   0.91635   97.12524
38   0.09308   -0.15296   0.37056   0.91617   0.09308   -0.15296   0.37056   0.91617   97.25342
39   0.09319   -0.15311   0.37022   0.91635   0.09319   -0.15311   0.37022   0.91635   97.12830
40   0.09312   -0.15299   0.37019   0.91644   0.09312   -0.15299   0.37019   0.91644   97.09778
41   0.09310   -0.15418   0.37111   0.91592   0.09310   -0.15418   0.37111   0.91592   97.18628
42   0.09329   -0.15284   0.37071   0.91626   0.09329   -0.15284   0.37071   0.91626   97.10388
43   0.09329   -0.15281   0.37028   0.91635   0.09329   -0.15281   0.37028   0.91635   97.08252
44   0.09312   -0.15293   0.36888   0.91693   0.09312   -0.15293   0.36888   0.91693   97.19543
45   0.09309   -0.15226   0.36915   0.91705   0.09309   -0.15226   0.36915   0.91705   97.20459
46   0.09300   -0.15366   0.36949   0.91668   0.09300   -0.15366   0.36949   0.91668   97.24121
47   0.09297   -0.15390   0.36949   0.91653   0.09297   -0.15390   0.36949   0.91653   97.19238
48   0.09293   -0.15284   0.37034   0.91638   0.09293   -0.15284   0.37034   0.91638   97.21069
49   0.09292   -0.15357   0.36924   0.91671   0.09292   -0.15357   0.36924   0.91671   97.29919
50   0.09284   -0.15384   0.36964   0.91647   0.09284   -0.15384   0.36964   0.91647   97.18933
51   0.09280   -0.15220   0.36888   0.91702   0.09280   -0.15220   0.36888   0.91702   97.31445
52   0.09279   -0.15378   0.36940   0.91659   0.09279   -0.15378   0.36940   0.91659   97.22595
53   0.09285   -0.15540   0.37095   0.91571   0.09285   -0.15540   0.37095   0.91571   97.16797
54   0.09277   -0.15397   0.36979   0.91644   0.09277   -0.15397   0.36979   0.91644   97.20459
55   0.09273   -0.15210   0.37001   0.91665   0.09273   -0.15210   0.37001   0.91665   97.26257
56   0.09282   -0.15262   0.37004   0.91650   0.09282   -0.15262   0.37004   0.91650   97.30530
57   0.09289   -0.15265   0.36937   0.91681   0.09289   -0.15265   0.36937   0.91681   97.21985
58   0.09301   -0.15244   0.36940   0.91687   0.09301   -0.15244   0.36940   0.91687   97.24121
59   0.09302   -0.15308   0.37080   0.91617   0.09302   -0.15308   0.37080   0.91617   97.26257
