Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 17:30:30 4/17/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09280   -0.16556   0.09418   0.98181   0.09280   -0.16556   0.09418   0.98181   96.65222
2   0.09273   -0.16511   0.09497   0.98184   0.09273   -0.16511   0.09497   0.98184   96.78955
3   0.09275   -0.16544   0.09598   0.98166   0.09275   -0.16544   0.09598   0.98166   96.71021
4   0.09267   -0.16572   0.09577   0.98163   0.09267   -0.16572   0.09577   0.98163   96.67969
5   0.09269   -0.16590   0.09458   0.98169   0.09269   -0.16590   0.09458   0.98169   96.72852
6   0.09266   -0.16581   0.09473   0.98172   0.09266   -0.16581   0.09473   0.98172   96.73767
7   0.09262   -0.16547   0.09519   0.98178   0.09262   -0.16547   0.09519   0.98178   96.75598
8   0.09247   -0.16477   0.09549   0.98184   0.09247   -0.16477   0.09549   0.98184   96.81091
9   0.09257   -0.16572   0.09503   0.98169   0.09257   -0.16572   0.09503   0.98169   96.81396
10   0.09273   -0.16532   0.09561   0.98175   0.09273   -0.16532   0.09561   0.98175   96.77124
11   0.09281   -0.16507   0.09531   0.98184   0.09281   -0.16507   0.09531   0.98184   96.68274
12   0.09287   -0.16520   0.09421   0.98193   0.09287   -0.16520   0.09421   0.98193   96.68579
13   0.09291   -0.16559   0.09537   0.98166   0.09291   -0.16559   0.09537   0.98166   96.63696
14   0.09295   -0.16538   0.09540   0.98175   0.09295   -0.16538   0.09540   0.98175   96.64001
15   0.09291   -0.16666   0.09525   0.98154   0.09291   -0.16666   0.09525   0.98154   96.67664
16   0.09293   -0.16559   0.09403   0.98184   0.09293   -0.16559   0.09403   0.98184   96.71631
17   0.09290   -0.16654   0.09467   0.98166   0.09290   -0.16654   0.09467   0.98166   96.75598
18   0.09302   -0.16623   0.09421   0.98169   0.09302   -0.16623   0.09421   0.98169   96.56372
19   0.09286   -0.16565   0.09494   0.98169   0.09286   -0.16565   0.09494   0.98169   96.61560
20   0.09284   -0.16596   0.09494   0.98166   0.09284   -0.16596   0.09494   0.98166   96.77429
21   0.09289   -0.16611   0.09540   0.98160   0.09289   -0.16611   0.09540   0.98160   96.69495
22   0.09281   -0.16559   0.09537   0.98172   0.09281   -0.16559   0.09537   0.98172   96.76208
23   0.09265   -0.16538   0.09546   0.98172   0.09265   -0.16538   0.09546   0.98172   96.76819
24   0.09268   -0.16550   0.09571   0.98166   0.09268   -0.16550   0.09571   0.98166   96.68884
25   0.09273   -0.16691   0.09516   0.98154   0.09273   -0.16691   0.09516   0.98154   96.67969
26   0.09269   -0.16587   0.09479   0.98169   0.09269   -0.16587   0.09479   0.98169   96.76819
27   0.09263   -0.16663   0.09577   0.98148   0.09263   -0.16663   0.09577   0.98148   96.73767
28   0.09263   -0.16605   0.09507   0.98172   0.09263   -0.16605   0.09507   0.98172   96.68579
29   0.09257   -0.16562   0.09650   0.98163   0.09257   -0.16562   0.09650   0.98163   96.76514
30   0.09258   -0.16562   0.09558   0.98166   0.09258   -0.16562   0.09558   0.98166   96.73462
31   0.09268   -0.16587   0.09549   0.98157   0.09268   -0.16587   0.09549   0.98157   96.71021
32   0.09278   -0.16669   0.09485   0.98163   0.09278   -0.16669   0.09485   0.98163   96.63391
33   0.09280   -0.16636   0.09479   0.98163   0.09280   -0.16636   0.09479   0.98163   96.76208
34   0.09280   -0.16681   0.09458   0.98160   0.09280   -0.16681   0.09458   0.98160   96.73157
35   0.09294   -0.16642   0.09552   0.98157   0.09294   -0.16642   0.09552   0.98157   96.64917
36   0.09297   -0.16654   0.09671   0.98141   0.09297   -0.16654   0.09671   0.98141   96.59119
