Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09288   -0.15726   0.09470   0.98312   0.09288   -0.15726   0.09470   0.98312   96.75598
2   0.09284   -0.15638   0.09235   0.98346   0.09284   -0.15638   0.09235   0.98346   96.63696
3   0.09303   -0.15497   0.09433   0.98346   0.09303   -0.15497   0.09433   0.98346   96.72241
4   0.09301   -0.15543   0.09473   0.98346   0.09301   -0.15543   0.09473   0.98346   96.64307
5   0.09295   -0.15589   0.09259   0.98358   0.09295   -0.15589   0.09259   0.98358   96.73767
6   0.09282   -0.15488   0.09220   0.98379   0.09282   -0.15488   0.09220   0.98379   96.79260
7   0.09289   -0.15528   0.09180   0.98376   0.09289   -0.15528   0.09180   0.98376   96.67664
8   0.09276   -0.15564   0.09049   0.98386   0.09276   -0.15564   0.09049   0.98386   96.65222
9   0.09272   -0.15357   0.09049   0.98413   0.09272   -0.15357   0.09049   0.98413   96.70105
10   0.09276   -0.15445   0.09250   0.98376   0.09276   -0.15445   0.09250   0.98376   96.70105
11   0.09272   -0.15390   0.09369   0.98370   0.09272   -0.15390   0.09369   0.98370   96.76819
12   0.09269   -0.15363   0.09412   0.98370   0.09269   -0.15363   0.09412   0.98370   96.67053
13   0.09269   -0.15436   0.09467   0.98364   0.09269   -0.15436   0.09467   0.98364   96.72852
14   0.09281   -0.15424   0.09549   0.98355   0.09281   -0.15424   0.09549   0.98355   96.66443
15   0.09268   -0.15461   0.09394   0.98361   0.09268   -0.15461   0.09394   0.98361   96.68884
16   0.09266   -0.15427   0.09461   0.98364   0.09266   -0.15427   0.09461   0.98364   96.72852
17   0.09291   -0.15491   0.09449   0.98346   0.09291   -0.15491   0.09449   0.98346   96.69800
18   0.09296   -0.15500   0.09546   0.98346   0.09296   -0.15500   0.09546   0.98346   96.65833
19   0.09288   -0.15534   0.09433   0.98346   0.09288   -0.15534   0.09433   0.98346   96.70715
20   0.09293   -0.15644   0.09482   0.98325   0.09293   -0.15644   0.09482   0.98325   96.76819
21   0.09300   -0.15476   0.09351   0.98364   0.09300   -0.15476   0.09351   0.98364   96.63086
22   0.09287   -0.15625   0.09272   0.98343   0.09287   -0.15625   0.09272   0.98343   96.63696
23   0.09286   -0.15625   0.09400   0.98334   0.09286   -0.15625   0.09400   0.98334   96.75598
24   0.09303   -0.15635   0.09491   0.98331   0.09303   -0.15635   0.09491   0.98331   96.59424
25   0.09294   -0.15567   0.09543   0.98328   0.09294   -0.15567   0.09543   0.98328   96.69800
26   0.09278   -0.15687   0.09494   0.98315   0.09278   -0.15687   0.09494   0.98315   96.85059
27   0.09280   -0.15662   0.09482   0.98325   0.09280   -0.15662   0.09482   0.98325   96.70410
28   0.09282   -0.15656   0.09632   0.98306   0.09282   -0.15656   0.09632   0.98306   96.59424
29   0.09266   -0.15616   0.09546   0.98325   0.09266   -0.15616   0.09546   0.98325   96.68884
30   0.09250   -0.15604   0.09488   0.98334   0.09250   -0.15604   0.09488   0.98334   96.83228
31   0.09264   -0.15500   0.09394   0.98364   0.09264   -0.15500   0.09394   0.98364   96.64917
32   0.09267   -0.15665   0.09391   0.98337   0.09267   -0.15665   0.09391   0.98337   96.74683
33   0.09255   -0.15635   0.09387   0.98334   0.09255   -0.15635   0.09387   0.98334   96.67358
34   0.09254   -0.15647   0.09287   0.98337   0.09254   -0.15647   0.09287   0.98337   96.76208
35   0.09261   -0.15662   0.09333   0.98343   0.09261   -0.15662   0.09333   0.98343   96.71631
36   0.09263   -0.15738   0.09287   0.98328   0.09263   -0.15738   0.09287   0.98328   96.65833
37   0.09267   -0.15778   0.09412   0.98312   0.09267   -0.15778   0.09412   0.98312   96.71936
38   0.09295   -0.15732   0.09510   0.98309   0.09295   -0.15732   0.09510   0.98309   96.69800
39   0.09296   -0.15824   0.09464   0.98291   0.09296   -0.15824   0.09464   0.98291   96.64001
40   0.09283   -0.15708   0.09513   0.98315   0.09283   -0.15708   0.09513   0.98315   96.77429
41   0.09293   -0.15714   0.09473   0.98318   0.09293   -0.15714   0.09473   0.98318   96.67969
42   0.09299   -0.15665   0.09372   0.98334   0.09299   -0.15665   0.09372   0.98334   96.64001
43   0.09297   -0.15720   0.09369   0.98321   0.09297   -0.15720   0.09369   0.98321   96.69800
44   0.09295   -0.15772   0.09397   0.98315   0.09295   -0.15772   0.09397   0.98315   96.74683
45   0.09309   -0.15705   0.09351   0.98334   0.09309   -0.15705   0.09351   0.98334   96.66443
46   0.09301   -0.15772   0.09323   0.98318   0.09301   -0.15772   0.09323   0.98318   96.77124
47   0.09300   -0.15711   0.09583   0.98306   0.09300   -0.15711   0.09583   0.98306   96.74988
48   0.09293   -0.15796   0.09275   0.98321   0.09293   -0.15796   0.09275   0.98321   96.75598
49   0.09275   -0.15806   0.09610   0.98285   0.09275   -0.15806   0.09610   0.98285   96.71021
50   0.09268   -0.15766   0.09507   0.98300   0.09268   -0.15766   0.09507   0.98300   96.78650
51   0.09274   -0.15784   0.09400   0.98315   0.09274   -0.15784   0.09400   0.98315   96.78955
52   0.09271   -0.15827   0.09458   0.98303   0.09271   -0.15827   0.09458   0.98303   96.76819
53   0.09272   -0.15836   0.09351   0.98306   0.09272   -0.15836   0.09351   0.98306   96.62170
54   0.09272   -0.15833   0.09360   0.98306   0.09272   -0.15833   0.09360   0.98306   96.71936
55   0.09272   -0.15799   0.09333   0.98309   0.09272   -0.15799   0.09333   0.98309   96.76819
56   0.09268   -0.15885   0.09275   0.98303   0.09268   -0.15885   0.09275   0.98303   96.67053
57   0.09262   -0.15857   0.09311   0.98309   0.09262   -0.15857   0.09311   0.98309   96.73767
58   0.09268   -0.15833   0.09452   0.98291   0.09268   -0.15833   0.09452   0.98291   96.78650
59   0.09280   -0.15915   0.09342   0.98297   0.09280   -0.15915   0.09342   0.98297   96.70410
60   0.09285   -0.15891   0.09262   0.98303   0.09285   -0.15891   0.09262   0.98303   96.63696
61   0.09284   -0.15992   0.09449   0.98270   0.09284   -0.15992   0.09449   0.98270   96.70410
62   0.09292   -0.15900   0.09360   0.98297   0.09292   -0.15900   0.09360   0.98297   96.61865
63   0.09297   -0.15973   0.09500   0.98276   0.09297   -0.15973   0.09500   0.98276   96.67053
64   0.09286   -0.15867   0.09522   0.98285   0.09286   -0.15867   0.09522   0.98285   96.78345
65   0.09284   -0.15864   0.09555   0.98288   0.09284   -0.15864   0.09555   0.98288   96.79260
66   0.09299   -0.15925   0.09449   0.98282   0.09299   -0.15925   0.09449   0.98282   96.64001
67   0.09300   -0.15909   0.09449   0.98291   0.09300   -0.15909   0.09449   0.98291   96.64001
68   0.09284   -0.16001   0.09418   0.98276   0.09284   -0.16001   0.09418   0.98276   96.78345
69   0.09291   -0.15955   0.09546   0.98260   0.09291   -0.15955   0.09546   0.98260   96.74683
70   0.09284   -0.15979   0.09510   0.98267   0.09284   -0.15979   0.09510   0.98267   96.67358
71   0.09271   -0.15961   0.09323   0.98288   0.09271   -0.15961   0.09323   0.98288   96.57288
72   0.09266   -0.15909   0.09552   0.98267   0.09266   -0.15909   0.09552   0.98267   96.69800
73   0.09274   -0.16028   0.09455   0.98267   0.09274   -0.16028   0.09455   0.98267   96.71936
74   0.09274   -0.16037   0.09522   0.98248   0.09274   -0.16037   0.09522   0.98248   96.74072
75   0.09257   -0.16013   0.09461   0.98270   0.09257   -0.16013   0.09461   0.98270   96.72546
76   0.09262   -0.16065   0.09607   0.98242   0.09262   -0.16065   0.09607   0.98242   96.77734
77   0.09257   -0.16047   0.09391   0.98267   0.09257   -0.16047   0.09391   0.98267   96.77429
78   0.09263   -0.16016   0.09323   0.98273   0.09263   -0.16016   0.09323   0.98273   96.61865
79   0.09266   -0.16074   0.09436   0.98257   0.09266   -0.16074   0.09436   0.98257   96.64917
80   0.09265   -0.16062   0.09449   0.98260   0.09265   -0.16062   0.09449   0.98260   96.72852
81   0.09276   -0.16047   0.09339   0.98276   0.09276   -0.16047   0.09339   0.98276   96.74988
82   0.09280   -0.16147   0.09503   0.98245   0.09280   -0.16147   0.09503   0.98245   96.73157
83   0.09291   -0.16044   0.09500   0.98251   0.09291   -0.16044   0.09500   0.98251   96.72546
84   0.09292   -0.16099   0.09485   0.98248   0.09292   -0.16099   0.09485   0.98248   96.67664
85   0.09289   -0.16169   0.09433   0.98248   0.09289   -0.16169   0.09433   0.98248   96.68579
86   0.09293   -0.16120   0.09595   0.98230   0.09293   -0.16120   0.09595   0.98230   96.72852
87   0.09304   -0.16202   0.09458   0.98236   0.09304   -0.16202   0.09458   0.98236   96.65222
88   0.09302   -0.16117   0.09650   0.98233   0.09302   -0.16117   0.09650   0.98233   96.66138
89   0.09287   -0.16117   0.09555   0.98242   0.09287   -0.16117   0.09555   0.98242   96.76514
90   0.09294   -0.16138   0.09574   0.98236   0.09294   -0.16138   0.09574   0.98236   96.71936
91   0.09291   -0.16214   0.09400   0.98242   0.09291   -0.16214   0.09400   0.98242   96.69800
92   0.09275   -0.16160   0.09595   0.98227   0.09275   -0.16160   0.09595   0.98227   96.73157
93   0.09274   -0.16245   0.09555   0.98221   0.09274   -0.16245   0.09555   0.98221   96.83838
94   0.09269   -0.16193   0.09543   0.98227   0.09269   -0.16193   0.09543   0.98227   96.67053
95   0.09266   -0.16187   0.09540   0.98233   0.09266   -0.16187   0.09540   0.98233   96.69800
96   0.09257   -0.16135   0.09500   0.98236   0.09257   -0.16135   0.09500   0.98236   96.74377
97   0.09265   -0.16227   0.09546   0.98230   0.09265   -0.16227   0.09546   0.98230   96.70715
98   0.09263   -0.16227   0.09546   0.98218   0.09263   -0.16227   0.09546   0.98218   96.79565
99   0.09269   -0.16230   0.09360   0.98245   0.09269   -0.16230   0.09360   0.98245   96.72852
100   0.09285   -0.16279   0.09522   0.98212   0.09285   -0.16279   0.09522   0.98212   96.73462
101   0.09284   -0.16236   0.09549   0.98218   0.09284   -0.16236   0.09549   0.98218   96.67358
102   0.09285   -0.16340   0.09571   0.98206   0.09285   -0.16340   0.09571   0.98206   96.81396
103   0.09289   -0.16196   0.09540   0.98236   0.09289   -0.16196   0.09540   0.98236   96.69495
104   0.09305   -0.16187   0.09479   0.98239   0.09305   -0.16187   0.09479   0.98239   96.69189
105   0.09300   -0.16208   0.09415   0.98236   0.09300   -0.16208   0.09415   0.98236   96.74072
106   0.09309   -0.16199   0.09500   0.98239   0.09309   -0.16199   0.09500   0.98239   96.69495
107   0.09319   -0.16321   0.09500   0.98212   0.09319   -0.16321   0.09500   0.98212   96.64917
108   0.09313   -0.16218   0.09552   0.98224   0.09313   -0.16218   0.09552   0.98224   96.60645
109   0.09305   -0.16248   0.09458   0.98227   0.09305   -0.16248   0.09458   0.98227   96.70105
110   0.09292   -0.16205   0.09626   0.98215   0.09292   -0.16205   0.09626   0.98215   96.83533
111   0.09290   -0.16236   0.09415   0.98236   0.09290   -0.16236   0.09415   0.98236   96.77734
112   0.09289   -0.16285   0.09503   0.98212   0.09289   -0.16285   0.09503   0.98212   96.72546
113   0.09270   -0.16315   0.09333   0.98227   0.09270   -0.16315   0.09333   0.98227   96.75903
114   0.09267   -0.16291   0.09491   0.98218   0.09267   -0.16291   0.09491   0.98218   96.70715
115   0.09276   -0.16172   0.09372   0.98254   0.09276   -0.16172   0.09372   0.98254   96.66138
116   0.09260   -0.16321   0.09445   0.98221   0.09260   -0.16321   0.09445   0.98221   96.71631
117   0.09266   -0.16340   0.09397   0.98224   0.09266   -0.16340   0.09397   0.98224   96.76819
118   0.09263   -0.16251   0.09333   0.98233   0.09263   -0.16251   0.09333   0.98233   96.61865
119   0.09257   -0.16346   0.09360   0.98227   0.09257   -0.16346   0.09360   0.98227   96.62476
120   0.09250   -0.16343   0.09488   0.98202   0.09250   -0.16343   0.09488   0.98202   96.77124
121   0.09271   -0.16254   0.09284   0.98245   0.09271   -0.16254   0.09284   0.98245   96.67053
122   0.09264   -0.16355   0.09378   0.98218   0.09264   -0.16355   0.09378   0.98218   96.66748
123   0.09271   -0.16349   0.09384   0.98221   0.09271   -0.16349   0.09384   0.98221   96.64001
