Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 14:58:8 4/18/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,0,6)
Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
1   0.09321   -0.21799   -85.15380   0.67392   0.09321   -0.21799   -0.03723   0.97537   96.55151
2   0.09302   -0.21635   -85.53465   0.67502   0.09302   -0.21635   -0.03400   0.97589   96.65222
3   0.09278   -0.21662   -85.49690   0.67485   0.09278   -0.21662   -0.03433   0.97577   96.78040
4   0.09289   -0.21583   -85.63087   0.67535   0.09289   -0.21583   -0.03317   0.97604   96.68579
5   0.09291   -0.21506   -85.48864   0.67565   0.09291   -0.21506   -0.03415   0.97613   96.72546
6   0.09271   -0.21412   -85.46904   0.67612   0.09271   -0.21412   -0.03415   0.97626   96.79871
7   0.09285   -0.21464   -85.42818   0.67584   0.09285   -0.21464   -0.03455   0.97623   96.74377
8   0.09278   -0.21430   -85.62814   0.67613   0.09278   -0.21430   -0.03296   0.97629   96.73157
9   0.09281   -0.21390   -85.78400   0.67642   0.09281   -0.21390   -0.03171   0.97641   96.80176
10   0.09279   -0.21473   -85.80393   0.67602   0.09279   -0.21473   -0.03168   0.97632   96.81091
11   0.09283   -0.21488   -85.51264   0.67577   0.09283   -0.21488   -0.03394   0.97626   96.74377
12   0.09286   -0.21320   -85.66206   0.67672   0.09286   -0.21320   -0.03253   0.97659   96.66443
13   0.09290   -0.21311   -85.48799   0.67666   0.09290   -0.21311   -0.03385   0.97650   96.79565
14   0.09291   -0.21473   -85.50951   0.67585   0.09291   -0.21473   -0.03394   0.97626   96.73767
15   0.09296   -0.21314   -85.33672   0.67656   0.09296   -0.21314   -0.03500   0.97653   96.73767
16   0.09301   -0.21577   -85.23468   0.67512   0.09301   -0.21577   -0.03623   0.97580   96.73157
17   0.09302   -0.21436   -85.23578   0.67585   0.09302   -0.21436   -0.03598   0.97613   96.78040
18   0.09304   -0.21381   -85.06485   0.67603   0.09304   -0.21381   -0.03720   0.97629   96.70105
19   0.09312   -0.21451   -84.94627   0.67558   0.09312   -0.21451   -0.03824   0.97604   96.73462
20   0.09297   -0.21393   -84.89326   0.67585   0.09297   -0.21393   -0.03854   0.97623   96.76819
21   0.09312   -0.21433   -84.83537   0.67560   0.09312   -0.21433   -0.03906   0.97610   96.67664
22   0.09308   -0.21494   -85.19698   0.67553   0.09308   -0.21494   -0.03638   0.97607   96.68274
23   0.09291   -0.21412   -85.78415   0.67632   0.09291   -0.21412   -0.03174   0.97638   96.72546
24   0.09282   -0.21467   -85.82269   0.67606   0.09282   -0.21467   -0.03153   0.97635   96.82312
25   0.09278   -0.21271   -86.09101   0.67722   0.09278   -0.21271   -0.02921   0.97684   96.71326
26   0.09288   -0.21378   -86.36353   0.67680   0.09288   -0.21378   -0.02728   0.97662   96.69495
27   0.09281   -0.21442   -86.16983   0.67637   0.09281   -0.21442   -0.02884   0.97641   96.79260
28   0.09279   -0.21397   -86.16174   0.67660   0.09279   -0.21397   -0.02884   0.97653   96.75293
29   0.09278   -0.21290   -85.86483   0.67699   0.09278   -0.21290   -0.03095   0.97665   96.70105
30   0.09270   -0.21439   -85.55432   0.67604   0.09270   -0.21439   -0.03354   0.97632   96.75903
31   0.09274   -0.21567   -85.28396   0.67520   0.09274   -0.21567   -0.03583   0.97583   96.71021
32   0.09287   -0.21445   -84.77119   0.67549   0.09287   -0.21445   -0.03958   0.97607   96.60645
33   0.09282   -0.21455   -84.67492   0.67538   0.09282   -0.21455   -0.04035   0.97604   96.80176
34   0.09284   -0.21488   -84.37321   0.67497   0.09284   -0.21488   -0.04276   0.97583   96.80176
35   0.09312   -0.21296   -84.28033   0.67591   0.09312   -0.21296   -0.04309   0.97629   96.67358
36   0.09312   -0.21256   -84.32526   0.67613   0.09312   -0.21256   -0.04266   0.97623   96.69495
37   0.09301   -0.21210   -84.12343   0.67622   0.09301   -0.21210   -0.04413   0.97638   96.78955
38   0.09309   -0.21186   -84.03779   0.67628   0.09309   -0.21186   -0.04474   0.97638   96.74377
39   0.09320   -0.21381   -84.15734   0.67536   0.09320   -0.21381   -0.04422   0.97601   96.62781
40   0.09307   -0.21201   -84.01433   0.67618   0.09307   -0.21201   -0.04495   0.97632   96.68274
41   0.09312   -0.21253   -84.19804   0.67606   0.09312   -0.21253   -0.04364   0.97632   96.83228
42   0.09326   -0.21250   -84.31972   0.67617   0.09326   -0.21250   -0.04270   0.97632   96.71021
43   0.09309   -0.21284   -84.60143   0.67621   0.09309   -0.21284   -0.04059   0.97635   96.64307
44   0.09300   -0.21262   -84.61597   0.67633   0.09300   -0.21262   -0.04044   0.97641   96.71936
45   0.09290   -0.21430   -85.21857   0.67588   0.09290   -0.21430   -0.03610   0.97626   96.77734
46   0.09281   -0.21253   -85.23949   0.67680   0.09281   -0.21253   -0.03565   0.97656   96.70410
47   0.09284   -0.21512   -85.36314   0.67554   0.09284   -0.21512   -0.03513   0.97604   96.74377
48   0.09272   -0.21415   -85.40202   0.67607   0.09272   -0.21415   -0.03467   0.97629   96.74988
49   0.09286   -0.21348   -85.28810   0.67635   0.09286   -0.21348   -0.03543   0.97641   96.68579
50   0.09273   -0.21323   -85.58656   0.67667   0.09273   -0.21323   -0.03311   0.97662   96.70105
