Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 15:0:6 4/18/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09306   -0.22413   -0.03571   0.97400   0.09306   -0.22413   -0.03571   0.97400   96.71326
2   0.09310   -0.22446   -0.03690   0.97391   0.09310   -0.22446   -0.03690   0.97391   96.64612
3   0.09303   -0.22501   -0.03690   0.97378   0.09303   -0.22501   -0.03690   0.97378   96.58203
4   0.09299   -0.22501   -0.03632   0.97375   0.09299   -0.22501   -0.03632   0.97375   96.68884
5   0.09296   -0.22571   -0.03653   0.97363   0.09296   -0.22571   -0.03653   0.97363   96.60950
6   0.09285   -0.22562   -0.03687   0.97363   0.09285   -0.22562   -0.03687   0.97363   96.57593
7   0.09279   -0.22605   -0.03659   0.97345   0.09279   -0.22605   -0.03659   0.97345   96.58508
8   0.09274   -0.22617   -0.03555   0.97348   0.09274   -0.22617   -0.03555   0.97348   96.69189
9   0.09281   -0.22544   -0.03619   0.97372   0.09281   -0.22544   -0.03619   0.97372   96.60645
10   0.09272   -0.22675   -0.03607   0.97336   0.09272   -0.22675   -0.03607   0.97336   96.70105
11   0.09271   -0.22584   -0.03629   0.97363   0.09271   -0.22584   -0.03629   0.97363   96.67053
12   0.09267   -0.22645   -0.03687   0.97342   0.09267   -0.22645   -0.03687   0.97342   96.68884
13   0.09276   -0.22611   -0.03699   0.97345   0.09276   -0.22611   -0.03699   0.97345   96.56372
14   0.09272   -0.22645   -0.03616   0.97345   0.09272   -0.22645   -0.03616   0.97345   96.64001
15   0.09277   -0.22669   -0.03690   0.97339   0.09277   -0.22669   -0.03690   0.97339   96.67358
16   0.09287   -0.22617   -0.03653   0.97354   0.09287   -0.22617   -0.03653   0.97354   96.62781
17   0.09302   -0.22645   -0.03632   0.97345   0.09302   -0.22645   -0.03632   0.97345   96.68274
18   0.09304   -0.22654   -0.03601   0.97339   0.09304   -0.22654   -0.03601   0.97339   96.66138
19   0.09305   -0.22608   -0.03659   0.97345   0.09305   -0.22608   -0.03659   0.97345   96.66138
20   0.09313   -0.22724   -0.03803   0.97314   0.09313   -0.22724   -0.03803   0.97314   96.56677
21   0.09313   -0.22605   -0.03659   0.97348   0.09313   -0.22605   -0.03659   0.97348   96.66443
22   0.09312   -0.22620   -0.03726   0.97348   0.09312   -0.22620   -0.03726   0.97348   96.47827
23   0.09318   -0.22654   -0.03742   0.97342   0.09318   -0.22654   -0.03742   0.97342   96.59729
24   0.09315   -0.22779   -0.03833   0.97299   0.09315   -0.22779   -0.03833   0.97299   96.66748
25   0.09303   -0.22675   -0.03647   0.97345   0.09303   -0.22675   -0.03647   0.97345   96.71021
26   0.09307   -0.22654   -0.03632   0.97339   0.09307   -0.22654   -0.03632   0.97339   96.65222
27   0.09298   -0.22767   -0.03781   0.97311   0.09298   -0.22767   -0.03781   0.97311   96.64917
28   0.09286   -0.22767   -0.03821   0.97314   0.09286   -0.22767   -0.03821   0.97314   96.53625
29   0.09276   -0.22712   -0.03784   0.97317   0.09276   -0.22712   -0.03784   0.97317   96.69189
30   0.09289   -0.22727   -0.03815   0.97317   0.09289   -0.22727   -0.03815   0.97317   96.59729
31   0.09272   -0.22721   -0.03717   0.97330   0.09272   -0.22721   -0.03717   0.97330   96.59119
32   0.09257   -0.22858   -0.03888   0.97284   0.09257   -0.22858   -0.03888   0.97284   96.61560
33   0.09267   -0.22788   -0.03775   0.97311   0.09267   -0.22788   -0.03775   0.97311   96.68884
34   0.09285   -0.22730   -0.03674   0.97320   0.09285   -0.22730   -0.03674   0.97320   96.61560
35   0.09271   -0.22648   -0.03616   0.97351   0.09271   -0.22648   -0.03616   0.97351   96.63086
