Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 14:58:27 4/18/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,0,6)
Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
1   0.09283   -0.21030   -84.22202   0.67724   0.09283   -0.21030   -0.04300   0.97681   96.66443
2   0.09277   -0.21082   -84.33945   0.67706   0.09277   -0.21082   -0.04221   0.97668   96.73157
3   0.09288   -0.21070   -84.28043   0.67708   0.09288   -0.21070   -0.04263   0.97671   96.80481
4   0.09307   -0.20866   -84.42727   0.67826   0.09307   -0.20866   -0.04111   0.97729   96.67358
5   0.09305   -0.21158   -84.22435   0.67656   0.09305   -0.21158   -0.04324   0.97641   96.74072
6   0.09290   -0.21180   -84.73505   0.67685   0.09290   -0.21180   -0.03937   0.97668   96.79565
7   0.09300   -0.21158   -84.84976   0.67704   0.09300   -0.21158   -0.03845   0.97671   96.70105
8   0.09309   -0.20746   -84.44073   0.67889   0.09309   -0.20746   -0.04077   0.97751   96.64307
9   0.09299   -0.21003   -85.26884   0.67812   0.09299   -0.21003   -0.03500   0.97714   96.79871
10   0.09308   -0.21046   -85.50494   0.67805   0.09308   -0.21046   -0.03330   0.97717   96.69189
11   0.09312   -0.20988   -85.56183   0.67839   0.09312   -0.20988   -0.03278   0.97729   96.66443
12   0.09310   -0.20988   -85.28978   0.67823   0.09310   -0.20988   -0.03482   0.97729   96.58508
13   0.09295   -0.21131   -85.34133   0.67750   0.09295   -0.21131   -0.03467   0.97687   96.77734
14   0.09297   -0.21128   -85.67979   0.67773   0.09297   -0.21128   -0.03211   0.97705   96.67969
15   0.09281   -0.21052   -85.39690   0.67795   0.09281   -0.21052   -0.03412   0.97711   96.69495
16   0.09280   -0.21311   -85.41199   0.67661   0.09280   -0.21311   -0.03442   0.97650   96.67358
17   0.09278   -0.21152   -85.29364   0.67736   0.09278   -0.21152   -0.03507   0.97678   96.73157
18   0.09281   -0.21195   -85.23072   0.67710   0.09281   -0.21195   -0.03562   0.97671   96.72241
19   0.09270   -0.21195   -85.19462   0.67709   0.09270   -0.21195   -0.03589   0.97681   96.74072
20   0.09266   -0.21113   -85.28496   0.67757   0.09266   -0.21113   -0.03507   0.97702   96.74683
21   0.09280   -0.21070   -85.42509   0.67788   0.09280   -0.21070   -0.03394   0.97708   96.72241
22   0.09276   -0.21110   -85.30847   0.67760   0.09276   -0.21110   -0.03488   0.97702   96.70105
23   0.09270   -0.21073   -85.30854   0.67779   0.09270   -0.21073   -0.03482   0.97702   96.91772
24   0.09282   -0.21189   -85.44633   0.67727   0.09282   -0.21189   -0.03397   0.97684   96.76208
25   0.09307   -0.21216   -85.31161   0.67705   0.09307   -0.21216   -0.03504   0.97678   96.67358
26   0.09301   -0.21317   -85.24158   0.67647   0.09301   -0.21317   -0.03574   0.97644   96.66138
27   0.09302   -0.21216   -85.33167   0.67706   0.09302   -0.21216   -0.03488   0.97678   96.73157
28   0.09300   -0.21220   -85.47286   0.67713   0.09300   -0.21220   -0.03381   0.97678   96.74988
29   0.09312   -0.21244   -85.14546   0.67680   0.09312   -0.21244   -0.03635   0.97662   96.68579
30   0.09310   -0.21125   -85.14678   0.67741   0.09310   -0.21125   -0.03613   0.97687   96.71326
31   0.09312   -0.21091   -84.95015   0.67745   0.09312   -0.21091   -0.03757   0.97687   96.69495
32   0.09305   -0.20997   -84.75858   0.67782   0.09305   -0.20997   -0.03885   0.97705   96.71326
33   0.09300   -0.21137   -84.50510   0.67690   0.09300   -0.21137   -0.04105   0.97668   96.74072
34   0.09296   -0.20991   -84.54797   0.67769   0.09296   -0.20991   -0.04044   0.97693   96.72852
35   0.09290   -0.21018   -84.25070   0.67732   0.09290   -0.21018   -0.04276   0.97678   96.72546
36   0.09277   -0.21091   -84.55739   0.67718   0.09277   -0.21091   -0.04056   0.97678   96.70105
37   0.09274   -0.21204   -84.31174   0.67641   0.09274   -0.21204   -0.04266   0.97653   96.74988
38   0.09276   -0.21363   -84.39227   0.67564   0.09276   -0.21363   -0.04236   0.97610   96.71021
39   0.09277   -0.21305   -84.36950   0.67592   0.09277   -0.21305   -0.04242   0.97626   96.66138
40   0.09272   -0.21366   -84.56650   0.67576   0.09272   -0.21366   -0.04102   0.97620   96.78040
41   0.09278   -0.21302   -84.54263   0.67607   0.09278   -0.21302   -0.04108   0.97632   96.70105
42   0.09275   -0.21525   -84.38254   0.67479   0.09275   -0.21525   -0.04276   0.97577   96.70105
43   0.09266   -0.21418   -84.88710   0.67571   0.09266   -0.21418   -0.03864   0.97610   96.72852
44   0.09267   -0.21406   -85.20925   0.67600   0.09267   -0.21406   -0.03613   0.97629   96.81702
45   0.09289   -0.21461   -84.80636   0.67543   0.09289   -0.21461   -0.03934   0.97601   96.72546
46   0.09301   -0.21448   -84.96137   0.67560   0.09301   -0.21448   -0.03812   0.97601   96.71021
47   0.09297   -0.21314   -84.98595   0.67633   0.09297   -0.21314   -0.03769   0.97644   96.74988
