Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 17:32:1 4/17/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09373   -0.02960   0.98978   -0.14042   0.09373   -0.02960   0.98978   -0.14042   99.88098
2   0.09378   -0.02927   0.98956   -0.14151   0.09378   -0.02927   0.98956   -0.14151   99.82300
3   0.09379   -0.02985   0.98972   -0.14103   0.09379   -0.02985   0.98972   -0.14103   99.78333
4   0.09367   -0.02908   0.98972   -0.14103   0.09367   -0.02908   0.98972   -0.14103   99.87183
5   0.09371   -0.02948   0.98962   -0.14148   0.09371   -0.02948   0.98962   -0.14148   99.83215
6   0.09365   -0.02872   0.98965   -0.14081   0.09365   -0.02872   0.98965   -0.14081   99.85046
7   0.09344   -0.02985   0.98944   -0.14240   0.09344   -0.02985   0.98944   -0.14240   99.91150
8   0.09341   -0.03037   0.98950   -0.14237   0.09341   -0.03037   0.98950   -0.14237   99.83215
9   0.09342   -0.02921   0.98968   -0.14158   0.09342   -0.02921   0.98968   -0.14158   99.71313
10   0.09338   -0.02921   0.98981   -0.14069   0.09338   -0.02921   0.98981   -0.14069   99.89014
11   0.09337   -0.02844   0.98962   -0.14148   0.09337   -0.02844   0.98962   -0.14148   99.87183
12   0.09341   -0.02951   0.98975   -0.14081   0.09341   -0.02951   0.98975   -0.14081   99.76196
13   0.09341   -0.02884   0.98975   -0.14090   0.09341   -0.02884   0.98975   -0.14090   99.80164
14   0.09339   -0.02939   0.98947   -0.14216   0.09339   -0.02939   0.98947   -0.14216   99.88098
15   0.09338   -0.02884   0.98975   -0.14066   0.09338   -0.02884   0.98975   -0.14066   99.89929
16   0.09349   -0.02853   0.98981   -0.13999   0.09349   -0.02853   0.98981   -0.13999   99.73450
17   0.09353   -0.02921   0.98947   -0.14249   0.09353   -0.02921   0.98947   -0.14249   99.81384
18   0.09356   -0.02945   0.98959   -0.14142   0.09356   -0.02945   0.98959   -0.14142   99.83215
19   0.09374   -0.02905   0.98965   -0.14084   0.09374   -0.02905   0.98965   -0.14084   99.72534
20   0.09375   -0.02893   0.98968   -0.14124   0.09375   -0.02893   0.98968   -0.14124   99.89014
21   0.09364   -0.02942   0.98978   -0.14005   0.09364   -0.02942   0.98978   -0.14005   99.89014
22   0.09368   -0.03046   0.98959   -0.14109   0.09368   -0.03046   0.98959   -0.14109   99.87183
23   0.09375   -0.02966   0.98978   -0.14023   0.09375   -0.02966   0.98978   -0.14023   99.84131
24   0.09378   -0.02960   0.98956   -0.14170   0.09378   -0.02960   0.98956   -0.14170   99.79248
25   0.09366   -0.02945   0.98965   -0.14093   0.09366   -0.02945   0.98965   -0.14093   99.93896
26   0.09367   -0.02921   0.98978   -0.14008   0.09367   -0.02921   0.98978   -0.14008   99.93896
27   0.09369   -0.03012   0.98968   -0.14072   0.09369   -0.03012   0.98968   -0.14072   99.83215
28   0.09348   -0.03018   0.98962   -0.14133   0.09348   -0.03018   0.98962   -0.14133   99.97864
29   0.09358   -0.03009   0.98956   -0.14151   0.09358   -0.03009   0.98956   -0.14151   99.87183
30   0.09358   -0.02979   0.98959   -0.14133   0.09358   -0.02979   0.98959   -0.14133   99.85046
31   0.09359   -0.03119   0.98959   -0.14161   0.09359   -0.03119   0.98959   -0.14161   99.84131
32   0.09358   -0.03000   0.98959   -0.14133   0.09358   -0.03000   0.98959   -0.14133   99.92981
33   0.09356   -0.03119   0.98950   -0.14185   0.09356   -0.03119   0.98950   -0.14185   99.88098
34   0.09345   -0.03122   0.98965   -0.14081   0.09345   -0.03122   0.98965   -0.14081   99.96948
35   0.09355   -0.02991   0.98972   -0.14075   0.09355   -0.02991   0.98972   -0.14075   99.89929
36   0.09353   -0.03049   0.98978   -0.14026   0.09353   -0.03049   0.98978   -0.14026   99.87183
37   0.09358   -0.03052   0.98978   -0.13996   0.09358   -0.03052   0.98978   -0.13996   99.86267
38   0.09365   -0.03049   0.98968   -0.14072   0.09365   -0.03049   0.98968   -0.14072   99.89929
39   0.09378   -0.03021   0.98981   -0.14029   0.09378   -0.03021   0.98981   -0.14029   99.89014
40   0.09384   -0.03000   0.98968   -0.14072   0.09384   -0.03000   0.98968   -0.14072   99.77417
41   0.09376   -0.02969   0.98965   -0.14164   0.09376   -0.02969   0.98965   -0.14164   99.82300
42   0.09367   -0.03034   0.98981   -0.14017   0.09367   -0.03034   0.98981   -0.14017   99.84131
43   0.09367   -0.02997   0.98984   -0.14023   0.09367   -0.02997   0.98984   -0.14023   99.88098
44   0.09379   -0.02890   0.98984   -0.13974   0.09379   -0.02890   0.98984   -0.13974   99.81384
45   0.09376   -0.02960   0.98975   -0.14063   0.09376   -0.02960   0.98975   -0.14063   99.88098
46   0.09364   -0.02893   0.98981   -0.14023   0.09364   -0.02893   0.98981   -0.14023   99.92981
47   0.09366   -0.02930   0.98981   -0.14029   0.09366   -0.02930   0.98981   -0.14029   99.81384
48   0.09368   -0.03043   0.98984   -0.13968   0.09368   -0.03043   0.98984   -0.13968   99.77417
49   0.09344   -0.02927   0.98981   -0.14023   0.09344   -0.02927   0.98981   -0.14023   99.89014
50   0.09343   -0.03012   0.98972   -0.14032   0.09343   -0.03012   0.98972   -0.14032   99.86267
51   0.09347   -0.03079   0.98978   -0.14005   0.09347   -0.03079   0.98978   -0.14005   99.86267
52   0.09350   -0.02921   0.98978   -0.14060   0.09350   -0.02921   0.98978   -0.14060   99.88098
53   0.09343   -0.02997   0.98968   -0.14066   0.09343   -0.02997   0.98968   -0.14066   99.89014
54   0.09344   -0.03110   0.98972   -0.14002   0.09344   -0.03110   0.98972   -0.14002   99.86267
55   0.09340   -0.02948   0.98984   -0.14008   0.09340   -0.02948   0.98984   -0.14008   99.85046
56   0.09323   -0.02979   0.98965   -0.14121   0.09323   -0.02979   0.98965   -0.14121   99.89014
57   0.09344   -0.02948   0.98996   -0.13919   0.09344   -0.02948   0.98996   -0.13919   99.91150
58   0.09341   -0.02927   0.98993   -0.13910   0.09341   -0.02927   0.98993   -0.13910   99.84131
59   0.09343   -0.03012   0.98965   -0.14121   0.09343   -0.03012   0.98965   -0.14121   99.91150
60   0.09354   -0.02954   0.98978   -0.14020   0.09354   -0.02954   0.98978   -0.14020   99.98779
61   0.09358   -0.02817   0.98984   -0.13984   0.09358   -0.02817   0.98984   -0.13984   99.80164
62   0.09366   -0.02869   0.98990   -0.13953   0.09366   -0.02869   0.98990   -0.13953   99.84131
63   0.09363   -0.02927   0.98975   -0.13993   0.09363   -0.02927   0.98975   -0.13993   99.96033
64   0.09369   -0.02869   0.98984   -0.13996   0.09369   -0.02869   0.98984   -0.13996   99.88098
65   0.09377   -0.02850   0.98990   -0.13990   0.09377   -0.02850   0.98990   -0.13990   99.78333
66   0.09377   -0.02936   0.98965   -0.14075   0.09377   -0.02936   0.98965   -0.14075   99.80469
67   0.09370   -0.02893   0.98993   -0.13965   0.09370   -0.02893   0.98993   -0.13965   99.89014
68   0.09387   -0.02911   0.98990   -0.13987   0.09387   -0.02911   0.98990   -0.13987   99.79248
69   0.09374   -0.02860   0.98990   -0.13996   0.09374   -0.02860   0.98990   -0.13996   99.78333
70   0.09354   -0.03006   0.98981   -0.14005   0.09354   -0.03006   0.98981   -0.14005   99.86267
71   0.09360   -0.02945   0.98962   -0.14081   0.09360   -0.02945   0.98962   -0.14081   99.83215
72   0.09358   -0.03009   0.98962   -0.14054   0.09358   -0.03009   0.98962   -0.14054   99.88098
73   0.09356   -0.02985   0.98978   -0.14014   0.09356   -0.02985   0.98978   -0.14014   99.79248
74   0.09355   -0.02838   0.98981   -0.13956   0.09355   -0.02838   0.98981   -0.13956   99.80164
75   0.09354   -0.02960   0.98978   -0.14035   0.09354   -0.02960   0.98978   -0.14035   99.85046
76   0.09347   -0.02982   0.98972   -0.14069   0.09347   -0.02982   0.98972   -0.14069   99.80164
77   0.09343   -0.02991   0.98984   -0.13990   0.09343   -0.02991   0.98984   -0.13990   99.89014
78   0.09343   -0.02982   0.99005   -0.13858   0.09343   -0.02982   0.99005   -0.13858   99.85046
79   0.09354   -0.02878   0.98990   -0.14005   0.09354   -0.02878   0.98990   -0.14005   99.80164
80   0.09353   -0.02933   0.98978   -0.14069   0.09353   -0.02933   0.98978   -0.14069   99.91150
81   0.09362   -0.02945   0.98972   -0.14096   0.09362   -0.02945   0.98972   -0.14096   99.89014
82   0.09378   -0.02863   0.98978   -0.14011   0.09378   -0.02863   0.98978   -0.14011   99.82300
83   0.09375   -0.02973   0.98984   -0.14023   0.09375   -0.02973   0.98984   -0.14023   99.79248
84   0.09373   -0.02814   0.98987   -0.13999   0.09373   -0.02814   0.98987   -0.13999   99.85046
85   0.09365   -0.02823   0.99002   -0.13938   0.09365   -0.02823   0.99002   -0.13938   99.87183
86   0.09373   -0.02908   0.98990   -0.13941   0.09373   -0.02908   0.98990   -0.13941   99.78333
87   0.09376   -0.02918   0.98987   -0.13987   0.09376   -0.02918   0.98987   -0.13987   99.79248
88   0.09373   -0.03018   0.98975   -0.14039   0.09373   -0.03018   0.98975   -0.14039   99.87183
89   0.09372   -0.03079   0.98981   -0.14020   0.09372   -0.03079   0.98981   -0.14020   99.84131
90   0.09363   -0.03107   0.98990   -0.13938   0.09363   -0.03107   0.98990   -0.13938   99.79248
91   0.09361   -0.03034   0.98972   -0.14057   0.09361   -0.03034   0.98972   -0.14057   99.84131
92   0.09353   -0.03098   0.98962   -0.14148   0.09353   -0.03098   0.98962   -0.14148   99.89929
93   0.09349   -0.03119   0.98981   -0.14042   0.09349   -0.03119   0.98981   -0.14042   99.80164
94   0.09346   -0.03088   0.98987   -0.13950   0.09346   -0.03088   0.98987   -0.13950   99.84131
95   0.09337   -0.02982   0.98978   -0.14023   0.09337   -0.02982   0.98978   -0.14023   99.93896
96   0.09345   -0.03027   0.98984   -0.13996   0.09345   -0.03027   0.98984   -0.13996   99.83215
97   0.09347   -0.03000   0.98975   -0.14005   0.09347   -0.03000   0.98975   -0.14005   99.81384
98   0.09353   -0.03000   0.98984   -0.13987   0.09353   -0.03000   0.98984   -0.13987   99.87183
99   0.09344   -0.02997   0.98996   -0.13913   0.09344   -0.02997   0.98996   -0.13913   99.88098
100   0.09352   -0.02976   0.98975   -0.14039   0.09352   -0.02976   0.98975   -0.14039   99.80164
101   0.09339   -0.02954   0.98972   -0.14051   0.09339   -0.02954   0.98972   -0.14051   99.89014
102   0.09354   -0.02985   0.98972   -0.14069   0.09354   -0.02985   0.98972   -0.14069   99.89929
103   0.09377   -0.02954   0.98999   -0.13849   0.09377   -0.02954   0.98999   -0.13849   99.79248
104   0.09382   -0.02881   0.98987   -0.13956   0.09382   -0.02881   0.98987   -0.13956   99.83215
105   0.09373   -0.02951   0.98981   -0.14026   0.09373   -0.02951   0.98981   -0.14026   99.89014
106   0.09369   -0.02799   0.98993   -0.14002   0.09369   -0.02799   0.98993   -0.14002   99.85046
107   0.09388   -0.02918   0.98996   -0.13889   0.09388   -0.02918   0.98996   -0.13889   99.75586
108   0.09378   -0.02942   0.98987   -0.13959   0.09378   -0.02942   0.98987   -0.13959   99.85352
109   0.09371   -0.03058   0.98981   -0.14017   0.09371   -0.03058   0.98981   -0.14017   99.89014
110   0.09369   -0.02957   0.99002   -0.13862   0.09369   -0.02957   0.99002   -0.13862   99.82300
