Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 11:46:10 4/15/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,6,0)
Index      S0(mW)      S1      Elipticity        Azimuth      S0(mW)      S1      S2      S3      DOP
1   0.08429   0.58440   0.47100   -3.25775   0.08429   0.58440   -0.06674   0.80877   98.53210
2   0.08439   0.58367   0.47147   -3.27363   0.08439   0.58367   -0.06699   0.80941   98.46802
3   0.08442   0.58345   0.47158   -3.27482   0.08442   0.58345   -0.06699   0.80950   98.41614
4   0.08439   0.58477   0.47085   -3.25130   0.08439   0.58477   -0.06665   0.80874   98.41309
5   0.08440   0.58303   0.47184   -3.26980   0.08440   0.58303   -0.06684   0.80978   98.53516
6   0.08454   0.58293   0.47187   -3.28067   0.08454   0.58293   -0.06705   0.80978   98.48328
7   0.08464   0.58367   0.47154   -3.23075   0.08464   0.58367   -0.06610   0.80950   98.43140
8   0.08457   0.58364   0.47146   -3.30189   0.08457   0.58364   -0.06757   0.80941   98.50464
9   0.08464   0.58293   0.47192   -3.28215   0.08464   0.58293   -0.06708   0.80996   98.45276
10   0.08462   0.58376   0.47140   -3.27756   0.08462   0.58376   -0.06708   0.80932   98.40698
11   0.08456   0.58324   0.47171   -3.29376   0.08456   0.58324   -0.06735   0.80969   98.44971
12   0.08464   0.58412   0.47112   -3.29915   0.08464   0.58412   -0.06757   0.80892   98.48328
13   0.08457   0.58382   0.47144   -3.24913   0.08457   0.58382   -0.06650   0.80944   98.46191
14   0.08455   0.58312   0.47175   -3.31368   0.08455   0.58312   -0.06775   0.80972   98.42834
15   0.08453   0.58330   0.47171   -3.25052   0.08453   0.58330   -0.06647   0.80966   98.48328
16   0.08454   0.58303   0.47188   -3.27720   0.08454   0.58303   -0.06699   0.80993   98.36426
17   0.08442   0.58272   0.47197   -3.31295   0.08442   0.58272   -0.06769   0.80993   98.46802
18   0.08438   0.58309   0.47183   -3.28574   0.08438   0.58309   -0.06717   0.80987   98.44666
19   0.08435   0.58306   0.47177   -3.33769   0.08435   0.58306   -0.06824   0.80978   98.44666
20   0.08433   0.58205   0.47242   -3.28858   0.08433   0.58205   -0.06711   0.81045   98.43445
21   0.08429   0.58263   0.47204   -3.31643   0.08429   0.58263   -0.06775   0.81005   98.45581
22   0.08414   0.58257   0.47211   -3.30345   0.08414   0.58257   -0.06748   0.81014   98.51990
23   0.08422   0.58223   0.47232   -3.28459   0.08422   0.58223   -0.06705   0.81036   98.46497
24   0.08425   0.58467   0.47083   -3.29461   0.08425   0.58467   -0.06754   0.80868   98.38867
25   0.08419   0.58367   0.47136   -3.35787   0.08419   0.58367   -0.06873   0.80932   98.47717
26   0.08423   0.58373   0.47136   -3.30433   0.08423   0.58373   -0.06763   0.80923   98.56262
27   0.08457   0.58296   0.47181   -3.34265   0.08457   0.58296   -0.06833   0.80981   98.41919
28   0.08461   0.58266   0.47204   -3.28961   0.08461   0.58266   -0.06720   0.80999   98.46191
29   0.08464   0.58303   0.47177   -3.35709   0.08464   0.58303   -0.06864   0.80981   98.46191
30   0.08472   0.58348   0.47150   -3.31901   0.08472   0.58348   -0.06790   0.80941   98.41003
31   0.08469   0.58284   0.47193   -3.30634   0.08469   0.58284   -0.06757   0.80993   98.44055
32   0.08460   0.58391   0.47122   -3.32103   0.08460   0.58391   -0.06800   0.80905   98.49548
33   0.08476   0.58367   0.47144   -3.29285   0.08476   0.58367   -0.06738   0.80938   98.44360
34   0.08485   0.58473   0.47077   -3.28836   0.08485   0.58473   -0.06742   0.80856   98.47717
35   0.08471   0.58367   0.47144   -3.29137   0.08471   0.58367   -0.06735   0.80935   98.51685
36   0.08462   0.58394   0.47125   -3.28984   0.08462   0.58394   -0.06735   0.80908   98.49548
37   0.08469   0.58309   0.47179   -3.31385   0.08469   0.58309   -0.06775   0.80984   98.35510
38   0.08457   0.58443   0.47096   -3.28416   0.08457   0.58443   -0.06729   0.80877   98.42834
39   0.08450   0.58373   0.47135   -3.32207   0.08450   0.58373   -0.06800   0.80923   98.47107
40   0.08448   0.58345   0.47158   -3.29256   0.08448   0.58345   -0.06735   0.80956   98.48022
41   0.08457   0.58409   0.47115   -3.30080   0.08457   0.58409   -0.06760   0.80898   98.40698
42   0.08440   0.58443   0.47101   -3.27973   0.08440   0.58443   -0.06720   0.80892   98.43750
43   0.08437   0.58434   0.47100   -3.30091   0.08437   0.58434   -0.06763   0.80883   98.41309
44   0.08438   0.58376   0.47145   -3.24503   0.08438   0.58376   -0.06641   0.80938   98.48022
45   0.08436   0.58452   0.47095   -3.29103   0.08436   0.58452   -0.06745   0.80886   98.34900
46   0.08428   0.58351   0.47155   -3.27300   0.08428   0.58351   -0.06696   0.80947   98.53210
47   0.08440   0.58333   0.47172   -3.25331   0.08440   0.58333   -0.06653   0.80972   98.41614
48   0.08438   0.58266   0.47207   -3.28220   0.08438   0.58266   -0.06705   0.81008   98.46802
49   0.08447   0.58406   0.47123   -3.26256   0.08447   0.58406   -0.06681   0.80911   98.47107
50   0.08450   0.58293   0.47201   -3.22589   0.08450   0.58293   -0.06592   0.81008   98.48022
51   0.08457   0.58330   0.47173   -3.24756   0.08457   0.58330   -0.06641   0.80972   98.38562
52   0.08443   0.58412   0.47123   -3.22824   0.08443   0.58412   -0.06610   0.80908   98.52295
53   0.08447   0.58516   0.47064   -3.21813   0.08447   0.58516   -0.06601   0.80847   98.41614
54   0.08444   0.58354   0.47158   -3.24917   0.08444   0.58354   -0.06647   0.80953   98.34900
55   0.08451   0.58400   0.47128   -3.27472   0.08451   0.58400   -0.06705   0.80923   98.37341
56   0.08440   0.58361   0.47157   -3.23848   0.08440   0.58361   -0.06626   0.80956   98.53516
57   0.08442   0.58440   0.47106   -3.26070   0.08442   0.58440   -0.06681   0.80898   98.46802
58   0.08441   0.58394   0.47137   -3.22185   0.08441   0.58394   -0.06595   0.80929   98.37036
59   0.08431   0.58348   0.47160   -3.25838   0.08431   0.58348   -0.06665   0.80956   98.40088
60   0.08422   0.58510   0.47069   -3.21847   0.08422   0.58510   -0.06601   0.80856   98.51990
61   0.08433   0.58391   0.47135   -3.24863   0.08433   0.58391   -0.06650   0.80926   98.41309
62   0.08433   0.58361   0.47156   -3.24883   0.08433   0.58361   -0.06647   0.80956   98.40393
63   0.08427   0.58394   0.47129   -3.26619   0.08427   0.58394   -0.06687   0.80917   98.45581
64   0.08437   0.58293   0.47194   -3.27475   0.08437   0.58293   -0.06693   0.80999   98.45886
65   0.08431   0.58214   0.47241   -3.26138   0.08431   0.58214   -0.06656   0.81045   98.43445
66   0.08437   0.58361   0.47148   -3.27249   0.08437   0.58361   -0.06696   0.80935   98.46802
67   0.08431   0.58330   0.47167   -3.27271   0.08431   0.58330   -0.06693   0.80956   98.46802
68   0.08443   0.58226   0.47230   -3.27701   0.08443   0.58226   -0.06690   0.81030   98.41614
69   0.08446   0.58300   0.47186   -3.30401   0.08446   0.58300   -0.06754   0.80990   98.44971
70   0.08454   0.58309   0.47181   -3.29166   0.08454   0.58309   -0.06729   0.80981   98.49243
71   0.08464   0.58321   0.47175   -3.27026   0.08464   0.58321   -0.06687   0.80972   98.43140
72   0.08464   0.58275   0.47202   -3.26836   0.08464   0.58275   -0.06677   0.80999   98.41919
73   0.08456   0.58357   0.47138   -3.34953   0.08456   0.58357   -0.06854   0.80923   98.46191
74   0.08460   0.58367   0.47142   -3.31650   0.08460   0.58367   -0.06787   0.80938   98.50464
75   0.08465   0.58357   0.47155   -3.26970   0.08465   0.58357   -0.06690   0.80953   98.41003
76   0.08469   0.58312   0.47179   -3.29000   0.08469   0.58312   -0.06726   0.80978   98.44055
77   0.08457   0.58382   0.47135   -3.28165   0.08457   0.58382   -0.06717   0.80923   98.47107
78   0.08462   0.58330   0.47169   -3.27271   0.08462   0.58330   -0.06693   0.80966   98.44971
79   0.08470   0.58327   0.47165   -3.32317   0.08470   0.58327   -0.06796   0.80963   98.41919
80   0.08450   0.58415   0.47113   -3.30784   0.08450   0.58415   -0.06775   0.80905   98.51379
81   0.08449   0.58486   0.47071   -3.28768   0.08449   0.58486   -0.06742   0.80853   98.50159
82   0.08448   0.58446   0.47091   -3.30613   0.08448   0.58446   -0.06775   0.80871   98.45886
83   0.08442   0.58516   0.47055   -3.25796   0.08442   0.58516   -0.06684   0.80831   98.46802
84   0.08440   0.58516   0.47050   -3.29778   0.08440   0.58516   -0.06766   0.80825   98.50159
85   0.08446   0.58455   0.47088   -3.28643   0.08446   0.58455   -0.06735   0.80868   98.49243
86   0.08443   0.58507   0.47057   -3.27617   0.08443   0.58507   -0.06720   0.80831   98.44666
87   0.08431   0.58547   0.47028   -3.31670   0.08431   0.58547   -0.06809   0.80801   98.44666
88   0.08437   0.58556   0.47031   -3.27199   0.08437   0.58556   -0.06717   0.80807   98.44666
89   0.08440   0.58446   0.47088   -3.32384   0.08440   0.58446   -0.06812   0.80868   98.46802
90   0.08443   0.58596   0.46996   -3.31249   0.08443   0.58596   -0.06806   0.80758   98.45886
91   0.08447   0.58507   0.47047   -3.35136   0.08447   0.58507   -0.06876   0.80819   98.53516
92   0.08464   0.58446   0.47089   -3.33417   0.08464   0.58446   -0.06833   0.80874   98.45276
93   0.08457   0.58397   0.47120   -3.31773   0.08457   0.58397   -0.06793   0.80905   98.47107
94   0.08456   0.58565   0.47016   -3.33482   0.08456   0.58565   -0.06848   0.80789   98.47107
95   0.08465   0.58528   0.47036   -3.32657   0.08465   0.58528   -0.06827   0.80804   98.51685
96   0.08473   0.58470   0.47073   -3.33132   0.08473   0.58470   -0.06830   0.80853   98.47412
97   0.08471   0.58547   0.47020   -3.37121   0.08471   0.58547   -0.06922   0.80792   98.41003
98   0.08451   0.58403   0.47118   -3.31296   0.08451   0.58403   -0.06784   0.80905   98.49243
99   0.08464   0.58391   0.47123   -3.32103   0.08464   0.58391   -0.06800   0.80908   98.45276
100   0.08462   0.58348   0.47144   -3.36778   0.08462   0.58348   -0.06891   0.80935   98.40698
101   0.08450   0.58391   0.47122   -3.33137   0.08450   0.58391   -0.06821   0.80908   98.49243
102   0.08451   0.58284   0.47189   -3.33150   0.08451   0.58284   -0.06809   0.80990   98.45886
103   0.08446   0.58351   0.47152   -3.29962   0.08446   0.58351   -0.06751   0.80944   98.43750
104   0.08437   0.58379   0.47130   -3.33354   0.08437   0.58379   -0.06824   0.80920   98.46802
105   0.08439   0.58315   0.47169   -3.34457   0.08439   0.58315   -0.06839   0.80966   98.44666
106   0.08440   0.58300   0.47185   -3.27441   0.08440   0.58300   -0.06693   0.80978   98.41614
107   0.08428   0.58309   0.47174   -3.32864   0.08428   0.58309   -0.06806   0.80972   98.51074
108   0.08422   0.58345   0.47157   -3.29996   0.08422   0.58345   -0.06751   0.80953   98.49854
109   0.08424   0.58339   0.47160   -3.29882   0.08424   0.58339   -0.06748   0.80956   98.40088
110   0.08426   0.58315   0.47170   -3.32386   0.08426   0.58315   -0.06796   0.80963   98.44360
111   0.08424   0.58336   0.47158   -3.32265   0.08424   0.58336   -0.06796   0.80953   98.48633
112   0.08429   0.58339   0.47156   -3.32248   0.08429   0.58339   -0.06796   0.80950   98.45581
113   0.08443   0.58409   0.47110   -3.33034   0.08443   0.58409   -0.06821   0.80892   98.40393
114   0.08444   0.58415   0.47104   -3.34919   0.08444   0.58415   -0.06861   0.80886   98.45886
115   0.08434   0.58464   0.47082   -3.27116   0.08434   0.58464   -0.06705   0.80856   98.48938
116   0.08441   0.58403   0.47108   -3.36908   0.08441   0.58403   -0.06900   0.80889   98.46802
117   0.08440   0.58480   0.47065   -3.33965   0.08440   0.58480   -0.06848   0.80840   98.48938
118   0.08444   0.58525   0.47038   -3.33559   0.08444   0.58525   -0.06845   0.80810   98.47107
119   0.08453   0.58504   0.47045   -3.36480   0.08453   0.58504   -0.06903   0.80813   98.48328
120   0.08442   0.58547   0.47025   -3.32849   0.08442   0.58547   -0.06833   0.80795   98.46802
121   0.08445   0.58483   0.47060   -3.37487   0.08445   0.58483   -0.06922   0.80837   98.53516
122   0.08441   0.58562   0.47016   -3.33499   0.08441   0.58562   -0.06848   0.80786   98.54431
123   0.08449   0.58513   0.47037   -3.38638   0.08449   0.58513   -0.06949   0.80807   98.41614
124   0.08439   0.58568   0.46999   -3.40384   0.08439   0.58568   -0.06992   0.80758   98.42529
125   0.08427   0.58611   0.46977   -3.39697   0.08427   0.58611   -0.06983   0.80740   98.49854
126   0.08432   0.58611   0.46970   -3.42933   0.08432   0.58611   -0.07050   0.80728   98.50159
127   0.08434   0.58562   0.47005   -3.41450   0.08434   0.58562   -0.07013   0.80773   98.42529
128   0.08433   0.58614   0.46968   -3.45414   0.08433   0.58614   -0.07102   0.80734   98.45581
129   0.08427   0.58568   0.47009   -3.37735   0.08427   0.58568   -0.06937   0.80786   98.49854
130   0.08444   0.58583   0.46979   -3.46475   0.08444   0.58583   -0.07120   0.80734   98.48022
131   0.08447   0.58705   0.46916   -3.40477   0.08447   0.58705   -0.07010   0.80667   98.44971
132   0.08447   0.58568   0.47003   -3.39796   0.08447   0.58568   -0.06980   0.80770   98.57788
133   0.08452   0.58611   0.46972   -3.41021   0.08452   0.58611   -0.07010   0.80731   98.47107
134   0.08468   0.58425   0.47080   -3.47554   0.08468   0.58425   -0.07123   0.80862   98.38867
135   0.08456   0.58495   0.47044   -3.42133   0.08456   0.58495   -0.07019   0.80816   98.49243
136   0.08454   0.58605   0.46975   -3.41497   0.08454   0.58605   -0.07019   0.80734   98.48328
137   0.08464   0.58464   0.47062   -3.44668   0.08464   0.58464   -0.07068   0.80844   98.47412
138   0.08462   0.58412   0.47095   -3.42906   0.08462   0.58412   -0.07025   0.80880   98.51685
139   0.08461   0.58461   0.47056   -3.47634   0.08461   0.58461   -0.07129   0.80831   98.56873
140   0.08467   0.58443   0.47080   -3.42139   0.08467   0.58443   -0.07013   0.80868   98.46191
141   0.08469   0.58556   0.47013   -3.39277   0.08469   0.58556   -0.06967   0.80786   98.43140
142   0.08454   0.58550   0.47006   -3.44611   0.08454   0.58550   -0.07077   0.80773   98.50464
143   0.08452   0.58440   0.47074   -3.45253   0.08452   0.58440   -0.07077   0.80853   98.48328
144   0.08454   0.58354   0.47127   -3.45163   0.08454   0.58354   -0.07065   0.80917   98.41614
145   0.08430   0.58492   0.47037   -3.48779   0.08430   0.58492   -0.07157   0.80813   98.45581
146   0.08420   0.58480   0.47046   -3.46200   0.08420   0.58480   -0.07102   0.80816   98.56262
147   0.08424   0.58516   0.47018   -3.49666   0.08424   0.58516   -0.07178   0.80786   98.44360
148   0.08411   0.58446   0.47064   -3.49197   0.08411   0.58446   -0.07160   0.80840   98.52905
149   0.08412   0.58577   0.46984   -3.47393   0.08412   0.58577   -0.07138   0.80746   98.50769
150   0.08418   0.58565   0.46995   -3.45405   0.08418   0.58565   -0.07096   0.80758   98.50769
151   0.08420   0.58547   0.47004   -3.47425   0.08420   0.58547   -0.07135   0.80770   98.46497
152   0.08411   0.58507   0.47031   -3.46628   0.08411   0.58507   -0.07114   0.80804   98.55042
153   0.08422   0.58528   0.47023   -3.44883   0.08422   0.58528   -0.07080   0.80801   98.41003
154   0.08438   0.58568   0.46994   -3.43622   0.08438   0.58568   -0.07059   0.80755   98.41309
155   0.08436   0.58531   0.47023   -3.41184   0.08436   0.58531   -0.07004   0.80792   98.45886
156   0.08442   0.58592   0.46982   -3.44068   0.08442   0.58592   -0.07071   0.80749   98.50159
157   0.08443   0.58510   0.47030   -3.44548   0.08443   0.58510   -0.07071   0.80798   98.45886
158   0.08455   0.58599   0.46983   -3.42268   0.08455   0.58599   -0.07035   0.80755   98.36426
159   0.08452   0.58528   0.47022   -3.44736   0.08452   0.58528   -0.07077   0.80798   98.50464
160   0.08464   0.58473   0.47058   -3.41962   0.08464   0.58473   -0.07013   0.80834   98.52600
161   0.08467   0.58516   0.47031   -3.41273   0.08467   0.58516   -0.07004   0.80798   98.46191
162   0.08466   0.58550   0.47010   -3.44170   0.08466   0.58550   -0.07068   0.80786   98.38562
163   0.08460   0.58470   0.47063   -3.41390   0.08460   0.58470   -0.07001   0.80844   98.50464
164   0.08458   0.58431   0.47082   -3.44569   0.08458   0.58431   -0.07062   0.80865   98.47107
165   0.08454   0.58528   0.47023   -3.40760   0.08454   0.58528   -0.06995   0.80789   98.46191
166   0.08453   0.58492   0.47052   -3.38171   0.08453   0.58492   -0.06937   0.80825   98.49243
167   0.08456   0.58586   0.46986   -3.42927   0.08456   0.58586   -0.07047   0.80749   98.51379
168   0.08454   0.58513   0.47033   -3.40554   0.08454   0.58513   -0.06989   0.80801   98.48328
169   0.08456   0.58611   0.46966   -3.47784   0.08456   0.58611   -0.07150   0.80731   98.44971
170   0.08449   0.58565   0.46997   -3.45258   0.08449   0.58565   -0.07093   0.80764   98.53516
171   0.08463   0.58596   0.46980   -3.43315   0.08463   0.58596   -0.07056   0.80743   98.44055
172   0.08446   0.58541   0.47007   -3.47461   0.08446   0.58541   -0.07135   0.80773   98.48022
173   0.08439   0.58574   0.46994   -3.42409   0.08439   0.58574   -0.07035   0.80758   98.56567
174   0.08451   0.58547   0.47007   -3.46101   0.08451   0.58547   -0.07108   0.80776   98.47107
175   0.08455   0.58580   0.46985   -3.48111   0.08455   0.58580   -0.07154   0.80755   98.37341
176   0.08464   0.58541   0.47023   -3.38334   0.08464   0.58541   -0.06946   0.80798   98.50464
177   0.08455   0.58486   0.47039   -3.48668   0.08455   0.58486   -0.07154   0.80810   98.53516
178   0.08476   0.58422   0.47086   -3.44180   0.08476   0.58422   -0.07053   0.80865   98.49548
179   0.08470   0.58477   0.47047   -3.46512   0.08470   0.58477   -0.07108   0.80816   98.47412
180   0.08454   0.58507   0.47032   -3.44566   0.08454   0.58507   -0.07071   0.80801   98.49243
181   0.08455   0.58361   0.47121   -3.46161   0.08455   0.58361   -0.07086   0.80908   98.48328
182   0.08453   0.58553   0.47006   -3.46065   0.08453   0.58553   -0.07108   0.80782   98.45886
183   0.08448   0.58483   0.47051   -3.45593   0.08448   0.58483   -0.07089   0.80834   98.44971
184   0.08450   0.58391   0.47113   -3.41407   0.08450   0.58391   -0.06992   0.80905   98.44971
185   0.08452   0.58345   0.47134   -3.43888   0.08452   0.58345   -0.07038   0.80923   98.43750
186   0.08430   0.58391   0.47106   -3.42883   0.08430   0.58391   -0.07022   0.80886   98.46802
187   0.08419   0.58458   0.47067   -3.43525   0.08419   0.58458   -0.07044   0.80850   98.50769
188   0.08416   0.58498   0.47034   -3.49185   0.08416   0.58498   -0.07166   0.80813   98.43140
189   0.08421   0.58522   0.47026   -3.42121   0.08421   0.58522   -0.07022   0.80795   98.44360
190   0.08413   0.58449   0.47064   -3.47116   0.08413   0.58449   -0.07117   0.80837   98.46497
191   0.08410   0.58339   0.47129   -3.50716   0.08410   0.58339   -0.07178   0.80920   98.45276
192   0.08415   0.58461   0.47059   -3.46897   0.08415   0.58461   -0.07114   0.80837   98.44360
193   0.08404   0.58446   0.47070   -3.47281   0.08404   0.58446   -0.07120   0.80856   98.52905
194   0.08403   0.58528   0.47009   -3.50035   0.08403   0.58528   -0.07187   0.80770   98.58093
195   0.08422   0.58480   0.47048   -3.46936   0.08422   0.58480   -0.07117   0.80825   98.48633
196   0.08421   0.58470   0.47050   -3.49642   0.08421   0.58470   -0.07172   0.80828   98.46497
197   0.08422   0.58565   0.46994   -3.47906   0.08422   0.58565   -0.07147   0.80764   98.49854
198   0.08442   0.58568   0.46993   -3.47300   0.08442   0.58568   -0.07135   0.80764   98.51379
199   0.08452   0.58641   0.46944   -3.49368   0.08452   0.58641   -0.07187   0.80703   98.41614
200   0.08453   0.58574   0.46987   -3.49029   0.08453   0.58574   -0.07172   0.80755   98.45886
201   0.08454   0.58718   0.46902   -3.46424   0.08454   0.58718   -0.07135   0.80657   98.49243
202   0.08461   0.58538   0.47010   -3.48804   0.08461   0.58538   -0.07163   0.80782   98.42834
203   0.08469   0.58681   0.46922   -3.47813   0.08469   0.58681   -0.07160   0.80679   98.48633
204   0.08466   0.58669   0.46926   -3.49793   0.08466   0.58669   -0.07199   0.80682   98.48328
205   0.08477   0.58574   0.46987   -3.46087   0.08477   0.58574   -0.07111   0.80746   98.48633
206   0.08467   0.58605   0.46961   -3.51053   0.08467   0.58605   -0.07218   0.80718   98.45276
207   0.08454   0.58712   0.46898   -3.49688   0.08454   0.58712   -0.07202   0.80645   98.59009
208   0.08454   0.58513   0.47026   -3.48212   0.08454   0.58513   -0.07147   0.80801   98.51379
209   0.08449   0.58623   0.46953   -3.51239   0.08449   0.58623   -0.07224   0.80715   98.39478
210   0.08450   0.58644   0.46943   -3.47587   0.08450   0.58644   -0.07150   0.80700   98.49243
211   0.08441   0.58751   0.46870   -3.52532   0.08441   0.58751   -0.07266   0.80615   98.51379
212   0.08453   0.58626   0.46946   -3.52690   0.08453   0.58626   -0.07254   0.80703   98.47107
213   0.08456   0.58666   0.46921   -3.52747   0.08456   0.58666   -0.07260   0.80673   98.40698
214   0.08448   0.58641   0.46932   -3.56269   0.08448   0.58641   -0.07331   0.80688   98.50159
215   0.08444   0.58708   0.46896   -3.52199   0.08444   0.58708   -0.07254   0.80645   98.54431
216   0.08451   0.58684   0.46909   -3.55279   0.08451   0.58684   -0.07315   0.80667   98.41614
217   0.08446   0.58730   0.46879   -3.56178   0.08446   0.58730   -0.07340   0.80630   98.44971
218   0.08440   0.58733   0.46882   -3.51175   0.08440   0.58733   -0.07236   0.80627   98.51074
219   0.08458   0.58498   0.47031   -3.51246   0.08458   0.58498   -0.07208   0.80810   98.46191
220   0.08459   0.58620   0.46953   -3.51551   0.08459   0.58620   -0.07230   0.80712   98.49548
221   0.08457   0.58638   0.46944   -3.49679   0.08457   0.58638   -0.07193   0.80700   98.54736
222   0.08464   0.58498   0.47030   -3.51246   0.08464   0.58498   -0.07208   0.80804   98.45276
223   0.08464   0.58620   0.46947   -3.55223   0.08464   0.58620   -0.07306   0.80706   98.44055
224   0.08456   0.58690   0.46911   -3.50254   0.08456   0.58690   -0.07212   0.80663   98.48328
225   0.08456   0.58525   0.47008   -3.53143   0.08456   0.58525   -0.07251   0.80776   98.48328
226   0.08469   0.58571   0.46980   -3.52135   0.08469   0.58571   -0.07236   0.80740   98.41919
227   0.08461   0.58644   0.46934   -3.53315   0.08461   0.58644   -0.07270   0.80688   98.40698
228   0.08455   0.58525   0.47017   -3.47109   0.08455   0.58525   -0.07126   0.80786   98.51379
229   0.08462   0.58470   0.47048   -3.48758   0.08462   0.58470   -0.07154   0.80819   98.48328
230   0.08445   0.58428   0.47073   -3.52254   0.08445   0.58428   -0.07221   0.80856   98.38257
231   0.08435   0.58486   0.47034   -3.52202   0.08435   0.58486   -0.07227   0.80804   98.48022
232   0.08440   0.58467   0.47053   -3.45829   0.08440   0.58467   -0.07093   0.80822   98.52295
233   0.08445   0.58394   0.47087   -3.53486   0.08445   0.58394   -0.07242   0.80862   98.49243
234   0.08437   0.58409   0.47091   -3.47054   0.08437   0.58409   -0.07111   0.80874   98.46802
235   0.08426   0.58376   0.47104   -3.51088   0.08426   0.58376   -0.07190   0.80886   98.54126
236   0.08434   0.58376   0.47107   -3.49318   0.08434   0.58376   -0.07154   0.80889   98.42529
237   0.08427   0.58443   0.47067   -3.50247   0.08427   0.58443   -0.07181   0.80850   98.45581
238   0.08418   0.58452   0.47067   -3.44592   0.08418   0.58452   -0.07065   0.80844   98.51990
239   0.08431   0.58440   0.47067   -3.48791   0.08431   0.58440   -0.07150   0.80840   98.47717
240   0.08436   0.58513   0.47027   -3.46592   0.08436   0.58513   -0.07114   0.80801   98.42529
241   0.08444   0.58522   0.47020   -3.46244   0.08444   0.58522   -0.07108   0.80789   98.48022
242   0.08444   0.58592   0.46971   -3.50685   0.08444   0.58592   -0.07208   0.80734   98.52295
243   0.08457   0.58458   0.47049   -3.54134   0.08457   0.58458   -0.07263   0.80825   98.46191
244   0.08443   0.58589   0.46971   -3.50703   0.08443   0.58589   -0.07208   0.80731   98.45886
245   0.08435   0.58538   0.46998   -3.55277   0.08435   0.58538   -0.07297   0.80764   98.48938
246   0.08444   0.58580   0.46982   -3.48846   0.08444   0.58580   -0.07169   0.80749   98.42529
247   0.08446   0.58702   0.46910   -3.45633   0.08446   0.58702   -0.07117   0.80660   98.42529
248   0.08440   0.58647   0.46933   -3.52415   0.08440   0.58647   -0.07251   0.80688   98.57788
249   0.08438   0.58763   0.46865   -3.50408   0.08438   0.58763   -0.07224   0.80609   98.57788
250   0.08437   0.58724   0.46881   -3.53868   0.08437   0.58724   -0.07291   0.80621   98.48938
251   0.08434   0.58748   0.46868   -3.54602   0.08434   0.58748   -0.07309   0.80612   98.43445
252   0.08431   0.58644   0.46931   -3.55664   0.08431   0.58644   -0.07318   0.80688   98.48938
253   0.08432   0.58684   0.46919   -3.49409   0.08432   0.58684   -0.07193   0.80679   98.50159
254   0.08430   0.58699   0.46900   -3.54161   0.08430   0.58699   -0.07294   0.80651   98.47717
255   0.08425   0.58724   0.46882   -3.54455   0.08425   0.58724   -0.07303   0.80627   98.45581
256   0.08427   0.58690   0.46901   -3.56122   0.08427   0.58690   -0.07334   0.80651   98.53210
257   0.08434   0.58724   0.46889   -3.50642   0.08434   0.58724   -0.07224   0.80636   98.42529
258   0.08428   0.58794   0.46837   -3.55061   0.08428   0.58794   -0.07324   0.80572   98.49854
259   0.08426   0.58629   0.46943   -3.52231   0.08426   0.58629   -0.07245   0.80694   98.53210
260   0.08447   0.58571   0.46971   -3.59190   0.08447   0.58571   -0.07382   0.80734   98.45886
261   0.08452   0.58681   0.46911   -3.52656   0.08452   0.58681   -0.07260   0.80660   98.43750
262   0.08451   0.58785   0.46846   -3.52333   0.08451   0.58785   -0.07266   0.80581   98.56873
263   0.08462   0.58708   0.46892   -3.54253   0.08462   0.58708   -0.07297   0.80639   98.58093
264   0.08477   0.58589   0.46969   -3.53496   0.08477   0.58589   -0.07266   0.80734   98.40088
265   0.08477   0.58684   0.46909   -3.52931   0.08477   0.58684   -0.07266   0.80657   98.43140
266   0.08462   0.58605   0.46958   -3.54580   0.08462   0.58605   -0.07291   0.80718   98.48328
267   0.08468   0.58553   0.46991   -3.54597   0.08468   0.58553   -0.07285   0.80761   98.45276
268   0.08455   0.58614   0.46954   -3.53203   0.08455   0.58614   -0.07263   0.80712   98.48328
