Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 11:46:31 4/15/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,6,0)
Index      S0(mW)      S1      Elipticity        Azimuth      S0(mW)      S1      S2      S3      DOP
1   0.08425   0.58083   0.47331   -3.21370   0.08425   0.58083   -0.06543   0.81155   98.47717
2   0.08438   0.58089   0.47330   -3.19405   0.08438   0.58089   -0.06503   0.81152   98.39172
3   0.08426   0.58010   0.47372   -3.21922   0.08426   0.58010   -0.06546   0.81194   98.45581
4   0.08430   0.58022   0.47368   -3.21110   0.08430   0.58022   -0.06531   0.81194   98.51990
5   0.08457   0.57958   0.47403   -3.23697   0.08457   0.57958   -0.06577   0.81234   98.35205
6   0.08456   0.58028   0.47364   -3.23606   0.08456   0.58028   -0.06583   0.81198   98.40698
7   0.08448   0.58025   0.47357   -3.27936   0.08448   0.58025   -0.06671   0.81182   98.47107
8   0.08452   0.57918   0.47423   -3.30025   0.08452   0.57918   -0.06702   0.81268   98.44971
9   0.08457   0.57964   0.47399   -3.26790   0.08457   0.57964   -0.06641   0.81237   98.34290
10   0.08460   0.58013   0.47372   -3.23542   0.08460   0.58013   -0.06580   0.81204   98.40698
11   0.08448   0.58019   0.47359   -3.27524   0.08448   0.58019   -0.06662   0.81179   98.52600
12   0.08455   0.58156   0.47271   -3.31505   0.08455   0.58156   -0.06760   0.81085   98.42834
13   0.08462   0.58190   0.47252   -3.28202   0.08462   0.58190   -0.06696   0.81054   98.44055
14   0.08447   0.58251   0.47213   -3.31712   0.08447   0.58251   -0.06775   0.81017   98.48022
15   0.08447   0.58232   0.47229   -3.30334   0.08447   0.58232   -0.06745   0.81042   98.50159
16   0.08431   0.58180   0.47261   -3.29143   0.08431   0.58180   -0.06714   0.81075   98.51074
17   0.08426   0.58217   0.47235   -3.28197   0.08426   0.58217   -0.06699   0.81036   98.47717
18   0.08423   0.58306   0.47178   -3.31402   0.08423   0.58306   -0.06775   0.80975   98.53210
19   0.08436   0.58266   0.47204   -3.29997   0.08436   0.58266   -0.06742   0.81005   98.42529
20   0.08429   0.58415   0.47107   -3.33738   0.08429   0.58415   -0.06836   0.80892   98.49854
21   0.08419   0.58373   0.47132   -3.35014   0.08419   0.58373   -0.06858   0.80923   98.48633
22   0.08424   0.58345   0.47147   -3.36648   0.08424   0.58345   -0.06888   0.80941   98.38867
23   0.08429   0.58348   0.47151   -3.33231   0.08429   0.58348   -0.06818   0.80947   98.43445
24   0.08409   0.58357   0.47138   -3.36283   0.08409   0.58357   -0.06882   0.80926   98.57178
25   0.08429   0.58303   0.47172   -3.37040   0.08429   0.58303   -0.06891   0.80969   98.44666
26   0.08444   0.58351   0.47142   -3.36613   0.08444   0.58351   -0.06888   0.80932   98.46802
27   0.08453   0.58473   0.47062   -3.40930   0.08453   0.58473   -0.06992   0.80844   98.41614
28   0.08454   0.58321   0.47158   -3.37970   0.08454   0.58321   -0.06912   0.80950   98.60229
29   0.08466   0.58287   0.47181   -3.35796   0.08466   0.58287   -0.06864   0.80975   98.48328
30   0.08470   0.58330   0.47154   -3.38214   0.08470   0.58330   -0.06919   0.80950   98.37646
31   0.08465   0.58379   0.47133   -3.32468   0.08465   0.58379   -0.06806   0.80926   98.49548
32   0.08475   0.58394   0.47110   -3.39175   0.08475   0.58394   -0.06946   0.80892   98.47412
33   0.08474   0.58376   0.47123   -3.37360   0.08474   0.58376   -0.06906   0.80905   98.37646
34   0.08464   0.58361   0.47139   -3.35674   0.08464   0.58361   -0.06870   0.80932   98.43140
35   0.08464   0.58409   0.47113   -3.32591   0.08464   0.58409   -0.06812   0.80902   98.50464
36   0.08466   0.58345   0.47144   -3.38717   0.08466   0.58345   -0.06931   0.80938   98.41919
37   0.08454   0.58303   0.47171   -3.37484   0.08454   0.58303   -0.06900   0.80969   98.44971
38   0.08448   0.58318   0.47160   -3.38579   0.08448   0.58318   -0.06925   0.80953   98.52600
39   0.08451   0.58339   0.47154   -3.34318   0.08451   0.58339   -0.06839   0.80950   98.40698
40   0.08449   0.58232   0.47216   -3.36999   0.08449   0.58232   -0.06882   0.81021   98.44971
41   0.08427   0.58345   0.47141   -3.39456   0.08427   0.58345   -0.06946   0.80932   98.48938
42   0.08438   0.58327   0.47160   -3.37048   0.08438   0.58327   -0.06894   0.80963   98.44666
43   0.08444   0.58327   0.47154   -3.39709   0.08444   0.58327   -0.06949   0.80950   98.43750
44   0.08443   0.58379   0.47127   -3.35865   0.08443   0.58379   -0.06876   0.80917   98.38257
45   0.08433   0.58260   0.47200   -3.36397   0.08433   0.58260   -0.06873   0.81002   98.56567
46   0.08441   0.58138   0.47287   -3.28344   0.08441   0.58138   -0.06693   0.81103   98.48022
47   0.08445   0.58266   0.47197   -3.35326   0.08445   0.58266   -0.06851   0.80999   98.39478
48   0.08447   0.58184   0.47253   -3.31498   0.08447   0.58184   -0.06763   0.81060   98.51379
49   0.08459   0.58098   0.47311   -3.28566   0.08459   0.58098   -0.06693   0.81130   98.38562
50   0.08456   0.58092   0.47310   -3.33352   0.08456   0.58092   -0.06790   0.81133   98.41919
51   0.08453   0.58193   0.47250   -3.31595   0.08453   0.58193   -0.06766   0.81063   98.49243
52   0.08455   0.58193   0.47250   -3.30705   0.08455   0.58193   -0.06748   0.81060   98.48328
53   0.08462   0.58168   0.47265   -3.30101   0.08462   0.58168   -0.06732   0.81075   98.44055
54   0.08456   0.58162   0.47259   -3.37846   0.08456   0.58162   -0.06891   0.81072   98.50464
