Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 17:8:23 4/17/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09354   -0.09183   0.92486   0.36940   0.09354   -0.09183   0.92486   0.36940   99.14551
2   0.09338   -0.09021   0.92489   0.36961   0.09338   -0.09021   0.92489   0.36961   99.21265
3   0.09335   -0.09110   0.92453   0.37022   0.09335   -0.09110   0.92453   0.37022   99.11499
4   0.09342   -0.09070   0.92480   0.36998   0.09342   -0.09070   0.92480   0.36998   99.04785
5   0.09324   -0.09333   0.92471   0.36940   0.09324   -0.09333   0.92471   0.36940   99.14551
6   0.09334   -0.09348   0.92441   0.37013   0.09334   -0.09348   0.92441   0.37013   99.17603
7   0.09332   -0.09464   0.92404   0.37080   0.09332   -0.09464   0.92404   0.37080   99.09668
8   0.09336   -0.09363   0.92398   0.37095   0.09336   -0.09363   0.92398   0.37095   99.14551
9   0.09345   -0.09458   0.92447   0.36985   0.09345   -0.09458   0.92447   0.36985   99.22485
10   0.09359   -0.09601   0.92434   0.36976   0.09359   -0.09601   0.92434   0.36976   99.19739
11   0.09356   -0.09442   0.92450   0.36967   0.09356   -0.09442   0.92450   0.36967   99.15771
12   0.09360   -0.09442   0.92438   0.36982   0.09360   -0.09442   0.92438   0.36982   99.11804
13   0.09364   -0.09473   0.92441   0.36976   0.09364   -0.09473   0.92441   0.36976   99.19739
14   0.09371   -0.09430   0.92462   0.36943   0.09371   -0.09430   0.92462   0.36943   99.15771
15   0.09373   -0.09555   0.92419   0.37004   0.09373   -0.09555   0.92419   0.37004   99.16687
16   0.09368   -0.09363   0.92483   0.36900   0.09368   -0.09363   0.92483   0.36900   99.10889
17   0.09379   -0.09366   0.92434   0.37025   0.09379   -0.09366   0.92434   0.37025   99.04175
18   0.09372   -0.09305   0.92434   0.37037   0.09372   -0.09305   0.92434   0.37037   99.13025
19   0.09355   -0.09467   0.92465   0.36915   0.09355   -0.09467   0.92465   0.36915   99.22485
20   0.09356   -0.09326   0.92489   0.36894   0.09356   -0.09326   0.92489   0.36894   99.19739
21   0.09356   -0.09262   0.92502   0.36879   0.09356   -0.09262   0.92502   0.36879   99.02039
22   0.09344   -0.09357   0.92474   0.36900   0.09344   -0.09357   0.92474   0.36900   99.19434
23   0.09346   -0.09427   0.92477   0.36885   0.09346   -0.09427   0.92477   0.36885   99.14551
24   0.09354   -0.09403   0.92447   0.36991   0.09354   -0.09403   0.92447   0.36991   99.03870
25   0.09342   -0.09430   0.92444   0.36979   0.09342   -0.09430   0.92444   0.36979   99.12720
26   0.09334   -0.09427   0.92471   0.36927   0.09334   -0.09427   0.92471   0.36927   99.20349
27   0.09334   -0.09522   0.92462   0.36918   0.09334   -0.09522   0.92462   0.36918   99.19434
28   0.09338   -0.09516   0.92450   0.36933   0.09338   -0.09516   0.92450   0.36933   99.13635
29   0.09342   -0.09537   0.92468   0.36869   0.09342   -0.09537   0.92468   0.36869   99.12720
30   0.09343   -0.09619   0.92477   0.36851   0.09343   -0.09619   0.92477   0.36851   99.19434
31   0.09366   -0.09650   0.92416   0.36982   0.09366   -0.09650   0.92416   0.36982   99.19739
32   0.09365   -0.09659   0.92438   0.36924   0.09365   -0.09659   0.92438   0.36924   99.09973
