Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09234   0.01572   -0.97238   -0.23316   0.09234   0.01572   -0.97238   -0.23316   101.12915
2   0.09229   0.01541   -0.97229   -0.23328   0.09229   0.01541   -0.97229   -0.23328   101.13831
3   0.09224   0.01532   -0.97220   -0.23365   0.09224   0.01532   -0.97220   -0.23365   101.20850
4   0.09225   0.01425   -0.97247   -0.23304   0.09225   0.01425   -0.97247   -0.23304   101.15051
5   0.09237   0.01328   -0.97217   -0.23432   0.09237   0.01328   -0.97217   -0.23432   101.05896
6   0.09226   0.01254   -0.97214   -0.23411   0.09226   0.01254   -0.97214   -0.23411   101.15967
7   0.09219   0.01135   -0.97217   -0.23426   0.09219   0.01135   -0.97217   -0.23426   101.22986
8   0.09208   0.01047   -0.97195   -0.23508   0.09208   0.01047   -0.97195   -0.23508   101.13220
9   0.09206   0.01178   -0.97241   -0.23292   0.09206   0.01178   -0.97241   -0.23292   101.09253
10   0.09191   0.01114   -0.97201   -0.23463   0.09191   0.01114   -0.97201   -0.23463   101.18408
11   0.09188   0.01105   -0.97217   -0.23380   0.09188   0.01105   -0.97217   -0.23380   101.18408
12   0.09208   0.01062   -0.97214   -0.23408   0.09208   0.01062   -0.97214   -0.23408   101.07117
13   0.09195   0.01212   -0.97211   -0.23447   0.09195   0.01212   -0.97211   -0.23447   101.11389
14   0.09190   0.01361   -0.97208   -0.23463   0.09190   0.01361   -0.97208   -0.23463   101.21460
15   0.09185   0.01328   -0.97211   -0.23435   0.09185   0.01328   -0.97211   -0.23435   101.10474
16   0.09194   0.01450   -0.97217   -0.23408   0.09194   0.01450   -0.97217   -0.23408   101.12305
17   0.09193   0.01544   -0.97211   -0.23414   0.09193   0.01544   -0.97211   -0.23414   101.20239
18   0.09212   0.01437   -0.97208   -0.23453   0.09212   0.01437   -0.97208   -0.23453   101.15051
19   0.09213   0.01523   -0.97235   -0.23295   0.09213   0.01523   -0.97235   -0.23295   101.09253
20   0.09219   0.01569   -0.97198   -0.23457   0.09219   0.01569   -0.97198   -0.23457   101.19934
21   0.09222   0.01428   -0.97226   -0.23392   0.09222   0.01428   -0.97226   -0.23392   101.19934
22   0.09226   0.01367   -0.97214   -0.23438   0.09226   0.01367   -0.97214   -0.23438   101.05896
23   0.09224   0.01355   -0.97183   -0.23536   0.09224   0.01355   -0.97183   -0.23536   101.12915
24   0.09222   0.01398   -0.97171   -0.23624   0.09222   0.01398   -0.97171   -0.23624   101.22986
25   0.09219   0.01318   -0.97198   -0.23475   0.09219   0.01318   -0.97198   -0.23475   101.15967
26   0.09233   0.01205   -0.97198   -0.23484   0.09233   0.01205   -0.97198   -0.23484   101.05896
