Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 17:18:37 4/17/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09332   0.03787   0.68426   -0.72842   0.09332   0.03787   0.68426   -0.72842   100.60730
2   0.09321   0.03809   0.68465   -0.72802   0.09321   0.03809   0.68465   -0.72802   100.67749
3   0.09320   0.03861   0.68471   -0.72790   0.09320   0.03861   0.68471   -0.72790   100.76599
4   0.09322   0.03940   0.68554   -0.72710   0.09322   0.03940   0.68554   -0.72710   100.64697
5   0.09337   0.04022   0.68505   -0.72756   0.09337   0.04022   0.68505   -0.72756   100.63477
6   0.09344   0.04105   0.68551   -0.72704   0.09344   0.04105   0.68551   -0.72704   100.76294
7   0.09344   0.04010   0.68535   -0.72716   0.09344   0.04010   0.68535   -0.72716   100.74463
8   0.09344   0.04114   0.68532   -0.72710   0.09344   0.04114   0.68532   -0.72710   100.65613
9   0.09365   0.04166   0.68416   -0.72829   0.09365   0.04166   0.68416   -0.72829   100.64392
10   0.09348   0.04028   0.68514   -0.72741   0.09348   0.04028   0.68514   -0.72741   100.78125
11   0.09356   0.04096   0.68569   -0.72701   0.09356   0.04096   0.68569   -0.72701   100.71411
12   0.09350   0.04071   0.68685   -0.72573   0.09350   0.04071   0.68685   -0.72573   100.64392
13   0.09358   0.04047   0.68590   -0.72658   0.09358   0.04047   0.68590   -0.72658   100.71411
14   0.09356   0.03995   0.68627   -0.72643   0.09356   0.03995   0.68627   -0.72643   100.75073
15   0.09362   0.03900   0.68636   -0.72634   0.09362   0.03900   0.68636   -0.72634   100.72327
16   0.09344   0.03980   0.68691   -0.72573   0.09344   0.03980   0.68691   -0.72573   100.71411
17   0.09335   0.03977   0.68691   -0.72573   0.09335   0.03977   0.68691   -0.72573   100.73547
18   0.09338   0.04111   0.68584   -0.72674   0.09338   0.04111   0.68584   -0.72674   100.71411
19   0.09348   0.04022   0.68542   -0.72710   0.09348   0.04022   0.68542   -0.72710   100.67444
20   0.09334   0.04147   0.68548   -0.72704   0.09334   0.04147   0.68548   -0.72704   100.73547
21   0.09344   0.04196   0.68590   -0.72655   0.09344   0.04196   0.68590   -0.72655   100.69275
22   0.09344   0.04111   0.68560   -0.72686   0.09344   0.04111   0.68560   -0.72686   100.63477
23   0.09335   0.04270   0.68593   -0.72646   0.09335   0.04270   0.68593   -0.72646   100.67444
24   0.09330   0.04227   0.68700   -0.72549   0.09330   0.04227   0.68700   -0.72549   100.75378
25   0.09330   0.04425   0.68731   -0.72518   0.09330   0.04425   0.68731   -0.72518   100.65613
26   0.09338   0.04443   0.68676   -0.72561   0.09338   0.04443   0.68676   -0.72561   100.64697
27   0.09336   0.04492   0.68682   -0.72546   0.09336   0.04492   0.68682   -0.72546   100.78430
28   0.09344   0.04651   0.68542   -0.72686   0.09344   0.04651   0.68542   -0.72686   100.69275
29   0.09348   0.04703   0.68621   -0.72597   0.09348   0.04703   0.68621   -0.72597   100.65613
30   0.09351   0.04703   0.68676   -0.72542   0.09351   0.04703   0.68676   -0.72542   100.70496
31   0.09351   0.04782   0.68657   -0.72561   0.09351   0.04782   0.68657   -0.72561   100.75378
32   0.09361   0.04877   0.68621   -0.72591   0.09361   0.04877   0.68621   -0.72591   100.62561
33   0.09357   0.04831   0.68700   -0.72521   0.09357   0.04831   0.68700   -0.72521   100.69275
34   0.09346   0.04807   0.68630   -0.72585   0.09346   0.04807   0.68630   -0.72585   100.75378
35   0.09350   0.04770   0.68743   -0.72488   0.09350   0.04770   0.68743   -0.72488   100.64392
36   0.09357   0.04471   0.68706   -0.72527   0.09357   0.04471   0.68706   -0.72527   100.69275
37   0.09341   0.04154   0.68709   -0.72549   0.09341   0.04154   0.68709   -0.72549   100.70496
38   0.09333   0.04288   0.68590   -0.72649   0.09333   0.04288   0.68590   -0.72649   100.70496
39   0.09329   0.04236   0.68627   -0.72622   0.09329   0.04236   0.68627   -0.72622   100.64697
40   0.09325   0.04108   0.68679   -0.72585   0.09325   0.04108   0.68679   -0.72585   100.72632
41   0.09326   0.04166   0.68603   -0.72646   0.09326   0.04166   0.68603   -0.72646   100.76294
42   0.09329   0.04126   0.68529   -0.72726   0.09329   0.04126   0.68529   -0.72726   100.64697
43   0.09333   0.04157   0.68639   -0.72610   0.09333   0.04157   0.68639   -0.72610   100.65613
44   0.09321   0.04056   0.68740   -0.72533   0.09321   0.04056   0.68740   -0.72533   100.77515
45   0.09321   0.04080   0.68557   -0.72698   0.09321   0.04080   0.68557   -0.72698   100.71411
46   0.09328   0.04147   0.68606   -0.72640   0.09328   0.04147   0.68606   -0.72640   100.64697
47   0.09330   0.04086   0.68773   -0.72485   0.09330   0.04086   0.68773   -0.72485   100.68665
48   0.09333   0.03989   0.68502   -0.72762   0.09333   0.03989   0.68502   -0.72762   100.75378
49   0.09360   0.03919   0.68462   -0.72796   0.09360   0.03919   0.68462   -0.72796   100.66223
50   0.09363   0.03949   0.68545   -0.72726   0.09363   0.03949   0.68545   -0.72726   100.63477
51   0.09363   0.03986   0.68685   -0.72579   0.09363   0.03986   0.68685   -0.72579   100.72327
52   0.09354   0.03925   0.68542   -0.72729   0.09354   0.03925   0.68542   -0.72729   100.75073
53   0.09365   0.03943   0.68505   -0.72750   0.09365   0.03943   0.68505   -0.72750   100.63477
54   0.09356   0.03894   0.68517   -0.72747   0.09356   0.03894   0.68517   -0.72747   100.74158
55   0.09363   0.03885   0.68386   -0.72872   0.09363   0.03885   0.68386   -0.72872   100.69275
56   0.09363   0.03937   0.68490   -0.72771   0.09363   0.03937   0.68490   -0.72771   100.70190
57   0.09366   0.04007   0.68474   -0.72781   0.09366   0.04007   0.68474   -0.72781   100.65308
58   0.09350   0.04288   0.68450   -0.72781   0.09350   0.04288   0.68450   -0.72781   100.70496
59   0.09339   0.04395   0.68484   -0.72744   0.09339   0.04395   0.68484   -0.72744   100.71411
60   0.09334   0.04541   0.68538   -0.72686   0.09334   0.04541   0.68538   -0.72686   100.65613
61   0.09324   0.04639   0.68560   -0.72668   0.09324   0.04639   0.68560   -0.72668   100.73547
62   0.09320   0.04813   0.68511   -0.72698   0.09320   0.04813   0.68511   -0.72698   100.80261
63   0.09328   0.04889   0.68587   -0.72616   0.09328   0.04889   0.68587   -0.72616   100.70496
64   0.09328   0.04938   0.68581   -0.72625   0.09328   0.04938   0.68581   -0.72625   100.60730
65   0.09315   0.04920   0.68502   -0.72707   0.09315   0.04920   0.68502   -0.72707   100.74463
66   0.09317   0.04874   0.68429   -0.72765   0.09317   0.04874   0.68429   -0.72765   100.68665
67   0.09327   0.04776   0.68578   -0.72637   0.09327   0.04776   0.68578   -0.72637   100.62561
68   0.09323   0.04523   0.68600   -0.72640   0.09323   0.04523   0.68600   -0.72640   100.66528
69   0.09317   0.04404   0.68590   -0.72652   0.09317   0.04404   0.68590   -0.72652   100.75378
70   0.09340   0.04093   0.68636   -0.72622   0.09340   0.04093   0.68636   -0.72622   100.68359
71   0.09356   0.04010   0.68630   -0.72631   0.09356   0.04010   0.68630   -0.72631   100.59509
72   0.09355   0.04010   0.68633   -0.72631   0.09355   0.04010   0.68633   -0.72631   100.70190
73   0.09346   0.04031   0.68480   -0.72784   0.09346   0.04031   0.68480   -0.72784   100.73242
74   0.09357   0.03974   0.68441   -0.72814   0.09357   0.03974   0.68441   -0.72814   100.64392
75   0.09363   0.04086   0.68453   -0.72808   0.09363   0.04086   0.68453   -0.72808   100.68359
76   0.09354   0.04245   0.68392   -0.72842   0.09354   0.04245   0.68392   -0.72842   100.69275
77   0.09359   0.04465   0.68517   -0.72720   0.09359   0.04465   0.68517   -0.72720   100.62561
78   0.09356   0.04636   0.68477   -0.72735   0.09356   0.04636   0.68477   -0.72735   100.68359
79   0.09346   0.04715   0.68477   -0.72735   0.09346   0.04715   0.68477   -0.72735   100.71411
80   0.09344   0.04834   0.68456   -0.72750   0.09344   0.04834   0.68456   -0.72750   100.64392
81   0.09332   0.05060   0.68505   -0.72689   0.09332   0.05060   0.68505   -0.72689   100.62561
82   0.09332   0.05216   0.68560   -0.72616   0.09332   0.05216   0.68560   -0.72616   100.75378
83   0.09326   0.05301   0.68499   -0.72674   0.09326   0.05301   0.68499   -0.72674   100.69580
84   0.09333   0.05313   0.68609   -0.72576   0.09333   0.05313   0.68609   -0.72576   100.59814
85   0.09326   0.05316   0.68514   -0.72665   0.09326   0.05316   0.68514   -0.72665   100.65613
86   0.09319   0.05387   0.68523   -0.72649   0.09319   0.05387   0.68523   -0.72649   100.73547
87   0.09312   0.05240   0.68429   -0.72747   0.09312   0.05240   0.68429   -0.72747   100.69580
88   0.09322   0.05313   0.68392   -0.72774   0.09322   0.05313   0.68392   -0.72774   100.58899
