Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09373   0.03052   0.79479   -0.60622   0.09373   0.03052   0.79479   -0.60622   100.47607
2   0.09363   0.03162   0.79482   -0.60607   0.09363   0.03162   0.79482   -0.60607   100.55542
3   0.09366   0.03177   0.79513   -0.60576   0.09366   0.03177   0.79513   -0.60576   100.52490
4   0.09376   0.03052   0.79620   -0.60433   0.09376   0.03052   0.79620   -0.60433   100.51575
5   0.09371   0.03195   0.79498   -0.60588   0.09371   0.03195   0.79498   -0.60588   100.49744
6   0.09368   0.03107   0.79519   -0.60567   0.09368   0.03107   0.79519   -0.60567   100.60425
7   0.09363   0.03226   0.79492   -0.60604   0.09363   0.03226   0.79492   -0.60604   100.43945
8   0.09358   0.03327   0.79504   -0.60582   0.09358   0.03327   0.79504   -0.60582   100.52795
9   0.09343   0.03214   0.79522   -0.60567   0.09343   0.03214   0.79522   -0.60567   100.62561
10   0.09338   0.03201   0.79589   -0.60463   0.09338   0.03201   0.79589   -0.60463   100.51880
11   0.09337   0.03272   0.79568   -0.60494   0.09337   0.03272   0.79568   -0.60494   100.48828
12   0.09329   0.03406   0.79632   -0.60411   0.09329   0.03406   0.79632   -0.60411   100.62561
13   0.09333   0.03327   0.79626   -0.60402   0.09333   0.03327   0.79626   -0.60402   100.66528
14   0.09344   0.03461   0.79666   -0.60350   0.09344   0.03461   0.79666   -0.60350   100.47913
15   0.09338   0.03388   0.79635   -0.60405   0.09338   0.03388   0.79635   -0.60405   100.52795
16   0.09325   0.03339   0.79617   -0.60436   0.09325   0.03339   0.79617   -0.60436   100.68665
17   0.09335   0.03424   0.79684   -0.60332   0.09335   0.03424   0.79684   -0.60332   100.59814
18   0.09344   0.03345   0.79638   -0.60405   0.09344   0.03345   0.79638   -0.60405   100.53711
19   0.09349   0.03241   0.79611   -0.60445   0.09349   0.03241   0.79611   -0.60445   100.63477
20   0.09354   0.03424   0.79586   -0.60463   0.09354   0.03424   0.79586   -0.60463   100.62561
21   0.09359   0.03412   0.79571   -0.60491   0.09359   0.03412   0.79571   -0.60491   100.53711
22   0.09366   0.03491   0.79562   -0.60500   0.09366   0.03491   0.79562   -0.60500   100.53711
23   0.09369   0.03488   0.79592   -0.60460   0.09369   0.03488   0.79592   -0.60460   100.56458
24   0.09366   0.03491   0.79577   -0.60479   0.09366   0.03491   0.79577   -0.60479   100.58594
25   0.09375   0.03528   0.79550   -0.60518   0.09375   0.03528   0.79550   -0.60518   100.49744
26   0.09370   0.03476   0.79577   -0.60472   0.09370   0.03476   0.79577   -0.60472   100.57373
27   0.09366   0.03702   0.79525   -0.60530   0.09366   0.03702   0.79525   -0.60530   100.61340
28   0.09364   0.03589   0.79574   -0.60482   0.09364   0.03589   0.79574   -0.60482   100.56458
29   0.09354   0.03760   0.79592   -0.60433   0.09354   0.03760   0.79592   -0.60433   100.60425
30   0.09345   0.03473   0.79592   -0.60460   0.09345   0.03473   0.79592   -0.60460   100.62561
31   0.09347   0.03436   0.79611   -0.60439   0.09347   0.03436   0.79611   -0.60439   100.61646
32   0.09352   0.03363   0.79562   -0.60500   0.09352   0.03363   0.79562   -0.60500   100.50659
33   0.09343   0.03134   0.79504   -0.60604   0.09343   0.03134   0.79504   -0.60604   100.64392
34   0.09340   0.03085   0.79577   -0.60503   0.09340   0.03085   0.79577   -0.60503   100.63477
35   0.09337   0.03168   0.79611   -0.60454   0.09337   0.03168   0.79611   -0.60454   100.53711
36   0.09331   0.03101   0.79604   -0.60469   0.09331   0.03101   0.79604   -0.60469   100.59814
37   0.09329   0.03323   0.79690   -0.60332   0.09329   0.03323   0.79690   -0.60332   100.67444
38   0.09339   0.03171   0.79577   -0.60494   0.09339   0.03171   0.79577   -0.60494   100.55847
39   0.09352   0.03183   0.79513   -0.60567   0.09352   0.03183   0.79513   -0.60567   100.43945
40   0.09340   0.03366   0.79507   -0.60573   0.09340   0.03366   0.79507   -0.60573   100.60730
41   0.09356   0.03256   0.79556   -0.60521   0.09356   0.03256   0.79556   -0.60521   100.58594
42   0.09367   0.03195   0.79449   -0.60656   0.09367   0.03195   0.79449   -0.60656   100.50659
43   0.09361   0.03265   0.79464   -0.60631   0.09361   0.03265   0.79464   -0.60631   100.46692
44   0.09358   0.03137   0.79546   -0.60530   0.09358   0.03137   0.79546   -0.60530   100.61340
45   0.09366   0.03079   0.79565   -0.60518   0.09366   0.03079   0.79565   -0.60518   100.52490
46   0.09373   0.03030   0.79562   -0.60512   0.09373   0.03030   0.79562   -0.60512   100.48828
47   0.09366   0.02896   0.79516   -0.60591   0.09366   0.02896   0.79516   -0.60591   100.53711
48   0.09359   0.02875   0.79608   -0.60466   0.09359   0.02875   0.79608   -0.60466   100.55542
49   0.09368   0.02741   0.79638   -0.60424   0.09368   0.02741   0.79638   -0.60424   100.56458
50   0.09363   0.02564   0.79598   -0.60485   0.09363   0.02564   0.79598   -0.60485   100.55542
51   0.09347   0.02570   0.79473   -0.60659   0.09347   0.02570   0.79473   -0.60659   100.54626
52   0.09350   0.02487   0.79604   -0.60494   0.09350   0.02487   0.79604   -0.60494   100.54626
53   0.09341   0.02472   0.79644   -0.60439   0.09341   0.02472   0.79644   -0.60439   100.54626
54   0.09334   0.02512   0.79577   -0.60527   0.09334   0.02512   0.79577   -0.60527   100.58594
55   0.09329   0.02545   0.79568   -0.60543   0.09329   0.02545   0.79568   -0.60543   100.60730
56   0.09341   0.02649   0.79632   -0.60427   0.09341   0.02649   0.79632   -0.60427   100.52795
57   0.09345   0.02652   0.79650   -0.60430   0.09345   0.02652   0.79650   -0.60430   100.52795
58   0.09333   0.02744   0.79571   -0.60518   0.09333   0.02744   0.79571   -0.60518   100.65613
59   0.09326   0.02792   0.79556   -0.60540   0.09326   0.02792   0.79556   -0.60540   100.60730
60   0.09343   0.02820   0.79574   -0.60515   0.09343   0.02820   0.79574   -0.60515   100.47913
61   0.09340   0.02869   0.79571   -0.60512   0.09340   0.02869   0.79571   -0.60512   100.58594
62   0.09347   0.02808   0.79467   -0.60646   0.09347   0.02808   0.79467   -0.60646   100.64392
63   0.09354   0.02792   0.79546   -0.60549   0.09354   0.02792   0.79546   -0.60549   100.59509
64   0.09369   0.02774   0.79632   -0.60439   0.09369   0.02774   0.79632   -0.60439   100.51575
65   0.09367   0.02698   0.79608   -0.60472   0.09367   0.02698   0.79608   -0.60472   100.63477
66   0.09366   0.02795   0.79513   -0.60598   0.09366   0.02795   0.79513   -0.60598   100.55542
67   0.09369   0.02686   0.79626   -0.60445   0.09369   0.02686   0.79626   -0.60445   100.55542
68   0.09376   0.02716   0.79580   -0.60509   0.09376   0.02716   0.79580   -0.60509   100.56458
69   0.09365   0.02661   0.79489   -0.60637   0.09365   0.02661   0.79489   -0.60637   100.57678
70   0.09372   0.02765   0.79522   -0.60585   0.09372   0.02765   0.79522   -0.60585   100.47607
71   0.09365   0.02811   0.79571   -0.60515   0.09365   0.02811   0.79571   -0.60515   100.55542
72   0.09352   0.02722   0.79568   -0.60527   0.09352   0.02722   0.79568   -0.60527   100.58594
73   0.09350   0.02866   0.79550   -0.60549   0.09350   0.02866   0.79550   -0.60549   100.55542
74   0.09347   0.02832   0.79543   -0.60549   0.09347   0.02832   0.79543   -0.60549   100.49744
75   0.09339   0.02872   0.79586   -0.60494   0.09339   0.02872   0.79586   -0.60494   100.61646
76   0.09333   0.03046   0.79592   -0.60469   0.09333   0.03046   0.79592   -0.60469   100.64697
