Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 16:27:25 4/17/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,6,0)
Index      S0(mW)      S1      Elipticity        Azimuth      S0(mW)      S1      S2      S3      DOP
1   0.09379   0.01825   -0.28484   44.37915   0.09379   0.01825   0.84198   -0.53941   100.39978
2   0.09394   0.01849   -0.28474   44.37089   0.09394   0.01849   0.84204   -0.53923   100.36011
3   0.09408   0.01852   -0.28485   44.36980   0.09408   0.01852   0.84198   -0.53945   100.42725
4   0.09409   0.01944   -0.28537   44.33814   0.09409   0.01944   0.84130   -0.54027   100.42725
5   0.09420   0.01923   -0.28555   44.34529   0.09420   0.01923   0.84115   -0.54060   100.36926
6   0.09419   0.01889   -0.28504   44.35712   0.09419   0.01889   0.84167   -0.53972   100.34790
7   0.09418   0.01956   -0.28560   44.33379   0.09418   0.01956   0.84106   -0.54067   100.45471
8   0.09415   0.01825   -0.28506   44.37894   0.09415   0.01825   0.84170   -0.53978   100.40588
9   0.09426   0.01901   -0.28549   44.35261   0.09426   0.01901   0.84121   -0.54048   100.34790
10   0.09416   0.01883   -0.28561   44.35882   0.09416   0.01883   0.84118   -0.54076   100.46387
11   0.09422   0.01965   -0.28632   44.33009   0.09422   0.01965   0.84033   -0.54192   100.41504
12   0.09422   0.01883   -0.28500   44.35924   0.09422   0.01883   0.84173   -0.53966   100.30823
13   0.09420   0.01843   -0.28565   44.37223   0.09420   0.01843   0.84106   -0.54076   100.35706
14   0.09395   0.01807   -0.28550   44.38486   0.09395   0.01807   0.84127   -0.54054   100.39673
15   0.09387   0.01984   -0.28551   44.32457   0.09387   0.01984   0.84121   -0.54054   100.43640
16   0.09400   0.01773   -0.28498   44.39672   0.09400   0.01773   0.84188   -0.53969   100.28992
17   0.09392   0.01785   -0.28508   44.39246   0.09392   0.01785   0.84173   -0.53984   100.39673
18   0.09381   0.01761   -0.28541   44.40049   0.09381   0.01761   0.84133   -0.54036   100.52490
19   0.09391   0.01859   -0.28494   44.36761   0.09391   0.01859   0.84182   -0.53957   100.37842
20   0.09392   0.01910   -0.28612   44.34898   0.09392   0.01910   0.84054   -0.54155   100.33875
21   0.09382   0.01758   -0.28548   44.40148   0.09382   0.01758   0.84127   -0.54048   100.45776
22   0.09384   0.01761   -0.28551   44.40042   0.09384   0.01761   0.84124   -0.54054   100.39978
23   0.09397   0.01834   -0.28503   44.37585   0.09397   0.01834   0.84173   -0.53972   100.36926
24   0.09406   0.01709   -0.28515   44.41835   0.09406   0.01709   0.84164   -0.53993   100.44556
25   0.09425   0.01764   -0.28514   44.39964   0.09425   0.01764   0.84161   -0.53990   100.43640
26   0.09416   0.01715   -0.28467   44.41661   0.09416   0.01715   0.84213   -0.53911   100.41809
27   0.09409   0.01746   -0.28463   44.40630   0.09409   0.01746   0.84222   -0.53908   100.45471
28   0.09416   0.01709   -0.28511   44.41840   0.09416   0.01709   0.84170   -0.53987   100.46387
29   0.09428   0.01724   -0.28455   44.41361   0.09428   0.01724   0.84228   -0.53893   100.43640
30   0.09427   0.01642   -0.28427   44.44184   0.09427   0.01642   0.84262   -0.53847   100.35706
31   0.09411   0.01727   -0.28516   44.41210   0.09411   0.01727   0.84161   -0.53993   100.42725
32   0.09420   0.01740   -0.28521   44.40789   0.09420   0.01740   0.84152   -0.53999   100.49438
33   0.09431   0.01782   -0.28523   44.39339   0.09431   0.01782   0.84158   -0.54009   100.33875
34   0.09409   0.01721   -0.28487   44.41439   0.09409   0.01721   0.84191   -0.53945   100.35706
35   0.09387   0.01639   -0.28469   44.44260   0.09387   0.01639   0.84219   -0.53917   100.48523
36   0.09389   0.01392   -0.28483   44.52657   0.09389   0.01392   0.84204   -0.53938   100.43640
37   0.09395   0.01312   -0.28526   44.55335   0.09395   0.01312   0.84164   -0.54015   100.32043
38   0.09382   0.01175   -0.28508   44.60016   0.09382   0.01175   0.84179   -0.53981   100.45776
39   0.09387   0.01059   -0.28559   44.63940   0.09387   0.01059   0.84127   -0.54067   100.45776
40   0.09393   0.01044   -0.28466   44.64502   0.09393   0.01044   0.84228   -0.53911   100.42725
41   0.09388   0.00806   -0.28432   44.72609   0.09388   0.00806   0.84265   -0.53853   100.36926
42   0.09375   0.00763   -0.28431   44.74062   0.09375   0.00763   0.84265   -0.53850   100.41809
43   0.09381   0.00769   -0.28443   44.73853   0.09381   0.00769   0.84259   -0.53874   100.43640
44   0.09387   0.00876   -0.28495   44.70201   0.09387   0.00876   0.84204   -0.53963   100.33875
45   0.09391   0.01025   -0.28529   44.65096   0.09391   0.01025   0.84158   -0.54015   100.47607
46   0.09412   0.01114   -0.28507   44.62097   0.09412   0.01114   0.84188   -0.53984   100.42725
47   0.09415   0.01056   -0.28358   44.64136   0.09415   0.01056   0.84344   -0.53728   100.35706
48   0.09414   0.01132   -0.28445   44.61505   0.09414   0.01132   0.84255   -0.53880   100.42725
49   0.09405   0.01465   -0.28410   44.50209   0.09405   0.01465   0.84277   -0.53813   100.44556
50   0.09421   0.01416   -0.28425   44.51862   0.09421   0.01416   0.84265   -0.53841   100.32043
51   0.09427   0.01416   -0.28357   44.51905   0.09427   0.01416   0.84341   -0.53728   100.37842
52   0.09421   0.01355   -0.28271   44.54028   0.09421   0.01355   0.84433   -0.53581   100.42725
53   0.09415   0.01239   -0.28205   44.57998   0.09415   0.01239   0.84506   -0.53471   100.41809
54   0.09426   0.01096   -0.28143   44.62889   0.09426   0.01096   0.84573   -0.53365   100.32043
55   0.09414   0.00906   -0.28064   44.69331   0.09414   0.00906   0.84664   -0.53233   100.35706
56   0.09396   0.00885   -0.28253   44.69981   0.09396   0.00885   0.84457   -0.53551   100.46692
57   0.09402   0.00699   -0.28261   44.76292   0.09402   0.00699   0.84448   -0.53563   100.32959
58   0.09390   0.00592   -0.28305   44.79905   0.09390   0.00592   0.84402   -0.53636   100.36011
59   0.09387   0.00430   -0.28347   44.85388   0.09387   0.00430   0.84365   -0.53713   100.38757
60   0.09383   0.00363   -0.28361   44.87664   0.09383   0.00363   0.84341   -0.53731   100.49744
61   0.09390   0.00214   -0.28231   44.92756   0.09390   0.00214   0.84487   -0.53514   100.35095
62   0.09386   0.00720   -0.27942   44.75666   0.09386   0.00720   0.84790   -0.53023   100.39978
63   0.09376   0.00479   -0.28401   44.83719   0.09376   0.00479   0.84307   -0.53804   100.50659
64   0.09386   0.00290   -0.28245   44.90167   0.09386   0.00290   0.84469   -0.53536   100.44861
65   0.09390   0.00681   -0.28379   44.76881   0.09390   0.00681   0.84329   -0.53768   100.36011
66   0.09385   0.00961   -0.28137   44.67439   0.09385   0.00961   0.84576   -0.53352   100.41809
67   0.09405   0.01434   -0.28105   44.51435   0.09405   0.01434   0.84603   -0.53298   100.40588
68   0.09413   0.02045   -0.28243   44.30646   0.09413   0.02045   0.84445   -0.53533   100.37842
69   0.09411   0.02503   -0.28301   44.15062   0.09411   0.02503   0.84381   -0.53636   100.46692
70   0.09403   0.02832   -0.28277   44.03897   0.09403   0.02832   0.84393   -0.53594   100.46692
71   0.09424   0.03009   -0.28315   43.97833   0.09424   0.03009   0.84341   -0.53655   100.36621
72   0.09415   0.03403   -0.28415   43.84317   0.09415   0.03403   0.84222   -0.53825   100.36926
73   0.09413   0.03592   -0.28307   43.78038   0.09413   0.03592   0.84323   -0.53639   100.50354
74   0.09427   0.03476   -0.28320   43.81971   0.09427   0.03476   0.84323   -0.53667   100.37842
75   0.09426   0.03400   -0.28420   43.84420   0.09426   0.03400   0.84222   -0.53838   100.34790
76   0.09408   0.02832   -0.28416   44.03723   0.09408   0.02832   0.84240   -0.53825   100.37842
77   0.09391   0.02530   -0.28448   44.13966   0.09391   0.02530   0.84219   -0.53883   100.50659
78   0.09394   0.01953   -0.28387   44.33637   0.09394   0.01953   0.84301   -0.53780   100.38757
79   0.09389   0.01370   -0.28502   44.53376   0.09389   0.01370   0.84188   -0.53975   100.32959
80   0.09388   0.00858   -0.28419   44.70851   0.09388   0.00858   0.84280   -0.53832   100.50659
81   0.09388   0.00494   -0.28460   44.83187   0.09388   0.00494   0.84240   -0.53902   100.45776
82   0.09396   0.00412   -0.28415   44.85997   0.09396   0.00412   0.84286   -0.53822   100.36926
83   0.09383   0.00110   -0.28378   44.96267   0.09383   0.00110   0.84326   -0.53761   100.38757
84   0.09378   -0.00027   -0.28417   45.00933   0.09378   -0.00027   0.84289   -0.53829   100.45776
85   0.09393   0.00058   -0.28567   44.98026   0.09393   0.00058   0.84130   -0.54085   100.36011
86   0.09391   0.00009   -0.28545   44.99688   0.09391   0.00009   0.84152   -0.54045   100.39673
87   0.09395   0.00101   -0.28572   44.96570   0.09395   0.00101   0.84121   -0.54091   100.40894
88   0.09412   0.00183   -0.28567   44.93764   0.09412   0.00183   0.84118   -0.54076   100.43640
89   0.09407   0.00491   -0.28550   44.83271   0.09407   0.00491   0.84143   -0.54051   100.43640
90   0.09413   0.00876   -0.28577   44.70168   0.09413   0.00876   0.84109   -0.54097   100.39673
91   0.09418   0.01282   -0.28487   44.56395   0.09418   0.01282   0.84204   -0.53948   100.44556
92   0.09437   0.01730   -0.28509   44.41111   0.09437   0.01730   0.84167   -0.53981   100.28076
93   0.09420   0.02136   -0.28440   44.27358   0.09420   0.02136   0.84231   -0.53865   100.42725
94   0.09410   0.02362   -0.28374   44.19749   0.09410   0.02362   0.84301   -0.53755   100.48523
95   0.09432   0.02698   -0.28381   44.08335   0.09432   0.02698   0.84286   -0.53771   100.32959
96   0.09436   0.02734   -0.28406   44.07061   0.09436   0.02734   0.84259   -0.53813   100.28992
97   0.09416   0.02988   -0.28406   43.98444   0.09416   0.02988   0.84246   -0.53810   100.49438
98   0.09401   0.03034   -0.28423   43.96856   0.09401   0.03034   0.84219   -0.53835   100.46692
99   0.09400   0.02924   -0.28370   44.00664   0.09400   0.02924   0.84283   -0.53746   100.37842
100   0.09396   0.02786   -0.28344   44.05374   0.09396   0.02786   0.84326   -0.53710   100.40894
101   0.09380   0.02573   -0.28321   44.12653   0.09380   0.02573   0.84353   -0.53667   100.48523
102   0.09384   0.02307   -0.28330   44.21657   0.09384   0.02307   0.84347   -0.53679   100.43640
103   0.09394   0.01938   -0.28288   44.34234   0.09394   0.01938   0.84402   -0.53609   100.41809
104   0.09380   0.01419   -0.28364   44.51798   0.09380   0.01419   0.84335   -0.53740   100.45776
105   0.09375   0.01199   -0.28434   44.59221   0.09375   0.01199   0.84252   -0.53853   100.46692
106   0.09379   0.00739   -0.28519   44.74865   0.09379   0.00739   0.84173   -0.53999   100.40894
107   0.09371   0.00537   -0.28431   44.81741   0.09371   0.00537   0.84271   -0.53853   100.47607
108   0.09383   0.00427   -0.28531   44.85457   0.09383   0.00427   0.84164   -0.54021   100.37842
109   0.09401   0.00186   -0.28451   44.93670   0.09401   0.00186   0.84255   -0.53890   100.40894
110   0.09408   0.00406   -0.28475   44.86194   0.09408   0.00406   0.84225   -0.53926   100.44556
111   0.09408   0.00681   -0.28493   44.76844   0.09408   0.00681   0.84198   -0.53954   100.53406
112   0.09420   0.00916   -0.28449   44.68868   0.09420   0.00916   0.84246   -0.53880   100.38757
113   0.09417   0.01221   -0.28467   44.58481   0.09417   0.01221   0.84225   -0.53914   100.37842
114   0.09413   0.01520   -0.28515   44.48275   0.09413   0.01520   0.84167   -0.53993   100.43640
115   0.09417   0.01791   -0.28518   44.39032   0.09417   0.01791   0.84164   -0.54002   100.38757
116   0.09432   0.02039   -0.28501   44.30632   0.09432   0.02039   0.84176   -0.53972   100.31738
117   0.09428   0.02292   -0.28436   44.22071   0.09428   0.02292   0.84234   -0.53859   100.35706
118   0.09413   0.02503   -0.28428   44.14915   0.09413   0.02503   0.84234   -0.53844   100.47607
119   0.09414   0.02689   -0.28377   44.08642   0.09414   0.02689   0.84283   -0.53758   100.42725
120   0.09405   0.02789   -0.28401   44.05188   0.09405   0.02789   0.84252   -0.53798   100.38757
121   0.09396   0.02579   -0.28431   44.12329   0.09396   0.02579   0.84240   -0.53856   100.40894
122   0.09385   0.02420   -0.28448   44.17706   0.09385   0.02420   0.84225   -0.53883   100.42725
123   0.09397   0.02206   -0.28406   44.25005   0.09397   0.02206   0.84268   -0.53807   100.48523
124   0.09394   0.02118   -0.28505   44.27925   0.09394   0.02118   0.84167   -0.53978   100.36926
125   0.09383   0.01892   -0.28500   44.35615   0.09383   0.01892   0.84176   -0.53969   100.45776
126   0.09387   0.01733   -0.28521   44.40998   0.09387   0.01733   0.84155   -0.54002   100.43640
127   0.09383   0.01535   -0.28535   44.47745   0.09383   0.01535   0.84149   -0.54030   100.36011
128   0.09387   0.01379   -0.28578   44.53015   0.09387   0.01379   0.84100   -0.54097   100.39978
129   0.09387   0.01163   -0.28511   44.60432   0.09387   0.01163   0.84179   -0.53987   100.40894
130   0.09387   0.01126   -0.28456   44.61703   0.09387   0.01126   0.84234   -0.53893   100.42725
131   0.09399   0.01013   -0.28556   44.65501   0.09399   0.01013   0.84133   -0.54064   100.37842
132   0.09403   0.01074   -0.28536   44.63430   0.09403   0.01074   0.84149   -0.54027   100.46692
133   0.09415   0.01169   -0.28429   44.60266   0.09415   0.01169   0.84268   -0.53850   100.34790
134   0.09412   0.01215   -0.28508   44.58665   0.09412   0.01215   0.84176   -0.53978   100.42725
135   0.09405   0.01273   -0.28495   44.56703   0.09405   0.01273   0.84198   -0.53963   100.50354
136   0.09419   0.01505   -0.28493   44.48813   0.09419   0.01505   0.84198   -0.53960   100.39673
137   0.09431   0.01862   -0.28541   44.36623   0.09431   0.01862   0.84136   -0.54039   100.31738
138   0.09427   0.01965   -0.28554   44.33077   0.09427   0.01965   0.84118   -0.54060   100.41504
139   0.09422   0.02020   -0.28514   44.31240   0.09422   0.02020   0.84158   -0.53990   100.45471
140   0.09419   0.02109   -0.28556   44.28190   0.09419   0.02109   0.84112   -0.54064   100.38757
141   0.09404   0.02155   -0.28517   44.26666   0.09404   0.02155   0.84152   -0.53996   100.33875
142   0.09385   0.02136   -0.28524   44.27276   0.09385   0.02136   0.84136   -0.54002   100.41809
143   0.09384   0.02170   -0.28499   44.26166   0.09384   0.02170   0.84173   -0.53969   100.38757
144   0.09397   0.02380   -0.28505   44.18993   0.09397   0.02380   0.84161   -0.53978   100.31128
145   0.09387   0.02161   -0.28505   44.26467   0.09387   0.02161   0.84161   -0.53975   100.42725
146   0.09380   0.02237   -0.28470   44.23902   0.09380   0.02237   0.84194   -0.53914   100.45776
147   0.09377   0.02152   -0.28443   44.26839   0.09377   0.02152   0.84231   -0.53871   100.36011
148   0.09379   0.02042   -0.28522   44.30506   0.09379   0.02042   0.84149   -0.54006   100.37842
149   0.09375   0.02039   -0.28500   44.30632   0.09375   0.02039   0.84176   -0.53969   100.37842
150   0.09387   0.01837   -0.28526   44.37461   0.09387   0.01837   0.84146   -0.54009   100.37842
151   0.09393   0.01740   -0.28496   44.40816   0.09393   0.01740   0.84191   -0.53966   100.36926
152   0.09405   0.01654   -0.28488   44.43725   0.09405   0.01654   0.84194   -0.53948   100.45471
153   0.09414   0.01471   -0.28467   44.49968   0.09414   0.01471   0.84219   -0.53911   100.47607
154   0.09421   0.01553   -0.28441   44.47183   0.09421   0.01553   0.84246   -0.53868   100.30823
155   0.09424   0.01477   -0.28448   44.49773   0.09424   0.01477   0.84240   -0.53880   100.42725
156   0.09418   0.01392   -0.28407   44.52705   0.09418   0.01392   0.84289   -0.53813   100.54321
157   0.09427   0.01566   -0.28423   44.46780   0.09427   0.01566   0.84265   -0.53838   100.38757
158   0.09432   0.01572   -0.28433   44.46566   0.09432   0.01572   0.84255   -0.53856   100.37842
159   0.09425   0.01755   -0.28452   44.40327   0.09425   0.01755   0.84234   -0.53890   100.45471
160   0.09421   0.01831   -0.28458   44.37723   0.09421   0.01831   0.84219   -0.53896   100.38757
161   0.09425   0.01953   -0.28382   44.33637   0.09425   0.01953   0.84301   -0.53768   100.36621
162   0.09415   0.02087   -0.28439   44.29020   0.09415   0.02087   0.84234   -0.53862   100.44556
163   0.09394   0.02060   -0.28407   44.29984   0.09394   0.02060   0.84271   -0.53810   100.44556
164   0.09391   0.02133   -0.28382   44.27519   0.09391   0.02133   0.84298   -0.53771   100.42725
165   0.09387   0.02188   -0.28399   44.25637   0.09387   0.02188   0.84280   -0.53798   100.41809
166   0.09392   0.02338   -0.28409   44.20544   0.09392   0.02338   0.84265   -0.53816   100.42725
167   0.09383   0.02310   -0.28405   44.21480   0.09383   0.02310   0.84268   -0.53807   100.43640
168   0.09385   0.02252   -0.28415   44.23444   0.09385   0.02252   0.84262   -0.53825   100.38757
169   0.09379   0.02188   -0.28378   44.25654   0.09379   0.02188   0.84298   -0.53761   100.41809
170   0.09379   0.02109   -0.28395   44.28338   0.09379   0.02109   0.84286   -0.53792   100.45776
171   0.09381   0.02036   -0.28397   44.30821   0.09381   0.02036   0.84280   -0.53792   100.41809
172   0.09380   0.01968   -0.28441   44.33068   0.09380   0.01968   0.84237   -0.53868   100.42725
173   0.09390   0.01935   -0.28467   44.34190   0.09390   0.01935   0.84213   -0.53914   100.49438
174   0.09411   0.01807   -0.28475   44.38540   0.09411   0.01807   0.84201   -0.53923   100.40588
175   0.09408   0.01779   -0.28547   44.39419   0.09408   0.01779   0.84124   -0.54045   100.32043
176   0.09408   0.01715   -0.28535   44.41613   0.09408   0.01715   0.84143   -0.54027   100.42725
177   0.09405   0.01709   -0.28523   44.41831   0.09405   0.01709   0.84158   -0.54009   100.47607
178   0.09421   0.01621   -0.28509   44.44853   0.09421   0.01621   0.84173   -0.53984   100.30823
179   0.09428   0.01752   -0.28467   44.40421   0.09428   0.01752   0.84219   -0.53914   100.32959
180   0.09412   0.01651   -0.28475   44.43841   0.09412   0.01651   0.84213   -0.53929   100.50354
181   0.09417   0.01746   -0.28473   44.40622   0.09417   0.01746   0.84210   -0.53923   100.46387
182   0.09424   0.01828   -0.28462   44.37824   0.09424   0.01828   0.84216   -0.53902   100.30823
183   0.09417   0.01840   -0.28494   44.37386   0.09417   0.01840   0.84185   -0.53960   100.40588
184   0.09398   0.01914   -0.28481   44.34902   0.09398   0.01914   0.84194   -0.53935   100.44556
185   0.09388   0.02087   -0.28480   44.28981   0.09388   0.02087   0.84188   -0.53932   100.39978
186   0.09393   0.02161   -0.28433   44.26536   0.09393   0.02161   0.84240   -0.53853   100.42725
187   0.09387   0.02316   -0.28495   44.21187   0.09387   0.02316   0.84176   -0.53963   100.39978
188   0.09391   0.02200   -0.28507   44.25114   0.09391   0.02200   0.84158   -0.53978   100.39673
189   0.09384   0.02173   -0.28442   44.26110   0.09384   0.02173   0.84228   -0.53868   100.36926
190   0.09381   0.02026   -0.28414   44.31124   0.09381   0.02026   0.84271   -0.53825   100.39978
191   0.09388   0.02173   -0.28419   44.26134   0.09388   0.02173   0.84255   -0.53832   100.41809
192   0.09390   0.02170   -0.28453   44.26209   0.09390   0.02170   0.84222   -0.53890   100.37842
193   0.09381   0.02139   -0.28433   44.27265   0.09381   0.02139   0.84243   -0.53856   100.47607
194   0.09387   0.02179   -0.28466   44.25890   0.09387   0.02179   0.84213   -0.53914   100.39978
195   0.09411   0.02155   -0.28420   44.26751   0.09411   0.02155   0.84249   -0.53829   100.34790
196   0.09415   0.02078   -0.28380   44.29393   0.09415   0.02078   0.84307   -0.53771   100.38757
197   0.09423   0.02042   -0.28414   44.30601   0.09423   0.02042   0.84265   -0.53822   100.44556
198   0.09412   0.02033   -0.28373   44.30947   0.09412   0.02033   0.84307   -0.53752   100.44556
199   0.09420   0.02020   -0.28392   44.31345   0.09420   0.02020   0.84286   -0.53783   100.35706
200   0.09419   0.01950   -0.28432   44.33698   0.09419   0.01950   0.84246   -0.53853   100.41504
201   0.09411   0.01920   -0.28433   44.34735   0.09411   0.01920   0.84246   -0.53853   100.48523
202   0.09430   0.01904   -0.28374   44.35307   0.09430   0.01904   0.84317   -0.53758   100.35706
203   0.09423   0.01892   -0.28416   44.35687   0.09423   0.01892   0.84271   -0.53829   100.33875
204   0.09418   0.01917   -0.28441   44.34836   0.09418   0.01917   0.84243   -0.53871   100.39673
205   0.09396   0.02045   -0.28457   44.30460   0.09396   0.02045   0.84219   -0.53896   100.45776
206   0.09399   0.02118   -0.28427   44.27998   0.09399   0.02118   0.84252   -0.53847   100.36926
207   0.09387   0.02161   -0.28476   44.26491   0.09387   0.02161   0.84188   -0.53923   100.41809
208   0.09377   0.02213   -0.28431   44.24773   0.09377   0.02213   0.84240   -0.53850   100.40894
209   0.09380   0.02326   -0.28395   44.20973   0.09380   0.02326   0.84280   -0.53792   100.39978
210   0.09375   0.02316   -0.28426   44.21252   0.09375   0.02316   0.84246   -0.53844   100.39063
211   0.09382   0.02448   -0.28428   44.16787   0.09382   0.02448   0.84240   -0.53847   100.43640
212   0.09376   0.02539   -0.28385   44.13714   0.09376   0.02539   0.84277   -0.53771   100.46692
213   0.09387   0.02576   -0.28372   44.12489   0.09387   0.02576   0.84295   -0.53752   100.33875
214   0.09381   0.02774   -0.28320   44.05809   0.09381   0.02774   0.84344   -0.53664   100.45776
215   0.09388   0.02884   -0.28408   44.01968   0.09388   0.02884   0.84246   -0.53813   100.42725
216   0.09412   0.02924   -0.28390   44.00642   0.09412   0.02924   0.84265   -0.53783   100.29907
217   0.09415   0.02994   -0.28476   43.98141   0.09415   0.02994   0.84167   -0.53926   100.35706
218   0.09412   0.02881   -0.28490   44.01969   0.09412   0.02881   0.84158   -0.53951   100.42725
219   0.09416   0.02875   -0.28447   44.02233   0.09416   0.02875   0.84207   -0.53880   100.35706
220   0.09431   0.02792   -0.28452   44.05026   0.09431   0.02792   0.84201   -0.53887   100.33875
221   0.09420   0.02618   -0.28424   44.10984   0.09420   0.02618   0.84243   -0.53844   100.35706
222   0.09409   0.02615   -0.28357   44.11155   0.09409   0.02615   0.84307   -0.53725   100.55237
223   0.09426   0.02582   -0.28397   44.12260   0.09426   0.02582   0.84274   -0.53798   100.30823
224   0.09431   0.02445   -0.28328   44.16996   0.09431   0.02445   0.84347   -0.53679   100.34790
225   0.09417   0.02277   -0.28355   44.22673   0.09417   0.02277   0.84326   -0.53725   100.42725
226   0.09419   0.02197   -0.28393   44.25332   0.09419   0.02197   0.84286   -0.53789   100.32043
227   0.09400   0.02210   -0.28355   44.24953   0.09400   0.02210   0.84326   -0.53725   100.43640
228   0.09392   0.02176   -0.28395   44.26055   0.09392   0.02176   0.84283   -0.53792   100.50659
229   0.09384   0.02191   -0.28390   44.25537   0.09384   0.02191   0.84283   -0.53780   100.49744
230   0.09401   0.01959   -0.28371   44.33442   0.09401   0.01959   0.84317   -0.53752   100.40894
231   0.09385   0.02063   -0.28445   44.29850   0.09385   0.02063   0.84234   -0.53877   100.38757
232   0.09385   0.02249   -0.28437   44.23523   0.09385   0.02249   0.84234   -0.53862   100.42725
233   0.09383   0.02216   -0.28384   44.24713   0.09383   0.02216   0.84289   -0.53771   100.40894
234   0.09383   0.02316   -0.28417   44.21267   0.09383   0.02316   0.84262   -0.53832   100.38757
235   0.09373   0.02274   -0.28402   44.22729   0.09373   0.02274   0.84274   -0.53804   100.50659
236   0.09377   0.02387   -0.28381   44.18908   0.09377   0.02387   0.84289   -0.53764   100.39978
237   0.09403   0.02441   -0.28331   44.17097   0.09403   0.02441   0.84344   -0.53682   100.41809
238   0.09412   0.02567   -0.28338   44.12844   0.09412   0.02567   0.84338   -0.53697   100.43640
239   0.09407   0.02686   -0.28379   44.08749   0.09407   0.02686   0.84286   -0.53764   100.43640
240   0.09409   0.02652   -0.28364   44.09905   0.09409   0.02652   0.84301   -0.53737   100.37842
241   0.09419   0.02802   -0.28430   44.04746   0.09419   0.02802   0.84228   -0.53850   100.35706
242   0.09410   0.02795   -0.28418   44.04964   0.09410   0.02795   0.84237   -0.53829   100.46692
243   0.09414   0.02753   -0.28407   44.06432   0.09414   0.02753   0.84252   -0.53810   100.40588
244   0.09427   0.02689   -0.28392   44.08622   0.09427   0.02689   0.84265   -0.53783   100.33875
