Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 16:35:50 4/17/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,0,6)
Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
1   0.09230   -0.00824   -45.23660   -0.03448   0.09230   -0.00824   -0.99768   -0.06891   101.12000
2   0.09228   -0.00848   -45.24361   -0.03393   0.09228   -0.00848   -0.99771   -0.06781   101.09863
3   0.09226   -0.00855   -45.24538   -0.03465   0.09226   -0.00855   -0.99762   -0.06925   101.15051
4   0.09215   -0.00952   -45.27341   -0.03404   0.09215   -0.00952   -0.99765   -0.06803   101.15051
5   0.09227   -0.00800   -45.22958   -0.03385   0.09227   -0.00800   -0.99774   -0.06766   101.09863
6   0.09237   -0.00980   -45.28130   -0.03415   0.09237   -0.00980   -0.99765   -0.06824   101.14746
7   0.09234   -0.00952   -45.27341   -0.03433   0.09234   -0.00952   -0.99765   -0.06861   101.19934
8   0.09253   -0.01184   -45.34002   -0.03443   0.09253   -0.01184   -0.99762   -0.06882   101.07727
9   0.09260   -0.01169   -45.33562   -0.03446   0.09260   -0.01169   -0.99768   -0.06888   101.02539
10   0.09256   -0.01279   -45.36722   -0.03448   0.09256   -0.01279   -0.99753   -0.06891   101.17493
11   0.09255   -0.01431   -45.41102   -0.03468   0.09255   -0.01431   -0.99756   -0.06931   101.20544
12   0.09266   -0.01505   -45.43206   -0.03415   0.09266   -0.01505   -0.99753   -0.06824   101.03455
13   0.09264   -0.01624   -45.46621   -0.03456   0.09264   -0.01624   -0.99759   -0.06906   101.06506
14   0.09259   -0.01636   -45.46974   -0.03442   0.09259   -0.01636   -0.99753   -0.06879   101.20544
15   0.09263   -0.01737   -45.49864   -0.03431   0.09263   -0.01737   -0.99756   -0.06858   101.10474
16   0.09271   -0.01636   -45.46975   -0.03442   0.09271   -0.01636   -0.99750   -0.06879   101.06506
17   0.09261   -0.01630   -45.46809   -0.03548   0.09261   -0.01630   -0.99731   -0.07089   101.10474
18   0.09245   -0.01553   -45.44609   -0.03503   0.09245   -0.01553   -0.99750   -0.07001   101.18713
19   0.09240   -0.01535   -45.44086   -0.03485   0.09240   -0.01535   -0.99744   -0.06964   101.08948
20   0.09238   -0.01453   -45.41716   -0.03479   0.09238   -0.01453   -0.99753   -0.06952   101.07727
