Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
1   0.09257   0.06211   -42.31623   -0.42237   0.09257   0.06211   -0.66100   -0.74780   100.65002
2   0.09256   0.05991   -42.40804   -0.42296   0.09256   0.05991   -0.66033   -0.74859   100.71106
3   0.09253   0.06082   -42.36465   -0.42359   0.09253   0.06082   -0.65932   -0.74944   100.76904
4   0.09254   0.05908   -42.43749   -0.42407   0.09254   0.05908   -0.65877   -0.75008   100.68054
5   0.09256   0.05994   -42.40039   -0.42405   0.09256   0.05994   -0.65871   -0.75005   100.72021
6   0.09263   0.05884   -42.45342   -0.42316   0.09263   0.05884   -0.66018   -0.74889   100.75073
7   0.09277   0.05460   -42.63005   -0.42454   0.09277   0.05460   -0.65847   -0.75072   100.68054
8   0.09289   0.05188   -42.75098   -0.42398   0.09289   0.05188   -0.65951   -0.74996   100.63782
9   0.09277   0.05072   -42.80621   -0.42298   0.09277   0.05072   -0.66106   -0.74859   100.69885
10   0.09281   0.04923   -42.87700   -0.42177   0.09281   0.04923   -0.66305   -0.74706   100.76904
11   0.09300   0.04721   -42.96169   -0.42228   0.09300   0.04721   -0.66243   -0.74773   100.63782
12   0.09300   0.05182   -42.77138   -0.42045   0.09300   0.05182   -0.66478   -0.74526   100.71716
13   0.09289   0.05252   -42.73936   -0.42080   0.09289   0.05252   -0.66420   -0.74572   100.77820
14   0.09293   0.05707   -42.55094   -0.41937   0.09293   0.05707   -0.66594   -0.74380   100.73853
15   0.09293   0.05799   -42.51071   -0.41954   0.09293   0.05799   -0.66564   -0.74404   100.61951
16   0.09284   0.06262   -42.30273   -0.42090   0.09284   0.06262   -0.66317   -0.74584   100.71716
17   0.09262   0.06870   -42.03927   -0.42109   0.09262   0.06870   -0.66234   -0.74615   100.80872
18   0.09272   0.07135   -41.92528   -0.42097   0.09272   0.07135   -0.66225   -0.74602   100.61951
19   0.09267   0.07639   -41.71583   -0.41980   0.09267   0.07639   -0.66341   -0.74441   100.65002
20   0.09255   0.07932   -41.59305   -0.41926   0.09255   0.07932   -0.66381   -0.74361   100.76904
21   0.09260   0.08097   -41.51422   -0.42032   0.09260   0.08097   -0.66213   -0.74514   100.70190
22   0.09265   0.08155   -41.50339   -0.41846   0.09265   0.08155   -0.66478   -0.74261   100.63171
23   0.09260   0.08121   -41.52601   -0.41743   0.09260   0.08121   -0.66640   -0.74126   100.70190
24   0.09252   0.07923   -41.60853   -0.41779   0.09252   0.07923   -0.66610   -0.74172   100.76904
25   0.09258   0.07761   -41.67654   -0.41800   0.09258   0.07761   -0.66597   -0.74203   100.68970
26   0.09264   0.07276   -41.88279   -0.41833   0.09264   0.07276   -0.66601   -0.74242   100.65918
27   0.09264   0.06989   -41.99933   -0.41937   0.09264   0.06989   -0.66478   -0.74386   100.75073
28   0.09289   0.06720   -42.10751   -0.42053   0.09289   0.06720   -0.66332   -0.74538   100.73853
29   0.09294   0.06336   -42.27374   -0.42047   0.09294   0.06336   -0.66375   -0.74526   100.66833
30   0.09286   0.05948   -42.44416   -0.41997   0.09286   0.05948   -0.66494   -0.74471   100.71716
31   0.09283   0.05802   -42.50314   -0.42066   0.09283   0.05802   -0.66396   -0.74554   100.74768
32   0.09291   0.05472   -42.64531   -0.42067   0.09291   0.05472   -0.66424   -0.74557   100.66833
33   0.09293   0.04971   -42.85925   -0.42109   0.09293   0.04971   -0.66405   -0.74618   100.63782
34   0.09293   0.04993   -42.85235   -0.42056   0.09293   0.04993   -0.66475   -0.74538   100.78735
35   0.09289   0.05048   -42.82613   -0.42109   0.09289   0.05048   -0.66393   -0.74612   100.70801
36   0.09300   0.05170   -42.77488   -0.42080   0.09300   0.05170   -0.66427   -0.74572   100.63782
37   0.09280   0.05261   -42.73668   -0.42058   0.09280   0.05261   -0.66457   -0.74548   100.68970
38   0.09272   0.05585   -42.59749   -0.42048   0.09272   0.05585   -0.66439   -0.74526   100.81787
39   0.09267   0.05988   -42.42392   -0.42046   0.09267   0.05988   -0.66408   -0.74526   100.68970
40   0.09267   0.06278   -42.30458   -0.41951   0.09267   0.06278   -0.66524   -0.74398   100.65002
41   0.09257   0.06595   -42.16956   -0.41922   0.09257   0.06595   -0.66533   -0.74358   100.74158
42   0.09250   0.06806   -42.08458   -0.41840   0.09250   0.06806   -0.66643   -0.74258   100.79956
43   0.09262   0.07041   -41.98066   -0.41881   0.09262   0.07041   -0.66555   -0.74310   100.67139
44   0.09264   0.07025   -41.98962   -0.41843   0.09264   0.07025   -0.66610   -0.74255   100.72937
45   0.09247   0.06800   -42.08306   -0.41900   0.09247   0.06800   -0.66549   -0.74331   100.78125
46   0.09246   0.07007   -41.99399   -0.41896   0.09246   0.07007   -0.66533   -0.74325   100.70190
47   0.09253   0.07007   -41.99495   -0.41885   0.09253   0.07007   -0.66555   -0.74316   100.68970
48   0.09257   0.06854   -42.05698   -0.41938   0.09257   0.06854   -0.66488   -0.74383   100.71106
49   0.09278   0.06858   -42.05742   -0.41911   0.09278   0.06858   -0.66527   -0.74346   100.75989
50   0.09288   0.06711   -42.11275   -0.42032   0.09288   0.06711   -0.66363   -0.74511   100.65918
51   0.09287   0.06610   -42.15696   -0.42023   0.09287   0.06610   -0.66390   -0.74502   100.72937
52   0.09285   0.06494   -42.21060   -0.41962   0.09285   0.06494   -0.66488   -0.74416   100.75684
53   0.09288   0.06235   -42.32025   -0.41996   0.09288   0.06235   -0.66460   -0.74459   100.69885
54   0.09292   0.06259   -42.30601   -0.42057   0.09292   0.06259   -0.66366   -0.74538   100.67749
55   0.09300   0.06104   -42.37574   -0.42016   0.09300   0.06104   -0.66445   -0.74490   100.78735
56   0.09292   0.06101   -42.38147   -0.41940   0.09292   0.06101   -0.66558   -0.74386   100.75684
57   0.09300   0.06085   -42.38846   -0.41932   0.09300   0.06085   -0.66570   -0.74374   100.62866
58   0.09285   0.06143   -42.36539   -0.41900   0.09285   0.06143   -0.66613   -0.74331   100.66833
59   0.09267   0.06320   -42.28857   -0.41913   0.09267   0.06320   -0.66579   -0.74352   100.84839
60   0.09267   0.06372   -42.26632   -0.41913   0.09267   0.06372   -0.66576   -0.74352   100.72937
61   0.09257   0.06436   -42.23623   -0.41952   0.09257   0.06436   -0.66509   -0.74401   100.67139
62   0.09261   0.06732   -42.11430   -0.41866   0.09261   0.06732   -0.66610   -0.74288   100.72937
63   0.09256   0.06906   -42.03500   -0.41932   0.09256   0.06906   -0.66491   -0.74374   100.75989
64   0.09256   0.06970   -42.00509   -0.41966   0.09256   0.06970   -0.66433   -0.74419   100.64087
65   0.09259   0.07163   -41.92381   -0.41943   0.09259   0.07163   -0.66448   -0.74389   100.71106
66   0.09247   0.07309   -41.86296   -0.41908   0.09247   0.07309   -0.66482   -0.74340   100.75989
67   0.09248   0.07260   -41.88191   -0.41940   0.09248   0.07260   -0.66442   -0.74386   100.78125
68   0.09263   0.07312   -41.86680   -0.41837   0.09263   0.07312   -0.66591   -0.74248   100.66223
69   0.09256   0.07337   -41.85913   -0.41797   0.09256   0.07337   -0.66649   -0.74197   100.72021
70   0.09264   0.07324   -41.86475   -0.41790   0.09264   0.07324   -0.66659   -0.74184   100.75989
71   0.09281   0.07334   -41.85672   -0.41852   0.09281   0.07334   -0.66570   -0.74273   100.68054
72   0.09287   0.07263   -41.88826   -0.41832   0.09287   0.07263   -0.66607   -0.74245   100.70801
73   0.09279   0.07166   -41.92741   -0.41871   0.09279   0.07166   -0.66555   -0.74294   100.76904
74   0.09278   0.07205   -41.90884   -0.41895   0.09278   0.07205   -0.66518   -0.74328   100.70801
75   0.09287   0.07126   -41.93927   -0.41948   0.09287   0.07126   -0.66445   -0.74398   100.66833
76   0.09292   0.06867   -42.05191   -0.41936   0.09292   0.06867   -0.66491   -0.74383   100.76599
77   0.09300   0.06760   -42.09996   -0.41905   0.09300   0.06760   -0.66549   -0.74340   100.76599
78   0.09301   0.06787   -42.08945   -0.41884   0.09301   0.06787   -0.66576   -0.74313   100.63782
79   0.09303   0.06745   -42.10897   -0.41868   0.09303   0.06745   -0.66607   -0.74294   100.72632
80   0.09289   0.06742   -42.10632   -0.41926   0.09289   0.06742   -0.66515   -0.74364   100.80566
81   0.09278   0.06720   -42.11555   -0.41928   0.09278   0.06720   -0.66518   -0.74371   100.73853
82   0.09271   0.06745   -42.10594   -0.41914   0.09271   0.06745   -0.66536   -0.74352   100.61951
83   0.09259   0.06876   -42.04854   -0.41927   0.09259   0.06876   -0.66503   -0.74371   100.70190
84   0.09250   0.06928   -42.02359   -0.41965   0.09250   0.06928   -0.66439   -0.74419   100.78125
85   0.09252   0.07123   -41.94447   -0.41889   0.09252   0.07123   -0.66530   -0.74316   100.65308
86   0.09251   0.07245   -41.89223   -0.41888   0.09251   0.07245   -0.66524   -0.74319   100.63171
87   0.09249   0.07483   -41.79417   -0.41823   0.09249   0.07483   -0.66591   -0.74230   100.74158
88   0.09255   0.07331   -41.86401   -0.41763   0.09255   0.07331   -0.66698   -0.74148   100.72021
89   0.09255   0.07434   -41.80824   -0.41923   0.09255   0.07434   -0.66451   -0.74368   100.65002
90   0.09263   0.07569   -41.75389   -0.41873   0.09263   0.07569   -0.66509   -0.74297   100.71106
91   0.09258   0.07495   -41.78825   -0.41833   0.09258   0.07495   -0.66576   -0.74242   100.79956
92   0.09279   0.07505   -41.78320   -0.41852   0.09279   0.07505   -0.66552   -0.74273   100.65002
93   0.09279   0.07633   -41.73155   -0.41799   0.09279   0.07633   -0.66610   -0.74197   100.66833
94   0.09283   0.07443   -41.80914   -0.41853   0.09283   0.07443   -0.66552   -0.74270   100.74768
95   0.09286   0.07605   -41.74335   -0.41801   0.09286   0.07605   -0.66613   -0.74203   100.70801
96   0.09292   0.07685   -41.71341   -0.41745   0.09292   0.07685   -0.66689   -0.74129   100.65918
97   0.09285   0.07602   -41.74435   -0.41806   0.09285   0.07602   -0.66607   -0.74209   100.73853
98   0.09292   0.07627   -41.72953   -0.41864   0.09292   0.07627   -0.66515   -0.74285   100.77820
99   0.09306   0.07569   -41.75596   -0.41846   0.09306   0.07569   -0.66552   -0.74264   100.65918
100   0.09296   0.07544   -41.76663   -0.41840   0.09296   0.07544   -0.66558   -0.74252   100.65918
101   0.09283   0.07318   -41.86221   -0.41866   0.09283   0.07318   -0.66549   -0.74291   100.77820
