Index      S0(mW)      S1      Elipticity        Azimuth      S0(mW)      S1      S2      S3      DOP
1   0.09384   -0.02078   -0.11485   45.61144   0.09384   -0.02078   0.97360   -0.22770   99.98779
2   0.09385   -0.02091   -0.11566   45.61525   0.09385   -0.02091   0.97327   -0.22929   99.95117
3   0.09387   -0.02228   -0.11552   45.65565   0.09387   -0.02228   0.97327   -0.22901   99.91150
4   0.09392   -0.02289   -0.11478   45.67337   0.09392   -0.02289   0.97360   -0.22758   99.97864
5   0.09404   -0.02045   -0.11504   45.60157   0.09404   -0.02045   0.97360   -0.22810   99.95117
6   0.09415   -0.02066   -0.11427   45.60770   0.09415   -0.02066   0.97385   -0.22657   99.87183
7   0.09414   -0.01978   -0.11442   45.58170   0.09414   -0.01978   0.97382   -0.22687   99.96033
8   0.09414   -0.01944   -0.11449   45.57180   0.09414   -0.01944   0.97385   -0.22703   100.00000
9   0.09423   -0.01819   -0.11414   45.53493   0.09423   -0.01819   0.97400   -0.22633   99.92981
10   0.09429   -0.01651   -0.11370   45.48547   0.09429   -0.01651   0.97421   -0.22547   99.88098
11   0.09425   -0.01593   -0.11453   45.46858   0.09425   -0.01593   0.97388   -0.22709   100.03662
12   0.09424   -0.01624   -0.11409   45.47748   0.09424   -0.01624   0.97403   -0.22623   99.97864
13   0.09431   -0.01599   -0.11371   45.47023   0.09431   -0.01599   0.97418   -0.22547   99.92981
14   0.09428   -0.01709   -0.11372   45.50251   0.09428   -0.01709   0.97421   -0.22550   99.92981
15   0.09410   -0.01694   -0.11392   45.49809   0.09410   -0.01694   0.97409   -0.22590   100.00000
16   0.09399   -0.01828   -0.11388   45.53759   0.09399   -0.01828   0.97406   -0.22581   100.01831
17   0.09399   -0.01828   -0.11385   45.53757   0.09399   -0.01828   0.97409   -0.22575   99.87183
18   0.09402   -0.01865   -0.11349   45.54825   0.09402   -0.01865   0.97424   -0.22504   99.96033
19   0.09397   -0.01923   -0.11362   45.56529   0.09397   -0.01923   0.97424   -0.22532   99.96033
20   0.09398   -0.01953   -0.11350   45.57425   0.09398   -0.01953   0.97427   -0.22507   99.86267
21   0.09396   -0.01914   -0.11448   45.56285   0.09396   -0.01914   0.97382   -0.22700   99.92065
22   0.09392   -0.02103   -0.11363   45.61831   0.09392   -0.02103   0.97409   -0.22532   99.96033
23   0.09386   -0.01971   -0.11386   45.57975   0.09386   -0.01971   0.97406   -0.22578   99.96033
24   0.09389   -0.02115   -0.11303   45.62171   0.09389   -0.02115   0.97439   -0.22416   100.00916
25   0.09388   -0.02167   -0.11341   45.63707   0.09388   -0.02167   0.97421   -0.22489   99.97864
26   0.09408   -0.02075   -0.11369   45.61016   0.09408   -0.02075   0.97421   -0.22547   99.92981
27   0.09423   -0.02139   -0.11299   45.62880   0.09423   -0.02139   0.97452   -0.22410   99.93896
28   0.09419   -0.02124   -0.11385   45.62460   0.09419   -0.02124   0.97409   -0.22578   99.96948
29   0.09412   -0.02057   -0.11339   45.60472   0.09412   -0.02057   0.97430   -0.22486   100.02747
30   0.09425   -0.01971   -0.11363   45.57965   0.09425   -0.01971   0.97424   -0.22535   99.91150
31   0.09427   -0.01965   -0.11413   45.57805   0.09427   -0.01965   0.97391   -0.22629   99.88098
32   0.09419   -0.01856   -0.11313   45.54549   0.09419   -0.01856   0.97436   -0.22434   100.00916
33   0.09421   -0.01569   -0.11308   45.46111   0.09421   -0.01569   0.97449   -0.22425   100.05798
34   0.09433   -0.01477   -0.11351   45.43424   0.09433   -0.01477   0.97439   -0.22510   99.77417
35   0.09420   -0.01291   -0.11307   45.37945   0.09420   -0.01291   0.97458   -0.22425   99.97864
36   0.09413   -0.01251   -0.11330   45.36781   0.09413   -0.01251   0.97452   -0.22471   99.98779
37   0.09409   -0.01215   -0.11304   45.35705   0.09409   -0.01215   0.97452   -0.22416   99.96948
38   0.09401   -0.01157   -0.11417   45.34012   0.09401   -0.01157   0.97418   -0.22642   99.88098
39   0.09393   -0.01505   -0.11422   45.44250   0.09393   -0.01505   0.97400   -0.22648   99.96948
40   0.09390   -0.01709   -0.11362   45.50249   0.09390   -0.01709   0.97424   -0.22532   99.96948
41   0.09390   -0.01730   -0.11363   45.50879   0.09390   -0.01730   0.97421   -0.22532   99.92065
42   0.09397   -0.02045   -0.11402   45.60129   0.09397   -0.02045   0.97406   -0.22611   99.87183
43   0.09389   -0.02127   -0.11410   45.62563   0.09389   -0.02127   0.97388   -0.22623   99.92065
44   0.09385   -0.02554   -0.11349   45.75110   0.09385   -0.02554   0.97406   -0.22504   99.88098
45   0.09392   -0.02741   -0.11420   45.80606   0.09392   -0.02741   0.97375   -0.22645   99.93896
46   0.09393   -0.03015   -0.11469   45.88713   0.09393   -0.03015   0.97339   -0.22739   99.93896
47   0.09406   -0.03330   -0.11423   45.97936   0.09406   -0.03330   0.97357   -0.22651   99.85352
48   0.09420   -0.03525   -0.11359   46.03651   0.09420   -0.03525   0.97382   -0.22526   99.91150
