Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 16:35:14 4/17/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,0,6)
Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
1   0.09257   -0.05506   -46.63313   0.13033   0.09257   -0.05506   -0.96472   0.25773   100.50354
2   0.09273   -0.05542   -46.64459   0.13111   0.09273   -0.05542   -0.96435   0.25925   100.43335
3   0.09267   -0.05783   -46.71559   0.13025   0.09267   -0.05783   -0.96457   0.25758   100.53101
4   0.09262   -0.05777   -46.71394   0.13041   0.09262   -0.05777   -0.96448   0.25788   100.56152
5   0.09272   -0.05985   -46.77541   0.13032   0.09272   -0.05985   -0.96445   0.25773   100.48218
6   0.09267   -0.05982   -46.77524   0.13110   0.09267   -0.05982   -0.96405   0.25922   100.48218
7   0.09257   -0.05951   -46.76531   0.13023   0.09257   -0.05951   -0.96454   0.25755   100.62256
8   0.09257   -0.06034   -46.79014   0.13050   0.09257   -0.06034   -0.96429   0.25806   100.55237
9   0.09260   -0.05872   -46.74172   0.13024   0.09260   -0.05872   -0.96460   0.25758   100.44250
10   0.09240   -0.05716   -46.69513   0.12968   0.09240   -0.05716   -0.96490   0.25648   100.48523
11   0.09230   -0.05557   -46.64869   0.13044   0.09230   -0.05557   -0.96460   0.25794   100.62256
12   0.09234   -0.05408   -46.60463   0.13078   0.09234   -0.05408   -0.96448   0.25858   100.53406
13   0.09243   -0.05274   -46.56382   0.12992   0.09243   -0.05274   -0.96512   0.25697   100.42419
14   0.09232   -0.05206   -46.54434   0.13040   0.09232   -0.05206   -0.96487   0.25788   100.54321
15   0.09222   -0.05200   -46.54268   0.13047   0.09222   -0.05200   -0.96478   0.25800   100.56458
16   0.09236   -0.05103   -46.51358   0.13049   0.09236   -0.05103   -0.96490   0.25806   100.50354
17   0.09234   -0.05182   -46.53697   0.13021   0.09234   -0.05182   -0.96496   0.25752   100.47302
18   0.09232   -0.05148   -46.52689   0.12997   0.09232   -0.05148   -0.96506   0.25703   100.54321
19   0.09233   -0.05329   -46.58113   0.13092   0.09233   -0.05329   -0.96448   0.25886   100.49438
20   0.09236   -0.05313   -46.57602   0.13022   0.09236   -0.05313   -0.96484   0.25752   100.52490
