Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 16:30:8 4/17/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,6,0)
Index      S0(mW)      S1      Elipticity        Azimuth      S0(mW)      S1      S2      S3      DOP
1   0.09355   -0.10227   0.32205   48.67357   0.09355   -0.10227   0.79315   0.60054   98.46191
2   0.09365   -0.10706   0.32244   48.84879   0.09365   -0.10706   0.79208   0.60118   98.39478
3   0.09368   -0.11097   0.32243   48.99018   0.09368   -0.11097   0.79153   0.60115   98.47412
4   0.09373   -0.11698   0.32282   49.21024   0.09373   -0.11698   0.79022   0.60179   98.46497
5   0.09391   -0.12152   0.32183   49.36909   0.09391   -0.12152   0.79064   0.60015   98.47717
6   0.09387   -0.12748   0.32059   49.57603   0.09387   -0.12748   0.79125   0.59819   98.49548
7   0.09377   -0.13083   0.31983   49.69193   0.09377   -0.13083   0.79168   0.59700   98.52295
8   0.09387   -0.13193   0.31996   49.73295   0.09387   -0.13193   0.79128   0.59719   98.47717
9   0.09386   -0.13285   0.32010   49.76664   0.09386   -0.13285   0.79104   0.59746   98.45581
10   0.09386   -0.13089   0.32030   49.69746   0.09386   -0.13089   0.79110   0.59777   98.51685
11   0.09387   -0.12842   0.32071   49.61116   0.09387   -0.12842   0.79095   0.59838   98.58398
12   0.09402   -0.12583   0.32041   49.51495   0.09402   -0.12583   0.79177   0.59792   98.44055
13   0.09395   -0.12159   0.32091   49.36495   0.09395   -0.12159   0.79180   0.59871   98.46802
14   0.09377   -0.11780   0.32181   49.23367   0.09377   -0.11780   0.79131   0.60018   98.44666
15   0.09377   -0.11240   0.32148   49.03586   0.09377   -0.11240   0.79257   0.59969   98.41614
16   0.09378   -0.10773   0.32105   48.86498   0.09378   -0.10773   0.79366   0.59896   98.47412
17   0.09359   -0.10361   0.32221   48.72282   0.09359   -0.10361   0.79281   0.60082   98.48328
18   0.09357   -0.09955   0.32176   48.57376   0.09357   -0.09955   0.79388   0.60009   98.46191
19   0.09365   -0.09885   0.32102   48.54450   0.09365   -0.09885   0.79485   0.59890   98.46497
20   0.09355   -0.09775   0.32161   48.50777   0.09355   -0.09775   0.79434   0.59990   98.49243
21   0.09361   -0.09900   0.32100   48.54965   0.09361   -0.09900   0.79492   0.59893   98.43445
22   0.09365   -0.10108   0.32055   48.62231   0.09365   -0.10108   0.79513   0.59813   98.51379
23   0.09365   -0.10541   0.32067   48.77887   0.09365   -0.10541   0.79449   0.59838   98.47412
24   0.09367   -0.10974   0.32060   48.93515   0.09367   -0.10974   0.79391   0.59822   98.50159
25   0.09377   -0.11328   0.32002   49.05904   0.09377   -0.11328   0.79418   0.59734   98.44666
26   0.09394   -0.11802   0.31935   49.22581   0.09394   -0.11802   0.79424   0.59621   98.39172
27   0.09385   -0.12140   0.31972   49.35055   0.09385   -0.12140   0.79327   0.59679   98.57483
28   0.09386   -0.12491   0.31969   49.47702   0.09386   -0.12491   0.79278   0.59676   98.52600
29   0.09400   -0.12799   0.31893   49.58339   0.09400   -0.12799   0.79318   0.59554   98.59619
30   0.09406   -0.12912   0.31870   49.62226   0.09406   -0.12912   0.79333   0.59520   98.44055
31   0.09394   -0.13108   0.31884   49.69378   0.09394   -0.13108   0.79284   0.59542   98.60535
32   0.09394   -0.13059   0.31847   49.67342   0.09394   -0.13059   0.79339   0.59484   98.51685
33   0.09395   -0.12952   0.31886   49.63779   0.09395   -0.12952   0.79305   0.59545   98.55652
34   0.09399   -0.12827   0.31912   49.59428   0.09399   -0.12827   0.79296   0.59587   98.43140
35   0.09378   -0.12668   0.31933   49.53856   0.09378   -0.12668   0.79293   0.59618   98.59314
36   0.09367   -0.12308   0.31947   49.40910   0.09367   -0.12308   0.79339   0.59645   98.55042
37   0.09365   -0.11963   0.31955   49.28515   0.09365   -0.11963   0.79382   0.59658   98.45276
