Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
1   0.09286   -0.14533   -54.17257   0.54543   0.09286   -0.14533   -0.43828   0.88705   97.31750
2   0.09280   -0.14451   -54.12461   0.54560   0.09280   -0.14451   -0.43825   0.88726   97.32361
3   0.09272   -0.14554   -54.19172   0.54558   0.09272   -0.14554   -0.43794   0.88723   97.36328
4   0.09279   -0.14380   -54.08025   0.54562   0.09279   -0.14380   -0.43840   0.88720   97.33276
5   0.09267   -0.14527   -54.16362   0.54531   0.09267   -0.14527   -0.43855   0.88699   97.31140
6   0.09265   -0.14524   -54.14934   0.54499   0.09265   -0.14524   -0.43919   0.88678   97.29919
7   0.09273   -0.14411   -54.09352   0.54546   0.09273   -0.14411   -0.43864   0.88711   97.34192
8   0.09262   -0.14466   -54.13182   0.54552   0.09262   -0.14466   -0.43834   0.88717   97.36023
9   0.09265   -0.14493   -54.12192   0.54476   0.09265   -0.14493   -0.43968   0.88650   97.33887
10   0.09288   -0.14423   -54.09422   0.54528   0.09288   -0.14423   -0.43898   0.88705   97.30835
11   0.09306   -0.14548   -54.18036   0.54539   0.09306   -0.14548   -0.43834   0.88711   97.27173
12   0.09300   -0.14765   -54.30954   0.54504   0.09300   -0.14765   -0.43825   0.88672   97.32056
13   0.09286   -0.14631   -54.21449   0.54484   0.09286   -0.14631   -0.43907   0.88656   97.39685
14   0.09304   -0.14667   -54.25938   0.54540   0.09304   -0.14667   -0.43788   0.88702   97.27173
15   0.09310   -0.14817   -54.32428   0.54452   0.09310   -0.14817   -0.43904   0.88623   97.22595
16   0.09304   -0.14737   -54.28679   0.54491   0.09304   -0.14737   -0.43858   0.88662   97.29309
17   0.09301   -0.14841   -54.33495   0.54439   0.09301   -0.14841   -0.43922   0.88617   97.41821
18   0.09312   -0.14835   -54.34105   0.54466   0.09312   -0.14835   -0.43873   0.88641   97.23511
19   0.09313   -0.14856   -54.34087   0.54428   0.09313   -0.14856   -0.43937   0.88604   97.23511
20   0.09304   -0.14911   -54.36634   0.54402   0.09304   -0.14911   -0.43971   0.88586   97.34192
21   0.09291   -0.14698   -54.22283   0.54388   0.09291   -0.14698   -0.44066   0.88568   97.36633
22   0.09287   -0.14859   -54.32216   0.54372   0.09287   -0.14859   -0.44041   0.88553   97.28699
23   0.09283   -0.14872   -54.32027   0.54347   0.09283   -0.14872   -0.44087   0.88534   97.27783
24   0.09267   -0.14823   -54.29657   0.54368   0.09267   -0.14823   -0.44063   0.88553   97.36938
25   0.09273   -0.14783   -54.27998   0.54392   0.09273   -0.14783   -0.44029   0.88571   97.34192
26   0.09271   -0.14774   -54.28062   0.54409   0.09271   -0.14774   -0.43999   0.88586   97.37244
27   0.09281   -0.14859   -54.31796   0.54361   0.09281   -0.14859   -0.44063   0.88543   97.36328
28   0.09277   -0.14917   -54.37899   0.54421   0.09277   -0.14917   -0.43925   0.88592   97.39380
29   0.09275   -0.14774   -54.29082   0.54438   0.09275   -0.14774   -0.43947   0.88614   97.36328
30   0.09268   -0.14801   -54.28409   0.54371   0.09268   -0.14801   -0.44063   0.88553   97.32056
31   0.09266   -0.14975   -54.39104   0.54355   0.09266   -0.14975   -0.44035   0.88540   97.33887
32   0.09297   -0.14917   -54.37596   0.54415   0.09297   -0.14917   -0.43941   0.88592   97.27173
33   0.09300   -0.14982   -54.40430   0.54380   0.09300   -0.14982   -0.43986   0.88565   97.39075
34   0.09295   -0.14911   -54.34582   0.54343   0.09295   -0.14911   -0.44075   0.88522   97.38770
35   0.09298   -0.14908   -54.34766   0.54356   0.09298   -0.14908   -0.44057   0.88540   97.36023
36   0.09307   -0.15018   -54.41777   0.54353   0.09307   -0.15018   -0.44026   0.88540   97.33276
37   0.09302   -0.14945   -54.36057   0.54323   0.09302   -0.14945   -0.44099   0.88501   97.36938
38   0.09300   -0.14920   -54.33372   0.54296   0.09300   -0.14920   -0.44163   0.88485   97.39990
39   0.09304   -0.14682   -54.18188   0.54304   0.09304   -0.14682   -0.44230   0.88495   97.34192
40   0.09308   -0.14686   -54.20380   0.54359   0.09308   -0.14686   -0.44127   0.88546   97.32361
41   0.09298   -0.14701   -54.20916   0.54345   0.09298   -0.14701   -0.44145   0.88528   97.38770
42   0.09296   -0.14707   -54.21331   0.54346   0.09296   -0.14707   -0.44142   0.88531   97.30835
43   0.09284   -0.14667   -54.19903   0.54378   0.09284   -0.14667   -0.44096   0.88562   97.36633
44   0.09279   -0.14649   -54.17174   0.54334   0.09279   -0.14649   -0.44182   0.88516   97.32361
45   0.09276   -0.14728   -54.23353   0.54363   0.09276   -0.14728   -0.44102   0.88546   97.41211
46   0.09273   -0.14786   -54.25666   0.54323   0.09273   -0.14786   -0.44157   0.88507   97.44263
47   0.09278   -0.14890   -54.32975   0.54337   0.09278   -0.14890   -0.44093   0.88516   97.34497
48   0.09274   -0.14701   -54.18134   0.54269   0.09274   -0.14701   -0.44288   0.88461   97.37244
49   0.09272   -0.14576   -54.11482   0.54306   0.09272   -0.14576   -0.44255   0.88485   97.45178
50   0.09274   -0.14475   -54.06824   0.54360   0.09274   -0.14475   -0.44191   0.88543   97.37244
51   0.09270   -0.14426   -53.99203   0.54234   0.09270   -0.14426   -0.44441   0.88424   97.26257
52   0.09274   -0.14359   -53.94940   0.54236   0.09274   -0.14359   -0.44459   0.88424   97.38159
53   0.09285   -0.14331   -53.98825   0.54398   0.09285   -0.14331   -0.44169   0.88583   97.43347
54   0.09300   -0.14362   -54.01781   0.54423   0.09300   -0.14362   -0.44108   0.88595   97.32971
55   0.09303   -0.14353   -54.00544   0.54406   0.09303   -0.14353   -0.44145   0.88583   97.35107
56   0.09295   -0.14362   -54.02365   0.54439   0.09295   -0.14362   -0.44078   0.88610   97.32971
57   0.09310   -0.14478   -54.09821   0.54439   0.09310   -0.14478   -0.44044   0.88617   97.24426
58   0.09304   -0.14374   -54.04077   0.54466   0.09304   -0.14374   -0.44026   0.88638   97.31140
59   0.09300   -0.14652   -54.17234   0.54332   0.09300   -0.14652   -0.44188   0.88522   97.35107
60   0.09310   -0.14780   -54.28059   0.54397   0.09310   -0.14780   -0.44017   0.88571   97.30225
61   0.09314   -0.14820   -54.30740   0.54402   0.09314   -0.14820   -0.43999   0.88583   97.25647
