Index      S0(mW)      S1      Elipticity        Azimuth      S0(mW)      S1      S2      S3      DOP
1   0.09379   -0.11466   0.27635   48.87056   0.09379   -0.11466   0.84347   0.52507   98.63281
2   0.09374   -0.11179   0.27616   48.77242   0.09374   -0.11179   0.84402   0.52470   98.70911
3   0.09373   -0.11051   0.27610   48.72859   0.09373   -0.11051   0.84426   0.52461   98.76709
4   0.09368   -0.10886   0.27650   48.67438   0.09368   -0.10886   0.84408   0.52532   98.73657
5   0.09366   -0.10685   0.27687   48.60777   0.09366   -0.10685   0.84393   0.52593   98.72742
6   0.09365   -0.10575   0.27580   48.56569   0.09365   -0.10575   0.84521   0.52412   98.72742
7   0.09369   -0.10669   0.27563   48.59713   0.09369   -0.10669   0.84524   0.52382   98.73657
8   0.09363   -0.10575   0.27526   48.56327   0.09363   -0.10575   0.84579   0.52321   98.67859
9   0.09361   -0.10657   0.27527   48.59113   0.09361   -0.10657   0.84570   0.52324   98.64807
10   0.09379   -0.10602   0.27543   48.57333   0.09379   -0.10602   0.84558   0.52348   98.51379
11   0.09362   -0.11115   0.27531   48.74675   0.09362   -0.11115   0.84500   0.52327   98.83423
12   0.09388   -0.11396   0.27590   48.84440   0.09388   -0.11396   0.84408   0.52431   98.59314
13   0.09397   -0.11734   0.27650   48.96249   0.09397   -0.11734   0.84295   0.52532   98.69385
14   0.09398   -0.12104   0.27658   49.08830   0.09398   -0.12104   0.84237   0.52547   98.63586
15   0.09394   -0.12265   0.27711   49.14618   0.09394   -0.12265   0.84155   0.52635   98.73047
16   0.09400   -0.12452   0.27682   49.20836   0.09400   -0.12452   0.84152   0.52583   98.62366
17   0.09391   -0.12702   0.27754   49.29722   0.09391   -0.12702   0.84042   0.52709   98.65417
18   0.09397   -0.12665   0.27712   49.28257   0.09397   -0.12665   0.84091   0.52635   98.76099
19   0.09395   -0.12656   0.27569   49.27188   0.09395   -0.12656   0.84243   0.52391   98.71216
20   0.09406   -0.12394   0.27550   49.18172   0.09406   -0.12394   0.84301   0.52358   98.63586
21   0.09394   -0.12012   0.27520   49.05054   0.09394   -0.12012   0.84390   0.52309   98.75183
22   0.09388   -0.11762   0.27497   48.96442   0.09388   -0.11762   0.84451   0.52269   98.76099
23   0.09387   -0.11496   0.27554   48.87685   0.09387   -0.11496   0.84433   0.52370   98.57483
24   0.09373   -0.11295   0.27705   48.81559   0.09373   -0.11295   0.84301   0.52629   98.67859
25   0.09367   -0.11066   0.27667   48.73648   0.09367   -0.11066   0.84362   0.52559   98.69995
26   0.09377   -0.10804   0.27699   48.64844   0.09377   -0.10804   0.84371   0.52617   98.63281
27   0.09366   -0.10636   0.27736   48.59338   0.09366   -0.10636   0.84347   0.52678   98.62976
28   0.09356   -0.10471   0.27759   48.53865   0.09356   -0.10471   0.84338   0.52712   98.74573
29   0.09354   -0.10239   0.27692   48.45657   0.09354   -0.10239   0.84448   0.52605   98.83423
30   0.09363   -0.10263   0.27724   48.46635   0.09363   -0.10263   0.84408   0.52657   98.64807
31   0.09364   -0.10340   0.27736   48.49274   0.09364   -0.10340   0.84387   0.52678   98.63892
32   0.09369   -0.10352   0.27694   48.49494   0.09369   -0.10352   0.84433   0.52608   98.61145
33   0.09381   -0.10562   0.27684   48.56633   0.09381   -0.10562   0.84408   0.52586   98.70911
34   0.09394   -0.10837   0.27598   48.65560   0.09394   -0.10837   0.84466   0.52440   98.62366
35   0.09396   -0.11136   0.27565   48.75534   0.09396   -0.11136   0.84466   0.52388   98.69385
36   0.09398   -0.11344   0.27572   48.82628   0.09398   -0.11344   0.84426   0.52397   98.74268
37   0.09393   -0.11744   0.27523   48.95959   0.09393   -0.11744   0.84423   0.52312   98.72131
38   0.09392   -0.11853   0.27553   48.99787   0.09392   -0.11853   0.84387   0.52370   98.65417
39   0.09401   -0.12104   0.27514   49.08130   0.09401   -0.12104   0.84384   0.52300   98.67249
40   0.09410   -0.12125   0.27533   49.08971   0.09410   -0.12125   0.84356   0.52327   98.73352
41   0.09403   -0.11988   0.27597   49.04603   0.09403   -0.11988   0.84313   0.52440   98.70300
42   0.09391   -0.11820   0.27572   48.98798   0.09391   -0.11820   0.84359   0.52394   98.75183
43   0.09398   -0.11786   0.27552   48.97538   0.09398   -0.11786   0.84390   0.52364   98.61450
44   0.09388   -0.11451   0.27558   48.86201   0.09388   -0.11451   0.84423   0.52370   98.66333
45   0.09374   -0.11209   0.27563   48.78003   0.09374   -0.11209   0.84460   0.52385   98.74878
46   0.09362   -0.11060   0.27578   48.73004   0.09362   -0.11060   0.84463   0.52409   98.77625
47   0.09371   -0.10865   0.27564   48.66306   0.09371   -0.10865   0.84506   0.52388   98.67859
48   0.09366   -0.10770   0.27632   48.63423   0.09366   -0.10770   0.84442   0.52501   98.70911
49   0.09350   -0.10578   0.27614   48.56824   0.09350   -0.10578   0.84484   0.52470   98.75488
50   0.09359   -0.10663   0.27618   48.59754   0.09359   -0.10663   0.84466   0.52474   98.73657
51   0.09369   -0.10648   0.27545   48.58898   0.09369   -0.10648   0.84548   0.52351   98.62061
52   0.09366   -0.10611   0.27576   48.57779   0.09366   -0.10611   0.84524   0.52406   98.67859
53   0.09361   -0.10739   0.27549   48.62003   0.09361   -0.10739   0.84536   0.52361   98.72742
54   0.09375   -0.10883   0.27632   48.67258   0.09375   -0.10883   0.84426   0.52501   98.74878
55   0.09397   -0.10941   0.27559   48.68876   0.09397   -0.10941   0.84500   0.52379   98.63586
56   0.09386   -0.11069   0.27578   48.73309   0.09386   -0.11069   0.84463   0.52409   98.66333
57   0.09397   -0.11191   0.27499   48.77110   0.09397   -0.11191   0.84524   0.52272   98.64502
58   0.09401   -0.11399   0.27559   48.84418   0.09401   -0.11399   0.84436   0.52376   98.70300
59   0.09387   -0.11377   0.27595   48.83871   0.09387   -0.11377   0.84399   0.52437   98.73962
60   0.09397   -0.11603   0.27554   48.91355   0.09397   -0.11603   0.84408   0.52364   98.72131
61   0.09402   -0.11628   0.27672   48.92729   0.09402   -0.11628   0.84286   0.52568   98.63586
62   0.09399   -0.11670   0.27619   48.93914   0.09399   -0.11670   0.84338   0.52480   98.66333
63   0.09394   -0.11878   0.27637   49.01072   0.09394   -0.11878   0.84286   0.52507   98.76099
64   0.09396   -0.11744   0.27613   48.96412   0.09396   -0.11744   0.84326   0.52464   98.63281
65   0.09381   -0.11661   0.27611   48.93595   0.09381   -0.11661   0.84341   0.52461   98.64197
66   0.09366   -0.11393   0.27671   48.84750   0.09366   -0.11393   0.84317   0.52565   98.76709
67   0.09374   -0.11444   0.27499   48.85682   0.09374   -0.11444   0.84494   0.52275   98.69080
68   0.09370   -0.11258   0.27556   48.79671   0.09370   -0.11258   0.84451   0.52367   98.62976
69   0.09369   -0.11301   0.27521   48.80918   0.09369   -0.11301   0.84490   0.52312   98.69995
70   0.09355   -0.11261   0.27512   48.79515   0.09355   -0.11261   0.84509   0.52300   98.76404
71   0.09360   -0.10883   0.27571   48.66995   0.09360   -0.10883   0.84487   0.52394   98.67859
72   0.09366   -0.10996   0.27521   48.70575   0.09366   -0.10996   0.84530   0.52312   98.72742
73   0.09366   -0.10996   0.27540   48.70655   0.09366   -0.10996   0.84512   0.52345   98.70911
74   0.09366   -0.10962   0.27533   48.69510   0.09366   -0.10962   0.84518   0.52330   98.73657
75   0.09378   -0.11020   0.27547   48.71495   0.09378   -0.11020   0.84506   0.52361   98.66943
76   0.09388   -0.11057   0.27580   48.72929   0.09388   -0.11057   0.84457   0.52409   98.61450
77   0.09389   -0.11158   0.27566   48.76233   0.09389   -0.11158   0.84469   0.52394   98.69080
78   0.09403   -0.11203   0.27548   48.77732   0.09403   -0.11203   0.84475   0.52358   98.67554
79   0.09387   -0.11298   0.27504   48.80722   0.09387   -0.11298   0.84512   0.52284   98.69080
80   0.09389   -0.11267   0.27540   48.79868   0.09389   -0.11267   0.84475   0.52345   98.73962
81   0.09400   -0.11322   0.27516   48.81644   0.09400   -0.11322   0.84487   0.52300   98.69385
82   0.09400   -0.11417   0.27549   48.85001   0.09400   -0.11417   0.84442   0.52358   98.59619
83   0.09394   -0.11548   0.27493   48.89149   0.09394   -0.11548   0.84490   0.52266   98.68164
84   0.09399   -0.11594   0.27575   48.91148   0.09399   -0.11594   0.84387   0.52400   98.68469
85   0.09392   -0.11618   0.27535   48.91765   0.09392   -0.11618   0.84429   0.52333   98.61450
86   0.09386   -0.11676   0.27514   48.93626   0.09386   -0.11676   0.84445   0.52300   98.72131
87   0.09369   -0.11679   0.27535   48.93826   0.09369   -0.11679   0.84423   0.52336   98.73657
88   0.09371   -0.11579   0.27571   48.90583   0.09371   -0.11579   0.84399   0.52397   98.68774
89   0.09372   -0.11353   0.27587   48.83015   0.09372   -0.11353   0.84408   0.52422   98.72742
90   0.09366   -0.11216   0.27529   48.78072   0.09366   -0.11216   0.84490   0.52324   98.67859
91   0.09360   -0.11240   0.27541   48.78952   0.09360   -0.11240   0.84475   0.52345   98.76709
92   0.09370   -0.11164   0.27494   48.76141   0.09370   -0.11164   0.84536   0.52266   98.66943
93   0.09372   -0.11002   0.27538   48.70845   0.09372   -0.11002   0.84515   0.52342   98.55347
94   0.09354   -0.11060   0.27551   48.72898   0.09354   -0.11060   0.84487   0.52361   98.75488
95   0.09368   -0.10837   0.27545   48.65311   0.09368   -0.10837   0.84524   0.52351   98.66028
96   0.09366   -0.11039   0.27561   48.72198   0.09366   -0.11039   0.84484   0.52382   98.69690
97   0.09377   -0.10987   0.27543   48.70350   0.09377   -0.10987   0.84512   0.52351   98.73047
98   0.09390   -0.11090   0.27520   48.73795   0.09390   -0.11090   0.84515   0.52309   98.72131
99   0.09402   -0.11158   0.27492   48.75925   0.09402   -0.11158   0.84539   0.52263   98.63586
100   0.09399   -0.11234   0.27488   48.78479   0.09399   -0.11234   0.84536   0.52257   98.65417
101   0.09395   -0.11310   0.27452   48.80897   0.09395   -0.11310   0.84564   0.52196   98.75183
102   0.09401   -0.11515   0.27446   48.87811   0.09401   -0.11515   0.84539   0.52184   98.67249
103   0.09408   -0.11408   0.27474   48.84311   0.09408   -0.11408   0.84527   0.52232   98.64502
104   0.09403   -0.11521   0.27429   48.87931   0.09403   -0.11521   0.84558   0.52156   98.71216
105   0.09408   -0.11594   0.27415   48.90325   0.09408   -0.11594   0.84567   0.52135   98.74268
106   0.09412   -0.11548   0.27440   48.88927   0.09412   -0.11548   0.84539   0.52171   98.69385
107   0.09395   -0.11545   0.27417   48.88701   0.09395   -0.11545   0.84567   0.52135   98.67249
108   0.09371   -0.11505   0.27453   48.87534   0.09371   -0.11505   0.84533   0.52196   98.80676
109   0.09387   -0.11542   0.27487   48.88960   0.09387   -0.11542   0.84487   0.52251   98.54431
110   0.09379   -0.11451   0.27495   48.85857   0.09379   -0.11451   0.84500   0.52269   98.69995
111   0.09363   -0.11289   0.27439   48.80118   0.09363   -0.11289   0.84579   0.52171   98.73657
112   0.09354   -0.11228   0.27496   48.78316   0.09354   -0.11228   0.84527   0.52269   98.79456
113   0.09373   -0.11148   0.27498   48.75660   0.09373   -0.11148   0.84530   0.52269   98.66028
114   0.09363   -0.11139   0.27509   48.75395   0.09363   -0.11139   0.84521   0.52290   98.79456
115   0.09348   -0.11072   0.27494   48.73038   0.09348   -0.11072   0.84548   0.52266   98.82202
116   0.09357   -0.11158   0.27504   48.75991   0.09357   -0.11158   0.84524   0.52281   98.78540
117   0.09363   -0.11280   0.27596   48.80519   0.09363   -0.11280   0.84420   0.52443   98.67859
118   0.09368   -0.11417   0.27546   48.84973   0.09368   -0.11417   0.84448   0.52355   98.66943
119   0.09386   -0.11475   0.27591   48.87181   0.09386   -0.11475   0.84387   0.52428   98.69995
120   0.09393   -0.11576   0.27595   48.90593   0.09393   -0.11576   0.84375   0.52437   98.62366
121   0.09389   -0.11676   0.27568   48.93864   0.09389   -0.11676   0.84393   0.52394   98.70300
122   0.09390   -0.11725   0.27547   48.95435   0.09390   -0.11725   0.84405   0.52358   98.68164
123   0.09400   -0.11679   0.27569   48.93980   0.09400   -0.11679   0.84390   0.52394   98.69385
124   0.09399   -0.11753   0.27487   48.96095   0.09399   -0.11753   0.84460   0.52251   98.62366
125   0.09400   -0.11667   0.27493   48.93209   0.09400   -0.11667   0.84469   0.52263   98.64502
126   0.09400   -0.11573   0.27517   48.90129   0.09400   -0.11573   0.84454   0.52303   98.71216
127   0.09400   -0.11606   0.27588   48.91568   0.09400   -0.11606   0.84384   0.52431   98.65417
128   0.09388   -0.11386   0.27518   48.83805   0.09388   -0.11386   0.84481   0.52306   98.66333
129   0.09375   -0.11447   0.27643   48.86473   0.09375   -0.11447   0.84341   0.52519   98.82507
130   0.09386   -0.11362   0.27718   48.83910   0.09386   -0.11362   0.84277   0.52651   98.65112
131   0.09375   -0.11298   0.27657   48.81484   0.09375   -0.11298   0.84341   0.52541   98.69080
132   0.09368   -0.11011   0.27721   48.72001   0.09368   -0.11011   0.84320   0.52654   98.67859
133   0.09366   -0.10782   0.27658   48.63987   0.09366   -0.10782   0.84405   0.52541   98.78540
