Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 14:19:47 4/18/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09440   -0.05750   0.95511   -0.29069   0.09440   -0.05750   0.95511   -0.29069   99.97864
2   0.09446   -0.05902   0.95489   -0.29133   0.09446   -0.05902   0.95489   -0.29133   99.98779
3   0.09444   -0.05792   0.95495   -0.29148   0.09444   -0.05792   0.95495   -0.29148   99.97864
4   0.09438   -0.05878   0.95563   -0.28910   0.09438   -0.05878   0.95563   -0.28910   100.01831
5   0.09429   -0.05902   0.95523   -0.29048   0.09429   -0.05902   0.95523   -0.29048   99.97864
6   0.09422   -0.05881   0.95489   -0.29133   0.09422   -0.05881   0.95489   -0.29133   100.04578
7   0.09428   -0.05731   0.95471   -0.29215   0.09428   -0.05731   0.95471   -0.29215   100.05798
8   0.09451   -0.05725   0.95468   -0.29228   0.09451   -0.05725   0.95468   -0.29228   99.90234
9   0.09463   -0.05585   0.95425   -0.29411   0.09463   -0.05585   0.95425   -0.29411   99.95117
10   0.09469   -0.05649   0.95300   -0.29801   0.09469   -0.05649   0.95300   -0.29801   100.07629
11   0.09463   -0.05396   0.95273   -0.29905   0.09463   -0.05396   0.95273   -0.29905   100.03662
12   0.09478   -0.05344   0.95276   -0.29933   0.09478   -0.05344   0.95276   -0.29933   99.96033
13   0.09476   -0.05396   0.95178   -0.30244   0.09476   -0.05396   0.95178   -0.30244   100.01831
14   0.09476   -0.05292   0.95166   -0.30290   0.09476   -0.05292   0.95166   -0.30290   100.10376
15   0.09478   -0.05124   0.95215   -0.30161   0.09478   -0.05124   0.95215   -0.30161   100.03662
16   0.09484   -0.04822   0.95273   -0.30024   0.09484   -0.04822   0.95273   -0.30024   99.98779
17   0.09468   -0.04816   0.95312   -0.29911   0.09468   -0.04816   0.95312   -0.29911   100.09460
18   0.09465   -0.04682   0.95389   -0.29704   0.09465   -0.04682   0.95389   -0.29704   100.05798
19   0.09464   -0.04816   0.95437   -0.29505   0.09464   -0.04816   0.95437   -0.29505   99.96948
20   0.09450   -0.05045   0.95489   -0.29307   0.09450   -0.05045   0.95489   -0.29307   99.97864
21   0.09441   -0.05390   0.95520   -0.29154   0.09441   -0.05390   0.95520   -0.29154   100.02747
22   0.09447   -0.05838   0.95517   -0.29051   0.09447   -0.05838   0.95517   -0.29051   100.00000
23   0.09447   -0.06290   0.95474   -0.29096   0.09447   -0.06290   0.95474   -0.29096   99.96033
24   0.09431   -0.06641   0.95495   -0.28962   0.09431   -0.06641   0.95495   -0.28962   100.08545
25   0.09432   -0.06711   0.95520   -0.28867   0.09432   -0.06711   0.95520   -0.28867   99.96948
26   0.09439   -0.06897   0.95532   -0.28788   0.09439   -0.06897   0.95532   -0.28788   99.92065
27   0.09426   -0.06980   0.95508   -0.28861   0.09426   -0.06980   0.95508   -0.28861   100.08545
28   0.09430   -0.06946   0.95486   -0.28935   0.09430   -0.06946   0.95486   -0.28935   100.04578
29   0.09437   -0.06708   0.95550   -0.28773   0.09437   -0.06708   0.95550   -0.28773   99.95117
30   0.09450   -0.06497   0.95492   -0.29002   0.09450   -0.06497   0.95492   -0.29002   100.00000
31   0.09451   -0.06323   0.95483   -0.29063   0.09451   -0.06323   0.95483   -0.29063   100.07629
32   0.09470   -0.05997   0.95480   -0.29173   0.09470   -0.05997   0.95480   -0.29173   99.88098
33   0.09473   -0.05811   0.95441   -0.29319   0.09473   -0.05811   0.95441   -0.29319   99.97864
34   0.09465   -0.05493   0.95431   -0.29389   0.09465   -0.05493   0.95431   -0.29389   100.00916
35   0.09465   -0.05371   0.95419   -0.29447   0.09465   -0.05371   0.95419   -0.29447   100.02747
36   0.09478   -0.05246   0.95453   -0.29402   0.09478   -0.05246   0.95453   -0.29402   100.01831
37   0.09485   -0.05271   0.95407   -0.29530   0.09485   -0.05271   0.95407   -0.29530   99.94202
38   0.09473   -0.05142   0.95401   -0.29597   0.09473   -0.05142   0.95401   -0.29597   100.02747
39   0.09470   -0.05371   0.95361   -0.29658   0.09470   -0.05371   0.95361   -0.29658   100.00916
40   0.09477   -0.05353   0.95389   -0.29582   0.09477   -0.05353   0.95389   -0.29582   99.97864
41   0.09456   -0.05536   0.95331   -0.29734   0.09456   -0.05536   0.95331   -0.29734   99.98779
42   0.09443   -0.05649   0.95337   -0.29673   0.09443   -0.05649   0.95337   -0.29673   100.07629
