Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 14:51:46 4/18/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,0,6)
Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
1   0.09352   -0.21516   54.27060   0.41390   0.09352   -0.21516   0.64150   0.73656   98.18726
2   0.09354   -0.21351   54.23553   0.41573   0.09354   -0.21351   0.63918   0.73904   98.16895
3   0.09364   -0.21430   54.30933   0.41749   0.09364   -0.21430   0.63610   0.74133   98.05298
4   0.09359   -0.21400   54.30447   0.41792   0.09359   -0.21400   0.63555   0.74190   98.12927
5   0.09355   -0.21528   54.33630   0.41673   0.09355   -0.21528   0.63701   0.74035   98.18726
6   0.09357   -0.21525   54.34424   0.41714   0.09357   -0.21525   0.63634   0.74087   98.12927
7   0.09364   -0.21424   54.29523   0.41695   0.09364   -0.21424   0.63695   0.74059   98.11096
8   0.09342   -0.21412   54.26302   0.41575   0.09342   -0.21412   0.63897   0.73907   98.19641
9   0.09337   -0.21189   54.14297   0.41476   0.09337   -0.21189   0.64122   0.73772   98.15369
10   0.09344   -0.21137   54.12328   0.41493   0.09344   -0.21137   0.64113   0.73794   98.14758
11   0.09332   -0.21043   54.06860   0.41435   0.09332   -0.21043   0.64238   0.73721   98.08655
12   0.09321   -0.21046   54.03452   0.41260   0.09321   -0.21046   0.64507   0.73482   98.14148
13   0.09322   -0.20954   53.99657   0.41273   0.09322   -0.20954   0.64516   0.73498   98.16284
14   0.09315   -0.20960   53.99146   0.41233   0.09315   -0.20960   0.64574   0.73443   98.01331
15   0.09325   -0.20917   53.96004   0.41170   0.09325   -0.20917   0.64684   0.73354   98.08350
16   0.09328   -0.20890   53.93560   0.41107   0.09328   -0.20890   0.64788   0.73269   98.17200
17   0.09321   -0.20670   53.86238   0.41232   0.09321   -0.20670   0.64672   0.73443   98.09265
18   0.09319   -0.20832   53.91709   0.41141   0.09319   -0.20832   0.64751   0.73312   98.14148
19   0.09353   -0.20841   53.91880   0.41130   0.09353   -0.20841   0.64766   0.73296   98.15674
20   0.09355   -0.20795   53.91698   0.41226   0.09355   -0.20795   0.64638   0.73434   98.17810
21   0.09350   -0.20942   53.97815   0.41207   0.09350   -0.20942   0.64620   0.73406   98.14758
