Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
1   0.09337   -0.22156   61.76403   0.57906   0.09337   -0.22156   0.33439   0.91620   97.04590
2   0.09333   -0.22114   61.75303   0.57934   0.09333   -0.22114   0.33403   0.91638   97.10388
3   0.09333   -0.22221   61.81542   0.57902   0.09333   -0.22221   0.33406   0.91617   97.15271
4   0.09337   -0.22147   61.77183   0.57923   0.09337   -0.22147   0.33406   0.91632   97.05811
5   0.09329   -0.22202   61.77201   0.57869   0.09329   -0.22202   0.33488   0.91586   96.96655
6   0.09330   -0.22086   61.78009   0.57992   0.09330   -0.22086   0.33293   0.91681   97.09473
7   0.09328   -0.22187   61.82082   0.57941   0.09328   -0.22187   0.33341   0.91650   97.10388
8   0.09314   -0.21970   61.68416   0.57996   0.09314   -0.21970   0.33360   0.91687   97.02148
9   0.09303   -0.22062   61.78608   0.58023   0.09303   -0.22062   0.33241   0.91708   97.03674
10   0.09310   -0.22196   61.90278   0.58025   0.09310   -0.22196   0.33149   0.91714   97.11609
11   0.09307   -0.22025   61.83466   0.58115   0.09307   -0.22025   0.33064   0.91784   97.07642
12   0.09306   -0.22202   62.02297   0.58154   0.09306   -0.22202   0.32859   0.91815   97.02759
13   0.09299   -0.22507   62.18255   0.58034   0.09299   -0.22507   0.32914   0.91714   97.13440
14   0.09303   -0.22202   62.01433   0.58143   0.09303   -0.22202   0.32881   0.91803   97.06421
15   0.09302   -0.22156   61.98199   0.58152   0.09302   -0.22156   0.32893   0.91812   97.02454
16   0.09305   -0.22202   62.02050   0.58150   0.09305   -0.22202   0.32865   0.91809   97.07642
17   0.09300   -0.22056   61.94989   0.58213   0.09300   -0.22056   0.32823   0.91855   97.15271
18   0.09314   -0.21955   61.87449   0.58228   0.09314   -0.21955   0.32859   0.91870   97.00012
19   0.09316   -0.21967   61.85116   0.58190   0.09316   -0.21967   0.32936   0.91839   97.11914
20   0.09312   -0.22010   61.87932   0.58178   0.09312   -0.22010   0.32929   0.91824   97.12830
21   0.09335   -0.21921   61.80157   0.58180   0.09335   -0.21921   0.32991   0.91836   97.08557
22   0.09337   -0.21833   61.73478   0.58191   0.09337   -0.21833   0.33024   0.91842   96.96960
23   0.09328   -0.21796   61.74070   0.58233   0.09328   -0.21796   0.32954   0.91873   97.13135
